WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,RelativeHumidity,DewPoint,VaporPressure,WindDirection
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.60,08-20-2019,16:00:00,982.50,20.00,31.2,1002.01,3.7,0.00,78,26.9,35.45,220
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-20-2019,16:00:00,974.11,15.00,32.0,1002.12,7.4,0.00,63,24.1,30.08,180
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.30,08-20-2019,16:00:00,982.80,12.00,31.5,1002.58,3.7,0.00,68,25.0,31.64,090
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,18.70,08-20-2019,16:00:00,981.79,12.00,25.5,1003.54,3.7,17.00,92,24.0,29.91,120
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.30,08-20-2019,16:00:00,983.62,15.00,25.7,1003.10,3.7,23.00,94,24.7,31.08,140
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,13.60,08-20-2019,16:00:00,987.71,10.00,25.4,1004.49,3.7,0.10,88,23.3,28.67,100
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.00,08-20-2019,16:00:00,987.10,10.00,25.4,1004.54,0.0,2.70,94,24.4,30.52,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.01,08-20-2019,16:00:00,976.37,12.00,31.0,1001.66,0.0,0.00,74,25.8,33.22,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.60,08-20-2019,16:00:00,995.60,10.00,33.2,1001.24,3.7,0.60,68,26.5,34.71,110
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-20-2019,16:00:00,995.55,12.00,33.7,1001.57,0.0,0.00,62,25.3,32.18,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.20,08-20-2019,16:00:00,986.40,10.00,32.2,1002.49,0.0,0.00,65,24.8,31.35,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.10,08-20-2019,16:00:00,979.83,10.00,29.7,1001.83,3.7,0.00,70,23.6,29.16,230
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-20-2019,16:00:00,988.09,10.00,32.9,1002.13,14.8,0.00,59,23.9,29.62,250
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-20-2019,16:00:00,985.98,7.00,31.5,1002.04,11.1,0.00,63,23.6,29.07,120
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-20-2019,16:00:00,997.01,10.00,33.9,1002.09,13.0,0.00,57,24.1,29.95,180
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-20-2019,16:00:00,987.90,12.00,32.9,1000.77,0.0,0.00,64,25.1,31.95,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.50,08-20-2019,16:00:00,993.50,12.00,29.3,1002.72,9.3,0.00,77,24.9,31.45,190
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-20-2019,16:00:00,980.65,10.00,32.4,1001.84,3.7,0.00,58,23.0,28.05,230
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-20-2019,16:00:00,984.46,12.00,33.8,1001.48,5.6,0.00,54,23.3,28.59,200
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,6.70,08-20-2019,16:00:00,987.58,12.00,25.5,1003.43,3.7,0.40,92,24.0,29.91,080
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-20-2019,16:00:00,982.61,10.00,32.7,1001.03,3.7,0.00,57,23.0,28.08,190
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,9.80,08-20-2019,16:00:00,954.86,5.00,25.0,1006.15,0.0,7.10,88,22.9,27.96,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,15.00,08-20-2019,16:00:00,998.40,10.00,33.4,1002.26,7.4,0.00,60,24.5,30.66,150
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.60,08-20-2019,16:00:00,909.53,7.00,25.0,1003.22,9.3,0.00,83,21.8,26.18,240
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-20-2019,16:00:00,986.51,10.00,32.3,1002.14,0.0,0.00,63,24.5,30.69,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,13.50,08-20-2019,16:00:00,998.83,10.00,32.3,1002.78,3.7,0.00,66,25.1,31.86,260
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,45.90,08-20-2019,16:00:00,993.21,8.00,32.2,1003.67,7.4,0.00,64,24.5,30.77,210
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.10,08-20-2019,16:00:00,1001.45,12.00,31.0,1003.34,9.3,0.00,71,25.2,32.05,170
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.80,08-20-2019,16:00:00,981.87,10.00,32.0,1002.29,7.4,0.00,58,22.7,27.55,240
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.01,08-20-2019,16:00:00,984.53,11.00,31.9,1001.82,3.7,0.00,67,25.1,31.89,180
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-20-2019,16:00:00,986.02,10.00,32.7,1001.80,5.6,0.00,61,24.3,30.36,250
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.90,08-20-2019,16:00:00,990.00,10.00,25.4,1004.07,9.3,6.40,95,24.5,30.79,100
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,52.10,08-20-2019,16:00:00,989.82,7.00,25.1,1004.71,0.0,33.90,97,24.5,30.77,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,2.70,08-20-2019,16:00:00,988.71,10.00,30.0,1003.17,5.6,0.00,77,25.5,32.59,190
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,39.50,08-20-2019,16:00:00,999.56,10.00,33.1,1002.51,0.0,0.00,65,25.7,32.98,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,6.30,08-20-2019,16:00:00,994.92,10.00,31.5,1002.72,0.0,0.00,67,24.5,30.77,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.50,08-20-2019,16:00:00,1003.95,8.00,32.7,1005.04,18.5,0.00,63,24.6,30.94,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-20-2019,16:00:00,988.82,8.00,33.0,1003.17,0.0,0.00,51,21.5,25.63,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,37.80,08-20-2019,16:00:00,871.35,1.20,19.8,1006.09,5.6,21.00,99,19.6,22.85,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,16.50,08-20-2019,16:00:00,997.39,10.00,32.5,1003.14,5.6,0.00,64,24.7,31.11,210
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.60,08-20-2019,16:00:00,1003.61,8.00,27.8,1004.41,7.4,0.00,84,24.9,31.56,180
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,19.50,08-20-2019,16:00:00,1004.14,10.00,31.0,1004.58,18.5,0.00,69,24.7,31.19,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,19.00,08-20-2019,16:00:00,994.83,4.00,26.4,1006.14,0.0,10.70,90,24.7,31.05,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,2.70,08-20-2019,16:00:00,1003.37,10.00,27.6,1004.38,13.0,2.70,90,25.8,33.13,260
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,11.40,08-20-2019,16:00:00,1001.98,9.00,32.0,1003.77,3.7,0.00,66,24.9,31.52,170
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-20-2019,16:00:00,1003.32,9.00,30.6,1004.08,11.1,0.00,62,22.4,27.06,230
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,2.20,08-20-2019,16:00:00,1003.96,10.00,29.8,1004.66,22.2,0.01,72,24.2,30.19,220
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,65.80,08-20-2019,16:00:00,1003.91,6.00,25.6,1004.62,3.7,65.80,92,24.1,30.09,210
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-20-2019,16:00:00,982.07,10.00,34.3,1002.63,13.0,0.00,52,22.9,27.90,270
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.20,08-20-2019,16:00:00,986.25,10.00,32.4,1002.60,5.6,0.00,61,24.0,29.75,210
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-20-2019,16:00:00,987.95,10.00,32.8,1004.02,5.6,0.00,64,25.2,32.03,190
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,4.30,08-20-2019,16:00:00,981.67,10.00,29.3,1003.28,0.0,3.50,76,24.6,30.88,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.80,08-20-2019,16:00:00,960.85,15.00,29.7,1003.56,22.2,0.00,69,23.3,28.61,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-20-2019,16:00:00,982.10,11.00,34.5,1002.06,11.1,0.00,50,22.6,27.45,110
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.60,08-20-2019,16:00:00,983.57,10.00,27.9,1004.27,5.6,7.60,94,26.9,35.48,150
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.00,08-20-2019,16:00:00,1005.01,9.00,27.5,1005.44,9.3,1.00,87,25.2,32.08,230
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10.00,08-20-2019,16:00:00,1003.49,6.00,25.5,1004.91,0.0,9.40,95,24.6,30.98,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,35.20,08-20-2019,16:00:00,999.48,7.00,25.5,1004.43,0.0,35.20,96,24.8,31.25,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.40,08-20-2019,16:00:00,1001.11,12.00,31.0,1004.35,11.1,0.00,66,23.8,29.48,220
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,9.50,08-20-2019,16:00:00,1003.40,10.00,27.2,1004.50,0.0,9.50,90,25.5,32.61,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.60,08-20-2019,16:00:00,1005.36,8.00,30.5,1005.66,22.2,0.60,72,25.0,31.60,290
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1.40,08-20-2019,16:00:00,1003.82,5.00,31.3,1004.50,18.5,1.40,70,25.2,32.10,210
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,2.00,08-20-2019,16:00:00,1005.16,10.00,27.2,1005.65,18.5,2.00,83,24.0,29.85,270
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,6.00,08-20-2019,16:00:00,1003.62,5.00,26.4,1005.02,25.9,1.40,85,23.6,29.17,260
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1.70,08-20-2019,16:00:00,1003.95,3.00,25.5,1005.64,46.3,1.70,97,25.1,31.79,230
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.20,08-20-2019,16:00:00,998.01,10.00,31.5,1005.89,7.4,0.00,63,23.6,29.07,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,9.30,08-20-2019,16:00:00,1003.98,12.00,31.8,1004.26,14.8,0.00,67,25.0,31.68,300
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-20-2019,16:00:00,1002.11,10.00,29.5,1005.21,18.5,0.00,78,25.2,32.13,270
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1.50,08-20-2019,16:00:00,998.00,12.00,30.4,1004.85,7.4,0.00,76,25.6,32.84,230
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.50,08-20-2019,16:00:00,997.82,8.00,34.9,1003.26,9.3,0.00,55,24.6,30.89,240
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-20-2019,16:00:00,995.82,12.00,30.5,1005.00,14.8,0.00,72,24.8,31.31,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,5.40,08-20-2019,16:00:00,1005.17,12.00,27.4,1006.43,3.7,5.40,90,25.5,32.73,210
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.90,08-20-2019,16:00:00,1004.90,11.00,26.5,1005.34,5.6,30.90,93,25.2,32.07,350
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-20-2019,16:00:00,993.04,10.00,31.0,1005.11,7.4,0.00,63,23.0,28.09,230
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.70,08-20-2019,16:00:00,1004.09,10.00,29.8,1004.79,7.4,11.70,74,24.7,31.03,270
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-20-2019,16:00:00,1003.50,10.00,31.6,1005.90,14.8,0.00,62,23.5,28.99,230
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-20-2019,16:00:00,1004.78,10.00,31.6,1005.29,14.8,0.00,71,25.7,33.02,240
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,6.80,08-20-2019,16:00:00,999.93,13.00,30.2,1005.02,5.6,0.00,71,24.3,30.42,170
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.80,08-20-2019,16:00:00,1004.74,9.00,30.9,1005.14,9.3,0.00,71,25.1,31.84,210
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,21.60,08-20-2019,16:00:00,1003.70,8.00,30.0,1006.45,13.0,0.00,77,25.5,32.59,240
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.50,08-20-2019,16:00:00,1005.18,10.00,29.6,1005.96,0.0,0.00,68,23.0,28.15,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.10,08-20-2019,16:00:00,1005.27,8.00,30.0,1005.73,5.6,0.00,82,26.5,34.64,250
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-20-2019,16:00:00,1005.58,10.00,32.8,1006.25,7.4,0.00,57,23.3,28.56,280
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-20-2019,16:00:00,1004.94,10.00,32.6,1006.44,7.4,0.00,58,23.4,28.73,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-20-2019,16:00:00,1006.50,10.00,31.5,1007.41,9.3,0.00,63,23.6,29.07,240
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-20-2019,16:00:00,1005.42,12.00,34.4,1006.09,5.6,0.00,53,23.3,28.67,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-20-2019,16:00:00,1005.89,10.00,34.8,1006.67,11.1,0.00,50,22.8,27.77,280
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-20-2019,16:00:00,1005.19,10.00,33.2,1005.81,9.3,0.00,54,22.8,27.67,060
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-20-2019,16:00:00,1005.34,10.00,36.2,1005.73,14.8,0.00,48,23.3,28.64,320
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-20-2019,16:00:00,1004.03,10.00,33.8,1008.15,11.1,0.00,50,21.8,26.07,270
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-20-2019,16:00:00,1005.23,12.00,32.3,1006.81,7.4,0.00,56,22.4,27.02,240
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-20-2019,16:00:00,1003.53,8.00,31.2,1006.95,0.0,0.00,68,24.5,30.73,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.40,08-20-2019,16:00:00,1004.76,10.00,32.5,1006.09,16.7,0.40,68,25.9,33.47,270
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-20-2019,16:00:00,1007.09,12.00,30.8,1007.97,5.6,0.00,69,24.4,30.49,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-20-2019,16:00:00,1004.09,10.00,32.0,1007.59,7.4,0.00,63,24.0,29.79,180
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-20-2019,16:00:00,1007.19,10.00,33.6,1007.61,14.8,0.00,55,23.2,28.47,290
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-20-2019,16:00:00,1007.24,10.00,30.8,1008.22,9.3,0.00,64,23.1,28.26,300
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-20-2019,16:00:00,1006.54,10.00,30.9,1007.34,11.1,0.00,73,25.5,32.72,260
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.01,08-20-2019,16:00:00,1005.11,10.00,32.5,1006.89,9.3,0.00,58,23.3,28.53,240
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-20-2019,16:00:00,1005.24,11.00,35.5,1005.97,16.7,0.00,46,22.1,26.63,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-20-2019,16:00:00,1002.40,10.00,33.0,1006.31,14.8,0.00,55,22.7,27.56,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1.60,08-20-2019,16:00:00,1006.81,10.00,32.0,1007.48,7.4,0.00,63,24.1,30.08,230
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-20-2019,16:00:00,1005.24,12.00,33.7,1006.33,9.3,0.00,51,22.0,26.42,230
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-20-2019,16:00:00,1003.72,12.00,33.5,1006.57,14.8,0.00,58,24.1,29.99,270
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-20-2019,16:00:00,1004.84,10.00,34.3,1005.51,11.1,0.00,69,27.7,37.25,230
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-20-2019,16:00:00,1002.13,8.00,33.4,1006.17,0.0,0.00,61,24.9,31.54,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-20-2019,16:00:00,1005.78,12.00,32.0,1006.36,14.8,0.00,66,24.9,31.52,050
