WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindSpeed,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-25-2019,16:00:00,1007.87,56,5.6,33.5,10.00,0.00,180,28.84,23.4,1010.59,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-25-2019,16:00:00,1010.38,65,0.0,30.5,10.00,0.00,000,28.50,23.2,1011.16,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-25-2019,16:00:00,1009.81,77,5.6,31.0,8.00,0.00,180,34.71,26.5,1010.26,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-25-2019,16:00:00,1010.68,91,0.0,28.3,8.00,5.90,000,35.15,26.8,1011.36,5.70
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-25-2019,16:00:00,1009.75,85,3.7,28.0,9.00,1.20,070,31.95,25.1,1011.28,1.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-25-2019,16:00:00,1010.19,75,1.9,29.5,10.00,1.00,090,30.72,24.5,1011.11,1.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-25-2019,16:00:00,1010.27,78,11.1,30.0,10.00,0.00,080,33.17,25.8,1010.95,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-25-2019,16:00:00,1010.19,86,7.4,28.2,8.00,23.60,010,32.92,25.6,1010.99,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-25-2019,16:00:00,1009.61,78,9.3,30.0,10.00,16.10,020,33.17,25.8,1010.24,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-25-2019,16:00:00,1009.95,82,0.0,29.9,10.00,41.60,000,34.72,26.5,1010.35,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-25-2019,16:00:00,1008.21,67,7.4,30.7,6.00,10.70,100,29.73,23.9,1012.39,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-25-2019,16:00:00,1008.04,58,0.0,31.2,10.00,1.60,000,26.56,22.1,1009.64,0.00
