WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,DewPoint,Rainfall24Hr,RelativeHumidity,AirTemperature,WindSpeed,StationPressure,MeanSeaLevelPressure,LandVisibility,VaporPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-09-2019,16:00:00,250,22.9,0.00,55,33.0,9.3,971.00,1003.71,10.00,27.84
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-09-2019,16:00:00,200,24.6,0.20,73,29.9,3.7,985.27,1003.51,15.00,30.95
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.30,09-09-2019,16:00:00,000,26.0,3.50,74,31.2,0.0,980.47,1002.84,10.00,33.65
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-09-2019,16:00:00,140,24.5,0.10,72,30.2,5.6,973.37,1002.75,12.00,30.70
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-09-2019,16:00:00,000,25.1,0.00,69,31.5,0.0,968.22,1002.97,8.00,31.93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-09-2019,16:00:00,320,25.7,0.00,63,33.8,7.4,973.12,1001.98,17.00,33.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-09-2019,16:00:00,000,23.9,0.00,57,33.5,0.0,996.76,1003.88,10.00,29.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-09-2019,16:00:00,220,24.2,0.01,63,32.2,7.4,983.23,1002.97,18.00,30.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.01,09-09-2019,16:00:00,000,26.4,0.01,71,32.2,0.0,981.79,1003.05,15.00,34.32
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-09-2019,16:00:00,000,24.7,0.01,64,32.4,0.0,986.87,1003.25,13.00,31.19
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-09-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'Unit': 'celcius'}},0.00,{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'celcius'}},0.0,{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'hPa'}},{'@attributes': {'Unit': 'km'}},{'@attributes': {'Unit': 'mb'}}
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-09-2019,16:00:00,220,25.6,28.40,69,32.1,3.7,977.30,1002.52,12.00,32.91
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-09-2019,16:00:00,260,25.2,0.00,63,33.2,5.6,998.25,1003.91,10.00,32.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-09-2019,16:00:00,000,23.3,0.00,60,32.0,0.0,988.26,1004.39,12.00,28.66
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.40,09-09-2019,16:00:00,300,22.2,29.50,76,26.8,5.6,982.93,1005.22,10.00,26.74
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-09-2019,16:00:00,280,22.0,0.00,58,31.3,14.8,991.05,1005.21,8.00,26.48
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-09-2019,16:00:00,260,22.8,0.00,60,31.5,7.4,988.01,1004.10,12.00,27.68
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-09-2019,16:00:00,280,22.8,0.00,56,32.8,7.4,999.28,1004.39,10.00,27.72
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-09-2019,16:00:00,000,24.1,5.10,63,32.0,0.0,989.96,1002.89,12.00,30.08
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-09-2019,16:00:00,000,24.1,0.00,61,32.5,0.0,995.18,1004.31,12.00,29.95
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.90,09-09-2019,16:00:00,210,25.4,28.90,72,31.0,7.4,981.97,1003.29,10.00,32.34
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,17.70,09-09-2019,16:00:00,240,26.1,20.40,92,27.5,25.9,986.82,1004.25,4.00,33.78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-09-2019,16:00:00,210,25.4,0.00,70,31.6,3.7,987.41,1002.94,12.00,32.43
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-09-2019,16:00:00,000,21.5,17.70,76,26.0,0.0,956.98,1008.21,10.00,25.61
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-09-2019,16:00:00,270,25.0,4.30,62,33.2,3.7,1000.27,1004.13,10.00,31.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-09-2019,16:00:00,220,20.9,7.60,79,24.7,18.5,911.13,1005.08,8.00,24.69
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-09-2019,16:00:00,000,26.2,0.50,71,32.2,0.0,987.80,1003.46,8.00,34.02
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-09-2019,16:00:00,000,25.1,0.00,58,34.5,0.0,1000.80,1004.73,12.00,31.82
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-09-2019,16:00:00,240,24.2,0.00,59,33.5,3.7,995.10,1005.53,10.00,30.28
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-09-2019,16:00:00,150,25.5,8.50,67,32.5,5.6,1003.62,1005.51,12.00,32.58
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-09-2019,16:00:00,230,23.2,0.00,59,32.3,7.4,983.41,1003.85,12.00,28.41
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-09-2019,16:00:00,250,24.9,0.00,65,32.3,7.4,985.75,1003.03,10.00,31.56
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-09-2019,16:00:00,200,24.8,0.00,61,33.4,9.3,987.35,1003.12,10.00,31.24
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-09-2019,16:00:00,260,24.9,2.10,66,32.1,5.6,990.73,1004.49,10.00,31.44
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-09-2019,16:00:00,000,25.4,0.00,69,31.7,0.0,990.61,1005.19,10.00,32.35
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-09-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'Unit': 'celcius'}},0.00,{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'celcius'}},0.0,{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'hPa'}},{'@attributes': {'Unit': 'km'}},{'@attributes': {'Unit': 'mb'}}
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-09-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.9,0.60,59,34.2,0.0,1001.99,1004.94,10.00,31.47
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-09-2019,16:00:00,000,25.3,0.00,63,33.3,0.0,996.56,1004.33,10.00,32.21
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-09-2019,16:00:00,230,23.9,0.00,67,30.7,11.1,1004.15,1005.24,8.00,29.73
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-09-2019,16:00:00,080,24.3,0.00,64,32.0,3.7,990.61,1005.03,9.00,30.36
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.01,09-09-2019,16:00:00,000,20.3,36.00,90,22.0,0.0,872.33,1006.16,3.00,23.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-09-2019,16:00:00,000,23.9,0.00,57,33.6,0.0,998.79,1004.52,10.00,29.62
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-09-2019,16:00:00,220,22.9,2.30,74,28.0,7.4,996.20,1007.47,10.00,27.85
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-09-2019,16:00:00,280,20.4,0.00,44,34.4,3.7,1004.22,1004.97,9.00,23.93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,09-09-2019,16:00:00,250,24.3,10.80,85,27.0,14.8,1005.52,1006.22,9.00,30.29
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,2.30,09-09-2019,16:00:00,230,26.1,3.80,67,32.9,7.4,1004.81,1005.50,7.00,33.74
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-09-2019,16:00:00,290,23.5,0.00,58,33.0,9.3,983.69,1004.38,10.00,28.97
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-09-2019,16:00:00,240,24.2,0.00,64,31.8,9.3,988.19,1004.60,14.00,30.24
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-09-2019,16:00:00,270,24.9,0.00,66,32.0,3.7,988.74,1004.86,10.00,31.52
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-09-2019,16:00:00,230,23.9,5.00,71,29.7,11.1,962.37,1005.15,10.00,29.71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.30,09-09-2019,16:00:00,190,25.4,0.30,72,31.0,3.7,984.12,1004.35,10.00,32.34
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-09-2019,16:00:00,250,26.3,0.00,78,30.5,9.3,985.50,1006.06,10.00,34.22
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-09-2019,16:00:00,180,25.1,1.80,72,30.8,13.0,1005.60,1006.03,11.00,31.93
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-09-2019,16:00:00,250,25.7,3.70,69,32.0,5.6,1003.99,1005.38,10.00,32.99
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-09-2019,16:00:00,270,25.2,0.50,65,32.5,7.4,1000.42,1005.26,8.00,31.98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-09-2019,16:00:00,000,22.1,0.00,51,33.8,0.0,1002.74,1005.96,12.00,26.62
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-09-2019,16:00:00,280,23.4,0.00,54,34.0,7.4,1004.56,1005.64,10.00,28.72
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,2.10,09-09-2019,16:00:00,190,24.2,30.10,86,26.7,5.6,1005.86,1006.16,9.00,30.26
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,17.80,09-09-2019,16:00:00,000,25.2,25.30,97,25.8,0.0,1003.80,1004.49,9.00,32.09
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.20,09-09-2019,16:00:00,180,25.0,44.60,94,26.0,3.7,1005.68,1006.17,10.00,31.65
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-09-2019,16:00:00,210,23.8,0.00,65,31.1,9.3,1007.52,1008.91,10.00,29.40
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-09-2019,16:00:00,190,26.9,30.60,89,29.0,14.8,1004.66,1006.33,10.00,35.46
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-09-2019,16:00:00,220,23.0,0.00,56,32.8,7.4,999.53,1007.39,10.00,28.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-09-2019,16:00:00,300,23.2,11.60,59,32.2,11.1,1005.74,1006.02,10.00,28.50
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-09-2019,16:00:00,000,24.5,8.60,75,29.5,0.0,1003.77,1006.88,10.00,30.72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-09-2019,16:00:00,210,24.5,0.00,75,29.5,9.3,1000.15,1007.03,10.00,30.72
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-09-2019,16:00:00,250,24.4,0.00,59,33.5,11.1,1000.23,1005.70,10.00,30.57
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-09-2019,16:00:00,230,24.9,0.00,78,29.2,18.5,998.32,1007.57,10.00,31.53
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,09-09-2019,16:00:00,320,24.4,1.20,62,32.5,7.4,1006.25,1007.49,12.00,30.53
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-09-2019,16:00:00,140,27.1,0.01,74,32.3,13.0,1005.82,1006.24,11.00,35.76
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-09-2019,16:00:00,220,23.1,0.40,58,32.5,7.4,994.85,1006.89,8.00,28.25
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-09-2019,16:00:00,250,23.0,0.40,56,33.0,9.3,1005.89,1006.59,10.00,28.12
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-09-2019,16:00:00,220,24.3,0.00,64,32.0,11.1,1004.71,1007.11,10.00,30.36
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-09-2019,16:00:00,250,25.4,0.01,77,29.8,22.2,1006.78,1007.29,10.00,32.46
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-09-2019,16:00:00,190,24.4,0.00,72,30.1,5.6,1001.75,1006.85,10.00,30.50
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-09-2019,16:00:00,190,25.4,0.00,76,30.2,9.3,1006.73,1007.13,8.00,32.42
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-09-2019,16:00:00,230,25.6,0.00,79,29.7,9.3,1004.62,1007.37,8.00,32.83
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,13.30,09-09-2019,16:00:00,270,24.1,13.30,86,26.7,7.4,1006.63,1007.41,6.00,29.99
48501,TRAD,ตราด,ตราด,11.76667,102.88333,2.70,09-09-2019,16:00:00,160,25.6,39.00,92,27.0,5.6,1006.97,1007.43,5.00,32.77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-09-2019,16:00:00,300,23.4,0.10,74,28.5,5.6,1008.09,1008.77,7.00,28.78
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-09-2019,16:00:00,270,23.2,1.80,71,29.0,11.1,1006.35,1007.87,9.00,28.37
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,3.50,09-09-2019,16:00:00,260,23.0,58.20,83,26.1,3.7,1008.72,1009.64,10.00,28.10
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-09-2019,16:00:00,250,25.8,26.20,78,30.0,11.1,1007.37,1008.05,1000.00,33.17
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,15.50,09-09-2019,16:00:00,000,25.1,29.80,92,26.5,0.0,1008.55,1009.35,8.00,31.79
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,6.90,09-09-2019,16:00:00,320,24.6,6.90,89,26.5,5.6,1008.47,1009.10,7.00,30.97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.80,09-09-2019,16:00:00,000,24.7,34.70,98,25.0,0.0,1008.60,1009.01,8.00,31.12
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,2.00,09-09-2019,16:00:00,000,23.8,2.00,93,25.0,0.0,1006.33,1007.95,10.00,29.52
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,17.20,09-09-2019,16:00:00,000,24.1,62.80,95,25.0,0.0,1006.52,1010.03,7.00,30.05
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.01,09-09-2019,16:00:00,260,23.9,0.01,88,26.1,5.6,1007.38,1008.74,9.00,29.68
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.80,09-09-2019,16:00:00,180,24.5,47.20,90,26.2,5.6,1008.23,1009.12,8.00,30.67
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,34.00,09-09-2019,16:00:00,000,23.6,50.20,97,24.2,0.0,1006.24,1009.84,10.00,29.13
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.40,09-09-2019,16:00:00,030,24.5,1.80,89,26.5,3.7,1007.65,1008.65,7.00,30.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,3.40,09-09-2019,16:00:00,310,23.9,64.20,86,26.4,11.1,1008.71,1009.53,8.00,29.70
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,45.50,09-09-2019,16:00:00,280,24.8,64.40,96,25.5,5.6,1007.56,1009.38,7.00,31.25
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,09-09-2019,16:00:00,240,24.1,7.00,64,31.7,5.6,1007.64,1008.38,10.00,30.04
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-09-2019,16:00:00,240,23.0,0.60,65,30.4,13.0,1004.85,1008.81,10.00,28.04
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-09-2019,16:00:00,000,24.2,0.00,70,30.2,0.0,1008.48,1009.16,10.00,30.14
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-09-2019,16:00:00,270,24.3,0.20,69,30.6,9.3,1007.32,1008.43,10.00,30.38
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-09-2019,16:00:00,180,25.0,0.30,71,31.0,13.0,1005.87,1008.75,12.00,31.76
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1.20,09-09-2019,16:00:00,000,24.3,1.50,78,28.5,0.0,1007.99,1008.67,7.00,30.42
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,13.50,09-09-2019,16:00:00,000,21.2,14.90,80,25.0,0.0,1008.14,1008.73,9.00,25.19
