WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,LandVisibility,StationPressure,WindSpeed,Rainfall24Hr,AirTemperature,WindDirection,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.83,10-09-2019,04:00:00,22.2,7.00,995.86,0.0,5.60,23.0,000,96,0.00,1012.55
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.42,10-09-2019,04:00:00,24.3,10.00,1007.31,0.0,1.90,25.2,000,95,0.00,1012.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.25,10-09-2019,04:00:00,24.2,10.00,996.70,0.0,0.70,25.4,000,93,0.00,1010.01
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.05,10-09-2019,04:00:00,24.1,11.00,1001.79,0.0,0.00,25.0,000,95,0.00,1011.21
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.57,10-09-2019,04:00:00,23.3,6.00,989.38,5.6,0.00,25.2,010,89,0.00,1011.29
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.91,10-09-2019,04:00:00,24.0,8.00,994.01,0.0,0.00,25.5,000,92,0.00,1011.67
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.01,10-09-2019,04:00:00,23.5,8.00,991.50,0.0,0.00,25.3,000,90,0.00,1010.55
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.29,10-09-2019,04:00:00,19.9,5.00,959.72,0.0,0.00,21.2,000,93,0.00,1011.95
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.00,10-09-2019,04:00:00,24.6,4.00,1007.00,3.7,0.01,25.8,320,93,0.00,1010.99
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.35,10-09-2019,04:00:00,18.6,5.00,916.66,5.6,0.00,19.2,070,96,0.00,1013.02
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.00,10-09-2019,04:00:00,23.5,8.00,994.67,0.0,0.00,25.0,000,92,0.00,1010.82
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.48,10-09-2019,04:00:00,24.4,7.00,1006.76,0.0,30.00,24.8,000,97,0.00,1010.84
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.43,10-09-2019,04:00:00,23.2,4.00,1001.29,0.0,30.00,23.8,000,97,0.00,1012.14
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.00,10-09-2019,04:00:00,23.5,6.00,1009.46,0.0,0.01,25.0,000,92,0.00,1011.41
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.29,10-09-2019,04:00:00,23.7,8.00,990.22,0.0,0.00,26.9,000,83,0.00,1011.17
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.55,10-09-2019,04:00:00,23.3,10.00,992.94,0.0,0.00,24.6,000,92,0.00,1010.81
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.26,10-09-2019,04:00:00,23.7,8.00,994.22,0.0,0.00,25.0,000,92,0.00,1010.54
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.75,10-09-2019,04:00:00,23.4,10.00,996.56,0.0,0.00,25.3,000,89,0.00,1010.72
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.90,10-09-2019,04:00:00,24.6,8.00,996.83,0.0,0.00,25.6,000,94,0.00,1011.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.84,10-09-2019,04:00:00,24.6,6.00,995.89,3.7,0.00,26.0,060,92,0.00,1010.66
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.69,10-09-2019,04:00:00,23.9,8.00,1008.02,0.0,28.10,24.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",95,0.00,1011.07
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.51,10-09-2019,04:00:00,23.8,7.00,1003.05,0.0,6.20,24.7,000,95,0.00,1011.10
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.80,10-09-2019,04:00:00,24.0,6.00,1010.58,0.0,2.60,25.3,000,92,0.00,1011.70
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.29,10-09-2019,04:00:00,22.5,8.00,996.05,0.0,0.00,25.5,000,84,0.00,1010.86
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.30,10-09-2019,04:00:00,18.5,8.00,876.54,1.9,10.60,19.0,090,97,0.00,1012.47
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.93,10-09-2019,04:00:00,24.1,10.00,1005.19,3.7,4.20,24.5,130,97,0.00,1011.14
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.79,10-09-2019,04:00:00,25.1,8.00,1009.86,0.0,0.00,26.5,000,92,0.00,1010.67
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.67,10-09-2019,04:00:00,24.5,8.00,1009.61,0.0,6.40,26.2,000,90,0.00,1010.06
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.41,10-09-2019,04:00:00,23.8,4.00,1000.50,0.0,5.30,24.5,000,96,0.00,1011.95
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.50,10-09-2019,04:00:00,23.8,7.00,1010.02,0.0,0.00,26.0,000,88,0.00,1011.04
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.40,10-09-2019,04:00:00,24.3,7.00,1009.34,0.0,24.50,24.9,000,97,0.00,1011.19
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.74,10-09-2019,04:00:00,23.4,6.00,1009.09,0.0,0.00,25.0,000,91,0.00,1009.86
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.48,10-09-2019,04:00:00,23.8,10.00,1009.79,7.4,0.60,25.7,350,89,0.00,1010.50
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.97,10-09-2019,04:00:00,24.6,7.00,1009.78,0.0,0.00,26.5,000,89,0.00,1010.49
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.52,10-09-2019,04:00:00,23.8,8.00,989.85,0.0,0.00,25.0,000,93,0.00,1011.23
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.63,10-09-2019,04:00:00,24.4,6.00,993.72,0.0,0.00,25.6,000,93,0.00,1010.57
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.25,10-09-2019,04:00:00,24.8,6.00,994.73,0.0,0.00,25.5,000,96,0.00,1011.31
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.33,10-09-2019,04:00:00,23.7,8.00,988.83,0.0,0.01,24.6,000,95,0.00,1010.94
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.74,10-09-2019,04:00:00,22.2,6.00,967.81,3.7,0.01,23.1,280,95,0.00,1011.81
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.75,10-09-2019,04:00:00,24.0,8.00,990.22,0.0,0.80,24.4,000,97,0.00,1011.04
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.10,10-09-2019,04:00:00,24.7,6.00,991.27,3.7,0.00,24.7,340,100,0.00,1012.35
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.44,10-09-2019,04:00:00,24.3,10.00,1009.98,0.0,0.00,25.5,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",93,0.00,1010.42
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.59,10-09-2019,04:00:00,23.9,6.00,1009.07,0.0,23.70,24.6,000,96,0.00,1010.51
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.41,10-09-2019,04:00:00,23.8,7.00,1005.29,0.0,0.00,24.5,000,96,0.00,1010.28
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.59,10-09-2019,04:00:00,24.4,7.00,1007.73,0.0,0.00,26.3,000,89,0.00,1011.05
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.15,10-09-2019,04:00:00,24.2,10.00,1009.64,0.0,0.00,25.2,000,94,0.00,1010.76
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.05,10-09-2019,04:00:00,24.1,10.00,1010.01,0.0,0.01,26.3,000,88,0.00,1010.31
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.23,10-09-2019,04:00:00,23.7,8.00,1009.78,0.0,0.00,26.0,000,87,0.00,1010.28
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.76,10-09-2019,04:00:00,25.0,10.00,1008.96,9.3,0.00,26.2,310,93,0.00,1010.37
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.42,10-09-2019,04:00:00,23.2,8.00,1003.93,0.0,2.50,23.5,000,98,0.00,1012.06
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.41,10-09-2019,04:00:00,24.9,2.00,1009.56,0.0,23.30,25.3,000,97,0.00,1009.85
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.41,10-09-2019,04:00:00,23.8,10.00,1006.59,0.0,84.50,24.5,000,96,0.00,1009.76
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.72,10-09-2019,04:00:00,23.4,10.00,1002.67,0.0,10.90,24.7,000,92,0.00,1009.68
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.00,10-09-2019,04:00:00,23.5,10.00,1005.15,0.0,0.00,25.0,000,92,0.00,1010.80
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.56,10-09-2019,04:00:00,24.4,4.00,1010.54,7.4,19.20,24.7,320,98,0.00,1011.81
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.94,10-09-2019,04:00:00,22.3,11.00,1009.65,5.6,14.00,25.0,330,85,0.00,1010.09
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.28,10-09-2019,04:00:00,23.1,8.00,998.11,7.4,0.00,24.3,240,93,0.00,1010.52
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.41,10-09-2019,04:00:00,23.8,8.00,1009.36,5.6,0.00,26.1,300,87,0.00,1010.08
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.44,10-09-2019,04:00:00,23.8,8.00,1008.54,3.7,35.00,25.1,360,92,0.00,1011.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.25,10-09-2019,04:00:00,23.7,10.00,1009.51,7.4,0.01,24.7,020,94,0.00,1010.04
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.36,10-09-2019,04:00:00,23.2,7.00,1004.71,0.0,4.60,24.2,000,94,0.00,1009.93
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.25,10-09-2019,04:00:00,24.8,7.00,1009.38,0.0,0.80,25.5,000,96,0.00,1009.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.95,10-09-2019,04:00:00,24.1,8.00,1007.46,0.0,6.30,24.8,000,96,0.00,1010.26
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.03,10-09-2019,04:00:00,24.1,10.00,1009.90,0.0,0.20,26.0,000,89,0.00,1010.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,28.55,10-09-2019,04:00:00,23.3,6.00,1008.53,5.6,6.20,24.6,080,92,0.00,1009.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.17,10-09-2019,04:00:00,24.7,7.00,1009.32,0.0,16.40,25.6,000,95,5.20,1010.01
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.79,10-09-2019,04:00:00,24.5,8.00,1008.32,0.0,2.20,25.4,000,95,0.00,1009.86
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.16,10-09-2019,04:00:00,23.6,10.00,1009.55,0.0,0.40,24.8,000,93,0.40,1010.48
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.49,10-09-2019,04:00:00,24.9,10.00,1009.35,5.6,1.40,27.2,300,87,0.00,1010.04
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.53,10-09-2019,04:00:00,23.3,7.00,1009.40,0.0,0.00,24.0,000,96,0.00,1010.21
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.85,10-09-2019,04:00:00,24.0,10.00,1009.21,0.0,1.30,24.6,000,97,0.00,1009.85
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.22,10-09-2019,04:00:00,24.2,10.00,1009.59,0.0,0.40,24.8,000,97,0.00,1010.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.78,10-09-2019,04:00:00,23.4,5.00,1007.24,0.0,12.00,24.0,000,97,0.00,1011.51
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.12,10-09-2019,04:00:00,23.6,5.00,1008.37,0.0,0.80,23.9,000,98,0.00,1010.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.78,10-09-2019,04:00:00,23.4,.80,1006.73,0.0,11.30,24.0,000,97,0.00,1010.25
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.20,10-09-2019,04:00:00,24.2,8.00,1009.19,3.7,0.60,24.5,300,98,0.60,1010.56
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.56,10-09-2019,04:00:00,23.8,10.00,1008.99,0.0,5.50,24.0,000,99,0.00,1009.88
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.43,10-09-2019,04:00:00,23.2,10.00,1006.17,0.0,2.20,23.8,000,97,0.00,1009.78
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.00,10-09-2019,04:00:00,24.6,10.00,1008.86,0.0,4.80,25.8,000,93,0.00,1009.30
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.40,10-09-2019,04:00:00,24.3,9.00,1007.48,0.0,13.00,24.9,000,97,0.00,1008.48
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.33,10-09-2019,04:00:00,23.1,10.00,1008.22,9.3,0.00,25.5,060,87,0.00,1009.04
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.48,10-09-2019,04:00:00,24.4,.30,1007.91,0.0,0.00,24.8,000,97,0.00,1009.74
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.63,10-09-2019,04:00:00,23.3,9.00,1009.45,3.7,53.70,24.5,220,93,26.10,1010.21
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.74,10-09-2019,04:00:00,23.9,10.00,1005.31,9.3,11.00,24.1,080,99,9.40,1009.35
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.96,10-09-2019,04:00:00,24.6,10.00,1009.40,0.0,41.50,25.2,000,97,1.50,1010.09
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.61,10-09-2019,04:00:00,23.3,10.00,1008.11,0.0,19.00,23.9,000,97,3.20,1009.23
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.93,10-09-2019,04:00:00,24.1,10.00,1006.34,0.0,12.70,24.5,000,97,2.20,1009.28
