WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,VaporPressure,Rainfall,RelativeHumidity,StationPressure,WindSpeed,MaximumTemperature,AirTemperature,WindDirection,LandVisibility,MeanSeaLevelPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-07-2019,19:00:00,24.6,30.98,0.00,80,982.89,0.0,34.0,28.5,000,10.00,1010.30
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-07-2019,19:00:00,23.7,29.28,0.00,78,976.18,0.0,33.3,27.9,000,10.00,1009.63
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-07-2019,19:00:00,24.8,31.39,0.00,83,991.13,0.0,35.0,28.0,000,6.00,1009.59
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-07-2019,19:00:00,24.3,30.44,0.00,74,986.89,0.0,34.1,29.5,000,10.00,1009.53
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-07-2019,19:00:00,24.7,31.02,0.00,87,979.89,0.0,33.1,27.1,000,10.00,1009.78
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.60,10-07-2019,19:00:00,23.6,29.06,0.00,79,974.46,0.0,32.0,27.5,000,8.00,1009.91
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-07-2019,19:00:00,20.8,24.61,0.00,77,979.86,0.0,34.9,25.1,000,10.00,1009.77
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-07-2019,19:00:00,23.7,29.24,0.00,64,1001.50,0.0,36.5,31.3,000,10.00,1008.71
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.80,10-07-2019,19:00:00,23.7,29.22,0.00,68,989.81,0.0,34.5,30.3,000,8.00,1009.53
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-07-2019,19:00:00,20.4,23.97,0.00,63,981.54,0.0,33.6,28.0,000,12.00,1010.15
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-07-2019,19:00:00,21.9,26.25,0.00,64,989.70,0.0,33.7,29.3,000,13.00,1009.76
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.60,10-07-2019,19:00:00,21.2,25.11,0.00,75,989.35,3.7,34.0,26.0,140,10.00,1011.23
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.10,10-07-2019,19:00:00,21.1,24.94,0.10,77,991.24,9.3,33.6,25.3,160,12.00,1010.89
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,2.00,10-07-2019,19:00:00,23.0,28.14,0.50,88,994.45,0.0,34.3,25.1,000,10.00,1011.37
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.20,10-07-2019,19:00:00,21.3,25.28,20.00,93,993.84,0.0,33.5,22.5,000,10.00,1011.58
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-07-2019,19:00:00,23.9,29.65,0.00,78,984.24,0.0,33.4,28.1,000,12.00,1009.99
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-07-2019,19:00:00,24.1,30.01,0.00,75,1003.86,0.0,35.2,29.0,000,7.00,1009.62
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-07-2019,19:00:00,24.0,29.82,0.00,75,1003.46,5.6,35.0,28.9,230,8.00,1009.63
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-07-2019,19:00:00,21.5,25.63,0.00,64,993.39,0.0,35.0,29.1,000,10.00,1009.75
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-07-2019,19:00:00,21.5,25.61,0.00,76,986.29,0.0,34.5,26.0,000,10.00,1008.71
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-07-2019,19:00:00,23.8,29.44,0.00,79,996.02,0.0,33.3,27.7,000,8.00,1010.42
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-07-2019,19:00:00,22.3,26.95,0.00,73,993.79,0.0,34.0,27.5,000,8.00,1010.19
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1.00,10-07-2019,19:00:00,22.8,27.69,1.00,80,1004.16,5.6,34.6,26.6,230,10.00,1009.41
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-07-2019,19:00:00,23.0,28.07,0.00,67,994.82,0.0,36.1,29.7,000,10.00,1007.91
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.70,10-07-2019,19:00:00,24.6,30.84,0.00,82,1000.15,3.7,31.6,28.0,210,12.00,1009.47
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-07-2019,19:00:00,23.1,28.29,0.00,70,988.17,3.7,33.5,29.1,090,8.00,1009.76
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-07-2019,19:00:00,22.9,27.96,0.00,68,992.07,0.0,34.5,29.5,000,12.00,1009.46
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-07-2019,19:00:00,23.5,29.00,0.00,92,994.43,3.7,34.0,25.0,090,10.00,1010.43
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,10-07-2019,19:00:00,24.1,29.93,0.00,79,990.32,0.0,33.5,28.1,000,9.00,1009.17
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-07-2019,19:00:00,21.9,26.26,0.00,85,960.36,0.0,31.0,24.6,000,8.00,1012.02
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-07-2019,19:00:00,24.4,30.50,0.00,84,1005.75,3.7,34.1,27.4,270,8.00,1009.71
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,2.30,10-07-2019,19:00:00,19.7,22.90,0.00,90,915.83,0.0,25.6,21.4,000,6.00,1011.36
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-07-2019,19:00:00,24.8,31.26,0.00,80,993.66,0.0,33.5,28.5,000,10.00,1009.61
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.30,10-07-2019,19:00:00,24.5,30.82,0.00,78,1006.12,7.4,33.1,28.7,170,10.00,1010.15
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-07-2019,19:00:00,23.6,29.17,0.00,85,1000.68,0.0,33.2,26.4,000,6.00,1011.42
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,10-07-2019,19:00:00,23.7,29.33,0.00,86,1008.16,5.6,33.7,26.2,270,9.00,1010.10
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.40,10-07-2019,19:00:00,22.9,27.94,0.00,69,988.72,0.0,32.9,29.2,000,10.00,1009.48
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.80,10-07-2019,19:00:00,25.6,32.91,0.00,83,991.80,0.0,32.2,28.9,000,10.00,1009.39
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,13.70,10-07-2019,19:00:00,24.0,29.88,0.00,72,993.38,0.0,33.4,29.5,000,10.00,1009.45
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-07-2019,19:00:00,23.9,29.63,0.00,79,995.82,0.0,33.6,27.8,000,10.00,1009.85
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-07-2019,19:00:00,24.1,30.02,0.00,84,995.67,0.0,33.0,27.0,000,7.00,1010.55
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.40,10-07-2019,19:00:00,25.0,31.60,0.40,97,996.40,0.0,32.2,25.4,000,6.00,1011.21
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,2.20,10-07-2019,19:00:00,23.3,28.57,2.20,81,1006.73,0.0,33.7,26.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",7.00,1009.76
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.50,10-07-2019,19:00:00,23.7,29.29,5.50,89,1001.56,0.0,34.2,25.6,000,10.00,1009.57
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10.70,10-07-2019,19:00:00,24.4,30.65,0.40,92,1008.79,5.6,34.7,25.9,100,7.00,1009.91
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-07-2019,19:00:00,24.8,31.29,0.00,79,995.67,0.0,32.4,28.8,000,8.00,1010.32
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,47.60,10-07-2019,19:00:00,18.5,21.30,0.00,92,875.93,7.4,26.1,19.8,150,8.00,1011.37
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-07-2019,19:00:00,24.5,30.81,0.00,83,1004.20,0.0,33.5,27.7,000,10.00,1010.09
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-07-2019,19:00:00,24.6,30.84,0.00,82,1009.70,3.7,35.0,28.0,070,8.00,1010.50
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-07-2019,19:00:00,24.0,29.85,0.00,83,1009.54,7.4,31.5,27.2,120,10.00,1009.98
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.80,10-07-2019,19:00:00,24.6,31.00,0.80,88,998.74,0.0,33.2,26.8,000,6.00,1010.09
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.80,10-07-2019,19:00:00,23.5,29.00,0.00,73,1008.93,0.0,33.9,28.9,000,10.00,1009.94
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.60,10-07-2019,19:00:00,23.7,29.36,4.40,92,1008.27,0.0,33.5,25.2,000,7.00,1010.11
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.80,10-07-2019,19:00:00,23.6,29.19,0.00,77,1008.96,0.0,33.3,28.0,000,6.00,1009.73
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.40,10-07-2019,19:00:00,23.8,29.46,0.40,91,1009.60,7.4,32.4,25.4,080,8.00,1010.31
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.10,10-07-2019,19:00:00,23.7,29.33,0.10,75,1009.93,7.4,34.1,28.5,190,9.00,1010.63
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-07-2019,19:00:00,24.4,30.50,0.00,84,988.83,0.0,31.5,27.4,000,9.00,1010.02
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.30,10-07-2019,19:00:00,23.9,29.60,0.00,87,994.36,5.6,31.9,26.2,040,8.00,1011.19
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,12.90,10-07-2019,19:00:00,24.2,30.26,0.00,86,994.46,0.0,31.7,26.7,000,8.00,1010.97
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,10-07-2019,19:00:00,22.8,27.81,0.01,85,988.56,0.0,32.5,25.5,000,6.00,1010.60
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-07-2019,19:00:00,21.0,24.86,0.00,75,967.20,3.7,30.5,25.7,100,6.00,1010.78
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.70,10-07-2019,19:00:00,22.9,27.95,5.70,90,990.22,3.7,32.7,24.7,340,10.00,1011.02
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,38.70,10-07-2019,19:00:00,23.6,29.15,0.00,86,991.19,11.1,31.5,26.1,190,8.00,1012.17
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-07-2019,19:00:00,24.7,31.13,0.00,78,1009.80,0.0,33.2,29.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,1010.23
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.30,10-07-2019,19:00:00,24.0,29.91,6.30,92,1008.54,0.0,33.5,25.5,000,8.00,1009.97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.00,10-07-2019,19:00:00,24.2,30.20,26.00,98,1005.16,0.0,33.0,24.5,000,8.00,1010.15
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.90,10-07-2019,19:00:00,24.5,30.70,10.90,89,1006.41,0.0,33.5,26.5,000,8.00,1009.71
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,2.50,10-07-2019,19:00:00,24.9,31.44,2.50,90,1008.82,0.0,32.9,26.6,000,10.00,1009.93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.90,10-07-2019,19:00:00,23.4,28.80,0.00,78,1009.87,5.6,31.7,27.5,120,9.00,1010.17
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-07-2019,19:00:00,23.6,29.19,0.00,77,1008.99,0.0,32.0,28.0,000,10.00,1009.67
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-07-2019,19:00:00,23.9,29.74,0.00,79,1009.12,3.7,32.3,28.0,110,8.00,1009.61
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-07-2019,19:00:00,23.6,29.10,0.00,83,1009.04,9.3,32.6,26.8,160,10.00,1010.46
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-07-2019,19:00:00,24.3,30.46,0.00,77,1008.53,3.7,29.8,28.8,150,8.00,1010.21
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,36.00,10-07-2019,19:00:00,22.9,28.00,36.00,97,1004.58,0.0,33.1,23.4,000,.50,1012.72
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.70,10-07-2019,19:00:00,24.9,31.52,0.00,86,1010.44,3.7,31.8,27.5,060,4.00,1010.73
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-07-2019,19:00:00,24.3,30.42,0.00,83,1006.80,0.0,31.5,27.5,000,10.00,1009.94
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-07-2019,19:00:00,23.9,29.69,0.00,81,1002.92,0.0,30.1,27.4,000,10.00,1009.87
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-07-2019,19:00:00,23.6,29.17,0.00,85,1004.90,0.0,33.6,26.4,000,9.00,1010.53
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-07-2019,19:00:00,24.4,30.53,0.00,87,1001.79,0.0,32.6,26.7,000,10.00,1011.15
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-07-2019,19:00:00,24.2,30.15,0.00,78,1009.44,3.7,33.2,28.5,150,10.00,1010.70
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.50,10-07-2019,19:00:00,24.7,31.05,0.00,77,1009.23,7.4,32.8,29.1,150,11.00,1009.66
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.50,10-07-2019,19:00:00,24.7,31.08,0.00,89,998.00,0.0,31.5,26.7,000,8.00,1010.31
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-07-2019,19:00:00,25.0,31.62,0.00,82,1009.36,5.6,31.4,28.4,090,8.00,1010.07
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-07-2019,19:00:00,24.9,31.41,0.00,87,1007.64,0.0,32.1,27.3,000,8.00,1010.08
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.30,10-07-2019,19:00:00,24.8,31.21,0.00,78,1009.74,0.0,31.8,28.9,000,12.00,1010.26
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.80,10-07-2019,19:00:00,24.8,31.22,0.00,87,1004.91,1.9,30.6,27.2,050,7.00,1010.08
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,17.30,10-07-2019,19:00:00,23.9,29.74,17.30,90,1010.41,0.0,34.3,25.7,000,7.00,1010.83
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.70,10-07-2019,19:00:00,24.3,30.31,0.70,71,1008.21,0.0,32.8,30.0,000,8.00,1010.96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-07-2019,19:00:00,24.2,30.21,0.00,68,1012.91,0.0,32.8,30.8,000,10.00,1013.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.50,10-07-2019,19:00:00,23.5,29.01,5.50,90,1010.05,5.6,33.2,25.3,040,6.00,1010.51
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-07-2019,19:00:00,24.7,31.18,0.00,80,1008.96,0.0,31.7,28.6,000,9.00,1009.64
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-07-2019,19:00:00,25.2,32.12,0.00,86,1008.35,0.0,32.6,27.8,000,10.00,1009.88
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,9.30,10-07-2019,19:00:00,24.1,29.99,0.30,92,1009.52,0.0,31.6,25.4,000,8.00,1010.44
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-07-2019,19:00:00,24.5,30.70,0.00,79,1009.21,0.0,30.6,28.5,000,12.00,1009.89
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,13.90,10-07-2019,19:00:00,24.7,31.08,0.00,94,1009.14,0.0,33.0,25.7,000,8.00,1009.94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-07-2019,19:00:00,24.4,30.56,0.00,81,1009.03,0.0,32.0,28.0,000,10.00,1009.66
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.80,10-07-2019,19:00:00,25.0,31.72,0.00,86,1009.59,0.0,31.5,27.6,000,10.00,1010.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-07-2019,19:00:00,24.9,31.41,0.00,92,1007.54,0.0,32.4,26.3,000,5.00,1011.78
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.60,10-07-2019,19:00:00,23.9,29.69,0.00,95,1007.11,0.0,33.8,24.8,000,10.00,1008.73
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.50,10-07-2019,19:00:00,24.5,30.71,0.00,94,1006.64,0.0,32.7,25.5,000,7.00,1010.14
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-07-2019,19:00:00,23.7,29.33,0.00,71,1008.85,0.0,33.0,29.5,000,10.00,1010.19
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.60,10-07-2019,19:00:00,24.3,30.46,0.40,92,1008.80,0.0,31.5,25.8,000,10.00,1009.69
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.00,10-07-2019,19:00:00,23.0,28.17,19.20,97,1006.09,0.0,33.3,23.5,000,8.00,1009.70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,2.20,10-07-2019,19:00:00,23.3,28.54,0.00,72,1009.23,9.3,33.6,28.8,070,10.00,1009.67
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,5.50,10-07-2019,19:00:00,25.1,31.94,0.20,81,1008.48,9.3,31.4,28.7,060,9.00,1009.47
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-07-2019,19:00:00,23.1,28.18,0.00,76,1009.01,0.0,31.7,27.6,000,10.00,1009.82
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.80,10-07-2019,19:00:00,24.8,31.27,0.00,94,1008.40,0.0,32.9,25.8,000,10.00,1010.22
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,10-07-2019,19:00:00,22.4,27.16,0.00,71,1009.23,1.9,31.1,28.2,230,10.00,1009.98
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.20,10-07-2019,19:00:00,24.4,30.51,0.20,89,1006.07,5.6,32.5,26.4,220,10.00,1010.08
48570,SATUN,สตูล,สตูล,6.65000,100.08333,7.00,10-07-2019,19:00:00,23.4,28.83,2.00,90,1008.90,0.0,33.4,25.2,000,10.00,1009.59
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-07-2019,19:00:00,25.4,32.36,0.00,88,1008.86,0.0,31.7,27.5,000,10.00,1009.98
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.01,10-07-2019,19:00:00,24.6,30.97,0.00,84,1007.03,0.0,33.0,27.5,000,10.00,1009.95
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-07-2019,19:00:00,25.4,32.41,0.00,90,1008.91,0.0,31.5,27.1,000,8.00,1009.60
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.20,10-07-2019,19:00:00,24.6,30.89,0.00,89,1006.29,0.0,31.7,26.6,000,8.00,1010.43
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-07-2019,19:00:00,22.7,27.61,0.00,72,1009.16,0.0,31.8,28.3,000,10.00,1009.74
