WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,StationPressure,WindDirection,Rainfall24Hr,AirTemperature,DewPoint,MeanSeaLevelPressure,VaporPressure,LandVisibility,RelativeHumidity
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-09-2019,04:00:00,0.0,{'@attributes': {'unit': 'hPa'}},"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'hPa'}},{'@attributes': {'Unit': 'mb'}},{'@attributes': {'Unit': 'km'}},{'@attributes': {'Unit': '%'}}
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-09-2019,04:00:00,0.0,987.34,000,0.00,26.8,24.2,1000.45,30.18,10.00,86
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-09-2019,04:00:00,0.0,992.60,000,0.01,27.2,25.1,1001.87,31.77,11.00,88
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-09-2019,04:00:00,3.7,979.59,190,0.00,26.7,24.2,1001.16,30.26,8.00,86
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-09-2019,04:00:00,0.0,983.91,000,0.00,26.5,23.6,1001.34,29.08,10.00,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-09-2019,04:00:00,0.0,984.27,000,0.00,27.0,25.6,999.99,32.77,10.00,92
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-09-2019,04:00:00,1.9,981.42,190,0.30,27.0,23.3,1000.17,28.67,8.00,80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.80,08-09-2019,04:00:00,0.0,953.33,000,20.30,23.0,21.8,1004.89,26.09,5.00,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-09-2019,04:00:00,0.0,997.95,000,0.10,26.6,25.0,1001.89,31.71,5.00,91
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.50,08-09-2019,04:00:00,11.1,909.21,240,5.60,21.3,21.0,1004.09,24.84,2.00,98
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-09-2019,04:00:00,5.6,984.77,240,0.00,27.3,25.2,1000.64,31.97,7.00,88
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-09-2019,04:00:00,1.9,997.84,180,0.40,27.0,24.5,1001.85,30.83,9.00,87
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-09-2019,04:00:00,0.0,992.55,000,0.01,25.0,24.6,1003.25,30.85,6.00,97
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.10,08-09-2019,04:00:00,0.0,1000.51,000,9.30,25.5,23.7,1002.44,29.38,6.00,90
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-09-2019,04:00:00,9.3,980.55,230,0.00,26.6,22.8,1001.32,27.69,10.00,80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-09-2019,04:00:00,11.1,982.99,230,7.30,26.4,24.1,1000.57,29.97,10.00,87
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-09-2019,04:00:00,7.4,984.31,240,14.00,27.0,24.5,1000.37,30.83,10.00,87
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-09-2019,04:00:00,5.6,986.86,210,0.00,27.3,24.1,1000.79,30.04,10.00,83
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-09-2019,04:00:00,0.0,987.00,000,4.10,26.2,24.6,1001.79,30.94,8.00,91
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-09-2019,04:00:00,5.6,986.98,210,0.00,27.0,24.8,1001.57,31.38,10.00,88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-09-2019,04:00:00,0.0,999.10,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.80,27.3,24.1,1002.10,30.04,10.00,83
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-09-2019,04:00:00,0.0,993.90,000,0.01,26.7,23.9,1001.82,29.72,7.00,85
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.00,08-09-2019,04:00:00,11.1,1002.63,210,3.00,25.3,24.1,1003.74,30.07,5.00,93
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-09-2019,04:00:00,0.0,987.19,000,0.00,27.2,25.5,1001.79,32.61,8.00,90
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-09-2019,04:00:00,9.3,871.23,270,13.20,19.3,19.0,1006.19,21.93,.10,98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.20,08-09-2019,04:00:00,5.6,996.72,240,0.40,25.7,24.1,1002.60,30.01,10.00,91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.10,08-09-2019,04:00:00,0.0,1002.91,000,2.30,26.2,24.8,1003.71,31.22,8.00,92
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1.20,08-09-2019,04:00:00,0.0,1002.82,000,2.30,27.0,24.8,1003.26,31.38,10.00,88
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,6.00,08-09-2019,04:00:00,0.0,994.01,000,28.20,24.4,23.8,1005.39,29.49,3.00,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.10,08-09-2019,04:00:00,0.0,1002.31,000,0.70,25.7,24.4,1003.32,30.54,10.00,93
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,9.50,08-09-2019,04:00:00,5.6,1001.03,170,10.70,24.9,23.9,1002.86,29.61,7.00,94
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1.50,08-09-2019,04:00:00,0.0,1002.03,000,2.90,25.0,23.8,1002.80,29.52,3.00,93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-09-2019,04:00:00,5.6,1003.17,240,1.00,26.0,24.0,1003.87,29.76,10.00,89
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.01,08-09-2019,04:00:00,5.6,1002.46,270,0.50,26.8,24.3,1003.16,30.45,7.00,86
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-09-2019,04:00:00,11.1,980.83,280,0.01,27.1,21.7,1001.87,25.98,10.00,72
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-09-2019,04:00:00,5.6,984.82,230,0.00,27.0,23.2,1001.45,28.41,6.00,80
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-09-2019,04:00:00,3.7,985.62,270,0.00,27.0,23.3,1001.96,28.67,6.00,80
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-09-2019,04:00:00,3.7,980.45,270,0.01,27.4,22.2,1002.17,26.77,10.00,73
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-09-2019,04:00:00,22.2,959.77,240,14.70,23.5,22.3,1003.34,26.91,6.00,93
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-09-2019,04:00:00,5.6,981.22,270,0.00,27.0,22.6,1001.67,27.36,10.00,77
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-09-2019,04:00:00,11.1,982.10,250,0.00,26.4,23.6,1002.87,29.17,8.00,85
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.30,08-09-2019,04:00:00,0.0,1003.45,000,1.60,26.5,25.2,1003.88,32.07,10.00,93
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.40,08-09-2019,04:00:00,0.0,1001.60,000,0.40,25.9,24.7,1003.02,31.19,6.00,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-09-2019,04:00:00,0.0,998.45,000,0.00,26.0,25.3,1003.38,32.20,7.00,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1.20,08-09-2019,04:00:00,0.0,999.87,000,4.40,25.2,24.2,1003.17,30.15,10.00,94
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,2.30,08-09-2019,04:00:00,0.0,1002.37,000,2.50,25.1,24.5,1003.47,30.77,5.00,97
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-09-2019,04:00:00,0.0,1003.32,000,0.70,26.7,24.2,1003.62,30.26,10.00,86
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-09-2019,04:00:00,1.9,1003.18,260,0.30,26.0,24.4,1003.67,30.57,10.00,91
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,08-09-2019,04:00:00,9.3,1002.09,210,1.20,26.1,24.2,1003.50,30.22,10.00,89
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-09-2019,04:00:00,0.0,998.40,000,0.00,25.7,24.4,1006.44,30.54,10.00,93
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.40,08-09-2019,04:00:00,0.0,1002.91,000,2.40,26.5,25.8,1003.19,33.19,8.00,96
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-09-2019,04:00:00,0.0,1000.20,000,0.00,28.5,24.2,1003.30,30.15,10.00,78
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-09-2019,04:00:00,0.0,996.73,000,0.00,27.5,24.5,1003.63,30.70,10.00,84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-09-2019,04:00:00,5.6,996.76,310,0.01,27.0,24.1,1002.34,30.02,8.00,84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-09-2019,04:00:00,0.0,1002.65,000,2.90,24.8,24.4,1003.92,30.48,6.00,97
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.10,08-09-2019,04:00:00,0.0,1003.22,000,7.40,26.4,25.1,1003.65,31.88,11.00,93
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-09-2019,04:00:00,0.0,991.95,000,1.30,24.5,23.8,1004.28,29.41,8.00,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-09-2019,04:00:00,0.0,1003.40,000,1.20,26.2,25.0,1004.11,31.76,10.00,93
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-09-2019,04:00:00,5.6,1002.69,260,0.01,28.1,23.7,1005.11,29.38,10.00,77
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.10,08-09-2019,04:00:00,7.4,1003.14,330,0.40,28.3,25.3,1003.65,32.27,10.00,84
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-09-2019,04:00:00,0.0,998.29,000,0.30,26.9,23.8,1003.43,29.56,7.00,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.30,08-09-2019,04:00:00,0.0,1003.37,000,1.30,26.5,25.8,1003.79,33.19,7.00,96
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.20,08-09-2019,04:00:00,0.0,1001.40,000,2.00,26.0,25.1,1004.17,31.93,8.00,95
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-09-2019,04:00:00,0.0,1003.62,000,5.50,26.0,23.8,1004.41,29.50,10.00,88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,4.00,08-09-2019,04:00:00,9.3,1003.78,260,44.70,26.0,25.0,1004.24,31.65,4.00,94
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.50,08-09-2019,04:00:00,0.0,1004.48,000,10.30,26.4,25.0,1005.16,31.60,7.00,92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-09-2019,04:00:00,0.0,1003.72,000,10.20,24.6,23.7,1005.25,29.33,8.00,95
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,6.60,08-09-2019,04:00:00,7.4,1005.06,210,7.70,26.4,25.1,1005.98,31.88,7.00,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-09-2019,04:00:00,5.6,1004.21,270,0.20,28.0,24.1,1004.90,30.01,10.00,79
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.01,08-09-2019,04:00:00,0.0,1005.06,000,0.01,25.5,24.3,1005.86,30.44,8.00,93
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-09-2019,04:00:00,0.0,1003.86,000,0.00,27.8,23.4,1004.49,28.82,10.00,77
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,08-09-2019,04:00:00,7.4,1004.64,210,0.01,27.5,24.0,1005.04,29.88,10.00,81
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-09-2019,04:00:00,0.0,1003.42,000,0.00,27.6,22.7,1007.62,27.65,5.00,75
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-09-2019,04:00:00,0.0,1005.19,000,0.00,25.0,24.3,1006.81,30.32,8.00,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-09-2019,04:00:00,0.0,1002.97,000,0.00,25.7,24.7,1006.46,31.08,6.00,94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-09-2019,04:00:00,0.0,1003.92,000,0.00,28.0,24.7,1005.27,31.11,8.00,82
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-09-2019,04:00:00,11.1,1005.40,240,0.00,28.9,25.9,1006.28,33.49,10.00,84
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.20,08-09-2019,04:00:00,0.0,1002.45,000,1.00,26.3,24.9,1006.01,31.41,10.00,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-09-2019,04:00:00,9.3,1005.79,290,0.00,29.6,24.3,1006.22,30.35,10.00,73
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-09-2019,04:00:00,7.4,1005.15,250,0.00,29.5,25.2,1006.13,32.13,10.00,78
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-09-2019,04:00:00,27.8,1005.46,270,0.00,29.2,26.4,1006.27,34.41,10.00,85
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-09-2019,04:00:00,0.0,1004.41,000,0.00,26.5,25.1,1006.23,31.79,10.00,92
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-09-2019,04:00:00,5.6,1005.03,210,0.00,27.4,23.9,1005.78,29.69,10.00,81
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-09-2019,04:00:00,5.6,1002.17,240,0.00,26.9,24.4,1006.16,30.64,10.00,86
48570,SATUN,สตูล,สตูล,6.65000,100.08333,5.40,08-09-2019,04:00:00,0.0,1006.11,000,5.40,24.8,23.6,1006.80,29.16,10.00,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-09-2019,04:00:00,0.0,1005.24,000,0.00,26.6,24.1,1006.36,30.07,10.00,86
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-09-2019,04:00:00,0.0,1003.59,000,0.00,25.0,23.8,1006.52,29.52,10.00,93
