WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,LandVisibility,StationPressure,WindDirection,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-04-2019,01:00:00,25.8,23.5,87,4.00,988.81,000,0.00,0.0,1010.83,28.87
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-04-2019,01:00:00,22.9,21.8,94,6.00,967.71,000,0.30,0.0,1011.74,26.17
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-04-2019,01:00:00,25.5,24.3,93,6.00,989.88,000,0.20,0.0,1010.62,30.44
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-04-2019,01:00:00,25.5,24.9,97,6.00,991.40,220,0.00,9.3,1012.43,31.52
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-04-2019,01:00:00,25.7,24.4,93,10.00,1010.40,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.01,0.0,1010.84,30.54
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-04-2019,01:00:00,25.2,24.5,96,6.00,1009.47,000,8.20,0.0,1010.90,30.69
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-04-2019,01:00:00,25.6,25.0,97,7.00,1006.06,000,1.10,0.0,1011.04,31.71
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-04-2019,01:00:00,25.0,23.5,92,10.00,1007.92,000,1.80,0.0,1011.25,29.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-04-2019,01:00:00,24.2,22.7,91,10.00,1009.88,000,0.00,0.0,1011.00,27.60
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-04-2019,01:00:00,28.2,22.9,73,10.00,1010.76,290,0.00,9.3,1011.06,27.95
