WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,AirTemperature,Rainfall,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,VaporPressure,RelativeHumidity,WindSpeed
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.4,09-20-2019,13:00:00,991.57,33.5,0.00,030,0.50,1007.67,12.00,28.84,56,5.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.3,09-20-2019,13:00:00,984.03,30.0,0.00,210,1.20,1006.11,10.00,30.31,71,5.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.4,09-20-2019,13:00:00,995.03,28.4,4.80,000,41.10,1009.39,5.00,34.48,89,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.1,09-20-2019,13:00:00,992.95,26.5,32.20,120,32.20,1009.39,7.00,31.79,92,7.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.8,09-20-2019,13:00:00,1003.42,27.0,4.10,100,10.10,1008.66,5.00,31.38,88,7.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.1,09-20-2019,13:00:00,993.45,32.2,0.00,000,2.50,1006.41,12.00,33.72,70,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.7,09-20-2019,13:00:00,999.33,30.2,7.00,130,15.60,1008.56,6.00,33.00,77,5.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.1,09-20-2019,13:00:00,986.22,32.5,0.00,090,0.70,1007.53,12.00,28.25,58,9.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.7,09-20-2019,13:00:00,990.82,32.0,0.00,040,0.00,1008.05,12.00,32.99,69,3.7
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.7,09-20-2019,13:00:00,991.24,33.0,0.00,090,2.20,1006.76,12.00,29.25,58,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.4,09-20-2019,13:00:00,988.54,31.2,0.00,000,0.80,1007.16,10.00,32.47,71,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.5,09-20-2019,13:00:00,956.45,26.0,2.20,000,6.50,1007.65,10.00,28.97,86,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.7,09-20-2019,13:00:00,1004.24,29.5,0.00,180,41.90,1008.17,10.00,33.00,80,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.9,09-20-2019,13:00:00,914.23,25.5,0.10,070,5.80,1008.24,8.00,24.78,76,22.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.3,09-20-2019,13:00:00,991.98,31.8,0.00,090,3.30,1007.72,8.00,32.27,69,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,09-20-2019,13:00:00,1004.74,28.2,0.30,070,68.80,1008.77,9.00,32.92,86,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.0,09-20-2019,13:00:00,997.74,29.7,0.00,020,7.00,1008.33,8.00,31.68,76,5.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.2,09-20-2019,13:00:00,1006.74,29.5,0.00,000,24.50,1008.66,9.00,32.13,78,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.5,09-20-2019,13:00:00,987.81,29.9,0.00,040,134.00,1008.50,10.00,29.00,69,11.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.8,09-20-2019,13:00:00,989.92,30.5,0.60,000,41.50,1007.39,10.00,31.31,72,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.8,09-20-2019,13:00:00,991.13,31.1,0.00,240,37.30,1007.07,10.00,31.39,69,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.3,09-20-2019,13:00:00,994.05,28.2,9.60,150,36.20,1008.05,10.00,30.40,80,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.4,09-20-2019,13:00:00,993.92,28.0,18.40,000,46.20,1008.73,10.00,30.56,81,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.3,09-20-2019,13:00:00,994.47,26.4,4.00,000,15.10,1009.20,6.00,32.15,93,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.0,09-20-2019,13:00:00,1005.75,28.8,0.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",8.80,1008.76,8.00,33.57,85,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.4,09-20-2019,13:00:00,999.94,30.3,0.01,000,7.80,1007.81,10.00,30.62,71,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.7,09-20-2019,13:00:00,1006.62,31.0,0.00,070,3.30,1007.71,8.00,32.93,73,1.9
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,21.8,09-20-2019,13:00:00,993.91,28.5,0.00,000,11.80,1008.54,8.00,26.13,67,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.8,09-20-2019,13:00:00,1002.12,31.4,0.01,000,2.00,1007.92,10.00,33.19,72,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.6,09-20-2019,13:00:00,1007.41,30.5,11.70,230,13.30,1008.21,8.00,32.75,75,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.4,09-20-2019,13:00:00,1007.25,30.8,0.30,210,81.50,1007.69,10.00,32.51,73,3.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.2,09-20-2019,13:00:00,997.01,30.6,0.00,000,27.60,1008.19,10.00,28.42,65,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.7,09-20-2019,13:00:00,1007.15,30.8,0.00,000,47.00,1008.15,12.00,33.09,75,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.4,09-20-2019,13:00:00,1006.29,30.5,0.00,000,15.80,1008.09,7.00,32.46,74,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.5,09-20-2019,13:00:00,1007.15,30.9,0.00,000,0.70,1007.91,9.00,30.70,69,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.6,09-20-2019,13:00:00,1007.39,29.3,0.00,210,0.40,1008.09,9.00,30.88,76,11.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.4,09-20-2019,13:00:00,1007.27,31.9,0.00,310,38.20,1007.96,7.00,32.48,69,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.8,09-20-2019,13:00:00,987.22,30.6,0.00,240,8.90,1008.14,10.00,29.53,67,5.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.3,09-20-2019,13:00:00,991.41,26.9,6.00,000,67.90,1008.15,6.00,32.30,91,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.3,09-20-2019,13:00:00,991.99,27.7,1.60,140,93.10,1008.40,5.00,32.20,87,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.5,09-20-2019,13:00:00,986.52,30.6,0.00,350,5.50,1008.14,10.00,30.66,70,3.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.6,09-20-2019,13:00:00,965.02,30.1,0.00,330,0.50,1007.86,12.00,27.47,64,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.1,09-20-2019,13:00:00,987.54,30.3,0.00,240,0.40,1007.89,12.00,30.06,70,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.7,09-20-2019,13:00:00,988.99,28.0,0.00,010,71.00,1009.79,10.00,33.08,88,9.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.8,09-20-2019,13:00:00,1007.70,30.1,0.00,170,5.60,1008.13,10.00,31.35,73,9.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.7,09-20-2019,13:00:00,1006.50,32.5,0.00,250,2.10,1007.90,11.00,31.11,64,3.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.1,09-20-2019,13:00:00,1003.18,31.0,0.00,000,2.10,1008.05,8.00,33.81,75,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.0,09-20-2019,13:00:00,1004.81,31.7,0.00,340,0.30,1008.05,9.00,31.77,68,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.4,09-20-2019,13:00:00,1007.23,31.0,0.00,000,0.00,1008.32,10.00,32.34,72,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.9,09-20-2019,13:00:00,1007.98,28.5,0.01,000,52.20,1008.28,9.00,31.54,81,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.5,09-20-2019,13:00:00,1007.15,29.0,1.30,250,63.50,1007.84,8.00,32.55,81,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.9,09-20-2019,13:00:00,1007.77,28.6,5.40,000,59.80,1008.26,10.00,31.46,80,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.6,09-20-2019,13:00:00,1006.88,30.3,0.00,050,3.80,1008.28,8.00,32.92,76,7.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.7,09-20-2019,13:00:00,1006.97,27.5,2.90,000,67.00,1008.65,8.00,32.93,90,0.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.0,09-20-2019,13:00:00,1001.95,30.5,0.00,000,0.01,1009.89,10.00,29.89,68,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.5,09-20-2019,13:00:00,1007.59,30.7,0.00,270,34.70,1007.87,10.00,32.59,74,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.2,09-20-2019,13:00:00,1005.16,29.5,0.00,300,29.10,1008.27,10.00,32.13,78,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.5,09-20-2019,13:00:00,1001.60,27.9,0.30,300,4.40,1008.53,10.00,32.60,87,9.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.5,09-20-2019,13:00:00,1002.69,31.0,0.10,000,4.00,1008.22,10.00,32.63,73,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,26.2,09-20-2019,13:00:00,1002.05,29.0,0.00,280,4.30,1011.34,10.00,33.99,85,7.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.1,09-20-2019,13:00:00,1008.01,31.0,0.00,140,25.00,1009.26,6.00,30.05,67,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.2,09-20-2019,13:00:00,1007.78,31.8,0.00,000,0.00,1008.21,11.00,34.05,72,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.2,09-20-2019,13:00:00,996.01,28.5,0.30,230,28.00,1008.22,8.00,32.10,83,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.4,09-20-2019,13:00:00,1007.52,31.2,0.00,060,0.00,1008.22,10.00,32.47,71,7.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.5,09-20-2019,13:00:00,1005.78,30.0,0.00,220,43.00,1008.20,10.00,32.59,77,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.1,09-20-2019,13:00:00,1008.31,28.9,0.00,250,51.10,1008.83,10.00,31.77,80,11.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.4,09-20-2019,13:00:00,1003.07,29.7,0.00,210,3.70,1008.18,10.00,30.55,73,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,09-20-2019,13:00:00,1008.26,26.2,33.30,000,80.60,1008.67,8.00,32.04,94,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.6,09-20-2019,13:00:00,1006.39,26.0,43.10,000,104.50,1009.18,8.00,30.84,92,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.2,09-20-2019,13:00:00,1007.93,26.7,14.20,000,14.20,1008.72,4.00,30.26,86,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.5,09-20-2019,13:00:00,1009.10,27.2,3.60,180,24.50,1009.56,6.00,32.61,90,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.0,09-20-2019,13:00:00,1008.22,31.7,0.01,260,0.50,1008.89,10.00,28.07,60,5.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.5,09-20-2019,13:00:00,1007.76,32.4,0.00,270,0.20,1009.27,10.00,28.89,59,11.1
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,22.8,09-20-2019,13:00:00,1009.56,31.5,0.00,240,12.40,1010.47,10.00,27.68,60,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.0,09-20-2019,13:00:00,1009.17,29.7,0.00,200,0.00,1009.85,1000.00,31.68,76,9.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.7,09-20-2019,13:00:00,1008.97,32.2,0.00,210,0.00,1009.75,10.00,31.06,65,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.4,09-20-2019,13:00:00,1007.80,31.0,0.00,090,0.00,1008.43,8.00,32.34,72,9.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.5,09-20-2019,13:00:00,1008.72,30.7,0.60,000,47.70,1009.12,10.00,36.78,83,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.7,09-20-2019,13:00:00,1006.88,32.2,0.00,250,0.00,1011.03,8.00,27.66,58,11.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.0,09-20-2019,13:00:00,1007.91,32.8,0.00,210,1.00,1009.49,10.00,28.00,56,7.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.7,09-20-2019,13:00:00,1006.14,33.0,0.00,180,4.10,1009.55,12.00,29.25,58,7.4
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.8,09-20-2019,13:00:00,1008.16,30.0,0.01,110,12.30,1009.50,7.00,33.17,78,11.1
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.7,09-20-2019,13:00:00,1009.57,30.8,0.00,270,1.60,1010.45,10.00,33.09,75,11.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.4,09-20-2019,13:00:00,1006.34,31.4,0.00,210,2.30,1009.86,10.00,30.57,67,7.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.9,09-20-2019,13:00:00,1009.49,32.0,0.00,000,0.00,1009.92,10.00,31.52,66,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.2,09-20-2019,13:00:00,1008.85,30.1,0.00,300,0.00,1009.83,10.00,30.22,71,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.4,09-20-2019,13:00:00,1009.14,30.8,0.00,270,0.00,1009.95,10.00,32.51,73,9.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.1,09-20-2019,13:00:00,1008.19,28.2,2.60,170,2.60,1010.00,6.00,31.79,83,7.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,22.7,09-20-2019,13:00:00,1009.14,29.9,0.00,260,0.01,1009.88,8.00,27.63,66,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.1,09-20-2019,13:00:00,1006.26,28.6,0.20,240,0.20,1010.25,10.00,30.07,77,9.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.4,09-20-2019,13:00:00,1009.27,28.8,0.20,170,0.20,1009.95,5.00,32.42,82,7.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.3,09-20-2019,13:00:00,1008.64,29.3,0.00,230,0.00,1009.75,10.00,30.32,74,11.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.1,09-20-2019,13:00:00,1007.33,30.0,0.00,230,0.00,1010.23,7.00,30.03,71,11.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.0,09-20-2019,13:00:00,1009.42,31.8,0.00,220,30.90,1010.10,7.00,31.68,67,7.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.1,09-20-2019,13:00:00,1005.63,32.4,0.00,180,0.40,1009.69,4.00,28.33,58,7.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.6,09-20-2019,13:00:00,1009.55,27.5,21.90,000,21.90,1010.14,5.00,30.97,84,0.0
