WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,StationPressure,DewPoint,VaporPressure,LandVisibility
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,08-14-2019,04:00:00,230,4.80,0.00,1006.41,26.5,86,984.67,24.0,29.89,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,08-14-2019,04:00:00,000,6.20,0.00,1005.49,26.5,88,986.01,24.3,30.43,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-14-2019,04:00:00,000,17.20,0.60,1006.45,25.7,97,989.65,25.1,31.90,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-14-2019,04:00:00,000,24.80,0.00,1006.67,25.5,97,989.19,24.9,31.52,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-14-2019,04:00:00,000,1.40,0.00,1005.52,26.1,99,979.72,25.9,33.51,8.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,08-14-2019,04:00:00,000,3.40,0.00,1006.69,25.5,100,1000.87,25.5,32.62,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-14-2019,04:00:00,000,2.70,0.00,1007.29,25.6,97,1001.07,25.2,31.98,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-14-2019,04:00:00,000,3.40,0.00,1007.62,25.0,90,991.07,23.2,28.48,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-14-2019,04:00:00,000,8.50,0.50,1006.59,25.0,96,984.14,24.3,30.32,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,08-14-2019,04:00:00,000,8.20,0.00,1007.49,27.7,78,993.13,23.5,28.90,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-14-2019,04:00:00,000,1.50,0.00,1007.17,27.5,93,990.82,26.2,34.07,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-14-2019,04:00:00,000,8.60,0.00,1007.45,25.4,92,1002.19,24.1,29.99,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-14-2019,04:00:00,000,6.20,0.00,1006.03,25.0,92,992.76,23.5,29.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,08-14-2019,04:00:00,000,33.20,0.00,1007.15,25.3,99,997.77,25.1,31.96,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,08-14-2019,04:00:00,200,1.70,0.00,1006.27,26.0,85,984.54,23.2,28.44,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,08-14-2019,04:00:00,000,0.30,0.00,1005.50,26.3,82,987.99,22.9,27.93,7.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,5.6,08-14-2019,04:00:00,240,4.20,0.00,1005.70,26.0,92,989.84,24.6,30.84,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,08-14-2019,04:00:00,190,1.30,0.00,1005.47,26.6,84,986.60,23.7,29.27,7.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-14-2019,04:00:00,000,16.10,1.10,1007.88,23.3,93,956.22,22.1,26.58,4.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,08-14-2019,04:00:00,090,1.60,0.00,1007.18,25.5,96,1003.20,24.8,31.25,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,14.8,08-14-2019,04:00:00,270,2.70,0.00,1007.82,21.5,95,912.65,20.7,24.44,3.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.6,08-14-2019,04:00:00,220,3.50,0.20,1006.51,25.5,97,990.45,25.1,31.79,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,08-14-2019,04:00:00,000,0.40,0.00,1007.14,26.8,88,1003.11,24.6,31.00,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-14-2019,04:00:00,000,2.90,0.00,1008.61,25.6,95,997.87,24.7,31.17,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,08-14-2019,04:00:00,000,1.10,0.00,1007.58,26.0,92,1005.65,24.6,30.84,7.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,08-14-2019,04:00:00,000,0.70,0.00,1007.17,25.2,92,986.18,23.9,29.62,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,11.1,08-14-2019,04:00:00,220,2.40,0.01,1006.33,25.1,95,988.57,24.2,30.23,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,08-14-2019,04:00:00,200,2.90,1.00,1006.24,25.3,97,990.00,24.9,31.41,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,08-14-2019,04:00:00,220,0.70,0.01,1007.44,25.7,93,993.34,24.5,30.81,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-14-2019,04:00:00,000,0.60,0.00,1008.03,25.5,92,993.12,24.0,29.91,7.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,08-14-2019,04:00:00,000,3.00,0.10,1008.40,25.1,99,993.62,24.9,31.58,4.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-14-2019,04:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1.00,0.00,1006.83,26.5,90,1003.81,24.8,31.24,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-14-2019,04:00:00,000,6.40,0.00,1007.48,25.5,93,999.48,24.3,30.44,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,08-14-2019,04:00:00,210,3.90,0.00,1008.71,26.5,93,1007.60,25.4,32.35,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,08-14-2019,04:00:00,100,1.50,0.00,1006.10,26.5,88,991.41,24.3,30.43,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,08-14-2019,04:00:00,280,8.40,0.60,1009.45,19.4,99,874.10,19.2,22.28,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,08-14-2019,04:00:00,180,0.40,0.40,1007.92,26.1,94,1002.02,25.1,31.85,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.7,08-14-2019,04:00:00,240,2.40,1.20,1009.69,27.5,88,1008.89,25.4,32.36,7.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,08-14-2019,04:00:00,210,0.00,0.00,1005.76,29.0,81,1005.32,25.5,32.55,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-14-2019,04:00:00,000,12.30,0.50,1009.18,25.0,92,997.78,23.5,29.00,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,08-14-2019,04:00:00,180,0.40,0.00,1008.11,26.5,88,1007.10,24.3,30.43,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,08-14-2019,04:00:00,000,7.40,0.00,1007.91,26.3,95,1006.08,25.4,32.51,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-14-2019,04:00:00,000,0.60,0.00,1007.83,26.2,91,1007.06,24.6,30.94,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,08-14-2019,04:00:00,230,0.01,0.00,1008.43,27.2,86,1007.72,24.6,30.94,10.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,08-14-2019,04:00:00,000,3.90,0.10,1008.33,25.8,93,987.07,24.6,31.00,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-14-2019,04:00:00,000,34.50,0.00,1007.56,24.9,95,990.72,24.0,29.87,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,08-14-2019,04:00:00,000,41.00,0.00,1008.17,25.3,97,991.63,24.9,31.41,5.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-14-2019,04:00:00,000,16.50,2.00,1007.39,25.5,96,985.42,24.8,31.25,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,08-14-2019,04:00:00,000,5.00,0.00,1008.00,24.4,91,964.36,22.9,27.94,9.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,08-14-2019,04:00:00,000,18.40,0.00,1007.52,25.6,98,986.86,25.3,32.26,7.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,11.1,08-14-2019,04:00:00,200,0.20,0.00,1008.90,25.2,100,987.92,25.2,32.04,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,7.4,08-14-2019,04:00:00,250,5.60,0.01,1008.05,27.5,84,1007.62,24.6,30.97,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-14-2019,04:00:00,000,9.20,0.40,1007.94,26.5,96,1006.52,25.8,33.19,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-14-2019,04:00:00,000,1.20,0.40,1008.11,26.0,98,1003.15,25.7,33.04,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,08-14-2019,04:00:00,000,1.20,0.00,1008.38,26.5,88,1005.08,24.3,30.43,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-14-2019,04:00:00,000,0.20,0.01,1008.18,26.4,92,1007.07,25.0,31.60,8.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,08-14-2019,04:00:00,000,0.10,0.00,1008.05,27.8,86,1007.75,25.2,32.12,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,08-14-2019,04:00:00,000,0.00,0.00,1008.46,27.2,84,1007.97,24.3,30.39,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,08-14-2019,04:00:00,240,0.40,0.20,1008.04,27.3,89,1006.64,25.3,32.25,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-14-2019,04:00:00,000,1.30,0.40,1009.63,26.0,96,1001.57,25.3,32.20,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-14-2019,04:00:00,000,0.00,0.00,1007.91,29.0,81,1007.63,25.5,32.55,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,08-14-2019,04:00:00,200,0.00,0.00,1007.60,28.7,80,1004.48,24.8,31.38,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,13.0,08-14-2019,04:00:00,240,0.00,0.00,1008.42,28.0,81,1001.50,24.4,30.56,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,08-14-2019,04:00:00,000,0.70,0.20,1008.44,26.3,96,1002.82,25.6,32.79,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-14-2019,04:00:00,000,0.01,0.01,1009.41,26.0,92,1008.14,24.6,30.84,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,08-14-2019,04:00:00,000,9.10,0.00,1008.28,26.6,83,1007.85,23.5,29.00,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-14-2019,04:00:00,000,0.70,0.00,1009.08,24.7,92,996.70,23.4,28.72,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,08-14-2019,04:00:00,000,0.00,0.00,1008.88,26.8,80,1008.17,23.1,28.31,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,08-14-2019,04:00:00,230,0.00,0.00,1009.06,28.6,75,1006.63,23.8,29.52,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,13.0,08-14-2019,04:00:00,310,0.00,0.00,1008.93,28.8,80,1008.42,25.1,31.86,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,08-14-2019,04:00:00,000,0.01,0.00,1008.61,27.4,83,1003.45,24.2,30.23,7.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-14-2019,04:00:00,000,4.90,0.00,1008.75,27.3,91,1008.34,25.7,33.09,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-14-2019,04:00:00,000,3.60,0.00,1008.92,25.8,95,1006.13,24.9,31.55,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,3.7,08-14-2019,04:00:00,270,0.00,0.00,1009.32,25.4,87,1008.53,23.0,28.15,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,08-14-2019,04:00:00,070,18.80,0.00,1009.32,25.0,97,1008.86,24.6,30.85,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-14-2019,04:00:00,000,6.00,0.00,1009.75,25.0,94,1009.06,24.0,29.79,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,08-14-2019,04:00:00,000,12.60,0.00,1009.45,25.0,96,1007.91,24.3,30.32,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,3.7,08-14-2019,04:00:00,200,24.80,0.30,1009.94,26.2,93,1009.02,25.0,31.76,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-14-2019,04:00:00,000,0.00,0.00,1009.60,27.3,84,1008.91,24.3,30.31,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-14-2019,04:00:00,000,15.60,0.00,1009.81,23.8,98,1009.00,23.5,28.95,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-14-2019,04:00:00,000,0.00,0.00,1009.80,26.0,93,1009.17,24.8,31.38,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-14-2019,04:00:00,000,0.00,0.00,1009.96,26.0,92,1009.55,24.6,30.84,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-14-2019,04:00:00,000,0.01,0.00,1011.39,24.5,96,1007.12,23.8,29.41,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-14-2019,04:00:00,000,0.00,0.00,1008.48,24.4,98,1006.85,24.1,30.02,5.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-14-2019,04:00:00,000,0.20,0.00,1010.52,24.8,93,1007.01,23.6,29.16,6.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-14-2019,04:00:00,000,1.80,0.00,1009.88,25.2,95,1008.51,24.3,30.42,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-14-2019,04:00:00,000,0.10,0.00,1009.65,28.0,85,1008.76,25.1,31.95,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-14-2019,04:00:00,000,0.00,0.00,1009.83,25.0,96,1006.24,24.3,30.32,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-14-2019,04:00:00,000,0.00,0.00,1010.44,28.5,78,1010.00,24.2,30.15,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,08-14-2019,04:00:00,000,32.80,0.00,1007.66,29.1,73,1006.67,23.7,29.38,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,22.2,08-14-2019,04:00:00,270,0.00,0.00,1009.30,29.0,79,1008.49,25.0,31.69,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-14-2019,04:00:00,000,0.00,0.00,1010.06,26.0,93,1008.23,24.8,31.38,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,08-14-2019,04:00:00,000,0.01,0.00,1010.10,27.2,87,1009.35,24.8,31.22,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,08-14-2019,04:00:00,000,0.01,0.00,1010.52,25.3,97,1006.49,24.9,31.41,7.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-14-2019,04:00:00,000,0.00,0.00,1010.41,25.6,91,1009.72,24.0,29.82,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-14-2019,04:00:00,000,0.00,0.00,1010.58,25.7,95,1009.46,24.8,31.36,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-14-2019,04:00:00,000,0.00,0.00,1010.55,25.3,95,1007.60,24.4,30.60,10.00
