WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,MeanSeaLevelPressure,VaporPressure,LandVisibility,RelativeHumidity,WindSpeed,WindDirection,Rainfall24Hr,MinimumTemperature,StationPressure,DewPoint
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-10-2019,07:00:00,25.2,1009.10,30.15,9.00,94,0.0,000,47.60,24.3,994.15,24.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-10-2019,07:00:00,26.4,1009.03,30.51,8.00,89,7.4,240,6.40,24.8,994.30,24.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-10-2019,07:00:00,26.6,1007.58,29.54,10.00,85,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,25.3,1004.55,23.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-10-2019,07:00:00,26.0,1008.28,29.50,10.00,88,0.0,000,3.40,26.0,1000.29,23.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-10-2019,07:00:00,26.2,1008.71,29.86,8.00,88,0.0,000,0.00,24.8,1007.60,24.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-10-2019,07:00:00,26.0,1008.12,30.84,8.00,92,0.0,000,1.30,25.5,993.37,24.6
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},0.00,07-10-2019,07:00:00,18.7,1009.79,21.11,.10,98,1.9,090,0.20,17.8,874.10,18.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-10-2019,07:00:00,25.7,1008.70,30.54,8.00,93,3.7,180,0.00,24.6,1002.79,24.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-10-2019,07:00:00,26.3,1008.84,33.35,7.00,98,0.0,000,11.10,25.4,1008.03,25.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-10-2019,07:00:00,28.5,1008.59,29.60,10.00,76,9.3,240,17.00,24.5,1008.15,23.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-10-2019,07:00:00,24.5,1009.73,29.41,4.00,96,0.0,000,10.20,24.0,998.30,23.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-10-2019,07:00:00,27.2,1008.98,28.51,10.00,79,0.0,000,0.00,26.0,1007.97,23.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-10-2019,07:00:00,25.5,1008.39,29.91,7.00,92,7.4,160,1.80,25.5,1006.56,24.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-10-2019,07:00:00,25.5,1009.12,29.91,8.00,92,0.0,000,0.00,24.6,1008.35,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-10-2019,07:00:00,27.0,1009.35,31.11,10.00,87,5.6,210,18.80,23.9,1008.65,24.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-10-2019,07:00:00,25.9,1009.12,30.38,7.00,91,3.7,120,0.00,25.0,1008.41,24.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-10-2019,07:00:00,26.4,1008.63,28.11,10.00,82,3.7,280,0.00,25.5,987.40,23.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-10-2019,07:00:00,25.8,1008.72,29.66,6.00,89,0.0,000,6.70,24.6,991.92,23.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-10-2019,07:00:00,25.5,1008.89,29.91,6.00,92,1.9,190,10.60,24.0,992.34,24.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-10-2019,07:00:00,25.5,1008.77,27.29,10.00,84,0.0,000,0.00,24.7,986.77,22.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-10-2019,07:00:00,26.0,1008.84,23.38,15.00,70,13.0,240,0.00,25.3,965.38,20.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-10-2019,07:00:00,26.0,1008.26,27.40,10.00,82,3.7,180,0.00,24.6,987.61,22.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-10-2019,07:00:00,25.6,1009.77,30.09,8.00,92,13.0,220,1.60,24.9,988.80,24.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-10-2019,07:00:00,28.0,1009.08,29.46,10.00,78,3.7,260,0.10,27.5,1008.65,23.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-10-2019,07:00:00,24.9,1009.02,30.67,.90,97,0.0,000,3.50,24.2,1007.60,24.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-10-2019,07:00:00,24.6,1009.15,30.65,6.00,99,0.0,000,42.90,24.3,1004.17,24.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-10-2019,07:00:00,26.4,1009.10,28.37,10.00,82,0.0,000,0.00,24.4,1005.79,23.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-10-2019,07:00:00,25.6,1009.05,29.82,10.00,91,3.7,210,0.00,24.7,1007.94,24.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-10-2019,07:00:00,26.4,1009.07,31.88,9.00,93,0.0,000,20.10,25.2,1008.77,25.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.70,07-10-2019,07:00:00,26.0,1008.92,33.32,10.00,99,0.0,000,13.10,25.9,1008.23,25.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-10-2019,07:00:00,26.2,1009.14,28.01,10.00,82,0.0,000,16.40,25.2,1008.65,23.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-10-2019,07:00:00,27.3,1009.00,30.04,10.00,83,13.0,180,8.80,26.1,1007.59,24.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.90,07-10-2019,07:00:00,29.5,1009.13,27.15,10.00,66,22.2,210,0.90,23.9,1007.46,22.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-10-2019,07:00:00,25.0,1011.02,30.58,10.00,97,0.0,000,0.00,24.2,1002.93,24.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-10-2019,07:00:00,26.8,1008.81,32.94,10.00,94,0.0,000,2.00,25.9,1008.52,25.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-10-2019,07:00:00,28.5,1008.92,28.78,10.00,74,0.0,000,0.00,25.5,1005.80,23.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-10-2019,07:00:00,28.2,1008.96,29.03,10.00,76,5.6,240,0.00,27.2,1002.03,23.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-10-2019,07:00:00,26.0,1008.74,30.84,8.00,92,0.0,000,0.00,25.0,1003.12,24.6
