WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,Rainfall,WindDirection,RelativeHumidity,DewPoint,StationPressure,VaporPressure,WindSpeed,MeanSeaLevelPressure,AirTemperature
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-21-2019,13:00:00,10.00,0.00,180,59,22.7,983.06,27.60,11.1,1004.36,31.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.20,08-21-2019,13:00:00,12.00,0.00,250,61,23.9,987.43,29.66,9.3,1004.58,32.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,19.60,08-21-2019,13:00:00,12.00,0.00,000,72,24.8,989.13,31.31,0.0,1004.75,30.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-21-2019,13:00:00,10.00,0.00,280,60,23.7,985.05,29.30,3.7,1003.52,32.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.40,08-21-2019,13:00:00,10.00,0.00,000,80,22.3,953.75,26.88,0.0,1004.81,26.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,08-21-2019,13:00:00,10.00,0.00,180,70,24.9,1000.85,31.47,13.0,1004.75,31.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.10,08-21-2019,13:00:00,6.00,0.01,240,85,22.2,910.90,26.77,14.8,1004.76,24.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,41.70,08-21-2019,13:00:00,10.00,0.00,250,71,25.4,989.26,32.47,3.7,1004.99,31.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,50.20,08-21-2019,13:00:00,12.00,0.00,200,66,25.1,1001.13,31.94,7.4,1005.09,32.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.40,08-21-2019,13:00:00,10.00,0.00,200,63,23.6,995.66,29.07,3.7,1006.17,31.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-21-2019,13:00:00,13.00,0.00,180,57,23.2,1003.93,28.36,3.7,1005.82,32.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.60,08-21-2019,13:00:00,10.00,0.00,210,61,22.7,984.74,27.65,9.3,1005.28,31.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,3.60,08-21-2019,13:00:00,10.00,0.00,270,68,24.8,987.67,31.35,18.5,1005.04,31.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,2.80,08-21-2019,13:00:00,10.00,0.00,200,65,24.3,988.70,30.41,13.0,1004.58,31.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,8.90,08-21-2019,13:00:00,10.00,0.00,190,64,24.5,991.62,30.65,11.1,1005.40,32.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,36.10,08-21-2019,13:00:00,10.00,0.00,170,67,24.8,991.93,31.27,9.3,1006.52,31.6
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.10,08-21-2019,13:00:00,10.00,0.00,210,67,25.3,990.97,32.23,14.8,1005.36,32.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.20,08-21-2019,13:00:00,10.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",57,22.8,1002.13,27.77,0.0,1005.09,32.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,48.50,08-21-2019,13:00:00,10.00,0.00,000,64,24.2,997.13,30.16,0.0,1004.93,31.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,12.60,08-21-2019,13:00:00,8.00,0.00,250,60,24.2,1004.63,30.11,20.4,1005.72,33.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,6.70,08-21-2019,13:00:00,8.00,0.00,000,56,22.0,991.37,26.45,0.0,1005.80,32.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,67.60,08-21-2019,13:00:00,4.00,0.00,210,98,20.5,872.90,24.08,5.6,1007.39,20.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,14.60,08-21-2019,13:00:00,10.00,0.00,200,64,24.7,999.57,31.19,7.4,1005.34,32.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.30,08-21-2019,13:00:00,12.00,0.00,250,55,23.5,1005.44,29.00,9.3,1006.23,34.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,2.40,08-21-2019,13:00:00,10.00,0.00,210,67,24.5,1006.12,30.77,14.8,1006.56,31.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,20.30,08-21-2019,13:00:00,6.00,4.60,000,85,25.1,995.76,31.95,0.0,1007.02,28.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,13.10,08-21-2019,13:00:00,12.00,0.00,200,60,24.2,1005.08,30.11,13.0,1006.07,33.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.00,08-21-2019,13:00:00,12.00,0.00,200,50,21.8,1004.05,26.04,11.1,1005.84,33.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,08-21-2019,13:00:00,9.00,0.01,000,56,22.9,1004.96,27.92,0.0,1005.71,32.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.20,08-21-2019,13:00:00,10.00,0.00,180,63,23.8,1005.73,29.47,13.0,1006.43,31.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,91.30,08-21-2019,13:00:00,9.00,0.20,240,61,24.5,1005.22,30.82,5.6,1005.91,33.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.80,08-21-2019,13:00:00,10.00,0.00,300,54,23.2,983.91,28.39,9.3,1004.55,33.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.50,08-21-2019,13:00:00,11.00,0.00,210,67,24.2,989.25,30.25,7.4,1005.72,31.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,16.90,08-21-2019,13:00:00,9.00,0.00,180,67,25.3,989.97,32.23,9.3,1006.11,32.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,16.00,08-21-2019,13:00:00,10.00,0.00,270,60,24.3,983.44,30.40,3.7,1004.82,33.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,15.30,08-21-2019,13:00:00,15.00,0.00,250,65,22.9,961.76,27.93,25.9,1004.44,30.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.60,08-21-2019,13:00:00,12.00,0.00,270,49,22.1,984.76,26.60,14.8,1004.78,34.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.20,08-21-2019,13:00:00,10.00,0.00,220,69,26.2,986.42,33.99,16.7,1006.85,32.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.50,08-21-2019,13:00:00,10.00,0.00,150,59,22.6,1006.08,27.41,16.7,1006.51,31.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,21.60,08-21-2019,13:00:00,11.00,0.00,250,68,25.9,1003.46,33.47,3.7,1004.85,32.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,51.20,08-21-2019,13:00:00,9.00,0.00,000,66,25.8,1001.06,33.14,0.0,1005.89,32.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-21-2019,13:00:00,12.00,0.00,250,55,22.8,1002.98,27.75,7.4,1006.21,33.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,9.50,08-21-2019,13:00:00,10.00,0.00,210,65,25.0,1005.51,31.69,3.7,1006.60,32.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,12.60,08-21-2019,13:00:00,10.00,0.00,210,61,23.4,1006.35,28.74,13.0,1006.64,31.9
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.80,08-21-2019,13:00:00,12.00,0.00,190,57,23.8,1005.74,29.41,5.6,1006.41,33.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,11.50,08-21-2019,13:00:00,10.00,0.00,150,58,23.3,1005.44,28.53,3.7,1005.92,32.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,2.20,08-21-2019,13:00:00,10.00,0.00,240,55,22.5,1004.82,27.25,22.2,1006.21,32.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,8.30,08-21-2019,13:00:00,12.00,0.00,210,80,25.7,1005.25,33.00,18.5,1006.92,29.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.90,08-21-2019,13:00:00,10.00,0.00,230,62,24.2,1000.10,30.24,3.7,1007.97,32.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.01,08-21-2019,13:00:00,12.00,0.00,240,60,24.3,1006.06,30.45,11.1,1006.33,33.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,7.20,08-21-2019,13:00:00,12.00,0.00,300,69,24.6,1003.70,30.90,5.6,1006.79,31.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,6.20,08-21-2019,13:00:00,12.00,0.00,240,71,24.7,1000.05,31.03,13.0,1006.91,30.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.80,08-21-2019,13:00:00,8.00,0.00,250,58,24.1,1000.51,29.99,7.4,1005.99,33.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,3.20,08-21-2019,13:00:00,12.00,0.00,240,71,25.3,996.87,32.18,11.1,1006.04,31.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,5.40,08-21-2019,13:00:00,14.00,0.00,180,67,25.1,1006.15,31.89,7.4,1007.39,31.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.20,08-21-2019,13:00:00,11.00,0.00,170,70,26.2,1006.34,34.07,18.5,1006.77,32.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-21-2019,13:00:00,10.00,0.00,350,59,22.8,994.73,27.79,7.4,1006.80,31.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.90,08-21-2019,13:00:00,10.00,0.00,120,65,24.2,1006.44,30.12,5.6,1007.14,31.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-21-2019,13:00:00,10.00,0.00,210,57,23.8,1004.85,29.41,5.6,1007.23,33.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,08-21-2019,13:00:00,10.00,0.00,240,74,25.8,1007.30,33.22,13.0,1007.81,31.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.20,08-21-2019,13:00:00,12.00,0.00,120,67,24.3,1001.79,30.45,5.6,1006.88,31.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,4.10,08-21-2019,13:00:00,10.00,3.50,200,85,27.2,1006.85,36.14,11.1,1007.26,30.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,9.10,08-21-2019,13:00:00,8.00,9.10,000,90,25.5,1005.23,32.61,0.0,1008.00,27.2
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-21-2019,13:00:00,10.00,0.00,260,51,23.4,1007.03,28.76,5.6,1007.79,35.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,71.60,08-21-2019,13:00:00,8.00,0.10,230,78,26.0,1007.37,33.59,3.7,1007.82,30.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,08-21-2019,13:00:00,8.00,0.00,250,64,24.0,1007.21,29.75,7.4,1007.88,31.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-21-2019,13:00:00,10.00,0.00,260,66,24.3,1006.65,30.28,3.7,1008.15,31.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,13.50,08-21-2019,13:00:00,7.00,0.01,210,76,25.1,1008.52,31.89,7.4,1009.43,29.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-21-2019,13:00:00,10.00,0.00,000,54,23.9,1007.61,29.59,0.0,1008.28,34.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.20,08-21-2019,13:00:00,10.00,0.00,240,58,24.6,1007.38,30.96,5.6,1008.15,34.1
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-21-2019,13:00:00,10.00,0.00,230,49,22.7,1007.12,27.61,5.6,1007.74,35.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-21-2019,13:00:00,12.00,0.00,230,52,25.2,1007.27,32.05,11.1,1007.66,36.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-21-2019,13:00:00,8.00,0.00,240,54,23.3,1005.59,28.63,9.3,1009.71,34.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-21-2019,13:00:00,12.00,0.00,260,58,22.9,1007.25,27.94,9.3,1008.83,32.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-21-2019,13:00:00,10.00,0.00,280,61,24.2,1005.17,30.28,7.4,1008.59,32.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.40,08-21-2019,13:00:00,10.00,0.00,270,51,22.5,1006.83,27.29,11.1,1008.15,34.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.20,08-21-2019,13:00:00,10.00,0.00,180,72,23.8,1008.80,29.49,9.3,1009.68,29.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.30,08-21-2019,13:00:00,10.00,0.00,290,57,22.5,1005.77,27.19,14.8,1009.28,32.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.40,08-21-2019,13:00:00,8.00,0.20,000,66,24.4,1008.97,30.49,0.0,1009.40,31.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.80,08-21-2019,13:00:00,10.00,0.00,250,70,25.1,1007.86,31.89,3.7,1008.84,31.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.40,08-21-2019,13:00:00,10.00,0.00,280,79,25.6,1008.84,32.91,13.0,1009.65,29.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.20,08-21-2019,13:00:00,5.00,7.20,230,78,24.4,1007.93,30.54,5.6,1009.73,28.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,2.00,08-21-2019,13:00:00,12.00,2.00,180,77,23.6,1008.13,29.19,13.0,1008.89,28.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-21-2019,13:00:00,10.00,0.00,230,80,22.8,1005.43,27.77,16.7,1009.44,26.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,21.30,08-21-2019,13:00:00,10.00,17.50,000,85,25.1,1010.57,31.95,0.0,1011.26,28.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.40,08-21-2019,13:00:00,9.00,0.40,130,87,23.2,1008.21,28.51,11.1,1009.34,25.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.90,08-21-2019,13:00:00,8.00,7.90,270,93,25.3,1006.93,32.15,9.3,1009.86,26.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-21-2019,13:00:00,10.00,0.00,230,67,25.5,1007.36,32.58,9.3,1008.03,32.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10.70,08-21-2019,13:00:00,10.00,0.20,000,64,24.3,1004.92,30.36,0.0,1008.99,32.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,68.40,08-21-2019,13:00:00,10.00,0.00,000,62,24.6,1008.15,30.86,0.0,1008.73,32.8
