WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,RelativeHumidity,Rainfall,WindSpeed,LandVisibility,MeanSeaLevelPressure,AirTemperature,StationPressure,WindDirection,Rainfall24Hr,VaporPressure
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-14-2019,04:00:00,24.2,95,0.00,0.0,5.00,1011.32,25.1,992.65,000,0.00,30.23
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-14-2019,04:00:00,23.0,94,0.00,0.0,10.00,1012.54,24.0,989.41,000,8.50,28.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-14-2019,04:00:00,22.2,96,0.00,0.0,5.00,1012.74,22.8,982.34,000,0.00,26.74
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-14-2019,04:00:00,22.8,96,0.00,0.0,7.00,1012.27,23.5,976.27,000,0.30,27.66
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-14-2019,04:00:00,23.2,96,0.00,0.0,7.00,1012.16,23.9,982.06,000,1.30,28.35
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-14-2019,04:00:00,24.6,92,0.00,0.0,8.00,1011.06,26.0,1003.70,000,10.30,30.84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-14-2019,04:00:00,22.8,85,0.00,3.7,3.00,1012.44,25.5,992.35,030,0.00,27.81
48353,LOEI,เลย,เลย,17.45000,101.73333,10-14-2019,04:00:00,23.2,92,0.00,0.0,5.00,1012.45,24.5,983.45,000,0.40,28.37
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-14-2019,04:00:00,21.9,86,0.00,0.0,10.00,1012.48,24.5,992.05,000,0.00,26.34
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-14-2019,04:00:00,20.5,94,0.00,0.0,12.00,1012.99,21.4,990.74,000,0.00,24.05
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-14-2019,04:00:00,21.0,87,0.00,5.6,10.00,1012.52,23.3,992.70,160,0.00,24.87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-14-2019,04:00:00,20.0,75,0.00,0.0,10.00,1012.85,24.6,995.88,000,0.00,23.32
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-14-2019,04:00:00,21.7,95,0.00,0.0,7.00,1013.11,22.5,995.34,000,0.00,26.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-14-2019,04:00:00,22.8,88,0.00,0.0,10.00,1011.02,25.0,984.99,000,0.00,27.70
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-14-2019,04:00:00,25.6,97,0.00,0.0,8.00,1010.87,26.2,1005.04,000,0.00,32.87
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-14-2019,04:00:00,25.1,95,0.00,0.0,6.00,1010.04,26.0,1003.81,000,0.00,31.93
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-14-2019,04:00:00,23.5,91,0.00,0.0,10.00,1011.47,25.1,994.86,000,0.00,28.92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-14-2019,04:00:00,22.6,95,0.00,0.0,8.00,1009.51,23.5,986.88,000,0.00,27.41
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-14-2019,04:00:00,24.0,92,0.00,0.0,6.00,1011.97,25.3,997.44,000,24.70,29.80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-14-2019,04:00:00,24.4,97,0.00,0.0,8.00,1011.71,24.8,995.14,000,7.70,30.48
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-14-2019,04:00:00,25.1,92,0.00,5.6,10.00,1011.35,26.5,1006.09,020,0.01,31.79
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-14-2019,04:00:00,23.8,95,0.00,0.0,10.00,1010.09,24.7,996.75,000,0.60,29.51
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-14-2019,04:00:00,24.7,94,0.00,0.0,10.00,1010.88,25.7,1001.48,000,4.90,31.08
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-14-2019,04:00:00,20.6,82,0.00,3.7,9.00,1012.14,23.8,990.12,040,0.00,24.22
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-14-2019,04:00:00,22.0,83,0.00,0.0,8.00,1009.69,25.0,992.03,000,0.00,26.43
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-14-2019,04:00:00,21.2,87,0.00,0.0,10.00,1012.79,23.5,996.68,000,0.00,25.19
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-14-2019,04:00:00,20.3,86,0.00,0.0,6.00,1011.25,22.8,992.02,000,0.00,23.85
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-14-2019,04:00:00,21.6,93,0.00,0.0,5.00,1012.89,22.8,960.88,000,10.10,25.76
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-14-2019,04:00:00,24.3,96,0.00,0.0,5.00,1010.72,25.0,1006.72,000,9.10,30.32
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-14-2019,04:00:00,20.7,94,0.20,11.1,3.00,1011.59,21.6,916.10,050,4.00,24.36
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-14-2019,04:00:00,21.2,89,0.00,0.0,6.00,1011.67,23.0,995.40,000,0.00,25.11
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-14-2019,04:00:00,25.4,96,0.00,3.7,8.00,1011.02,26.1,1006.96,200,1.30,32.40
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-14-2019,04:00:00,23.6,88,0.00,0.0,8.00,1011.71,25.8,1000.95,000,0.00,29.13
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-14-2019,04:00:00,24.5,91,0.00,3.7,9.00,1011.42,26.1,1009.47,270,0.00,30.76
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-14-2019,04:00:00,20.4,76,0.00,0.0,10.00,1011.73,25.0,990.64,000,0.00,23.96
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-14-2019,04:00:00,20.8,87,0.00,5.6,10.00,1011.27,23.1,993.31,050,0.10,24.55
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-14-2019,04:00:00,21.1,85,0.00,5.6,10.00,1011.06,23.8,994.67,050,0.00,24.94
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-14-2019,04:00:00,20.5,84,0.00,3.7,10.00,1011.33,23.4,997.07,020,0.00,24.07
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-14-2019,04:00:00,21.2,89,0.00,0.0,6.00,1011.60,23.0,996.51,000,0.00,25.11
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-14-2019,04:00:00,22.4,94,0.00,0.0,6.00,1011.27,23.5,996.37,000,5.30,27.16
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-14-2019,04:00:00,25.7,94,0.00,0.0,8.00,1010.64,26.8,1007.61,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.10,32.94
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-14-2019,04:00:00,24.3,95,0.00,0.0,7.00,1011.07,25.2,1003.04,000,16.70,30.42
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-14-2019,04:00:00,25.0,91,0.00,0.0,6.00,1010.40,26.6,1009.29,000,0.00,31.71
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-14-2019,04:00:00,24.1,93,0.00,0.0,8.00,1010.28,25.3,995.46,000,6.20,30.07
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-14-2019,04:00:00,19.4,98,0.00,5.6,8.00,1011.90,19.7,876.34,090,1.80,22.48
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-14-2019,04:00:00,23.1,92,0.00,0.0,10.00,1011.09,24.6,1005.14,000,0.00,28.29
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-14-2019,04:00:00,25.4,90,0.00,0.0,10.00,1010.58,27.1,1009.77,000,0.00,32.41
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-14-2019,04:00:00,25.5,90,0.00,0.0,8.00,1010.02,27.2,1009.58,000,5.10,32.61
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-14-2019,04:00:00,24.7,95,0.00,0.0,4.00,1011.16,25.6,999.76,000,0.00,31.17
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-14-2019,04:00:00,24.4,94,21.50,0.0,6.00,1010.83,25.4,1009.81,000,23.10,30.52
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-14-2019,04:00:00,24.6,87,0.00,0.0,7.00,1010.71,26.9,1008.88,000,0.00,30.91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-14-2019,04:00:00,25.2,95,4.50,0.0,5.00,1010.13,26.1,1009.36,000,4.50,32.12
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-14-2019,04:00:00,24.9,90,0.00,5.6,9.00,1010.36,26.8,1009.65,360,4.40,31.55
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-14-2019,04:00:00,24.2,84,0.00,0.0,7.00,1010.05,27.2,1009.34,000,0.00,30.12
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-14-2019,04:00:00,23.1,92,0.00,0.0,7.00,1011.56,24.6,990.15,000,0.00,28.29
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-14-2019,04:00:00,21.9,88,0.00,0.0,6.00,1011.17,24.0,994.22,000,2.70,26.25
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-14-2019,04:00:00,21.9,95,0.00,0.0,6.00,1011.82,22.8,995.08,000,2.70,26.25
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-14-2019,04:00:00,23.5,92,0.00,0.0,10.00,1011.29,25.0,989.20,000,0.00,29.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-14-2019,04:00:00,21.9,90,0.00,11.1,20.00,1011.46,23.7,967.57,060,0.00,26.25
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-14-2019,04:00:00,22.8,93,0.00,0.0,5.00,1011.10,24.0,990.25,000,5.00,27.76
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-14-2019,04:00:00,22.6,98,0.00,11.1,6.00,1012.75,22.9,991.53,050,0.00,27.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-14-2019,04:00:00,24.3,95,0.00,0.0,9.00,1010.24,25.2,1009.81,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",65.30,30.42
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-14-2019,04:00:00,24.8,96,0.00,0.0,6.00,1009.92,25.5,1008.49,000,0.00,31.25
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-14-2019,04:00:00,23.8,99,11.00,0.0,6.00,1010.72,24.0,1005.71,000,11.00,29.56
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-14-2019,04:00:00,23.8,89,0.00,0.0,10.00,1010.68,25.8,1007.36,000,19.40,29.39
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-14-2019,04:00:00,25.2,94,0.00,0.0,10.00,1010.90,26.2,1009.78,000,0.00,32.04
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-14-2019,04:00:00,25.5,96,0.00,0.0,10.00,1010.36,26.2,1010.06,000,22.30,32.59
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-14-2019,04:00:00,23.5,92,0.00,0.0,10.00,1010.89,25.0,1010.40,000,4.80,29.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-14-2019,04:00:00,24.5,84,0.00,5.6,10.00,1010.64,27.4,1009.22,120,0.01,30.78
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-14-2019,04:00:00,23.4,97,0.00,0.0,10.00,1011.75,24.0,1003.62,000,0.00,28.78
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-14-2019,04:00:00,25.3,96,0.00,0.0,4.00,1010.07,26.0,1009.79,000,1.20,32.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-14-2019,04:00:00,25.4,88,0.00,0.0,10.00,1009.63,27.5,1006.49,000,0.40,32.36
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-14-2019,04:00:00,23.7,92,0.00,0.0,10.00,1009.97,25.0,1002.96,000,42.60,29.26
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-14-2019,04:00:00,24.8,88,0.00,0.0,8.00,1010.99,27.0,1005.37,000,0.01,31.38
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-14-2019,04:00:00,24.4,97,0.00,0.0,6.00,1011.39,24.8,1010.11,000,9.50,30.48
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-14-2019,04:00:00,23.6,95,0.00,5.6,11.00,1010.18,24.5,1009.74,350,9.00,29.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-14-2019,04:00:00,23.1,95,2.00,0.0,8.00,1010.44,24.0,998.01,000,2.00,28.27
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-14-2019,04:00:00,24.9,97,16.60,0.0,10.00,1009.99,25.3,1009.27,000,16.60,31.41
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-14-2019,04:00:00,23.6,96,0.00,0.0,9.00,1010.90,24.3,1008.43,000,60.30,29.05
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-14-2019,04:00:00,24.3,96,0.00,0.0,7.00,1010.04,25.0,1009.51,000,6.90,30.32
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-14-2019,04:00:00,23.8,96,0.00,1.9,8.00,1009.70,24.5,1004.49,070,14.00,29.41
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-14-2019,04:00:00,23.8,94,0.00,0.0,7.00,1010.33,24.8,1009.92,000,17.40,29.42
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-14-2019,04:00:00,23.5,94,0.00,0.0,8.00,1010.31,24.5,1007.51,000,0.00,28.89
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-14-2019,04:00:00,24.3,93,0.00,0.0,10.00,1009.26,25.6,1008.46,000,0.00,30.36
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-14-2019,04:00:00,22.9,96,0.00,7.4,6.00,1010.47,23.6,1010.00,100,4.40,27.83
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-14-2019,04:00:00,24.7,94,2.70,0.0,8.00,1009.52,25.7,1008.84,000,2.70,31.08
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-14-2019,04:00:00,24.5,95,0.20,0.0,8.00,1008.83,25.4,1007.29,000,1.20,30.79
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-14-2019,04:00:00,23.8,94,0.00,0.0,10.00,1009.54,24.8,1008.62,000,15.50,29.42
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-14-2019,04:00:00,25.2,88,0.00,0.0,12.00,1009.70,27.3,1009.01,000,0.00,31.97
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-14-2019,04:00:00,22.9,96,0.00,0.0,7.00,1009.97,23.5,1009.17,000,0.00,27.92
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-14-2019,04:00:00,24.3,96,0.00,0.0,10.00,1009.01,25.0,1008.37,000,0.00,30.32
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-14-2019,04:00:00,24.4,97,0.00,0.0,10.00,1009.69,25.0,1009.28,000,0.00,30.58
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-14-2019,04:00:00,23.7,97,0.00,0.0,2.00,1011.09,24.1,1006.83,000,0.00,29.22
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-14-2019,04:00:00,23.2,97,0.00,0.0,6.00,1008.52,23.8,1006.89,000,34.60,28.43
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-14-2019,04:00:00,23.0,97,0.00,0.0,.70,1009.91,23.5,1006.38,000,1.70,28.17
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-14-2019,04:00:00,24.2,98,0.20,0.0,9.00,1009.25,24.5,1007.88,000,0.60,30.20
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-14-2019,04:00:00,23.7,98,0.00,0.0,15.00,1009.25,24.0,1008.36,000,3.40,29.30
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-14-2019,04:00:00,22.9,97,0.00,0.0,10.00,1009.28,23.4,1005.67,000,5.80,28.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-14-2019,04:00:00,24.0,95,0.00,0.0,10.00,1009.11,24.9,1008.67,000,7.60,29.87
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-14-2019,04:00:00,24.0,97,0.00,0.0,9.00,1008.93,24.4,1007.93,000,5.40,29.75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-14-2019,04:00:00,23.9,98,0.00,0.0,5.00,1009.48,24.2,1007.65,000,11.50,29.66
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-14-2019,04:00:00,22.8,88,0.00,5.6,10.00,1009.48,25.0,1008.72,210,0.30,27.70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-14-2019,04:00:00,23.2,99,0.00,5.6,10.00,1009.69,23.4,1005.63,120,25.00,28.51
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-14-2019,04:00:00,22.5,91,0.00,0.0,10.00,1009.39,24.1,1008.70,000,14.00,27.17
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-14-2019,04:00:00,23.4,97,0.00,0.0,10.00,1009.57,24.0,1008.44,000,0.00,28.78
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-14-2019,04:00:00,23.7,96,0.00,0.0,10.00,1009.76,24.4,1006.81,000,3.20,29.23
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-14-2019,04:00:00,23.3,96,0.00,0.0,9.00,1009.36,24.0,1008.66,000,0.00,28.53
