WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,WindSpeed,AirTemperature,VaporPressure,WindDirection,StationPressure,DewPoint
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,86,10-11-2019,22:00:00,7.00,1010.06,0.00,0.00,0.0,29.0,34.58,000,1009.36,26.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,85,10-11-2019,22:00:00,9.00,1010.57,0.00,0.00,0.0,27.6,31.44,000,989.38,24.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,86,10-11-2019,22:00:00,8.00,1010.35,0.00,0.00,0.0,27.8,32.12,000,993.63,25.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,91,10-11-2019,22:00:00,7.00,1010.67,0.00,0.00,0.0,26.8,32.10,000,994.17,25.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,85,10-11-2019,22:00:00,10.00,1010.31,0.00,0.00,0.0,28.0,32.23,000,988.46,25.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,94,10-11-2019,22:00:00,8.00,1011.34,0.00,0.00,0.0,23.7,27.50,000,967.45,22.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,93,10-11-2019,22:00:00,10.00,1010.44,0.00,0.00,0.0,26.6,32.54,000,989.79,25.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,98,10-11-2019,22:00:00,9.00,1011.16,0.00,0.00,5.6,26.2,33.43,150,990.21,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,74,10-11-2019,22:00:00,10.00,1010.12,1.20,0.00,0.0,29.8,31.03,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1009.69,24.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,88,10-11-2019,22:00:00,6.00,1009.63,0.00,0.00,0.0,27.5,32.36,000,1008.21,25.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,95,10-11-2019,22:00:00,8.00,1010.69,0.00,0.00,0.0,27.0,33.91,000,1005.74,26.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,80,10-11-2019,22:00:00,10.00,1010.10,5.30,0.00,3.7,29.2,32.38,320,1006.83,25.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,88,10-11-2019,22:00:00,10.00,1010.20,0.00,0.00,0.0,28.0,33.37,000,1009.10,25.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,79,10-11-2019,22:00:00,10.00,1010.17,3.30,0.00,0.0,29.5,32.71,000,1009.87,25.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,73,10-11-2019,22:00:00,10.00,1010.14,25.40,0.00,0.0,29.8,30.47,000,1009.66,24.4
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,76,10-11-2019,22:00:00,10.00,1010.44,0.01,0.00,7.4,29.5,31.28,210,1009.04,24.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,90,10-11-2019,22:00:00,10.00,1012.37,0.00,0.00,0.0,26.9,32.02,000,1004.32,25.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,81,10-11-2019,22:00:00,8.00,1009.74,0.00,0.00,0.0,29.3,32.87,000,1009.45,25.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,81,10-11-2019,22:00:00,10.00,1009.87,0.00,0.00,0.0,28.5,31.54,000,1006.75,24.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,85,10-11-2019,22:00:00,10.00,1010.24,0.00,0.00,0.0,28.5,32.96,000,1003.31,25.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,86,10-11-2019,22:00:00,10.00,1010.35,0.00,0.00,0.0,29.0,34.28,000,1004.78,26.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,85,10-11-2019,22:00:00,10.00,1010.63,1.10,0.00,0.0,27.4,31.05,000,1009.36,24.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,81,10-11-2019,22:00:00,11.00,1009.06,0.00,0.00,11.1,29.0,32.55,240,1008.63,25.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,90,10-11-2019,22:00:00,8.00,1011.10,0.00,0.00,0.0,25.7,29.74,000,998.74,23.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,87,10-11-2019,22:00:00,10.00,1010.33,0.00,0.00,0.0,28.0,32.80,000,1009.62,25.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,93,10-11-2019,22:00:00,8.00,1010.45,11.80,0.00,3.7,27.0,33.06,350,1008.00,25.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,76,10-11-2019,22:00:00,10.00,1010.34,0.00,0.00,5.6,29.6,31.48,280,1009.83,24.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,87,10-11-2019,22:00:00,8.00,1010.37,0.10,0.00,3.7,27.5,32.08,270,1005.21,25.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,81,10-11-2019,22:00:00,7.00,1010.83,0.00,0.00,0.0,28.9,32.06,000,1010.41,25.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,87,10-11-2019,22:00:00,8.00,1010.87,0.00,0.00,0.0,27.2,31.22,000,1008.09,24.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,84,10-11-2019,22:00:00,10.00,1010.57,0.00,0.00,0.0,27.5,30.97,000,1009.78,24.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,88,10-11-2019,22:00:00,7.00,1010.57,0.00,0.00,5.6,27.0,31.38,100,1010.11,24.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,86,10-11-2019,22:00:00,8.00,1010.71,0.00,0.00,3.7,26.7,30.26,330,1010.02,24.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,90,10-11-2019,22:00:00,8.00,1010.47,0.00,0.00,0.0,26.4,31.05,000,1008.94,24.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,92,10-11-2019,22:00:00,10.00,1011.10,19.50,0.00,0.0,25.5,29.91,000,1010.18,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,80,10-11-2019,22:00:00,10.00,1010.76,0.00,0.00,0.0,28.0,30.28,000,1010.07,24.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,92,10-11-2019,22:00:00,8.00,1011.00,0.00,0.00,0.0,25.4,29.99,000,1010.19,24.1
