WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,Rainfall24Hr,Rainfall,DewPoint,RelativeHumidity,LandVisibility,WindDirection,AirTemperature,VaporPressure,MeanSeaLevelPressure
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,996.92,10-06-2019,10:00:00,7.4,1.40,0.00,20.3,53,12.00,090,31.0,23.81,1013.54
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,996.31,10-06-2019,10:00:00,0.0,4.50,0.00,20.5,54,12.00,000,30.9,24.15,1013.60
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,986.97,10-06-2019,10:00:00,0.0,2.50,0.00,23.3,80,11.00,000,27.0,28.67,1012.88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.29,10-06-2019,10:00:00,0.0,0.00,0.00,26.2,77,8.00,000,30.7,34.06,1013.04
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.89,10-06-2019,10:00:00,0.0,0.00,0.00,24.1,74,7.00,000,29.1,29.93,1014.08
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,997.55,10-06-2019,10:00:00,0.0,3.80,0.00,21.1,62,12.00,000,29.0,24.94,1013.99
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,989.30,10-06-2019,10:00:00,0.0,3.50,0.00,23.9,79,10.00,000,28.0,29.74,1011.64
48376,TAK,ตาก,ตาก,16.87833,99.14333,999.45,10-06-2019,10:00:00,5.6,0.00,0.00,24.3,77,7.00,280,28.8,30.46,1013.85
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,996.99,10-06-2019,10:00:00,0.0,0.00,0.00,24.3,78,8.00,000,28.6,30.34,1013.39
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.85,10-06-2019,10:00:00,5.6,0.00,0.00,23.4,68,9.00,320,30.1,28.83,1013.05
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,998.88,10-06-2019,10:00:00,5.6,0.40,0.00,22.6,71,12.00,010,28.5,27.44,1012.07
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.89,10-06-2019,10:00:00,1.9,12.30,0.00,24.7,78,10.00,250,29.0,31.13,1013.21
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,991.41,10-06-2019,10:00:00,9.3,4.00,0.00,23.0,68,7.00,060,29.4,28.04,1013.05
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,995.41,10-06-2019,10:00:00,13.0,7.50,0.00,22.6,70,12.00,030,28.6,27.36,1012.92
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,996.98,10-06-2019,10:00:00,9.3,11.00,0.00,22.7,65,12.00,060,30.0,27.55,1012.74
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,993.56,10-06-2019,10:00:00,7.4,7.00,0.00,24.4,80,10.00,050,28.1,30.48,1012.48
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,962.71,10-06-2019,10:00:00,0.0,0.00,0.00,21.1,71,9.00,000,26.8,24.96,1014.10
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.68,10-06-2019,10:00:00,3.7,0.10,0.00,24.3,70,5.00,320,30.5,30.46,1012.61
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,918.28,10-06-2019,10:00:00,14.8,0.00,0.00,21.3,88,4.00,050,23.4,25.27,1013.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,996.92,10-06-2019,10:00:00,5.6,19.40,0.00,22.4,71,10.00,030,28.2,27.16,1012.93
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1009.28,10-06-2019,10:00:00,0.0,1.20,0.00,25.1,80,6.00,000,28.8,31.86,1013.31
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1003.03,10-06-2019,10:00:00,0.0,41.20,0.00,24.6,76,10.00,000,29.3,30.88,1013.70
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1011.43,10-06-2019,10:00:00,0.0,1.60,0.00,23.9,75,9.00,000,28.7,29.71,1013.36
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,992.23,10-06-2019,10:00:00,13.0,0.30,0.00,21.0,59,10.00,040,30.0,24.89,1013.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,995.17,10-06-2019,10:00:00,14.8,8.00,0.00,22.6,71,10.00,060,28.5,27.44,1012.85
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,996.54,10-06-2019,10:00:00,5.6,6.30,0.00,23.3,72,10.00,330,28.8,28.54,1012.69
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,998.43,10-06-2019,10:00:00,0.0,0.00,0.00,23.2,65,10.00,000,30.5,28.50,1012.38
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,997.63,10-06-2019,10:00:00,0.0,0.00,0.00,23.2,65,12.00,000,30.5,28.50,1012.36
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,999.07,10-06-2019,10:00:00,3.7,0.00,0.00,25.1,82,9.00,060,28.5,31.82,1013.76
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.35,10-06-2019,10:00:00,0.0,1.00,0.00,23.5,71,9.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.3,28.94,1012.37
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1005.00,10-06-2019,10:00:00,5.6,11.00,0.00,23.8,72,10.00,300,29.3,29.49,1012.94
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1011.60,10-06-2019,10:00:00,3.7,3.30,0.00,24.7,77,8.00,090,29.1,31.05,1012.71
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,998.13,10-06-2019,10:00:00,0.0,0.00,0.00,24.3,71,8.00,000,30.0,30.31,1012.75
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,877.08,10-06-2019,10:00:00,5.6,27.20,0.00,18.6,68,8.00,090,24.9,21.42,1010.26
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1006.93,10-06-2019,10:00:00,3.7,1.80,0.00,23.6,67,10.00,050,30.5,29.06,1012.78
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.72,10-06-2019,10:00:00,3.7,10.00,0.00,24.3,71,8.00,150,30.0,30.31,1012.52
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1011.90,10-06-2019,10:00:00,3.7,38.90,0.00,22.9,74,10.00,120,28.0,27.85,1012.34
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1001.81,10-06-2019,10:00:00,0.0,4.30,0.00,23.1,84,7.00,000,26.0,28.18,1013.22
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1011.83,10-06-2019,10:00:00,5.6,7.10,0.00,23.6,73,6.00,340,29.0,29.19,1012.84
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1012.78,10-06-2019,10:00:00,0.0,28.80,0.00,22.0,66,8.00,000,29.0,26.50,1014.61
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1011.91,10-06-2019,10:00:00,0.0,0.00,0.00,24.4,72,9.00,000,30.1,30.50,1012.67
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.74,10-06-2019,10:00:00,7.4,11.80,0.00,22.4,70,10.00,080,28.3,27.08,1012.45
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1011.36,10-06-2019,10:00:00,0.0,4.50,0.00,24.0,69,9.00,000,30.3,29.78,1012.06
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,991.77,10-06-2019,10:00:00,0.0,28.00,0.00,23.8,77,7.00,000,28.3,29.49,1012.95
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,995.97,10-06-2019,10:00:00,5.6,0.00,0.00,23.9,71,9.00,040,29.8,29.63,1012.63
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,996.81,10-06-2019,10:00:00,9.3,0.00,0.00,23.7,71,12.00,040,29.5,29.33,1013.21
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,990.45,10-06-2019,10:00:00,0.0,0.00,0.00,24.4,76,8.00,000,29.0,30.57,1012.27
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,969.09,10-06-2019,10:00:00,9.3,2.00,0.00,22.2,69,11.00,060,28.4,26.73,1012.36
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,991.75,10-06-2019,10:00:00,5.6,0.00,0.00,24.5,82,8.00,340,27.8,30.72,1012.36
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,993.73,10-06-2019,10:00:00,11.1,0.00,0.00,24.0,80,9.00,040,27.8,29.90,1014.65
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1012.39,10-06-2019,10:00:00,0.0,0.00,0.00,24.3,76,9.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.0,30.29,1012.82
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.70,10-06-2019,10:00:00,0.0,0.10,0.00,24.9,78,11.00,000,29.2,31.53,1012.11
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1007.33,10-06-2019,10:00:00,0.0,11.40,0.00,25.4,81,8.00,000,28.9,32.34,1012.26
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.63,10-06-2019,10:00:00,0.0,0.00,0.00,23.6,77,12.00,000,28.0,29.19,1012.93
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1011.65,10-06-2019,10:00:00,0.0,0.00,0.00,24.3,78,10.00,000,28.5,30.42,1012.75
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1012.23,10-06-2019,10:00:00,0.0,55.80,0.00,23.3,75,10.00,000,28.3,28.68,1012.53
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1012.36,10-06-2019,10:00:00,0.0,20.40,0.00,24.9,81,10.00,000,28.5,31.54,1013.05
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1011.81,10-06-2019,10:00:00,0.0,12.50,0.00,25.1,83,10.00,000,28.2,31.79,1012.30
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.90,10-06-2019,10:00:00,11.1,3.00,0.00,23.7,72,9.00,320,29.3,29.22,1012.30
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1010.72,10-06-2019,10:00:00,13.0,26.50,22.80,24.3,88,9.00,050,26.5,30.43,1012.41
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1006.04,10-06-2019,10:00:00,0.0,25.00,0.01,23.9,79,10.00,000,28.0,29.74,1014.07
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1011.73,10-06-2019,10:00:00,0.0,15.20,2.00,23.9,79,10.00,000,28.0,29.74,1012.01
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.84,10-06-2019,10:00:00,5.6,10.80,0.00,22.6,71,10.00,250,28.5,27.44,1011.98
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.21,10-06-2019,10:00:00,0.0,30.10,0.00,24.2,88,10.00,000,26.4,30.24,1012.20
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1007.40,10-06-2019,10:00:00,7.4,5.00,0.00,23.9,74,8.00,100,29.0,29.74,1012.99
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1003.33,10-06-2019,10:00:00,0.0,8.20,0.00,26.0,88,8.00,000,28.3,33.70,1012.66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.02,10-06-2019,10:00:00,7.4,0.01,0.00,24.5,82,12.00,350,27.8,30.72,1013.29
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1011.91,10-06-2019,10:00:00,0.0,8.00,1.30,24.6,94,11.00,000,25.6,30.90,1012.34
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1000.42,10-06-2019,10:00:00,3.7,1.50,0.00,23.8,83,8.00,350,27.0,29.48,1012.74
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.51,10-06-2019,10:00:00,0.0,11.80,0.00,24.7,82,9.00,000,28.0,31.11,1012.22
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.84,10-06-2019,10:00:00,5.6,145.90,0.00,23.7,71,10.00,360,29.5,29.33,1012.27
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.58,10-06-2019,10:00:00,3.7,5.70,0.00,23.2,69,10.00,170,29.5,28.50,1012.10
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.57,10-06-2019,10:00:00,3.7,84.00,0.00,23.1,69,15.00,040,29.4,28.31,1011.71
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.81,10-06-2019,10:00:00,0.0,4.10,0.00,23.5,72,8.00,000,29.2,29.02,1012.22
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.53,10-06-2019,10:00:00,0.0,0.30,0.00,25.4,80,8.00,000,29.2,32.38,1012.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.13,10-06-2019,10:00:00,5.6,0.00,0.00,24.1,75,10.00,360,29.0,30.01,1012.92
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.34,10-06-2019,10:00:00,3.7,0.20,0.00,24.8,72,10.00,230,30.5,31.31,1011.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.66,10-06-2019,10:00:00,0.0,0.00,0.00,23.5,73,8.00,000,28.9,29.00,1012.34
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.62,10-06-2019,10:00:00,5.6,0.00,0.00,23.0,65,9.00,130,30.4,28.04,1012.14
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.41,10-06-2019,10:00:00,0.0,1.20,0.00,24.0,72,10.00,000,29.6,29.80,1012.32
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.68,10-06-2019,10:00:00,11.1,0.00,0.00,25.4,77,10.00,120,29.8,32.46,1012.37
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.61,10-06-2019,10:00:00,0.0,1.80,0.00,25.2,81,8.00,000,28.9,32.06,1012.40
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.41,10-06-2019,10:00:00,0.0,10.90,0.00,25.3,77,10.00,000,29.8,32.17,1012.04
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1012.20,10-06-2019,10:00:00,0.0,0.70,0.00,24.9,78,10.00,000,29.0,31.41,1012.61
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.87,10-06-2019,10:00:00,0.0,56.60,0.00,24.1,72,6.00,000,29.7,29.99,1014.07
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.17,10-06-2019,10:00:00,0.0,13.00,0.00,23.9,72,10.00,000,29.5,29.60,1012.77
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.63,10-06-2019,10:00:00,0.0,0.90,0.00,25.4,80,10.00,000,29.2,32.38,1012.09
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.80,10-06-2019,10:00:00,3.7,0.90,0.00,23.7,70,8.00,330,29.8,29.36,1012.15
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.79,10-06-2019,10:00:00,0.0,1.70,0.00,23.1,70,10.00,000,29.2,28.21,1011.67
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.54,10-06-2019,10:00:00,0.0,1.70,0.00,24.3,78,10.00,000,28.6,30.34,1012.10
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.56,10-06-2019,10:00:00,0.0,0.00,0.00,24.4,66,10.00,000,31.5,30.49,1011.99
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.25,10-06-2019,10:00:00,1.9,1.10,0.00,23.9,68,10.00,320,30.4,29.70,1011.23
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.57,10-06-2019,10:00:00,11.1,31.80,0.00,26.8,92,10.00,180,28.2,35.23,1012.38
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.79,10-06-2019,10:00:00,5.6,8.70,0.00,24.5,80,10.00,130,28.4,30.78,1012.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.50,10-06-2019,10:00:00,5.6,0.00,0.00,23.9,67,12.00,020,30.7,29.73,1012.25
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.32,10-06-2019,10:00:00,7.4,1.20,0.00,23.7,68,10.00,100,30.3,29.22,1012.30
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.71,10-06-2019,10:00:00,9.3,27.80,0.00,23.2,65,10.00,260,30.5,28.50,1013.39
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.92,10-06-2019,10:00:00,0.0,16.00,0.00,24.2,70,10.00,000,30.2,30.14,1012.03
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.43,10-06-2019,10:00:00,5.6,0.00,0.00,24.6,73,12.00,350,30.0,30.87,1012.34
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.91,10-06-2019,10:00:00,0.0,3.60,0.00,24.8,77,12.00,000,29.2,31.25,1011.59
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.29,10-06-2019,10:00:00,0.0,0.00,0.00,22.8,64,10.00,000,30.4,27.76,1012.38
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.57,10-06-2019,10:00:00,5.6,0.00,0.00,22.4,62,12.00,050,30.5,27.14,1012.16
