WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,DewPoint,Rainfall24Hr,LandVisibility,RelativeHumidity,VaporPressure,AirTemperature,Rainfall,StationPressure,WindSpeed,MinimumTemperature
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,060,10-16-2019,07:00:00,1013.75,21.1,1.90,10.00,73,24.95,26.2,0.00,992.70,7.4,25.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,040,10-16-2019,07:00:00,1013.74,21.9,0.00,10.00,87,26.34,24.2,0.00,995.79,7.4,22.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,010,10-16-2019,07:00:00,1013.62,22.3,0.00,10.00,87,26.84,24.5,0.00,997.22,7.4,23.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,030,10-16-2019,07:00:00,1013.28,22.3,0.10,10.00,88,26.93,24.4,0.00,999.04,3.7,23.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-16-2019,07:00:00,1013.92,22.3,22.00,9.00,87,26.84,24.5,0.00,998.87,0.0,23.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,10-16-2019,07:00:00,1013.47,23.6,0.00,10.00,95,29.15,24.5,0.00,998.58,0.0,22.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-16-2019,07:00:00,1012.86,23.5,0.00,8.00,80,28.96,27.3,0.00,1009.83,0.0,25.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,10-16-2019,07:00:00,1013.22,24.1,0.00,10.00,93,30.07,25.3,0.00,1005.17,0.0,25.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,050,10-16-2019,07:00:00,1012.42,24.5,0.00,9.00,90,30.67,26.2,0.00,1011.30,3.7,25.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,10-16-2019,07:00:00,1013.54,23.0,0.00,8.00,91,28.11,24.5,0.00,998.63,0.0,22.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,040,10-16-2019,07:00:00,1014.45,18.4,0.00,.10,99,21.19,18.6,0.00,878.09,7.4,18.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,10-16-2019,07:00:00,1013.91,23.3,0.00,10.00,92,28.64,24.8,0.00,1007.95,0.0,23.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,080,10-16-2019,07:00:00,1012.37,23.8,0.00,8.00,87,29.41,26.1,0.00,1011.56,9.3,25.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,120,10-16-2019,07:00:00,1011.92,24.0,0.00,8.00,83,29.85,27.2,0.00,1011.47,9.3,27.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-16-2019,07:00:00,1012.72,23.0,0.00,6.00,96,28.09,23.6,0.00,1001.22,0.0,23.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,030,10-16-2019,07:00:00,1013.02,23.4,0.00,6.00,83,28.82,26.5,0.00,1012.00,7.4,25.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,070,10-16-2019,07:00:00,1012.98,21.2,0.00,8.00,67,25.15,27.8,0.00,1011.15,5.6,26.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,10-16-2019,07:00:00,1012.75,23.3,0.00,8.00,83,28.64,26.4,0.00,1011.98,0.0,25.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,990,10-16-2019,07:00:00,1011.99,24.3,0.01,9.00,86,30.37,26.9,0.00,1011.28,5.6,25.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,050,10-16-2019,07:00:00,1011.69,22.5,0.01,8.00,77,27.18,26.9,0.00,1010.98,3.7,26.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,10-16-2019,07:00:00,1014.28,22.9,0.00,8.00,88,27.88,25.1,0.00,992.84,0.0,24.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,10-16-2019,07:00:00,1013.54,22.3,0.00,5.00,92,27.00,23.7,0.00,996.53,0.0,22.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,010,10-16-2019,07:00:00,1013.93,22.5,0.01,9.00,91,27.25,24.0,0.00,997.22,9.3,22.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-16-2019,07:00:00,1014.10,23.3,0.00,6.00,96,28.53,24.0,0.00,991.87,0.0,23.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,070,10-16-2019,07:00:00,1014.03,21.7,0.00,12.00,88,25.92,23.8,0.00,970.03,11.1,23.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,10-16-2019,07:00:00,1013.47,23.0,1.30,8.00,91,28.03,24.6,0.00,992.62,0.0,24.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,020,10-16-2019,07:00:00,1015.25,23.9,1.40,8.00,100,29.64,23.9,0.00,994.05,7.4,22.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-16-2019,07:00:00,1011.88,24.8,0.00,9.00,92,31.22,26.2,0.00,1011.45,0.0,25.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-16-2019,07:00:00,1011.92,23.2,6.70,8.00,95,28.44,24.1,0.00,1010.48,0.0,24.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-16-2019,07:00:00,1011.98,24.4,0.00,7.00,94,30.52,25.4,0.00,1006.99,0.0,24.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,10-16-2019,07:00:00,1012.91,23.2,0.00,12.00,82,28.47,26.6,0.00,1009.59,0.0,23.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,10-16-2019,07:00:00,1012.63,24.5,0.00,10.00,89,30.78,26.4,0.00,1011.52,0.0,25.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,030,10-16-2019,07:00:00,1012.09,24.8,3.30,10.00,88,31.38,27.0,0.00,1011.79,9.3,26.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,000,10-16-2019,07:00:00,1011.94,24.8,0.50,8.00,84,31.28,27.8,0.50,1011.25,0.0,26.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,100,10-16-2019,07:00:00,1011.78,24.2,1.60,10.00,86,30.26,26.7,0.00,1011.29,3.7,26.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,040,10-16-2019,07:00:00,1012.40,24.4,2.20,10.00,89,30.51,26.4,0.00,1010.98,9.3,26.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,060,10-16-2019,07:00:00,1012.06,24.1,0.00,8.00,79,30.01,28.0,0.00,1010.38,25.9,27.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,10-16-2019,07:00:00,1014.33,23.4,0.50,10.00,98,28.77,23.7,0.00,1006.18,0.0,23.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,090,10-16-2019,07:00:00,1011.79,24.7,0.00,4.00,90,31.16,26.6,0.00,1011.50,5.6,25.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,200,10-16-2019,07:00:00,1010.36,24.8,0.00,10.00,88,31.38,27.0,0.00,1007.21,5.6,25.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,060,10-16-2019,07:00:00,1011.63,23.9,0.00,10.00,81,29.60,27.5,0.00,1004.67,5.6,26.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,10-16-2019,07:00:00,1012.66,23.3,8.50,8.00,88,28.59,25.5,0.00,1007.00,0.0,24.9
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,090,10-16-2019,07:00:00,1012.46,23.3,0.00,8.00,85,28.62,26.1,0.00,1003.07,11.1,25.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,280,10-16-2019,07:00:00,1012.89,25.0,0.20,5.00,96,31.63,25.7,0.00,1011.61,7.4,25.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,020,10-16-2019,07:00:00,1011.48,25.0,0.01,11.00,90,31.63,26.7,0.00,1011.05,11.1,25.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,10-16-2019,07:00:00,1012.09,23.4,1.70,6.00,97,28.69,23.8,0.00,999.64,0.0,22.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,300,10-16-2019,07:00:00,1011.32,25.1,9.20,7.00,94,31.85,26.1,0.00,1010.60,7.4,25.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,360,10-16-2019,07:00:00,1011.78,24.0,14.20,9.00,93,29.89,25.2,0.00,1009.32,7.4,24.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,10-16-2019,07:00:00,1011.36,24.1,6.40,8.00,93,30.07,25.3,0.00,1010.83,0.0,25.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,050,10-16-2019,07:00:00,1011.31,22.9,0.01,11.00,85,27.99,25.6,0.00,1006.11,5.6,25.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,030,10-16-2019,07:00:00,1011.32,23.7,0.80,8.00,86,29.25,26.3,0.00,1010.90,11.1,25.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,10-16-2019,07:00:00,1011.59,23.7,0.00,8.00,94,29.25,24.7,0.00,1008.79,0.0,24.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-16-2019,07:00:00,1012.23,23.7,0.00,10.00,85,29.35,26.5,0.00,1011.44,0.0,24.3
48501,TRAD,ตราด,ตราด,11.76667,102.88333,070,10-16-2019,07:00:00,1011.45,23.7,6.30,7.00,92,29.36,25.2,0.00,1010.98,5.6,23.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,10-16-2019,07:00:00,1010.91,23.8,3.40,7.00,96,29.41,24.5,0.00,1010.22,0.0,24.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,10-16-2019,07:00:00,1010.07,23.3,6.40,8.00,96,28.53,24.0,0.00,1008.52,0.0,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,10-16-2019,07:00:00,1010.82,23.2,0.30,10.00,94,28.36,24.2,0.00,1009.90,0.0,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,10-16-2019,07:00:00,1010.56,25.5,0.00,10.00,90,32.61,27.2,0.00,1009.87,0.0,25.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,10-16-2019,07:00:00,1010.83,23.4,0.80,8.00,98,28.77,23.7,0.00,1010.02,0.0,23.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,10-16-2019,07:00:00,1010.70,23.8,9.40,10.00,99,29.56,24.0,0.00,1010.05,0.0,23.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,10-16-2019,07:00:00,1010.47,23.9,12.30,10.00,99,29.74,24.1,0.00,1010.06,0.0,23.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-16-2019,07:00:00,1012.25,23.0,8.20,7.00,97,28.17,23.5,0.00,1007.97,0.0,23.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-16-2019,07:00:00,1010.56,23.1,0.40,7.00,98,28.25,23.4,0.00,1008.92,0.0,23.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-16-2019,07:00:00,1010.70,23.4,2.80,.50,97,28.69,23.8,0.00,1007.18,0.0,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,10-16-2019,07:00:00,1010.50,24.7,2.50,8.00,98,31.12,25.0,2.00,1009.13,0.0,24.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,10-16-2019,07:00:00,1009.89,23.0,17.70,15.00,99,28.16,23.2,0.00,1008.99,0.0,23.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,10-16-2019,07:00:00,1009.90,22.5,1.60,10.00,95,27.24,23.4,0.00,1006.29,0.0,22.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,10-16-2019,07:00:00,1009.97,23.8,0.40,10.00,88,29.50,26.0,0.00,1009.53,0.0,25.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,180,10-16-2019,07:00:00,1009.54,24.6,2.90,10.00,97,30.96,25.2,0.00,1008.54,3.7,22.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,10-16-2019,07:00:00,1010.20,24.2,20.80,12.00,94,30.15,25.2,0.00,1009.38,0.0,24.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,10-16-2019,07:00:00,1010.14,23.4,1.30,.30,99,28.85,23.6,0.00,1008.30,0.0,23.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,170,10-16-2019,07:00:00,1010.27,24.5,0.10,10.00,89,30.78,26.4,0.00,1009.52,3.7,25.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,10-16-2019,07:00:00,1010.78,24.4,7.20,3.00,99,30.65,24.6,0.00,1006.73,0.0,23.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,10-16-2019,07:00:00,1010.21,23.6,4.40,8.00,95,29.15,24.5,0.00,1009.52,0.0,24.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,10-16-2019,07:00:00,1010.66,24.5,0.80,10.00,94,30.71,25.5,0.00,1009.53,0.0,23.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,10-16-2019,07:00:00,1010.71,24.1,10.80,.50,98,30.02,24.4,0.00,1007.76,0.0,22.5
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,10-16-2019,07:00:00,1010.74,23.4,10.60,7.00,98,28.77,23.7,0.00,1010.04,0.0,23.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,10-16-2019,07:00:00,1011.30,23.2,1.30,3.00,97,28.43,23.8,0.00,1007.11,0.0,23.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,250,10-16-2019,07:00:00,1010.09,22.7,0.00,10.00,87,27.53,24.9,0.00,1009.50,9.3,.0
