WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,Rainfall,VaporPressure,WindSpeed,Rainfall24Hr,WindDirection,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,LandVisibility
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.2,07-27-2019,04:00:00,1004.96,0.00,28.37,0.0,0.00,000,71,29.0,1008.08,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.5,07-27-2019,04:00:00,1001.41,1.20,28.88,0.0,1.20,000,85,26.1,1008.38,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.3,07-27-2019,04:00:00,1003.26,0.00,30.43,3.7,0.00,320,88,26.5,1008.87,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.1,07-27-2019,04:00:00,1008.63,0.01,28.26,7.4,0.01,280,85,25.9,1009.90,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,22.6,07-27-2019,04:00:00,1007.72,0.00,27.37,0.0,0.00,000,75,27.3,1008.15,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.6,07-27-2019,04:00:00,996.32,0.00,27.35,0.0,0.60,000,89,24.5,1008.70,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.8,07-27-2019,04:00:00,1007.63,0.00,29.56,0.0,0.00,000,83,26.9,1008.34,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.5,07-27-2019,04:00:00,1006.60,1.40,30.67,0.0,1.40,000,90,26.2,1009.05,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,22.2,07-27-2019,04:00:00,1007.81,0.00,26.69,0.0,4.70,000,73,27.5,1008.33,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.1,07-27-2019,04:00:00,1003.30,0.00,28.26,1.9,0.00,350,77,27.5,1008.46,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.1,07-27-2019,04:00:00,1008.09,0.00,30.05,0.0,2.60,000,95,25.0,1008.51,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,23.9,07-27-2019,04:00:00,1005.41,0.00,29.57,0.0,0.40,000,97,24.3,1008.21,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,22.9,07-27-2019,04:00:00,1008.46,0.00,27.85,0.0,0.00,000,81,26.4,1009.25,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.6,07-27-2019,04:00:00,1007.72,0.00,29.13,5.6,26.00,080,97,24.2,1008.18,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.6,07-27-2019,04:00:00,1008.39,0.00,30.84,0.0,0.00,000,92,26.0,1009.07,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.2,07-27-2019,04:00:00,1007.80,0.00,30.13,0.0,1.20,000,89,26.2,1009.34,6.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.4,07-27-2019,04:00:00,1008.85,0.00,30.52,0.0,16.90,000,94,25.4,1009.77,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.9,07-27-2019,04:00:00,1009.30,12.80,31.52,0.0,26.50,000,97,25.5,1009.99,8.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.7,07-27-2019,04:00:00,1008.91,0.10,31.11,0.0,0.10,000,93,26.0,1009.72,5.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.2,07-27-2019,04:00:00,1009.04,0.00,30.25,0.0,0.00,000,93,25.4,1009.67,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.1,07-27-2019,04:00:00,1009.03,0.00,29.97,0.0,0.00,000,94,25.1,1009.43,8.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.1,07-27-2019,04:00:00,1007.44,1.50,31.79,0.0,1.50,000,97,25.5,1011.68,5.00
