WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,MaximumTemperature,RelativeHumidity,Rainfall24Hr,Rainfall,VaporPressure,AirTemperature,DewPoint,LandVisibility,WindDirection,WindSpeed
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1008.87,09-10-2019,19:00:00,913.17,22.9,98,2.00,0.70,23.05,20.1,19.8,.50,240,9.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.68,09-10-2019,19:00:00,991.74,30.1,89,1.90,0.00,33.66,28.0,26.0,8.00,000,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1007.57,09-10-2019,19:00:00,1003.57,35.5,78,0.00,0.00,32.34,29.6,25.3,10.00,000,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.52,09-10-2019,19:00:00,997.77,34.8,92,21.00,21.00,29.99,25.4,24.1,5.00,000,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.46,09-10-2019,19:00:00,1006.53,35.0,84,1.90,0.30,30.97,27.5,24.6,9.00,000,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.44,09-10-2019,19:00:00,986.74,32.0,72,0.00,0.00,29.68,29.4,23.9,10.00,000,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.68,09-10-2019,19:00:00,990.09,30.4,88,9.70,0.00,34.40,28.5,26.4,10.00,160,3.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.47,09-10-2019,19:00:00,991.43,31.2,78,2.40,0.00,31.73,29.3,25.0,10.00,000,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.63,09-10-2019,19:00:00,995.61,30.2,87,5.20,0.00,33.00,28.1,25.7,10.00,180,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.77,09-10-2019,19:00:00,994.90,28.7,94,9.80,0.00,33.34,27.0,25.9,7.00,000,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.68,09-10-2019,19:00:00,994.91,30.3,93,11.20,0.40,30.81,25.7,24.5,7.00,250,5.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.68,09-10-2019,19:00:00,1004.69,35.5,59,0.00,0.00,25.33,30.1,21.3,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.59,09-10-2019,19:00:00,1000.57,33.7,96,25.00,23.00,29.95,24.8,24.1,8.00,250,18.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.05,09-10-2019,19:00:00,1007.93,33.2,91,0.30,0.30,29.28,25.3,23.7,6.00,180,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1009.17,09-10-2019,19:00:00,994.48,32.8,96,6.40,6.40,35.23,27.5,26.8,3.00,000,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,{'@attributes': {'Unit': 'hPa'}},09-10-2019,19:00:00,875.25,22.1,{'@attributes': {'Unit': '%'}},79.00,45.00,{'@attributes': {'Unit': 'mb'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'celcius'}},.05,280,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.24,09-10-2019,19:00:00,1002.39,33.6,74,0.00,0.00,29.65,29.1,23.9,10.00,210,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.14,09-10-2019,19:00:00,1008.33,35.5,96,29.00,29.00,30.13,24.9,24.2,3.00,090,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.92,09-10-2019,19:00:00,1008.48,31.2,81,0.00,0.00,32.34,28.9,25.4,10.00,210,5.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1010.30,09-10-2019,19:00:00,998.91,29.0,88,4.80,0.00,28.59,25.5,23.3,5.00,000,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.32,09-10-2019,19:00:00,1007.32,35.7,64,0.00,0.00,28.15,30.6,23.0,10.00,210,13.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.59,09-10-2019,19:00:00,1006.76,34.7,85,0.00,0.00,29.72,26.7,23.9,8.00,130,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.78,09-10-2019,19:00:00,1008.02,35.1,61,0.00,0.00,25.76,29.9,21.6,6.00,230,11.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.47,09-10-2019,19:00:00,1008.76,32.2,84,0.00,0.00,29.08,26.5,23.6,10.00,020,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.39,09-10-2019,19:00:00,1008.69,32.5,88,7.30,0.20,32.76,27.7,25.6,7.00,010,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.36,09-10-2019,19:00:00,987.18,33.3,81,0.10,0.10,28.94,27.0,23.5,7.00,240,9.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1009.86,09-10-2019,19:00:00,993.07,32.1,81,0.01,0.00,28.03,26.5,23.0,8.00,240,7.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1010.30,09-10-2019,19:00:00,993.79,33.0,81,0.10,0.00,28.03,26.5,23.0,6.00,230,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.66,09-10-2019,19:00:00,986.84,33.6,74,0.00,0.00,28.12,28.0,23.0,10.00,000,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.80,09-10-2019,19:00:00,965.94,29.8,95,12.60,12.60,27.41,23.5,22.6,10.00,240,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1009.12,09-10-2019,19:00:00,988.48,33.4,78,0.10,0.10,26.99,26.5,22.3,7.00,130,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.77,09-10-2019,19:00:00,989.69,32.2,100,7.00,2.80,30.18,24.2,24.2,8.00,190,16.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.03,09-10-2019,19:00:00,1008.60,31.4,80,0.10,0.10,32.59,29.3,25.5,10.00,180,5.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.82,09-10-2019,19:00:00,1007.39,33.0,97,17.30,5.00,30.40,24.9,24.3,6.00,000,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.00,09-10-2019,19:00:00,1003.03,32.2,97,40.30,1.00,31.33,25.4,24.8,7.00,000,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.92,09-10-2019,19:00:00,1005.65,34.6,60,0.00,0.00,25.24,29.9,21.2,12.00,250,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.91,09-10-2019,19:00:00,1007.81,34.6,73,0.80,0.00,29.38,29.1,23.7,10.00,200,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.23,09-10-2019,19:00:00,1008.93,32.4,79,0.00,0.00,30.70,28.5,24.5,10.00,180,5.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1008.95,09-10-2019,19:00:00,1008.26,32.4,91,0.50,0.50,32.69,27.1,25.5,9.00,000,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.23,09-10-2019,19:00:00,1008.73,33.5,94,1.50,1.50,31.74,26.0,25.0,10.00,010,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.64,09-10-2019,19:00:00,1008.21,33.3,93,4.60,4.60,29.70,25.1,23.9,8.00,100,5.6
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.97,09-10-2019,19:00:00,1007.30,30.2,87,0.00,0.00,34.24,28.7,26.3,10.00,180,18.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.23,09-10-2019,19:00:00,1002.17,32.5,93,4.80,0.00,30.92,25.9,24.6,10.00,000,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.01,09-10-2019,19:00:00,1008.72,33.8,68,0.00,0.00,28.91,30.0,23.5,10.00,000,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.03,09-10-2019,19:00:00,1005.91,32.0,81,0.00,0.00,31.54,28.5,24.9,10.00,000,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.18,09-10-2019,19:00:00,1002.26,31.3,78,0.00,0.00,30.15,28.5,24.2,10.00,210,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.78,09-10-2019,19:00:00,1004.14,32.6,94,3.90,0.40,30.71,25.5,24.5,10.00,000,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1010.07,09-10-2019,19:00:00,1000.79,31.8,74,0.00,0.00,29.16,28.7,23.6,10.00,200,14.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.97,09-10-2019,19:00:00,1008.72,34.1,66,2.40,0.00,26.78,29.3,22.2,10.00,270,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.26,09-10-2019,19:00:00,1008.83,34.0,72,4.10,0.30,28.91,29.0,23.5,11.00,000,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.98,09-10-2019,19:00:00,997.74,34.0,69,0.00,0.00,26.37,28.2,22.0,10.00,000,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.49,09-10-2019,19:00:00,1008.79,34.8,64,0.00,0.00,28.34,30.7,23.1,10.00,000,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.67,09-10-2019,19:00:00,1007.25,33.5,92,0.00,0.00,38.45,29.8,28.3,10.00,240,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.46,09-10-2019,19:00:00,1008.94,30.6,82,0.00,0.00,31.62,28.4,25.0,10.00,000,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.70,09-10-2019,19:00:00,1004.55,32.7,76,0.00,0.00,29.22,28.3,23.7,12.00,230,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.78,09-10-2019,19:00:00,1009.37,30.3,84,0.20,0.00,31.87,28.1,25.1,7.00,000,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.10,09-10-2019,19:00:00,1007.32,30.7,93,8.90,0.00,32.35,26.5,25.4,8.00,000,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.92,09-10-2019,19:00:00,1012.13,33.5,70,0.00,0.00,27.36,28.6,22.6,10.00,000,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.36,09-10-2019,19:00:00,1009.90,30.0,90,168.30,0.00,31.24,26.5,24.8,8.00,080,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.13,09-10-2019,19:00:00,1009.45,31.3,68,1.20,0.00,26.75,28.7,22.2,7.00,260,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.35,09-10-2019,19:00:00,1008.82,33.5,74,0.00,0.00,27.85,28.0,22.9,8.00,000,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.92,09-10-2019,19:00:00,1010.01,32.0,76,25.90,0.00,29.90,28.8,24.0,10.00,270,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.32,09-10-2019,19:00:00,1009.63,32.5,81,0.20,0.00,31.54,28.5,24.9,12.00,000,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.07,09-10-2019,19:00:00,1009.27,34.5,90,1.40,0.80,30.67,26.2,24.5,10.00,000,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.30,09-10-2019,19:00:00,1009.67,33.9,84,0.10,0.00,29.93,27.1,24.1,10.00,170,1.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.23,09-10-2019,19:00:00,1010.82,34.6,96,30.50,30.50,30.32,25.0,24.3,10.00,000,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.37,09-10-2019,19:00:00,1008.17,33.8,83,0.00,0.00,32.71,28.8,25.5,5.00,000,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.22,09-10-2019,19:00:00,1008.61,34.0,83,1.80,0.00,29.48,27.0,23.8,10.00,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.70,09-10-2019,19:00:00,1007.19,34.0,87,20.20,19.00,26.84,24.5,22.3,8.00,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.96,09-10-2019,19:00:00,1008.59,34.7,94,4.20,4.20,29.97,25.1,24.1,7.00,000,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.23,09-10-2019,19:00:00,1009.35,31.5,78,4.50,0.00,30.15,28.5,24.2,12.00,220,5.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.25,09-10-2019,19:00:00,1006.68,32.8,80,0.40,0.00,29.33,27.5,23.7,10.00,250,5.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.04,09-10-2019,19:00:00,1009.60,32.6,75,0.40,0.00,30.72,29.5,24.5,10.00,000,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.76,09-10-2019,19:00:00,1008.78,31.9,71,0.20,0.00,30.11,29.9,24.2,10.00,270,7.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.12,09-10-2019,19:00:00,1009.31,32.9,73,0.00,0.00,29.00,28.9,23.5,10.00,000,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.29,09-10-2019,19:00:00,1008.48,33.9,83,0.00,0.00,29.75,27.0,24.0,10.00,150,3.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.15,09-10-2019,19:00:00,1009.39,32.7,88,34.60,0.00,31.58,27.1,24.9,7.00,000,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.32,09-10-2019,19:00:00,1006.32,33.6,80,0.00,0.00,30.09,27.9,24.1,10.00,990,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.03,09-10-2019,19:00:00,1009.35,33.1,78,0.00,0.00,31.13,29.0,24.7,10.00,000,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.87,09-10-2019,19:00:00,1009.76,34.3,83,0.00,0.00,32.71,28.8,25.5,10.00,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.19,09-10-2019,19:00:00,1007.28,33.7,78,0.00,0.00,30.82,28.7,24.5,10.00,000,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.42,09-10-2019,19:00:00,1008.74,33.9,89,0.00,0.00,35.76,29.0,27.0,7.00,000,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.03,09-10-2019,19:00:00,1006.89,32.9,80,0.00,0.00,28.59,27.1,23.3,5.00,000,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.04,09-10-2019,19:00:00,1010.45,{'@attributes': {'Unit': 'celcius'}},72,0.00,0.00,23.71,25.6,20.2,6.00,250,13.0
