WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,WindDirection,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,AirTemperature,VaporPressure,MinimumTemperature,DewPoint,MeanSeaLevelPressure
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,07-28-2019,07:00:00,8.00,000,1007.64,0.00,0.00,76,27.1,27.27,26.6,22.5,1008.41
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,07-28-2019,07:00:00,9.00,100,1008.27,7.20,0.01,88,26.5,30.43,25.0,24.3,1008.97
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,07-28-2019,07:00:00,7.00,000,1008.03,22.70,22.50,94,25.4,30.52,24.6,24.4,1008.74
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,07-28-2019,07:00:00,10.00,000,987.13,0.01,0.00,77,26.5,26.73,25.5,22.2,1008.35
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.7,07-28-2019,07:00:00,7.00,220,991.38,7.20,0.00,83,26.2,28.28,25.1,23.1,1008.16
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.9,07-28-2019,07:00:00,5.00,270,992.08,8.90,0.00,81,25.5,26.53,24.0,22.1,1008.61
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,07-28-2019,07:00:00,10.00,000,986.58,0.10,0.00,81,26.5,28.03,25.5,23.0,1008.50
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,07-28-2019,07:00:00,12.00,250,965.73,0.01,0.00,73,25.9,24.45,24.5,20.7,1009.21
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,07-28-2019,07:00:00,10.00,160,987.62,0.00,0.00,78,26.0,26.37,25.5,22.0,1008.27
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,07-28-2019,07:00:00,8.00,230,988.87,0.00,0.00,82,26.2,27.75,24.9,22.8,1009.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.6,07-28-2019,07:00:00,10.00,270,1008.16,0.00,0.00,74,27.6,27.39,27.0,22.6,1008.59
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-28-2019,07:00:00,6.00,000,1007.60,16.10,16.10,96,24.3,29.05,24.0,23.6,1009.04
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,07-28-2019,07:00:00,7.00,000,1003.63,0.01,0.00,95,26.1,32.12,25.5,25.2,1008.59
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,07-28-2019,07:00:00,10.00,000,1005.28,0.00,0.00,80,27.0,28.67,25.2,23.3,1008.58
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,07-28-2019,07:00:00,10.00,000,1007.36,0.00,0.00,89,26.2,30.13,26.0,24.2,1008.47
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,07-28-2019,07:00:00,10.00,280,1008.36,0.01,0.00,75,28.0,28.39,27.6,23.2,1008.66
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,07-28-2019,07:00:00,10.00,000,1008.28,0.00,0.00,77,27.8,28.82,27.5,23.4,1008.96
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,07-28-2019,07:00:00,10.00,000,1008.07,0.00,0.00,77,27.6,28.45,27.6,23.2,1008.56
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.3,07-28-2019,07:00:00,10.00,280,1007.32,0.00,0.00,71,28.5,27.71,28.4,22.8,1008.73
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.0,07-28-2019,07:00:00,9.00,000,1007.10,0.01,0.01,78,29.5,32.13,29.2,25.2,1008.76
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,07-28-2019,07:00:00,10.00,180,1002.77,0.20,0.01,88,26.0,29.50,25.7,23.8,1010.83
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,07-28-2019,07:00:00,6.00,000,1008.55,2.00,1.80,94,27.2,34.03,26.3,26.2,1008.84
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,07-28-2019,07:00:00,10.00,000,1005.50,0.00,0.00,71,29.0,28.37,28.0,23.2,1008.61
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,07-28-2019,07:00:00,10.00,230,1001.59,0.00,0.00,70,29.0,27.83,28.4,22.9,1008.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,5.6,07-28-2019,07:00:00,8.00,260,1003.12,0.00,0.00,86,27.0,30.56,25.7,24.4,1008.72
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,14.8,07-28-2019,07:00:00,10.00,270,1000.35,0.00,0.00,74,28.5,28.78,28.5,23.4,1009.64
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,07-28-2019,07:00:00,12.00,320,1008.03,0.01,0.01,85,26.0,28.70,25.5,23.4,1009.30
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,07-28-2019,07:00:00,11.00,000,1008.39,0.00,0.00,74,27.4,27.03,26.6,22.4,1008.82
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,07-28-2019,07:00:00,8.00,000,996.44,0.00,0.00,87,24.5,26.84,24.2,22.3,1008.83
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,07-28-2019,07:00:00,10.00,000,1008.03,0.00,0.00,81,27.5,29.60,27.0,23.9,1008.74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,5.6,07-28-2019,07:00:00,10.00,200,1006.81,0.00,0.00,74,29.1,29.65,28.5,23.9,1009.24
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,5.6,07-28-2019,07:00:00,10.00,280,1008.15,0.00,0.00,71,29.5,29.33,29.4,23.7,1008.67
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,07-28-2019,07:00:00,11.00,230,1003.75,0.00,0.00,77,28.0,29.19,27.4,23.6,1008.89
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,07-28-2019,07:00:00,7.00,000,1008.77,1.00,0.50,95,25.9,31.74,25.4,25.0,1009.18
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,07-28-2019,07:00:00,8.00,000,1006.57,1.20,0.00,96,25.7,31.63,24.8,25.0,1009.35
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,07-28-2019,07:00:00,10.00,000,1009.94,0.00,0.00,81,27.2,29.04,26.5,23.6,1010.73
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,07-28-2019,07:00:00,7.00,060,1008.55,2.00,0.10,95,25.6,31.17,24.7,24.7,1009.01
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,07-28-2019,07:00:00,8.00,000,1009.17,0.00,0.00,93,24.9,29.34,24.7,23.7,1009.85
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-28-2019,07:00:00,8.00,000,1007.99,0.00,0.00,96,24.5,29.41,23.5,23.8,1009.53
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,07-28-2019,07:00:00,10.00,000,1008.99,0.50,0.00,91,25.6,29.82,25.5,24.0,1009.91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,07-28-2019,07:00:00,10.00,000,1008.84,0.00,0.00,81,26.4,27.85,25.3,22.9,1009.53
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,07-28-2019,07:00:00,8.00,000,1009.37,0.01,0.00,98,22.6,26.91,22.5,22.3,1010.18
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,07-28-2019,07:00:00,10.00,000,1009.08,19.00,0.00,95,26.3,32.51,24.7,25.4,1009.72
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,07-28-2019,07:00:00,10.00,000,1009.55,0.00,0.00,95,24.7,29.51,24.1,23.8,1009.96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,07-28-2019,07:00:00,7.00,000,1008.16,0.00,0.00,96,23.2,27.41,22.7,22.6,1012.45
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,07-28-2019,07:00:00,7.00,000,1006.72,0.00,0.00,97,24.4,29.49,23.0,23.8,1008.34
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,07-28-2019,07:00:00,8.00,000,1006.64,0.00,0.00,96,25.0,30.32,24.5,24.3,1010.15
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,07-28-2019,07:00:00,8.00,000,1008.28,17.80,0.00,98,23.2,27.91,23.0,22.9,1009.66
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,07-28-2019,07:00:00,10.00,000,1008.84,0.00,0.00,94,24.7,29.25,24.3,23.7,1009.73
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,07-28-2019,07:00:00,10.00,000,1007.71,0.00,0.00,95,23.7,27.75,23.0,22.8,1011.32
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,07-28-2019,07:00:00,10.00,000,1009.24,0.00,0.00,90,26.0,30.30,25.5,24.3,1009.68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,7.4,07-28-2019,07:00:00,10.00,300,1008.21,0.00,0.00,76,28.9,30.10,23.2,24.1,1009.20
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,14.8,07-28-2019,07:00:00,10.00,250,1009.01,0.00,0.00,75,28.5,29.05,25.0,23.6,1009.82
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,07-28-2019,07:00:00,7.00,000,1008.34,0.00,0.00,95,24.2,28.62,23.6,23.3,1010.17
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,07-28-2019,07:00:00,10.00,000,1009.28,0.50,0.00,88,25.4,28.67,24.9,23.3,1010.04
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,07-28-2019,07:00:00,6.00,000,1006.01,0.00,0.00,98,23.8,28.95,21.7,23.5,1010.06
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-28-2019,07:00:00,10.00,000,1010.10,1.50,0.00,94,24.5,28.89,23.6,23.5,1010.79
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,07-28-2019,07:00:00,10.00,000,1008.94,17.00,0.00,97,24.8,30.48,22.4,24.4,1010.06
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,07-28-2019,07:00:00,.70,000,1007.30,0.00,0.00,98,23.3,28.08,21.7,23.0,1010.26
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,07-28-2019,07:00:00,9.00,000,1009.18,9.90,0.00,97,24.0,28.78,23.7,23.4,1009.88
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,07-28-2019,07:00:00,8.00,000,1006.61,0.00,0.00,96,24.0,28.53,23.5,23.3,1010.79
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.3,07-28-2019,07:00:00,10.00,250,1009.10,17.60,0.00,87,24.2,26.34,.0,21.9,1009.70
