WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,Rainfall,Rainfall24Hr,DewPoint,LandVisibility,WindDirection,AirTemperature,MinimumTemperature,StationPressure,WindSpeed,MeanSeaLevelPressure,VaporPressure
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-08-2019,07:00:00,96,0.10,1.60,24.9,10.00,000,25.6,24.8,999.31,0.0,1004.55,31.44
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-08-2019,07:00:00,86,0.00,0.00,23.8,10.00,000,26.3,25.5,989.57,0.0,1002.74,29.52
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-08-2019,07:00:00,97,0.00,6.00,25.0,10.00,000,25.4,24.8,995.59,0.0,1004.94,31.60
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-08-2019,07:00:00,77,0.00,0.00,22.6,10.00,240,27.0,26.0,980.81,3.7,1002.39,27.36
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-08-2019,07:00:00,85,0.00,0.00,25.1,12.00,230,28.0,26.1,985.55,11.1,1002.92,31.95
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-08-2019,07:00:00,81,0.00,0.00,23.9,10.00,000,27.5,27.0,986.13,0.0,1001.86,29.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-08-2019,07:00:00,76,0.00,0.00,23.1,10.00,220,27.6,26.0,983.10,3.7,1001.85,28.18
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-08-2019,07:00:00,96,0.00,28.90,21.8,7.00,000,22.6,22.0,956.14,0.0,1007.93,26.17
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-08-2019,07:00:00,95,0.10,4.00,25.2,5.00,000,26.1,25.2,1000.33,0.0,1004.29,32.12
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-08-2019,07:00:00,98,0.10,11.30,20.8,.10,270,21.1,19.8,910.43,16.7,1005.50,24.53
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-08-2019,07:00:00,88,0.00,3.30,24.7,10.00,000,26.9,25.9,986.64,0.0,1002.56,31.19
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-08-2019,07:00:00,99,0.40,1.60,25.6,10.00,000,25.8,25.0,1000.63,0.0,1004.67,32.92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-08-2019,07:00:00,96,0.01,1.00,24.5,8.00,000,25.2,24.8,994.12,0.0,1004.84,30.69
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-08-2019,07:00:00,92,0.70,2.40,24.6,9.00,180,26.0,25.3,1002.77,5.6,1004.70,30.84
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-08-2019,07:00:00,75,0.00,0.00,22.0,10.00,200,26.8,25.0,982.53,5.6,1003.33,26.48
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-08-2019,07:00:00,77,0.00,0.00,23.1,10.00,250,27.5,26.2,984.52,14.8,1002.07,28.26
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-08-2019,07:00:00,78,0.00,0.00,23.4,10.00,250,27.5,27.0,985.79,11.1,1001.84,28.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-08-2019,07:00:00,80,0.00,0.01,23.7,10.00,000,27.5,26.4,988.85,0.0,1002.80,29.33
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-08-2019,07:00:00,90,0.00,0.00,24.5,9.00,000,26.2,25.2,988.53,0.0,1003.34,30.67
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-08-2019,07:00:00,89,0.00,2.50,24.4,9.00,270,26.4,25.8,988.57,9.3,1003.21,30.51
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-08-2019,07:00:00,94,0.10,2.50,25.0,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.0,24.9,1000.58,0.0,1003.60,31.65
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-08-2019,07:00:00,86,0.01,0.01,23.6,10.00,000,26.1,25.8,996.14,0.0,1004.09,29.15
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-08-2019,07:00:00,94,0.00,0.90,24.7,8.00,180,25.7,24.4,1004.15,3.7,1005.26,31.08
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-08-2019,07:00:00,92,0.00,0.00,25.1,8.00,000,26.5,25.5,989.19,0.0,1003.85,31.79
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-08-2019,07:00:00,99,0.00,1.40,18.9,.05,280,19.1,18.3,870.66,9.3,1005.63,21.87
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-08-2019,07:00:00,89,0.00,0.00,23.9,10.00,000,25.9,24.8,998.57,0.0,1004.46,29.58
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-08-2019,07:00:00,92,0.40,2.40,25.0,10.00,210,26.4,25.4,1003.97,5.6,1004.77,31.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-08-2019,07:00:00,88,0.80,0.90,24.8,10.00,000,27.0,26.3,1004.12,0.0,1004.57,31.38
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-08-2019,07:00:00,98,8.10,21.50,24.2,2.00,000,24.5,24.2,995.43,0.0,1006.82,30.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-08-2019,07:00:00,89,0.01,0.70,24.5,10.00,000,26.5,25.7,1003.69,0.0,1004.71,30.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-08-2019,07:00:00,95,0.40,2.40,24.7,7.00,200,25.6,25.4,1002.58,3.7,1004.41,31.17
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-08-2019,07:00:00,81,0.00,0.40,22.9,8.00,000,26.4,25.1,1004.26,0.0,1005.03,27.85
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-08-2019,07:00:00,89,0.40,1.00,24.5,10.00,240,26.5,25.3,1004.47,5.6,1005.18,30.70
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-08-2019,07:00:00,91,0.00,0.50,24.5,9.00,000,26.1,25.4,1003.72,0.0,1004.43,30.76
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-08-2019,07:00:00,76,0.00,0.00,22.7,12.00,280,27.3,26.2,982.65,11.1,1003.71,27.63
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-08-2019,07:00:00,80,0.00,0.00,22.8,8.00,230,26.6,25.6,987.00,5.6,1003.68,27.69
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-08-2019,07:00:00,80,0.00,0.00,22.8,6.00,230,26.5,25.0,987.56,3.7,1003.97,27.77
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-08-2019,07:00:00,71,0.00,0.00,21.8,10.00,260,27.5,26.5,981.88,13.0,1003.62,26.17
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-08-2019,07:00:00,85,0.00,0.20,22.1,14.00,250,24.8,23.8,961.19,11.1,1004.64,26.60
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-08-2019,07:00:00,75,0.00,0.01,22.5,10.00,240,27.2,26.3,983.04,3.7,1003.51,27.19
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-08-2019,07:00:00,83,0.00,0.00,24.0,9.00,240,27.2,.0,984.15,22.2,1004.91,29.85
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-08-2019,07:00:00,91,0.00,0.50,25.1,10.00,270,26.7,25.6,1004.52,5.6,1004.96,31.91
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-08-2019,07:00:00,93,0.00,0.01,24.2,11.00,000,25.5,25.4,1003.06,0.0,1004.48,30.17
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-08-2019,07:00:00,93,0.00,0.00,24.8,8.00,000,26.0,25.7,999.43,0.0,1004.36,31.38
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-08-2019,07:00:00,95,1.00,3.50,24.7,10.00,000,25.6,23.7,1002.17,0.0,1005.47,31.17
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-08-2019,07:00:00,97,0.00,1.60,24.9,8.00,000,25.3,24.7,1003.99,0.0,1005.10,31.41
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-08-2019,07:00:00,92,0.40,2.90,24.8,10.00,000,26.2,25.5,1004.57,0.0,1004.87,31.22
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-08-2019,07:00:00,93,2.70,2.70,25.2,9.00,000,26.5,26.0,1003.91,0.0,1004.59,32.07
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-08-2019,07:00:00,96,0.00,0.00,25.3,10.00,000,26.0,25.7,1004.26,0.0,1004.75,32.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-08-2019,07:00:00,89,0.60,2.60,24.8,10.00,250,26.8,25.2,1003.50,9.3,1004.91,31.27
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-08-2019,07:00:00,90,0.00,1.60,25.7,8.00,240,27.5,27.0,1003.25,11.1,1004.93,32.93
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-08-2019,07:00:00,93,0.00,0.50,24.6,10.00,000,25.8,25.1,997.92,0.0,1005.95,31.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-08-2019,07:00:00,88,0.00,0.00,25.9,10.00,000,28.0,26.7,1004.88,0.0,1005.16,33.37
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-08-2019,07:00:00,87,0.00,0.00,25.8,10.00,000,28.2,27.7,1002.09,0.0,1005.21,33.20
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-08-2019,07:00:00,83,0.00,0.10,24.3,10.00,210,27.5,26.8,998.44,5.6,1005.36,30.42
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-08-2019,07:00:00,84,0.01,0.40,24.1,8.00,000,27.0,25.8,999.15,0.0,1004.73,30.02
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-08-2019,07:00:00,84,0.01,0.30,24.3,10.00,290,27.3,26.5,996.50,14.8,1005.79,30.31
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-08-2019,07:00:00,98,0.01,2.40,24.9,8.00,260,25.2,25.0,1004.48,7.4,1005.74,31.49
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-08-2019,07:00:00,87,0.00,0.50,24.1,11.00,290,26.4,25.7,1004.38,13.0,1004.81,29.97
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-08-2019,07:00:00,97,0.30,1.00,23.8,8.00,000,24.4,23.7,993.04,0.0,1005.38,29.49
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-08-2019,07:00:00,95,0.00,1.50,25.0,10.00,000,25.9,25.2,1004.35,0.0,1005.07,31.74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-08-2019,07:00:00,79,0.01,0.30,24.1,10.00,270,28.0,25.4,1002.78,5.6,1005.20,30.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-08-2019,07:00:00,82,0.00,0.20,24.7,10.00,320,28.0,27.5,1004.65,9.3,1005.17,31.11
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-08-2019,07:00:00,89,0.20,0.30,24.5,11.00,290,26.4,26.1,999.72,1.9,1004.87,30.78
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-08-2019,07:00:00,94,0.00,1.20,25.8,7.00,000,26.8,26.1,1004.75,0.0,1005.16,33.22
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-08-2019,07:00:00,96,0.00,10.40,25.3,8.00,000,26.0,25.3,1003.26,0.0,1006.04,32.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-08-2019,07:00:00,86,0.00,2.00,23.2,10.00,000,25.7,24.0,1007.45,0.0,1008.24,28.42
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-08-2019,07:00:00,94,0.90,38.30,24.8,7.00,080,25.8,24.8,1006.48,3.7,1006.94,31.27
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-08-2019,07:00:00,93,0.30,20.80,25.4,7.00,000,26.5,25.3,1006.26,0.0,1006.95,32.35
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-08-2019,07:00:00,96,0.40,2.00,25.3,8.00,000,26.0,25.2,1005.31,0.0,1006.84,32.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-08-2019,07:00:00,85,0.00,1.00,24.7,10.00,210,27.4,27.3,1007.22,3.7,1008.14,31.05
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-08-2019,07:00:00,81,0.00,0.01,23.9,10.00,000,27.5,26.3,1006.17,0.0,1006.86,29.60
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-08-2019,07:00:00,96,0.00,0.00,24.1,7.00,000,24.8,24.8,1006.80,0.0,1007.60,29.95
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-08-2019,07:00:00,80,0.00,0.00,22.8,10.00,000,26.5,25.8,1006.17,0.0,1006.80,27.77
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-08-2019,07:00:00,77,0.00,0.01,22.8,10.00,210,27.2,25.8,1006.90,7.4,1007.30,27.72
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-08-2019,07:00:00,83,0.00,0.01,23.5,5.00,230,26.7,25.0,1004.73,9.3,1008.95,28.92
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-08-2019,07:00:00,96,0.00,0.00,23.8,6.00,000,24.5,23.0,1006.17,0.0,1007.80,29.41
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-08-2019,07:00:00,95,0.00,0.00,23.7,8.00,000,24.6,24.4,1004.91,0.0,1008.41,29.33
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-08-2019,07:00:00,90,0.00,0.00,24.3,8.00,000,26.0,26.0,1005.77,0.0,1007.13,30.30
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-08-2019,07:00:00,94,0.00,0.00,25.0,10.00,000,26.0,25.4,1007.00,0.0,1007.89,31.65
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-08-2019,07:00:00,94,0.00,0.00,24.5,10.00,230,25.5,24.6,1004.53,5.6,1008.11,30.71
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-08-2019,07:00:00,84,0.00,0.00,24.6,10.00,000,27.6,27.1,1007.20,0.0,1007.64,30.89
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-08-2019,07:00:00,76,0.00,0.00,24.6,10.00,000,29.2,26.9,1006.45,0.0,1007.44,30.96
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-08-2019,07:00:00,77,0.00,0.00,24.8,10.00,260,29.2,25.5,1007.02,18.5,1007.83,31.25
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-08-2019,07:00:00,93,0.00,0.00,24.3,8.00,000,25.5,25.4,1006.02,0.0,1007.84,30.44
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-08-2019,07:00:00,78,0.00,0.00,23.3,10.00,270,27.5,26.9,1007.30,1.9,1008.05,28.53
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-08-2019,07:00:00,92,0.00,0.00,23.5,10.00,990,25.0,23.5,1004.08,3.7,1008.11,29.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-08-2019,07:00:00,92,0.00,0.00,24.7,10.00,000,26.1,24.5,1007.79,0.0,1008.48,31.03
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-08-2019,07:00:00,88,0.00,0.00,24.3,10.00,000,26.5,24.9,1007.40,0.0,1008.52,30.43
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-08-2019,07:00:00,96,0.00,0.00,23.8,10.00,000,24.5,23.6,1005.25,0.0,1008.19,29.41
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-08-2019,07:00:00,92,0.00,0.00,23.7,10.00,000,25.0,24.6,1006.41,0.0,1007.10,29.26
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-08-2019,07:00:00,87,0.00,0.00,22.7,6.00,000,24.9,24.4,1004.65,0.0,1008.81,27.53
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-08-2019,07:00:00,88,0.00,0.00,22.8,9.00,240,25.0,.0,1007.17,5.6,1007.76,27.70
