WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,MaximumTemperature,WindDirection,Rainfall,LandVisibility,StationPressure,VaporPressure,DewPoint,RelativeHumidity,MeanSeaLevelPressure,WindSpeed
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,15.60,10-11-2019,19:00:00,29.6,33.6,000,0.00,12.00,974.79,32.05,25.2,77,1008.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,4.10,10-11-2019,19:00:00,25.7,34.6,150,0.10,12.00,990.02,29.74,23.9,90,1008.61,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-11-2019,19:00:00,27.5,35.8,000,0.00,10.00,986.29,29.06,23.6,79,1009.08,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-11-2019,19:00:00,29.5,35.2,000,0.00,10.00,978.91,29.33,23.7,71,1008.53,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-11-2019,19:00:00,28.5,33.4,000,0.00,7.00,973.08,29.87,24.0,77,1008.36,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-11-2019,19:00:00,28.0,35.8,000,0.00,14.00,978.17,29.19,23.6,77,1007.74,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.30,10-11-2019,19:00:00,29.7,35.0,000,0.00,9.00,1001.07,32.26,25.3,77,1008.32,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-11-2019,19:00:00,31.5,35.3,000,0.00,7.00,988.16,31.93,25.1,69,1007.77,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-11-2019,19:00:00,30.5,35.0,000,0.00,12.00,976.89,29.06,23.6,67,1005.12,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-11-2019,19:00:00,30.2,34.5,090,0.00,12.00,988.10,29.03,23.5,68,1008.07,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-11-2019,19:00:00,28.0,34.4,000,0.00,12.00,986.73,30.84,24.6,82,1008.40,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-11-2019,19:00:00,30.0,33.9,150,0.00,12.00,988.29,27.82,22.8,66,1007.58,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-11-2019,19:00:00,29.3,34.6,000,0.00,12.00,991.92,28.12,23.0,69,1008.56,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-11-2019,19:00:00,27.3,34.6,000,0.00,10.00,991.26,30.86,24.6,85,1008.66,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-11-2019,19:00:00,29.4,34.7,070,0.00,9.00,982.37,31.93,25.1,78,1007.96,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-11-2019,19:00:00,30.2,34.5,110,0.00,10.00,1001.78,35.97,27.1,84,1007.51,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-11-2019,19:00:00,29.8,34.3,000,0.00,8.00,1002.92,34.21,26.3,82,1009.07,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,9.80,10-11-2019,19:00:00,27.2,34.7,000,0.00,10.00,992.49,29.85,24.0,83,1008.95,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,62.50,10-11-2019,19:00:00,29.0,33.8,000,0.00,10.00,984.79,28.37,23.2,71,1006.96,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,12.40,10-11-2019,19:00:00,28.5,34.5,000,0.00,10.00,994.69,31.26,24.8,80,1009.03,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,50.90,10-11-2019,19:00:00,27.0,33.5,000,0.00,7.00,992.07,30.02,24.1,84,1008.47,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-11-2019,19:00:00,28.5,34.0,000,0.00,10.00,1003.61,31.54,24.9,81,1008.82,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-11-2019,19:00:00,28.9,34.7,000,0.00,10.00,993.86,31.21,24.8,78,1006.97,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-11-2019,19:00:00,30.3,34.2,210,0.00,11.00,999.05,30.91,24.6,72,1008.29,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-11-2019,19:00:00,30.6,35.5,120,0.00,9.00,986.28,29.81,24.0,68,1007.73,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-11-2019,19:00:00,31.0,35.5,000,0.00,10.00,991.26,32.34,25.4,72,1008.55,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-11-2019,19:00:00,30.5,34.5,000,0.00,10.00,991.69,30.18,24.2,69,1007.35,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-11-2019,19:00:00,29.4,34.9,000,0.00,10.00,988.26,31.65,25.0,77,1007.00,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,16.10,10-11-2019,19:00:00,24.2,32.0,000,9.40,6.00,959.07,26.59,22.1,88,1010.73,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-11-2019,19:00:00,29.7,33.9,300,0.00,8.00,1003.80,34.29,26.3,82,1007.73,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-11-2019,19:00:00,22.4,26.5,000,0.00,6.00,914.66,24.65,20.9,91,1009.74,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-11-2019,19:00:00,29.3,34.1,000,0.00,8.00,991.97,33.16,25.8,81,1007.85,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-11-2019,19:00:00,28.5,33.9,000,0.00,8.00,1003.78,32.96,25.7,85,1007.80,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.30,10-11-2019,19:00:00,27.4,33.8,000,0.00,7.00,998.35,32.45,25.4,89,1009.03,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-11-2019,19:00:00,29.0,34.2,000,0.00,8.00,1006.54,31.98,25.2,80,1008.46,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-11-2019,19:00:00,31.2,34.4,000,0.00,10.00,986.83,29.88,24.0,66,1007.41,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-11-2019,19:00:00,29.0,33.5,000,0.00,10.00,990.55,36.96,27.6,92,1008.11,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-11-2019,19:00:00,30.4,34.4,000,0.00,10.00,991.31,31.68,25.0,73,1007.30,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.60,10-11-2019,19:00:00,29.4,33.4,000,0.00,10.00,994.46,31.65,25.0,77,1008.40,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-11-2019,19:00:00,28.3,34.2,000,0.00,9.00,993.78,32.27,25.3,84,1008.56,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-11-2019,19:00:00,28.9,33.6,000,0.00,10.00,993.71,30.10,24.1,76,1008.31,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-11-2019,19:00:00,29.3,35.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,10.00,1004.73,32.59,25.5,80,1007.72,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-11-2019,19:00:00,28.6,33.8,000,0.00,10.00,1000.25,32.30,25.3,83,1008.17,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-11-2019,19:00:00,32.0,35.6,000,0.00,7.00,1005.90,31.52,24.9,66,1006.99,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-11-2019,19:00:00,29.6,34.0,000,0.00,8.00,993.28,32.05,25.2,77,1007.85,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,14.60,10-11-2019,19:00:00,19.9,25.2,000,0.40,8.00,875.32,22.99,19.7,99,1010.62,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-11-2019,19:00:00,28.5,35.0,000,0.00,10.00,1002.03,32.96,25.7,85,1007.89,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-11-2019,19:00:00,31.0,36.5,270,0.00,8.00,1007.40,35.01,26.7,78,1008.19,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-11-2019,19:00:00,30.3,32.9,210,0.00,10.00,1007.61,31.19,24.7,72,1008.06,7.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.80,10-11-2019,19:00:00,28.2,35.4,000,0.00,6.00,998.00,32.92,25.6,86,1009.29,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.80,10-11-2019,19:00:00,31.2,34.8,000,0.00,8.00,1007.44,31.60,25.0,70,1008.44,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-11-2019,19:00:00,31.0,34.5,000,0.00,10.00,1006.32,31.19,24.7,69,1008.12,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.40,10-11-2019,19:00:00,30.0,34.0,000,0.00,7.00,1007.15,30.31,24.3,71,1007.91,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1.60,10-11-2019,19:00:00,29.3,33.5,210,0.00,9.00,1007.54,28.40,23.2,70,1008.24,7.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-11-2019,19:00:00,29.9,35.3,000,0.00,10.00,1007.49,31.80,25.1,75,1008.18,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-11-2019,19:00:00,30.2,34.0,000,0.00,10.00,986.75,30.42,24.3,71,1007.69,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-11-2019,19:00:00,29.4,33.6,000,0.00,10.00,991.54,29.13,23.6,71,1008.14,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-11-2019,19:00:00,28.5,34.2,000,0.00,8.00,992.00,30.98,24.6,80,1008.37,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-11-2019,19:00:00,30.5,34.2,000,0.00,10.00,986.29,31.31,24.8,72,1007.92,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-11-2019,19:00:00,25.7,32.9,000,0.00,8.00,965.33,28.69,23.3,87,1008.83,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-11-2019,19:00:00,28.6,34.8,000,0.00,10.00,988.12,31.46,24.9,80,1008.60,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-11-2019,19:00:00,26.8,34.6,000,0.00,9.00,988.76,33.79,26.1,96,1009.64,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.20,10-11-2019,19:00:00,30.8,34.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,10.00,1007.62,31.35,24.8,71,1008.05,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-11-2019,19:00:00,28.2,34.4,000,0.00,8.00,1006.12,32.35,25.4,85,1007.54,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-11-2019,19:00:00,28.0,34.5,000,0.00,8.00,1003.36,34.23,26.3,91,1008.28,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,5.30,10-11-2019,19:00:00,30.4,35.0,000,0.00,10.00,1005.07,31.68,25.0,73,1008.33,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-11-2019,19:00:00,31.0,34.5,000,0.00,10.00,1006.97,32.93,25.7,73,1008.06,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,3.30,10-11-2019,19:00:00,30.7,34.3,180,0.00,10.00,1008.01,30.29,24.3,69,1008.31,3.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.40,10-11-2019,19:00:00,30.8,33.5,000,0.00,10.00,1007.60,30.21,24.2,68,1008.28,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.40,10-11-2019,19:00:00,30.8,34.5,000,0.00,10.00,1008.34,31.06,24.7,70,1008.82,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,10-11-2019,19:00:00,29.7,34.2,190,0.01,10.00,1006.81,30.83,24.6,74,1008.21,9.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,2.30,10-11-2019,19:00:00,30.0,31.5,210,0.00,8.00,1006.85,30.03,24.1,71,1008.51,18.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-11-2019,19:00:00,28.8,34.2,000,0.00,10.00,1001.57,31.29,24.8,79,1009.55,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-11-2019,19:00:00,30.0,33.7,000,0.00,10.00,1007.79,32.30,25.3,76,1008.08,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-11-2019,19:00:00,29.0,32.5,000,0.00,10.00,1005.17,31.13,24.7,78,1008.29,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-11-2019,19:00:00,29.1,31.9,000,0.00,10.00,1001.53,31.05,24.7,77,1008.43,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-11-2019,19:00:00,30.6,34.7,000,0.00,10.00,1002.42,31.23,24.8,71,1007.96,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-11-2019,19:00:00,29.2,34.0,220,0.00,8.00,999.74,29.57,23.9,73,1009.01,13.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.10,10-11-2019,19:00:00,29.5,34.3,000,0.00,10.00,1007.98,32.13,25.2,78,1009.24,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-11-2019,19:00:00,31.0,34.6,000,0.00,11.00,1008.07,33.52,26.0,75,1008.49,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-11-2019,19:00:00,27.8,33.3,000,0.00,8.00,997.18,30.72,24.5,82,1009.44,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-11-2019,19:00:00,29.7,31.8,210,0.00,10.00,1007.88,33.41,25.9,80,1008.59,9.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.80,10-11-2019,19:00:00,28.4,32.6,210,0.00,8.00,1007.16,32.47,25.4,84,1009.59,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-11-2019,19:00:00,29.7,32.7,240,0.00,10.00,1008.15,31.97,25.2,77,1008.67,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.10,10-11-2019,19:00:00,28.5,32.2,250,0.00,8.00,1003.35,32.39,25.4,83,1008.48,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-11-2019,19:00:00,29.8,34.8,000,0.00,8.00,1008.26,31.60,25.0,75,1008.67,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-11-2019,19:00:00,29.5,33.5,000,0.00,8.00,1005.18,35.05,26.7,85,1007.93,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-11-2019,19:00:00,29.6,33.2,150,0.00,10.00,1008.61,33.20,25.8,80,1009.39,3.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-11-2019,19:00:00,28.0,33.0,100,0.00,8.00,1008.39,30.56,24.4,81,1008.85,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-11-2019,19:00:00,29.1,33.2,000,0.00,10.00,1008.18,29.93,24.1,74,1008.86,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-11-2019,19:00:00,28.4,34.6,000,0.00,9.00,1005.93,31.06,24.7,80,1007.45,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,19.50,10-11-2019,19:00:00,27.5,33.0,000,0.00,10.00,1008.19,30.97,24.6,84,1009.11,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-11-2019,19:00:00,28.4,31.8,000,0.00,10.00,1008.71,31.62,25.0,82,1009.40,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-11-2019,19:00:00,27.4,33.8,000,0.00,10.00,1008.31,31.05,24.7,85,1009.11,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-11-2019,19:00:00,28.6,32.5,050,0.00,10.00,1008.50,28.43,23.2,73,1009.13,3.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-11-2019,19:00:00,28.2,32.2,000,0.00,10.00,1008.90,33.20,25.8,87,1009.30,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-11-2019,19:00:00,27.3,32.0,000,0.00,6.00,1006.98,34.81,26.6,96,1011.20,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.80,10-11-2019,19:00:00,26.0,33.3,000,0.00,8.00,1005.65,32.20,25.3,96,1009.14,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.20,10-11-2019,19:00:00,27.2,33.2,000,0.00,8.00,1007.75,30.12,24.2,84,1009.11,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.30,10-11-2019,19:00:00,29.0,32.0,000,0.00,10.00,1007.40,31.13,24.7,78,1008.28,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-11-2019,19:00:00,25.6,33.0,000,0.00,10.00,1005.49,28.77,23.4,88,1009.07,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,4.60,10-11-2019,19:00:00,28.7,32.8,300,0.00,10.00,1008.27,30.54,24.4,78,1008.71,3.7
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-11-2019,19:00:00,29.3,32.1,000,0.00,10.00,1007.32,30.88,24.6,76,1008.30,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-11-2019,19:00:00,26.5,31.5,090,0.00,10.00,1008.42,30.16,24.2,87,1009.23,9.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,39.10,10-11-2019,19:00:00,26.2,33.3,000,0.00,10.00,1007.25,31.22,24.8,92,1009.07,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-11-2019,19:00:00,27.4,31.5,240,0.00,10.00,1008.83,27.03,22.4,74,1009.58,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.20,10-11-2019,19:00:00,24.6,34.5,080,7.00,10.00,1005.71,30.38,24.3,98,1009.74,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,3.80,10-11-2019,19:00:00,25.3,32.5,000,1.50,10.00,1008.65,29.28,23.7,91,1009.34,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.60,10-11-2019,19:00:00,26.2,32.1,000,0.00,10.00,1008.04,30.67,24.5,90,1009.16,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,2.50,10-11-2019,19:00:00,25.4,33.6,160,0.00,10.00,1006.72,30.79,24.5,95,1009.67,3.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.90,10-11-2019,19:00:00,28.6,32.5,000,0.00,10.00,1008.74,29.79,24.0,76,1009.43,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1.60,10-11-2019,19:00:00,28.1,33.2,000,0.00,7.00,1006.09,30.48,24.4,80,1010.21,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-11-2019,19:00:00,28.6,32.4,000,0.00,10.00,1009.01,30.34,24.3,78,1009.59,0.0
