WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,Rainfall,WindDirection,VaporPressure,DewPoint,StationPressure,Rainfall24Hr,WindSpeed,RelativeHumidity,AirTemperature
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,8.00,09-20-2019,22:00:00,1011.01,2.10,000,29.31,23.7,993.28,6.20,0.0,97,24.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,09-20-2019,22:00:00,1009.58,1.00,000,30.84,24.6,993.65,7.20,0.0,92,26.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.00,09-20-2019,22:00:00,1009.91,5.80,030,30.58,24.4,990.85,24.50,1.9,97,25.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,09-20-2019,22:00:00,1008.93,0.00,000,27.00,22.3,957.28,15.60,0.0,92,23.7
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,09-20-2019,22:00:00,1009.57,2.50,000,31.38,24.8,1005.59,33.70,0.0,93,26.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,8.00,09-20-2019,22:00:00,1010.39,0.00,050,24.58,20.8,915.10,7.60,11.1,94,21.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.00,09-20-2019,22:00:00,1010.62,6.50,000,30.03,24.1,994.46,9.20,0.0,97,24.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,09-20-2019,22:00:00,1009.68,0.01,090,32.38,25.4,1005.64,41.80,3.7,92,26.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,4.00,09-20-2019,22:00:00,1010.25,16.50,000,30.69,24.5,999.48,16.70,0.0,96,25.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,6.00,09-20-2019,22:00:00,1009.83,0.40,000,32.89,25.6,1007.90,3.20,0.0,91,27.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-20-2019,22:00:00,1010.23,0.00,000,29.52,23.8,989.26,121.40,0.0,86,26.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-20-2019,22:00:00,1009.99,0.20,000,30.05,24.1,992.16,42.70,0.0,95,25.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-20-2019,22:00:00,1009.80,0.00,000,31.49,24.9,993.50,41.20,0.0,98,25.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-20-2019,22:00:00,1009.75,0.01,130,29.60,23.9,995.64,12.60,3.7,87,26.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,8.00,09-20-2019,22:00:00,1010.27,0.80,000,29.52,23.8,995.30,21.80,0.0,93,25.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,09-20-2019,22:00:00,1010.19,0.01,000,33.35,25.9,995.44,5.00,0.0,98,26.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-20-2019,22:00:00,1008.95,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",33.05,25.7,1005.93,0.20,0.0,89,27.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,09-20-2019,22:00:00,1009.90,0.40,000,30.54,24.4,1001.89,8.70,0.0,93,25.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,09-20-2019,22:00:00,1009.50,0.00,180,32.92,25.6,1008.39,3.20,7.4,86,28.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,09-20-2019,22:00:00,1010.18,0.00,000,28.18,23.1,995.40,6.50,0.0,84,26.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,09-20-2019,22:00:00,1011.34,0.00,150,22.65,19.5,875.77,18.20,3.7,100,19.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,09-20-2019,22:00:00,1009.82,0.00,000,33.19,25.8,1003.91,1.80,0.0,96,26.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-20-2019,22:00:00,1009.47,0.00,080,33.09,25.7,1008.67,17.00,5.6,91,27.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-20-2019,22:00:00,1009.33,0.00,210,31.42,24.9,1008.88,81.50,9.3,82,28.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,09-20-2019,22:00:00,1010.30,36.10,000,29.41,23.8,998.86,38.50,0.0,96,24.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.00,09-20-2019,22:00:00,1010.31,4.60,000,31.33,24.8,1009.29,51.60,0.0,97,25.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,09-20-2019,22:00:00,1009.65,0.00,000,32.36,25.4,1007.82,15.80,0.0,88,27.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,09-20-2019,22:00:00,1009.92,45.40,000,31.12,24.7,1009.15,46.20,0.0,98,25.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,09-20-2019,22:00:00,1009.71,0.01,210,31.33,24.8,1009.01,0.20,7.4,86,27.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,09-20-2019,22:00:00,1009.71,0.00,090,32.49,25.4,1009.01,38.20,3.7,91,27.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,8.00,09-20-2019,22:00:00,1010.11,5.90,000,30.67,24.5,988.84,17.00,0.0,90,26.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.00,09-20-2019,22:00:00,1009.93,0.00,000,31.71,25.0,993.09,62.70,0.0,97,25.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,7.00,09-20-2019,22:00:00,1010.23,0.00,000,30.96,24.6,993.65,91.40,0.0,97,25.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-20-2019,22:00:00,1010.17,0.01,000,31.79,25.1,988.22,2.00,0.0,92,26.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,6.00,09-20-2019,22:00:00,1010.32,0.00,090,29.49,23.8,966.57,34.20,3.7,97,24.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,09-20-2019,22:00:00,1009.79,0.20,000,30.32,24.3,989.04,2.60,0.0,96,25.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,09-20-2019,22:00:00,1011.26,0.20,000,31.28,24.8,990.21,16.60,0.0,100,24.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-20-2019,22:00:00,1009.35,0.00,270,31.79,25.1,1008.91,6.00,5.6,92,26.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,09-20-2019,22:00:00,1009.51,0.00,000,31.16,24.7,1008.09,2.10,0.0,90,26.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,09-20-2019,22:00:00,1010.25,0.00,000,33.32,25.8,1005.29,4.00,0.0,99,26.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,6.00,09-20-2019,22:00:00,1009.93,0.01,180,31.66,25.0,1006.63,0.30,3.7,89,27.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,6.00,09-20-2019,22:00:00,1010.15,0.40,000,33.19,25.8,1009.04,1.70,0.0,96,26.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,09-20-2019,22:00:00,1009.72,0.00,000,32.63,25.5,1009.42,3.20,0.0,85,28.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-20-2019,22:00:00,1009.51,0.00,000,31.87,25.1,1009.02,5.40,0.0,84,28.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.00,09-20-2019,22:00:00,1009.76,0.00,140,32.55,25.5,1008.35,2.40,7.4,85,28.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-20-2019,22:00:00,1011.55,0.00,000,31.49,24.9,1003.47,0.01,0.0,98,25.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-20-2019,22:00:00,1009.41,0.00,000,31.52,24.9,1009.13,27.80,0.0,86,27.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-20-2019,22:00:00,1009.56,0.00,000,32.36,25.4,1006.42,29.10,0.0,88,27.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-20-2019,22:00:00,1009.36,0.00,000,30.10,24.1,1002.40,3.40,0.0,85,26.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-20-2019,22:00:00,1010.32,0.00,000,33.19,25.8,1004.70,15.00,0.0,96,26.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,09-20-2019,22:00:00,1009.86,0.00,000,31.63,25.0,1008.59,2.90,0.0,96,25.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-20-2019,22:00:00,1009.53,1.40,000,31.38,24.8,1009.09,3.30,0.0,93,26.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,09-20-2019,22:00:00,1010.42,0.00,000,29.49,23.8,998.01,51.70,0.0,97,24.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-20-2019,22:00:00,1009.84,0.00,250,31.90,25.1,1009.12,59.80,3.7,97,25.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,09-20-2019,22:00:00,1010.87,0.00,000,31.24,24.8,1008.42,20.90,0.0,90,26.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-20-2019,22:00:00,1009.80,0.00,220,31.11,24.7,1009.29,41.30,9.3,82,28.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,09-20-2019,22:00:00,1009.64,0.00,270,31.52,24.9,1004.47,14.30,1.9,91,26.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-20-2019,22:00:00,1009.96,1.50,000,32.63,25.5,1009.55,58.90,0.0,94,26.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-20-2019,22:00:00,1009.96,0.00,000,31.88,25.1,1007.17,72.50,0.0,93,26.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-20-2019,22:00:00,1010.23,0.00,270,29.56,23.8,1009.43,23.30,3.7,90,25.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,09-20-2019,22:00:00,1010.27,0.00,060,31.25,24.8,1009.81,24.30,3.7,96,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,09-20-2019,22:00:00,1010.23,0.00,000,29.50,23.8,1009.55,1.00,0.0,88,26.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,09-20-2019,22:00:00,1010.34,0.00,000,30.72,24.5,1008.81,0.40,0.0,87,26.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-20-2019,22:00:00,1009.64,0.00,000,30.57,24.4,1008.72,11.40,0.0,91,26.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,09-20-2019,22:00:00,1010.30,0.00,300,30.67,24.5,1009.61,0.00,5.6,90,26.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,09-20-2019,22:00:00,1010.46,0.00,000,31.49,24.9,1009.66,0.00,0.0,87,27.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,09-20-2019,22:00:00,1009.94,0.10,000,31.41,24.9,1009.30,8.30,0.0,97,25.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.00,09-20-2019,22:00:00,1009.96,0.10,000,30.69,24.5,1009.55,4.10,0.0,96,25.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,09-20-2019,22:00:00,1011.90,0.00,000,30.36,24.3,1007.65,0.00,0.0,93,25.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,09-20-2019,22:00:00,1011.06,0.00,000,30.79,24.5,1009.43,8.20,0.0,95,25.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,09-20-2019,22:00:00,1010.31,0.00,000,31.00,24.6,1006.81,0.70,0.0,93,25.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.00,09-20-2019,22:00:00,1009.83,0.00,000,31.52,24.9,1008.47,1.10,0.0,97,25.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-20-2019,22:00:00,1009.93,0.00,000,30.44,24.3,1009.04,1.60,0.0,93,25.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-20-2019,22:00:00,1010.42,0.00,000,30.76,24.5,1006.84,0.30,0.0,91,26.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-20-2019,22:00:00,1010.41,0.00,000,30.89,24.6,1009.97,0.00,0.0,84,27.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,09-20-2019,22:00:00,1009.89,0.00,000,31.17,24.7,1008.89,0.00,0.0,95,25.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,09-20-2019,22:00:00,1010.57,0.00,000,28.25,23.1,1009.75,0.00,0.0,86,25.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.00,09-20-2019,22:00:00,1010.57,0.00,000,30.81,24.5,1008.74,2.60,0.0,93,25.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.00,09-20-2019,22:00:00,1010.29,0.00,250,30.02,24.1,1009.53,0.00,1.9,84,27.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.00,09-20-2019,22:00:00,1010.56,0.00,240,31.05,24.7,1006.54,0.20,5.6,90,26.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,8.00,09-20-2019,22:00:00,1010.33,0.00,000,30.13,24.2,1009.64,0.20,0.0,89,26.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,09-20-2019,22:00:00,1010.08,0.00,000,31.16,24.7,1008.96,0.00,0.0,90,26.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.00,09-20-2019,22:00:00,1010.72,0.00,000,31.33,24.8,1007.79,0.00,0.0,91,26.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.00,09-20-2019,22:00:00,1010.26,0.00,000,32.30,25.3,1009.57,0.00,0.0,91,26.9
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,4.00,09-20-2019,22:00:00,1010.93,0.00,070,30.09,24.1,1006.77,0.00,3.7,92,25.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,8.00,09-20-2019,22:00:00,1010.50,0.00,240,29.91,24.0,1009.91,30.70,5.6,92,25.5
