WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,VaporPressure,WindDirection,AirTemperature,LandVisibility,Rainfall,StationPressure,Rainfall24Hr,MeanSeaLevelPressure
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-26-2019,04:00:00,24.5,96,30.69,000,25.2,10.00,0.70,988.67,6.60,1005.48
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-26-2019,04:00:00,23.8,97,29.49,000,24.4,7.00,1.60,988.06,1.60,1005.58
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-26-2019,04:00:00,25.4,98,32.45,000,25.7,9.00,1.60,978.76,3.60,1004.57
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,08-26-2019,04:00:00,26.0,100,33.60,000,26.0,10.00,0.00,998.95,4.40,1004.75
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-26-2019,04:00:00,25.5,98,32.65,000,25.8,10.00,0.00,998.30,5.80,1004.50
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-26-2019,04:00:00,23.5,92,29.00,000,25.0,10.00,0.00,989.70,0.70,1006.23
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-26-2019,04:00:00,23.3,96,28.53,000,24.0,8.00,7.40,982.53,17.60,1005.02
48376,TAK,ตาก,ตาก,16.87833,99.14333,13.0,08-26-2019,04:00:00,22.3,75,26.84,260,27.0,7.00,0.00,991.51,0.00,1005.88
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-26-2019,04:00:00,24.1,84,30.02,000,27.0,6.00,0.00,987.91,0.00,1004.24
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-26-2019,04:00:00,24.0,95,29.87,000,24.9,10.00,0.00,1000.25,4.20,1005.50
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-26-2019,04:00:00,24.3,96,30.32,000,25.0,10.00,0.00,991.17,5.80,1004.42
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,08-26-2019,04:00:00,24.9,96,31.44,000,25.6,10.00,0.00,996.03,1.20,1005.38
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.6,08-26-2019,04:00:00,22.9,98,27.91,180,23.2,8.00,0.00,983.39,8.00,1005.30
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,9.3,08-26-2019,04:00:00,22.6,77,27.36,220,27.0,7.00,3.50,986.57,16.00,1004.01
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-26-2019,04:00:00,23.3,96,28.53,000,24.0,6.00,44.00,988.56,62.00,1004.51
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-26-2019,04:00:00,23.4,90,28.83,000,25.2,8.00,0.30,985.29,3.50,1004.23
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-26-2019,04:00:00,21.9,95,26.25,000,22.8,5.00,0.00,954.50,0.70,1006.16
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,08-26-2019,04:00:00,24.7,95,31.17,100,25.6,6.00,0.00,1001.57,0.70,1005.54
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.5,08-26-2019,04:00:00,20.2,98,23.64,210,20.5,.05,0.70,911.27,8.90,1006.63
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-26-2019,04:00:00,24.2,98,30.20,000,24.5,2.00,55.00,989.54,58.80,1005.64
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,08-26-2019,04:00:00,24.5,90,30.67,000,26.2,7.00,0.00,1001.83,6.10,1005.87
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-26-2019,04:00:00,24.1,92,29.99,000,25.4,7.00,0.00,996.53,0.20,1007.27
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,08-26-2019,04:00:00,23.5,86,28.97,210,26.0,9.00,0.00,1004.46,0.00,1006.40
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,08-26-2019,04:00:00,23.6,92,29.18,240,25.1,10.00,0.00,984.88,5.40,1005.85
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,08-26-2019,04:00:00,23.6,97,29.04,210,24.0,9.00,33.10,987.56,110.00,1005.37
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,11.1,08-26-2019,04:00:00,23.9,100,29.64,220,23.9,7.00,62.60,989.01,106.10,1005.31
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,7.4,08-26-2019,04:00:00,24.3,96,30.32,210,25.0,10.00,0.01,992.48,12.70,1006.60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,3.7,08-26-2019,04:00:00,24.1,96,29.95,180,24.8,9.00,0.00,992.18,10.20,1007.12
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,08-26-2019,04:00:00,24.9,98,31.49,000,25.2,6.00,0.00,992.35,29.10,1007.11
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-26-2019,04:00:00,24.3,89,30.32,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.3,8.00,0.00,1002.90,15.00,1005.92
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-26-2019,04:00:00,24.6,93,30.92,000,25.9,7.00,0.00,997.89,0.20,1005.86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.4,08-26-2019,04:00:00,24.0,88,29.86,230,26.2,7.00,0.00,1006.63,1.00,1007.74
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-26-2019,04:00:00,23.1,85,28.26,000,25.9,8.00,0.00,990.19,12.00,1004.90
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,9.3,08-26-2019,04:00:00,18.9,100,21.82,290,18.9,.05,3.60,872.97,71.20,1008.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-26-2019,04:00:00,24.5,96,30.69,000,25.2,9.00,0.20,1000.48,14.30,1006.39
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,08-26-2019,04:00:00,25.0,96,31.63,210,25.7,8.00,0.50,1006.58,12.30,1007.39
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,14.8,08-26-2019,04:00:00,24.2,86,30.18,230,26.8,10.00,1.60,1006.79,5.40,1007.23
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-26-2019,04:00:00,23.8,96,29.41,000,24.5,3.00,3.00,996.29,12.80,1007.69
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,08-26-2019,04:00:00,24.0,86,29.89,210,26.5,10.00,0.00,1006.02,2.40,1007.03
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,08-26-2019,04:00:00,23.9,89,29.66,190,25.8,7.00,0.00,1004.86,3.20,1006.69
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-26-2019,04:00:00,22.9,91,27.86,000,24.5,6.00,1.60,1006.25,2.10,1007.02
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,14.8,08-26-2019,04:00:00,23.9,92,29.72,230,25.4,9.00,2.70,1007.17,7.00,1007.88
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,08-26-2019,04:00:00,24.1,92,29.99,000,25.4,6.00,2.40,1006.66,28.10,1007.37
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.9,08-26-2019,04:00:00,22.6,86,27.37,210,25.1,10.00,0.00,985.00,36.80,1006.27
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-26-2019,04:00:00,24.3,96,30.32,000,25.0,6.00,0.50,989.75,46.90,1006.57
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,7.4,08-26-2019,04:00:00,24.0,96,29.77,190,24.7,4.00,1.10,990.37,66.40,1006.92
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-26-2019,04:00:00,23.6,93,29.16,000,24.8,10.00,0.00,984.42,4.30,1006.42
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,08-26-2019,04:00:00,20.9,78,24.69,230,25.0,12.00,0.01,963.28,1.40,1006.79
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.6,08-26-2019,04:00:00,23.5,95,28.97,180,24.4,7.00,0.40,985.84,5.00,1006.56
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,13.0,08-26-2019,04:00:00,23.8,100,29.46,200,23.8,7.00,2.20,986.67,5.80,1007.72
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.0,08-26-2019,04:00:00,24.1,92,30.09,240,25.6,10.00,0.80,1007.29,2.30,1007.72
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-26-2019,04:00:00,24.4,98,30.56,000,24.7,6.00,3.70,1005.93,47.90,1007.36
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-26-2019,04:00:00,24.7,98,31.12,000,25.0,7.00,1.50,1002.54,20.10,1007.51
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,08-26-2019,04:00:00,23.9,95,29.69,000,24.8,10.00,6.70,1004.13,8.90,1007.45
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-26-2019,04:00:00,24.6,97,30.96,000,25.2,7.00,2.60,1006.44,3.30,1007.55
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,5.6,08-26-2019,04:00:00,24.1,89,30.03,190,26.0,8.00,1.90,1007.35,5.00,1007.65
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,08-26-2019,04:00:00,25.3,96,32.20,000,26.0,10.00,1.80,1006.65,4.90,1007.14
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,13.0,08-26-2019,04:00:00,25.0,96,31.63,210,25.7,8.00,1.00,1006.67,11.20,1008.09
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-26-2019,04:00:00,23.9,95,29.69,000,24.8,10.00,2.50,1001.47,4.90,1009.56
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,7.4,08-26-2019,04:00:00,23.8,86,29.43,210,26.4,10.00,0.50,1007.36,2.40,1007.65
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,08-26-2019,04:00:00,24.1,84,30.02,000,27.0,10.00,0.00,1004.56,0.00,1007.70
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,7.4,08-26-2019,04:00:00,24.8,96,31.25,250,25.5,8.00,1.80,1001.05,1.80,1008.04
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.7,08-26-2019,04:00:00,24.4,97,30.58,250,25.0,6.00,1.50,1001.60,11.10,1007.24
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,08-26-2019,04:00:00,24.3,96,30.32,150,25.0,8.00,1.00,1007.23,2.60,1008.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,9.3,08-26-2019,04:00:00,23.6,92,29.18,220,25.1,11.00,1.60,1007.26,2.50,1007.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,5.6,08-26-2019,04:00:00,23.2,95,28.44,300,24.1,8.00,0.20,995.83,3.90,1008.22
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,08-26-2019,04:00:00,24.0,91,29.82,000,25.6,10.00,0.00,1007.37,0.10,1008.09
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.4,08-26-2019,04:00:00,23.4,81,28.76,240,26.9,10.00,0.40,1005.41,0.40,1007.85
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,18.5,08-26-2019,04:00:00,23.9,81,29.60,300,27.5,8.00,0.01,1007.47,0.01,1007.99
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,08-26-2019,04:00:00,23.5,83,29.00,000,26.6,7.00,0.50,1002.68,0.50,1007.84
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-26-2019,04:00:00,25.4,94,32.43,000,26.4,7.00,0.00,1007.63,3.20,1008.05
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-26-2019,04:00:00,25.2,97,32.09,000,25.8,8.00,0.00,1005.04,3.70,1007.82
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,5.6,08-26-2019,04:00:00,23.1,91,28.21,230,24.7,6.00,0.50,1007.38,3.10,1008.18
48501,TRAD,ตราด,ตราด,11.76667,102.88333,9.3,08-26-2019,04:00:00,24.2,84,30.20,280,27.1,6.00,0.00,1007.62,15.20,1008.08
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-26-2019,04:00:00,23.0,89,28.04,000,24.9,8.00,0.00,1008.03,7.40,1008.71
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,5.6,08-26-2019,04:00:00,23.5,84,28.90,300,26.4,7.00,0.00,1007.07,8.00,1008.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,08-26-2019,04:00:00,24.3,94,30.34,000,25.3,10.00,0.00,1008.70,49.40,1009.63
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-26-2019,04:00:00,23.1,84,28.18,000,26.0,10.00,0.00,1008.31,4.00,1009.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-26-2019,04:00:00,23.9,97,29.57,000,24.3,9.00,0.00,1008.99,0.10,1009.79
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-26-2019,04:00:00,23.0,85,28.16,000,25.7,10.00,0.00,1007.77,0.00,1008.40
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-26-2019,04:00:00,22.7,84,27.55,000,25.5,10.00,0.00,1008.63,0.01,1009.04
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,3.7,08-26-2019,04:00:00,24.1,85,30.10,230,26.9,5.00,0.00,1006.83,0.00,1011.05
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-26-2019,04:00:00,23.8,96,29.41,000,24.5,8.00,0.00,1007.85,8.40,1009.47
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-26-2019,04:00:00,23.4,97,28.78,000,24.0,5.00,0.00,1006.18,1.30,1009.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-26-2019,04:00:00,23.8,94,29.42,000,24.8,7.00,0.00,1008.16,9.70,1009.53
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-26-2019,04:00:00,23.8,96,29.41,000,24.5,8.00,1.50,1009.17,4.40,1010.07
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-26-2019,04:00:00,23.8,96,29.41,000,24.5,10.00,0.00,1005.90,7.80,1009.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-26-2019,04:00:00,23.3,80,28.67,000,27.0,10.00,0.00,1008.86,9.40,1009.30
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,14.8,08-26-2019,04:00:00,23.4,72,28.72,270,28.9,10.00,0.00,1007.90,6.10,1008.88
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,22.2,08-26-2019,04:00:00,24.2,78,30.15,260,28.5,10.00,0.00,1008.42,12.80,1009.23
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-26-2019,04:00:00,24.4,97,30.48,000,24.8,10.00,0.00,1007.97,53.20,1009.81
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,08-26-2019,04:00:00,23.0,86,28.07,000,25.5,10.00,0.00,1008.72,2.20,1009.48
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,08-26-2019,04:00:00,23.7,96,29.23,000,24.4,10.00,0.00,1005.73,2.40,1009.77
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-26-2019,04:00:00,23.1,91,28.21,000,24.7,10.00,0.00,1008.51,87.20,1009.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-26-2019,04:00:00,24.5,95,30.79,000,25.4,10.00,0.00,1008.24,8.60,1009.37
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-26-2019,04:00:00,24.1,96,29.95,000,24.8,10.00,0.00,1006.67,10.40,1009.62
