WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,LandVisibility,Rainfall,WindDirection,MeanSeaLevelPressure,VaporPressure,StationPressure,AirTemperature,Rainfall24Hr
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-04-2019,13:00:00,23.9,92,5.00,3.60,000,1002.44,29.62,974.94,25.2,7.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-04-2019,13:00:00,24.3,91,10.00,4.40,000,1002.22,30.38,968.79,25.9,5.40
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-04-2019,13:00:00,24.2,95,4.00,2.80,000,1001.99,30.23,983.49,25.1,11.80
48331,NAN,น่าน,น่าน,18.77972,100.77778,1.9,08-04-2019,13:00:00,24.2,97,7.00,9.10,190,1001.07,30.12,978.25,24.6,29.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-04-2019,13:00:00,23.1,93,7.00,7.10,000,1000.91,28.28,971.01,24.3,31.70
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-04-2019,13:00:00,24.6,93,5.00,3.00,000,1001.91,31.00,966.54,25.8,5.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,08-04-2019,13:00:00,24.0,89,8.00,2.40,140,1000.58,29.76,971.03,26.0,20.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-04-2019,13:00:00,25.2,93,8.00,1.40,000,1002.18,32.07,994.90,26.5,6.90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,9.3,08-04-2019,13:00:00,24.8,88,5.00,1.50,210,1001.29,31.38,981.52,27.0,11.40
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-04-2019,13:00:00,24.3,88,5.00,2.50,000,1001.55,30.43,973.05,26.5,11.80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,11.1,08-04-2019,13:00:00,23.5,66,15.00,0.00,230,1000.91,28.86,981.10,30.4,0.60
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.6,08-04-2019,13:00:00,24.0,70,12.00,0.00,240,1001.59,29.75,980.21,30.0,2.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.4,08-04-2019,13:00:00,24.3,74,15.00,0.00,200,1001.18,30.44,981.97,29.5,1.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,08-04-2019,13:00:00,24.3,80,10.00,0.50,240,1002.24,30.28,985.64,28.0,4.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-04-2019,13:00:00,24.1,84,10.00,0.30,000,1002.66,30.02,985.34,27.0,4.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.3,08-04-2019,13:00:00,23.0,69,14.00,0.01,260,999.54,28.12,974.16,29.3,1.30
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,9.3,08-04-2019,13:00:00,24.0,70,10.00,0.20,270,1001.61,29.86,995.91,30.2,0.20
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-04-2019,13:00:00,24.8,72,10.00,0.10,000,1002.06,31.31,995.98,30.5,0.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-04-2019,13:00:00,22.0,64,10.00,0.00,000,1002.12,26.35,985.90,29.5,0.50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,13.0,08-04-2019,13:00:00,23.4,77,10.00,0.00,270,1001.88,28.82,979.74,27.8,38.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,18.5,08-04-2019,13:00:00,21.7,64,7.00,0.00,260,1002.96,25.99,988.74,29.3,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-04-2019,13:00:00,21.8,67,8.00,0.01,000,1001.98,26.04,985.77,28.6,0.01
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,13.0,08-04-2019,13:00:00,24.1,69,10.00,0.00,270,1002.53,29.98,997.38,30.4,0.70
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-04-2019,13:00:00,23.2,67,12.00,0.00,000,1001.14,28.37,988.16,30.0,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.6,08-04-2019,13:00:00,23.0,63,12.00,0.00,210,1002.14,28.09,992.98,31.0,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,11.1,08-04-2019,13:00:00,21.7,62,10.00,0.00,220,1001.93,25.93,980.55,29.7,2.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,14.8,08-04-2019,13:00:00,24.1,66,12.00,0.01,330,1002.11,30.08,984.94,31.3,0.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.4,08-04-2019,13:00:00,23.0,63,11.00,0.00,200,1001.17,28.09,985.63,31.0,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,9.3,08-04-2019,13:00:00,23.0,64,10.00,0.00,200,1000.70,28.15,982.16,30.6,0.50
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-04-2019,13:00:00,22.7,86,6.00,0.60,000,1005.26,27.54,954.04,25.2,16.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,08-04-2019,13:00:00,23.0,63,8.00,0.00,000,1002.29,28.09,998.40,31.0,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.1,08-04-2019,13:00:00,20.6,95,.70,0.01,250,1002.90,24.29,908.17,21.4,7.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-04-2019,13:00:00,24.8,77,8.00,0.00,000,1002.19,31.25,986.40,29.2,0.01
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.4,08-04-2019,13:00:00,24.2,62,10.00,0.00,200,1002.10,30.24,998.16,32.5,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.4,08-04-2019,13:00:00,22.3,65,7.00,0.00,200,1003.86,26.99,993.32,29.7,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,08-04-2019,13:00:00,23.1,69,8.00,0.00,180,1004.20,28.31,1002.30,29.4,0.01
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,08-04-2019,13:00:00,20.8,52,10.00,0.00,230,1001.99,24.57,981.57,32.0,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,13.0,08-04-2019,13:00:00,22.6,63,10.00,0.00,200,1001.68,27.41,984.32,30.5,0.01
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,11.1,08-04-2019,13:00:00,22.1,59,10.00,0.00,210,1001.63,26.65,985.77,31.1,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,11.1,08-04-2019,13:00:00,23.3,61,10.00,0.00,240,1002.60,28.63,988.85,31.7,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.3,08-04-2019,13:00:00,24.0,66,10.00,0.00,170,1003.42,29.76,988.84,31.0,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,14.8,08-04-2019,13:00:00,24.6,69,10.00,0.00,220,1003.90,30.90,989.47,31.0,0.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-04-2019,13:00:00,21.4,50,10.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1002.66,25.46,999.71,33.2,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-04-2019,13:00:00,21.5,61,10.00,0.00,000,1002.39,25.68,994.56,30.0,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,14.8,08-04-2019,13:00:00,22.7,65,8.00,0.00,230,1005.05,27.55,1003.95,30.0,0.40
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-04-2019,13:00:00,24.7,69,9.00,0.00,000,1003.96,31.10,989.52,31.1,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,11.1,08-04-2019,13:00:00,19.3,97,2.00,0.00,280,1005.52,22.40,870.86,19.8,1.50
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,7.4,08-04-2019,13:00:00,22.5,57,10.00,0.00,240,1003.04,27.27,997.28,32.0,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,14.8,08-04-2019,13:00:00,23.2,65,9.00,0.00,240,1004.72,28.50,1003.93,30.5,1.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,08-04-2019,13:00:00,22.3,61,9.00,0.01,230,1005.49,26.97,1005.05,30.7,0.30
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-04-2019,13:00:00,23.6,82,4.00,9.50,000,1005.03,29.21,993.76,27.0,33.40
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,5.6,08-04-2019,13:00:00,24.0,70,10.00,0.00,250,1004.45,29.75,1003.45,30.0,1.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.4,08-04-2019,13:00:00,23.5,68,9.00,0.00,230,1004.26,28.91,1002.46,30.0,0.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-04-2019,13:00:00,22.7,70,8.00,0.01,000,1004.38,27.54,1003.62,28.7,4.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,13.0,08-04-2019,13:00:00,21.5,61,10.00,0.00,260,1005.47,25.68,1004.77,30.0,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,9.3,08-04-2019,13:00:00,23.1,59,7.00,0.00,270,1004.51,28.22,1003.83,32.2,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,11.1,08-04-2019,13:00:00,22.2,58,10.00,0.01,260,1002.99,26.78,982.24,31.6,0.10
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,9.3,08-04-2019,13:00:00,21.9,54,12.00,0.00,230,1002.58,26.31,986.24,32.5,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.1,08-04-2019,13:00:00,22.6,57,10.00,0.00,230,1003.32,27.49,987.24,32.4,0.10
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,18.5,08-04-2019,13:00:00,20.5,54,10.00,0.00,260,1002.94,24.07,981.46,31.0,0.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.2,08-04-2019,13:00:00,20.5,59,14.00,0.00,240,1003.55,24.09,960.80,29.4,0.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,16.7,08-04-2019,13:00:00,18.9,41,10.00,0.00,270,1002.45,21.77,982.44,33.8,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,18.5,08-04-2019,13:00:00,23.5,65,10.00,0.00,250,1004.47,28.89,983.96,30.7,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.6,08-04-2019,13:00:00,23.9,74,10.00,0.01,220,1005.52,29.65,1005.09,29.1,1.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,9.3,08-04-2019,13:00:00,23.0,64,10.00,0.00,270,1004.38,28.15,1002.98,30.6,0.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.4,08-04-2019,13:00:00,23.5,64,10.00,0.00,240,1004.29,28.92,999.44,31.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,7.4,08-04-2019,13:00:00,23.8,71,12.00,0.00,200,1004.64,29.44,1001.38,29.7,6.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-04-2019,13:00:00,24.2,73,10.00,0.01,000,1004.88,30.16,1003.78,29.5,3.30
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,08-04-2019,13:00:00,22.5,63,8.00,0.01,000,1005.08,27.30,1004.79,30.3,0.50
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,08-04-2019,13:00:00,22.5,63,10.00,0.00,000,1005.17,27.22,1004.49,30.4,0.80
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,7.4,08-04-2019,13:00:00,22.4,64,10.00,0.00,280,1005.14,27.01,1004.66,30.0,0.50
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,20.4,08-04-2019,13:00:00,23.0,65,10.00,0.00,250,1005.29,28.12,1003.89,30.3,0.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,14.8,08-04-2019,13:00:00,22.9,61,10.00,0.00,220,1005.55,27.85,1003.90,31.3,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,14.8,08-04-2019,13:00:00,22.0,57,12.00,0.00,230,1006.34,26.40,998.46,31.4,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,14.8,08-04-2019,13:00:00,24.6,69,10.00,0.00,250,1005.06,30.90,1004.78,31.0,0.01
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,9.3,08-04-2019,13:00:00,22.4,62,10.00,0.00,260,1005.29,27.14,1002.20,30.5,1.30
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,11.1,08-04-2019,13:00:00,22.7,65,10.00,0.00,210,1005.81,27.55,998.94,30.0,0.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,14.8,08-04-2019,13:00:00,23.5,56,7.00,0.00,270,1003.68,28.92,998.22,33.4,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,14.8,08-04-2019,13:00:00,22.8,64,12.00,0.00,280,1006.46,27.76,997.26,30.4,0.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-04-2019,13:00:00,23.9,73,14.00,0.01,000,1005.82,29.57,1004.57,29.2,2.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,16.7,08-04-2019,13:00:00,22.5,65,11.00,0.00,240,1005.15,27.17,1004.72,29.8,2.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-04-2019,13:00:00,24.4,82,8.00,0.01,000,1006.05,30.53,993.84,27.7,4.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,08-04-2019,13:00:00,25.3,83,9.00,0.10,230,1005.71,32.19,1005.00,28.4,1.50
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,14.8,08-04-2019,13:00:00,22.1,52,10.00,0.01,270,1005.79,26.67,1003.41,33.4,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,08-04-2019,13:00:00,24.4,73,10.00,0.01,250,1006.41,30.47,1005.90,29.8,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,9.3,08-04-2019,13:00:00,21.7,52,10.00,0.01,260,1005.31,25.98,1000.27,32.9,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,11.1,08-04-2019,13:00:00,23.2,59,10.00,0.00,220,1005.32,28.41,1004.92,32.3,4.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,9.3,08-04-2019,13:00:00,24.3,65,8.00,0.00,180,1005.53,30.32,1002.81,31.7,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-04-2019,13:00:00,25.0,96,6.00,1.10,000,1004.26,31.63,1003.47,25.7,12.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,11.1,08-04-2019,13:00:00,24.1,84,5.00,2.20,240,1005.84,30.02,1005.38,27.0,104.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,9.3,08-04-2019,13:00:00,25.2,79,8.00,0.30,270,1006.75,32.10,1006.07,29.2,0.60
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,11.1,08-04-2019,13:00:00,24.1,67,8.00,0.00,280,1006.99,30.05,1005.48,31.0,0.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,11.1,08-04-2019,13:00:00,23.7,68,10.00,0.00,240,1008.08,29.30,1007.17,30.2,0.10
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,5.6,08-04-2019,13:00:00,24.9,63,10.00,0.00,250,1006.97,31.44,1006.29,32.8,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,18.5,08-04-2019,13:00:00,23.9,55,10.00,0.00,290,1007.26,29.62,1006.49,34.3,1.20
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.4,08-04-2019,13:00:00,22.0,48,10.00,0.00,220,1006.02,26.44,1005.40,34.7,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,22.2,08-04-2019,13:00:00,25.0,60,10.00,0.00,240,1006.66,31.59,1006.26,33.7,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,7.4,08-04-2019,13:00:00,23.9,61,7.00,0.00,210,1008.91,29.66,1004.77,32.5,9.80
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,14.8,08-04-2019,13:00:00,24.1,63,10.00,0.00,220,1007.92,30.08,1006.34,32.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,9.3,08-04-2019,13:00:00,24.9,81,8.00,2.10,230,1008.04,31.54,1004.58,28.5,2.10
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.4,08-04-2019,13:00:00,21.4,52,10.00,0.00,270,1007.85,25.41,1006.52,32.6,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,11.1,08-04-2019,13:00:00,24.6,69,10.00,0.00,240,1008.82,30.90,1007.95,31.0,0.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-04-2019,13:00:00,24.8,70,10.00,0.00,000,1008.51,31.27,1004.99,30.9,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,14.8,08-04-2019,13:00:00,23.2,56,10.00,0.00,250,1008.72,28.40,1008.29,33.0,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,11.1,08-04-2019,13:00:00,24.3,65,10.00,0.00,240,1008.70,30.32,1007.72,31.7,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.6,08-04-2019,13:00:00,25.2,71,10.00,0.00,250,1008.92,32.05,1008.11,31.0,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.1,08-04-2019,13:00:00,23.7,59,10.00,0.00,240,1008.36,29.33,1006.58,32.9,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,13.0,08-04-2019,13:00:00,23.2,53,11.00,0.00,220,1007.62,28.43,1006.88,34.0,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,14.8,08-04-2019,13:00:00,25.0,70,10.00,3.20,240,1008.42,31.68,1004.47,31.1,3.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,11.1,08-04-2019,13:00:00,25.9,80,10.00,8.60,270,1008.37,33.41,1007.69,29.7,8.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,14.8,08-04-2019,13:00:00,23.3,60,10.00,0.00,250,1008.10,28.66,1007.00,32.0,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,9.3,08-04-2019,13:00:00,26.5,86,12.00,0.80,260,1008.69,34.58,1005.79,29.0,0.80
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,22.2,08-04-2019,13:00:00,24.3,56,11.00,0.00,240,1006.87,30.29,1006.20,34.2,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,13.0,08-04-2019,13:00:00,21.9,49,8.00,0.00,290,1007.84,26.29,1003.81,34.2,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.3,08-04-2019,13:00:00,23.6,52,12.00,0.00,310,1007.41,29.13,1006.83,34.9,0.00
