WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,StationPressure,Rainfall24Hr,MinimumTemperature,AirTemperature,MeanSeaLevelPressure,VaporPressure,RelativeHumidity,LandVisibility,DewPoint,WindSpeed
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,10-01-2019,07:00:00,0.00,989.60,0.00,22.0,23.0,1011.70,25.60,91,2.00,21.5,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,10-01-2019,07:00:00,0.00,991.82,0.00,22.7,24.5,1011.55,26.09,85,8.00,21.8,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,10-01-2019,07:00:00,0.00,995.25,0.00,22.5,24.0,1012.24,23.58,79,7.00,20.1,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,10-01-2019,07:00:00,0.00,994.71,0.00,19.7,23.0,1012.44,26.83,96,5.00,22.2,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,10-01-2019,07:00:00,0.00,984.51,0.00,23.4,23.9,1010.62,28.35,96,7.00,23.2,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,10-01-2019,07:00:00,0.00,1004.01,0.00,25.0,26.0,1009.83,32.76,98,4.00,25.6,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,10-01-2019,07:00:00,0.00,1004.08,0.00,24.6,25.2,1010.33,31.49,98,6.00,24.9,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,10-01-2019,07:00:00,0.00,995.21,0.00,24.0,25.0,1011.83,29.00,92,8.00,23.5,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,10-01-2019,07:00:00,0.00,987.01,0.30,23.4,24.2,1009.59,27.09,90,10.00,22.4,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,10-01-2019,07:00:00,0.00,995.96,0.00,25.0,25.7,1010.45,28.95,88,6.00,23.5,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,10-01-2019,07:00:00,0.00,994.10,0.60,25.0,25.4,1010.62,29.46,91,8.00,23.8,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,120,10-01-2019,07:00:00,0.00,1005.37,0.00,25.0,26.0,1010.63,31.65,94,4.00,25.0,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,10-01-2019,07:00:00,0.00,996.79,0.00,24.2,25.0,1010.11,29.00,92,8.00,23.5,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,10-01-2019,07:00:00,0.00,1000.98,0.00,25.0,25.6,1010.38,31.17,95,4.00,24.7,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,000,10-01-2019,07:00:00,0.00,989.31,0.00,24.3,25.0,1011.22,29.52,93,3.00,23.8,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,10-01-2019,07:00:00,0.00,993.92,0.00,24.0,26.0,1011.56,30.57,91,7.00,24.4,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,10-01-2019,07:00:00,0.00,995.01,0.00,22.9,23.5,1011.09,26.42,91,10.00,22.0,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,10-01-2019,07:00:00,0.00,991.31,0.00,23.3,24.3,1010.43,29.57,97,1.20,23.9,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,10-01-2019,07:00:00,0.00,959.82,0.00,21.2,21.8,1011.95,24.19,93,7.00,20.6,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,10-01-2019,07:00:00,0.00,1006.28,0.00,26.3,27.4,1010.24,33.86,93,2.00,26.1,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,10-01-2019,07:00:00,0.00,916.02,1.20,20.5,21.0,1011.70,23.69,95,5.50,20.2,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,10-01-2019,07:00:00,0.00,994.74,0.00,23.7,24.8,1010.90,30.22,97,5.00,24.2,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,10-01-2019,07:00:00,0.00,1006.56,0.00,25.4,25.9,1010.63,32.29,97,2.00,25.3,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,10-01-2019,07:00:00,0.00,1001.58,0.00,25.2,27.0,1012.31,31.94,90,4.00,25.1,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,10-01-2019,07:00:00,0.00,1009.00,0.00,25.8,26.5,1010.94,32.63,94,.50,25.5,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,10-01-2019,07:00:00,0.00,989.71,0.00,25.4,25.5,1010.75,28.59,88,8.00,23.3,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,10-01-2019,07:00:00,0.00,993.07,0.00,23.4,24.8,1010.93,29.69,95,3.00,23.9,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,10-01-2019,07:00:00,0.00,994.40,0.00,24.8,25.5,1010.70,31.79,97,8.00,25.1,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,10-01-2019,07:00:00,0.00,997.20,0.00,23.9,24.7,1011.41,29.25,94,4.00,23.7,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-01-2019,07:00:00,0.00,996.63,0.00,22.4,23.3,1011.71,27.33,96,4.00,22.5,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,10-01-2019,07:00:00,0.00,996.46,0.00,23.9,25.1,1011.28,31.58,99,6.00,24.9,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10-01-2019,07:00:00,0.00,1007.47,0.00,25.5,26.4,1010.50,32.15,93,2.00,25.3,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,10-01-2019,07:00:00,0.00,1003.04,0.00,25.7,26.6,1011.03,31.16,90,8.00,24.7,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,110,10-01-2019,07:00:00,0.00,1009.29,0.00,26.0,26.9,1010.40,31.46,89,8.00,24.9,9.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,10-01-2019,07:00:00,0.00,996.65,0.00,23.7,25.4,1011.47,29.99,92,8.00,24.1,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,200,10-01-2019,07:00:00,0.00,877.12,0.00,19.0,19.8,1012.75,22.85,99,.10,19.6,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,10-01-2019,07:00:00,0.00,1005.20,0.00,24.3,25.2,1011.14,30.15,94,5.00,24.2,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,120,10-01-2019,07:00:00,0.00,1010.08,0.00,26.7,27.5,1010.89,33.78,92,8.00,26.1,1.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,10-01-2019,07:00:00,57.90,1010.71,57.90,25.0,25.0,1011.17,30.32,96,4.00,24.3,3.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-01-2019,07:00:00,0.00,1000.13,0.00,24.2,24.5,1011.57,28.63,93,5.00,23.3,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,10-01-2019,07:00:00,0.00,1009.73,0.00,26.5,27.3,1010.74,31.41,87,6.00,24.9,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,150,10-01-2019,07:00:00,0.00,1008.88,0.00,27.0,27.4,1010.71,32.45,89,4.00,25.4,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,10-01-2019,07:00:00,0.00,1009.92,0.00,24.7,25.4,1010.69,30.25,93,8.00,24.2,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,150,10-01-2019,07:00:00,0.01,1010.72,0.01,25.9,26.9,1011.42,29.02,82,8.00,23.5,7.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,10-01-2019,07:00:00,0.00,1010.34,3.20,26.7,27.6,1011.04,30.07,81,7.00,24.1,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,10-01-2019,07:00:00,0.00,989.83,0.01,25.7,26.2,1011.12,29.60,87,7.00,23.9,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,10-01-2019,07:00:00,0.00,994.40,0.00,23.4,25.2,1011.29,30.42,95,7.00,24.3,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,10-01-2019,07:00:00,0.00,995.13,0.00,22.4,24.2,1011.80,29.13,97,6.00,23.6,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-01-2019,07:00:00,0.00,989.06,0.00,25.0,25.5,1011.11,29.91,92,10.00,24.0,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,050,10-01-2019,07:00:00,0.00,967.55,0.00,21.8,23.4,1011.49,27.75,96,8.00,22.8,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,10-01-2019,07:00:00,0.00,990.32,0.00,24.0,24.8,1011.11,29.16,93,8.00,23.6,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,220,10-01-2019,07:00:00,0.00,991.80,0.00,23.3,25.7,1012.82,31.08,94,4.00,24.7,3.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10-01-2019,07:00:00,0.00,1010.30,0.00,26.8,27.6,1010.74,33.13,90,6.00,25.8,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-01-2019,07:00:00,0.00,1009.64,0.00,26.0,26.0,1011.07,31.38,93,8.00,24.8,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-01-2019,07:00:00,0.00,1005.98,0.00,25.7,26.2,1010.94,32.87,97,7.00,25.6,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,250,10-01-2019,07:00:00,0.00,1007.43,0.00,24.1,26.5,1010.74,30.43,88,8.00,24.3,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,10-01-2019,07:00:00,0.00,1009.83,0.00,25.3,25.8,1010.94,29.39,89,6.00,23.8,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,10-01-2019,07:00:00,0.40,1010.63,1.70,27.1,27.9,1010.93,34.60,92,7.00,26.5,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,130,10-01-2019,07:00:00,0.80,1010.12,2.10,27.1,27.5,1010.81,33.78,92,8.00,26.1,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,120,10-01-2019,07:00:00,0.00,1010.34,3.70,27.5,27.6,1010.83,33.13,90,7.00,25.8,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,130,10-01-2019,07:00:00,0.00,1009.58,13.80,27.3,27.4,1010.99,28.88,79,8.00,23.5,9.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,10-01-2019,07:00:00,2.10,1008.86,2.10,28.6,29.5,1010.53,34.46,84,4.00,26.4,22.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,10-01-2019,07:00:00,0.00,1004.56,0.00,24.9,25.0,1012.67,30.85,97,10.00,24.6,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,10-01-2019,07:00:00,0.00,1010.38,0.00,27.6,28.5,1010.66,33.53,86,4.00,26.0,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,10-01-2019,07:00:00,0.00,1007.78,0.00,27.5,28.5,1010.91,32.96,85,10.00,25.7,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,180,10-01-2019,07:00:00,0.00,1004.06,0.00,26.7,27.5,1011.02,32.36,88,10.00,25.4,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,10-01-2019,07:00:00,0.00,1006.83,0.00,26.0,26.5,1012.47,31.79,92,7.00,25.1,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,170,10-01-2019,07:00:00,0.00,1002.61,0.00,27.2,27.9,1011.94,33.17,88,4.00,25.8,13.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,10-01-2019,07:00:00,0.00,1010.32,0.00,25.1,25.5,1011.60,30.71,94,5.00,24.5,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,310,10-01-2019,07:00:00,0.00,1010.43,0.00,26.0,26.8,1010.86,30.45,86,8.00,24.3,3.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,10-01-2019,07:00:00,0.00,999.04,0.00,23.0,23.6,1011.49,27.83,96,6.00,22.9,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,10-01-2019,07:00:00,0.00,1010.28,0.00,25.8,26.5,1011.00,30.43,88,6.00,24.3,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,180,10-01-2019,07:00:00,0.00,1009.43,0.00,24.5,26.5,1011.89,32.07,93,5.00,25.2,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,10-01-2019,07:00:00,0.00,1011.27,0.00,27.5,28.5,1011.79,31.54,81,8.00,24.9,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,290,10-01-2019,07:00:00,0.00,1006.36,0.10,27.6,27.9,1011.52,30.92,82,11.00,24.6,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,10-01-2019,07:00:00,0.00,1010.94,1.60,25.2,26.0,1011.35,31.38,93,8.00,24.8,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,030,10-01-2019,07:00:00,0.00,1009.00,4.30,25.0,25.8,1011.79,31.82,96,8.00,25.1,3.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-01-2019,07:00:00,0.00,1010.55,0.00,23.0,25.4,1011.34,29.46,91,8.00,23.8,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,040,10-01-2019,07:00:00,0.00,1011.23,15.50,24.9,25.9,1011.69,30.65,92,8.00,24.4,9.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,10-01-2019,07:00:00,0.00,1010.97,0.00,24.4,25.0,1011.66,30.05,95,8.00,24.1,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,10-01-2019,07:00:00,0.40,1009.81,0.40,24.3,24.5,1011.36,29.41,96,8.00,23.8,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,10-01-2019,07:00:00,0.00,1011.11,3.60,24.4,24.5,1012.04,28.11,91,9.00,23.0,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,290,10-01-2019,07:00:00,0.00,1010.79,0.00,25.2,27.3,1011.48,29.23,81,12.00,23.7,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,10-01-2019,07:00:00,0.00,1011.40,0.00,22.7,23.0,1012.21,27.32,97,8.00,22.5,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,10-01-2019,07:00:00,0.00,1010.93,0.00,23.5,24.1,1011.58,29.74,99,12.00,23.9,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,10-01-2019,07:00:00,0.00,1011.48,0.00,23.7,24.2,1011.89,29.39,97,8.00,23.8,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-01-2019,07:00:00,0.00,1009.41,1.20,22.8,23.2,1013.70,27.91,98,1.00,22.9,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-01-2019,07:00:00,0.00,1010.03,27.40,22.7,23.1,1011.67,27.99,99,.80,22.9,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-01-2019,07:00:00,0.00,1008.47,53.40,22.5,23.0,1012.01,27.32,97,5.00,22.5,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,170,10-01-2019,07:00:00,0.00,1010.07,0.00,23.1,23.2,1011.44,28.16,99,8.00,23.0,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,10-01-2019,07:00:00,0.00,1010.19,0.00,22.7,25.0,1011.09,31.12,98,10.00,24.7,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,10-01-2019,07:00:00,0.00,1007.74,1.20,22.3,23.8,1011.35,28.69,97,10.00,23.4,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,10-01-2019,07:00:00,0.00,1010.94,1.40,25.8,26.2,1011.38,32.32,95,10.00,25.3,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,10-01-2019,07:00:00,0.00,1010.04,0.00,23.4,26.2,1011.04,32.87,97,10.00,25.6,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,10-01-2019,07:00:00,0.00,1010.14,0.40,24.8,25.7,1010.96,31.08,94,10.00,24.7,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,10-01-2019,07:00:00,0.00,1009.86,92.90,23.0,23.3,1011.70,28.33,99,.20,23.1,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,000,10-01-2019,07:00:00,0.00,1010.84,0.00,24.8,26.5,1011.59,28.29,82,10.00,23.1,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,990,10-01-2019,07:00:00,0.00,1007.81,35.80,22.3,23.7,1011.87,29.03,99,8.00,23.5,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,10-01-2019,07:00:00,0.00,1011.10,37.20,23.5,24.0,1011.79,28.27,95,8.00,23.1,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,10-01-2019,07:00:00,0.00,1010.14,11.00,23.5,24.0,1011.27,28.78,97,9.00,23.4,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,10-01-2019,07:00:00,0.00,1008.86,6.10,21.5,23.2,1011.83,27.91,98,.50,22.9,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,10-01-2019,07:00:00,0.00,1010.52,0.00,23.0,24.0,1011.22,28.53,96,10.00,23.3,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,10-01-2019,07:00:00,0.00,1008.21,4.10,22.9,23.5,1012.40,28.17,97,5.00,23.0,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,250,10-01-2019,07:00:00,0.00,1010.78,0.00,.0,24.1,1011.37,25.92,86,10.00,21.7,7.4
