WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindDirection,Rainfall,AirTemperature,DewPoint,RelativeHumidity,WindSpeed,StationPressure,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.82,07-20-2019,01:00:00,000,0.00,25.6,24.0,91,0.0,995.95,5.00,0.00,1007.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.30,07-20-2019,01:00:00,000,0.80,26.7,25.8,95,0.0,1004.61,10.00,0.80,1005.62
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.93,07-20-2019,01:00:00,000,0.00,26.3,22.9,82,0.0,1004.10,7.00,0.00,1005.92
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.25,07-20-2019,01:00:00,000,0.30,25.4,24.2,93,0.0,1003.99,4.00,50.40,1004.76
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.33,07-20-2019,01:00:00,270,0.10,26.2,23.7,86,3.7,1005.20,10.00,0.10,1005.90
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.59,07-20-2019,01:00:00,000,0.00,28.6,25.5,83,0.0,1005.19,7.00,0.00,1005.89
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.87,07-20-2019,01:00:00,280,0.00,28.5,24.0,77,3.7,983.82,10.00,0.10,1004.83
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.75,07-20-2019,01:00:00,160,0.00,27.1,24.5,86,3.7,988.48,7.00,0.00,1005.16
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.39,07-20-2019,01:00:00,190,0.00,27.2,24.3,84,5.6,989.90,6.00,0.00,1006.31
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.41,07-20-2019,01:00:00,210,0.00,28.3,23.2,74,13.0,983.41,10.00,0.00,1005.13
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.69,07-20-2019,01:00:00,000,0.00,26.6,22.8,80,0.0,962.65,10.00,0.00,1005.89
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.26,07-20-2019,01:00:00,140,0.00,26.7,24.2,86,3.7,984.65,10.00,0.00,1005.19
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.21,07-20-2019,01:00:00,180,0.00,27.0,25.3,90,13.0,985.87,8.00,0.00,1006.68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.62,07-20-2019,01:00:00,230,0.00,28.4,25.0,82,5.6,1005.63,10.00,0.00,1006.07
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.85,07-20-2019,01:00:00,000,0.00,27.1,25.1,89,0.0,1004.76,6.00,0.00,1006.18
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.03,07-20-2019,01:00:00,000,0.00,26.1,24.7,92,0.0,1001.39,7.00,0.00,1006.33
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.84,07-20-2019,01:00:00,250,0.00,28.0,24.6,82,3.7,1002.72,10.00,0.00,1006.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.78,07-20-2019,01:00:00,170,0.70,27.5,26.1,92,3.7,1005.31,10.00,0.70,1006.41
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.28,07-20-2019,01:00:00,310,0.00,27.8,24.8,84,3.7,1005.76,10.00,0.00,1006.06
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.13,07-20-2019,01:00:00,000,0.00,29.0,24.7,78,0.0,1005.59,10.00,0.00,1006.07
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.57,07-20-2019,01:00:00,210,8.20,26.1,24.9,93,7.4,1004.75,10.00,8.20,1006.16
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.38,07-20-2019,01:00:00,000,0.00,26.0,24.8,93,0.0,1000.31,10.00,0.00,1008.35
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,35.00,07-20-2019,01:00:00,180,0.00,29.2,26.7,86,9.3,1005.21,10.00,0.00,1005.49
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.96,07-20-2019,01:00:00,220,0.00,28.5,25.7,85,5.6,1002.28,10.00,0.00,1005.39
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.98,07-20-2019,01:00:00,240,0.00,28.7,24.1,76,7.4,999.57,10.00,0.00,1006.47
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.38,07-20-2019,01:00:00,000,0.00,27.0,24.8,88,0.0,1000.96,9.00,0.00,1006.56
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.54,07-20-2019,01:00:00,000,0.00,26.6,23.8,85,0.0,1005.77,10.00,4.20,1007.04
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.19,07-20-2019,01:00:00,240,0.00,28.0,23.6,77,3.7,1005.48,11.00,0.00,1005.91
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.00,07-20-2019,01:00:00,000,0.00,25.0,23.5,92,0.0,994.76,10.00,3.10,1007.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.65,07-20-2019,01:00:00,210,0.00,28.0,23.3,76,7.4,1005.88,10.00,0.00,1006.59
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.74,07-20-2019,01:00:00,180,0.00,28.6,25.0,81,11.1,1004.08,10.00,0.00,1006.51
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,33.58,07-20-2019,01:00:00,260,0.00,29.5,26.0,81,16.7,1006.27,10.00,0.00,1006.78
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.41,07-20-2019,01:00:00,000,0.00,27.3,24.9,87,0.0,1000.64,9.00,0.00,1005.78
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.86,07-20-2019,01:00:00,000,0.00,27.4,26.1,93,0.0,1006.35,7.00,26.60,1006.76
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,34.03,07-20-2019,01:00:00,000,0.00,26.5,26.2,98,0.0,1003.88,8.00,35.90,1006.65
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.14,07-20-2019,01:00:00,360,0.00,27.0,23.0,79,9.3,1006.13,10.00,0.30,1006.91
48501,TRAD,ตราด,ตราด,11.76667,102.88333,30.32,07-20-2019,01:00:00,070,16.50,25.0,24.3,96,3.7,1008.17,3.00,151.80,1008.63
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.51,07-20-2019,01:00:00,000,0.30,24.7,23.8,95,0.0,1007.34,6.00,45.00,1008.02
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.13,07-20-2019,01:00:00,000,0.00,24.2,23.6,97,0.0,1006.41,7.00,97.60,1007.95
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.39,07-20-2019,01:00:00,000,12.60,24.2,23.8,97,0.0,1008.00,7.00,112.90,1008.92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.31,07-20-2019,01:00:00,270,0.00,27.3,24.3,84,13.0,1007.18,10.00,0.00,1007.87
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.85,07-20-2019,01:00:00,000,0.30,25.0,24.6,97,0.0,1007.65,7.00,14.30,1008.46
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.63,07-20-2019,01:00:00,000,0.00,25.7,25.0,96,0.0,1007.04,10.00,0.90,1007.68
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.69,07-20-2019,01:00:00,000,0.00,25.2,24.5,96,0.0,1007.30,10.00,0.01,1007.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.52,07-20-2019,01:00:00,000,0.01,25.0,23.8,93,0.0,1005.46,6.00,0.01,1009.70
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.57,07-20-2019,01:00:00,000,0.01,24.3,23.9,97,0.0,1006.99,6.00,13.60,1008.62
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.41,07-20-2019,01:00:00,000,0.00,24.5,23.8,96,0.0,1005.19,8.00,4.00,1008.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.87,07-20-2019,01:00:00,000,0.00,25.3,24.6,96,0.0,1006.16,8.00,5.90,1007.52
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.46,07-20-2019,01:00:00,000,3.60,24.5,24.3,99,0.0,1006.48,8.00,122.80,1007.37
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.48,07-20-2019,01:00:00,000,0.00,24.1,23.8,98,0.0,1004.86,10.00,108.00,1008.46
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.84,07-20-2019,01:00:00,000,1.60,26.0,24.6,92,0.0,1007.01,10.00,11.40,1007.45
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.69,07-20-2019,01:00:00,090,0.00,25.2,24.5,96,5.6,1007.12,10.00,95.60,1007.94
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.58,07-20-2019,01:00:00,000,0.00,25.0,24.4,97,0.0,1006.58,9.00,16.00,1008.41
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.52,07-20-2019,01:00:00,000,0.00,26.5,24.9,91,0.0,1007.41,10.00,0.00,1008.16
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.27,07-20-2019,01:00:00,300,0.00,25.8,24.8,94,3.7,1004.12,6.00,0.20,1008.14
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.82,07-20-2019,01:00:00,000,0.00,25.6,24.0,91,0.0,1007.42,10.00,2.60,1008.11
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.97,07-20-2019,01:00:00,000,0.00,27.5,24.6,84,0.0,1006.88,10.00,0.00,1007.99
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.79,07-20-2019,01:00:00,000,0.00,25.4,24.5,95,0.0,1005.20,10.00,0.00,1008.14
