WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,LandVisibility,WindDirection,Rainfall24Hr,VaporPressure,WindSpeed,Rainfall,StationPressure,MaximumTemperature,MeanSeaLevelPressure,DewPoint
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.1,09-28-2019,19:00:00,77,10.00,000,0.00,29.38,0.0,0.00,978.84,31.2,1012.36,23.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.5,09-28-2019,19:00:00,80,4.00,000,0.01,30.98,0.0,0.00,993.45,33.6,1011.92,24.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.0,09-28-2019,19:00:00,70,10.00,000,0.00,27.83,0.0,0.00,989.80,33.4,1012.56,22.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.0,09-28-2019,19:00:00,84,10.00,000,0.00,30.02,0.0,0.00,982.80,32.0,1012.79,24.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.0,09-28-2019,19:00:00,77,8.00,000,0.00,27.36,0.0,0.00,978.41,31.5,1014.06,22.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.0,09-28-2019,19:00:00,76,5.00,000,0.00,23.96,0.0,0.00,982.34,33.0,1012.34,20.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.0,09-28-2019,19:00:00,66,8.00,000,0.00,29.48,0.0,0.00,1004.07,35.5,1011.31,23.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.6,09-28-2019,19:00:00,62,6.00,060,0.00,27.06,3.7,0.00,992.13,33.7,1011.87,22.4
48353,LOEI,เลย,เลย,17.45000,101.73333,28.2,09-28-2019,19:00:00,66,4.00,000,0.00,25.34,0.0,0.00,983.51,33.6,1012.16,21.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.7,09-28-2019,19:00:00,63,10.00,000,0.00,24.67,0.0,0.00,992.15,33.1,1012.30,20.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.0,09-28-2019,19:00:00,80,6.00,000,0.00,28.67,0.0,0.00,990.67,32.4,1012.50,23.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.5,09-28-2019,19:00:00,67,7.00,000,0.00,26.13,0.0,0.00,992.54,32.6,1012.02,21.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.9,09-28-2019,19:00:00,59,7.00,060,0.00,24.98,3.7,0.00,995.95,33.7,1012.62,21.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.5,09-28-2019,19:00:00,71,7.00,000,0.00,24.45,0.0,0.00,995.89,33.0,1013.43,20.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.0,09-28-2019,19:00:00,74,6.00,000,0.00,27.85,0.0,0.00,985.63,33.0,1011.42,22.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.0,09-28-2019,19:00:00,76,8.00,000,0.00,32.30,0.0,0.00,1005.82,33.6,1011.58,25.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.5,09-28-2019,19:00:00,75,8.00,000,0.00,30.72,0.0,0.00,1005.62,33.2,1011.79,24.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.6,09-28-2019,19:00:00,65,10.00,000,0.00,26.80,0.0,0.00,995.63,35.0,1012.00,22.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.5,09-28-2019,19:00:00,71,8.00,350,0.00,27.44,3.7,0.00,987.52,34.0,1009.79,22.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.8,09-28-2019,19:00:00,80,6.00,000,0.00,31.57,0.0,0.00,998.25,33.4,1012.63,24.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.0,09-28-2019,19:00:00,84,8.00,000,0.00,30.02,0.0,0.00,996.05,32.2,1012.52,24.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.5,09-28-2019,19:00:00,62,10.00,000,0.00,27.14,0.0,0.00,1007.01,33.6,1012.21,22.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.8,09-28-2019,19:00:00,67,10.00,000,2.20,29.65,0.0,0.00,996.94,35.0,1010.01,23.9
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.3,09-28-2019,19:00:00,80,6.00,000,0.00,30.87,0.0,0.00,1002.38,32.8,1011.71,24.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.0,09-28-2019,19:00:00,64,7.00,060,0.00,25.71,3.7,0.00,990.84,34.0,1012.50,21.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.0,09-28-2019,19:00:00,77,10.00,000,0.00,29.19,0.0,0.00,994.96,33.6,1012.50,23.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.0,09-28-2019,19:00:00,62,10.00,050,0.00,26.21,3.7,0.00,995.78,33.7,1011.53,21.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.8,09-28-2019,19:00:00,75,8.00,000,0.00,28.02,0.0,0.00,992.71,33.3,1011.63,23.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.0,09-28-2019,19:00:00,76,9.00,000,0.00,25.61,0.0,0.00,958.70,32.6,1010.02,21.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.4,09-28-2019,19:00:00,75,4.00,000,0.00,32.55,0.0,0.00,1007.42,34.0,1011.35,25.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.8,09-28-2019,19:00:00,84,7.00,030,0.00,23.38,5.6,0.00,917.67,26.5,1012.92,20.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.3,09-28-2019,19:00:00,75,10.00,000,0.00,28.95,0.0,0.00,996.56,33.3,1012.56,23.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.4,09-28-2019,19:00:00,70,9.00,000,0.00,28.59,0.0,0.00,1007.60,34.2,1011.62,23.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.0,09-28-2019,19:00:00,69,7.00,000,0.00,27.56,0.0,0.00,1001.83,33.7,1012.49,22.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.5,09-28-2019,19:00:00,71,8.00,000,0.00,29.33,0.0,0.00,1010.03,34.3,1011.95,23.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.9,09-28-2019,19:00:00,61,8.00,000,0.00,25.76,0.0,0.00,991.12,32.8,1011.88,21.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.1,09-28-2019,19:00:00,81,10.00,000,0.00,30.75,0.0,0.00,994.18,31.9,1011.87,24.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.3,09-28-2019,19:00:00,66,10.00,070,0.00,26.78,5.6,0.00,995.68,33.7,1011.79,22.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.0,09-28-2019,19:00:00,65,10.00,000,0.00,27.55,0.0,0.00,997.62,33.4,1011.57,22.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.8,09-28-2019,19:00:00,74,10.00,000,0.00,29.35,0.0,0.00,997.18,33.6,1011.99,23.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.0,09-28-2019,19:00:00,73,10.00,000,0.00,30.87,0.0,0.00,997.16,33.0,1011.75,24.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.1,09-28-2019,19:00:00,65,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,29.40,0.0,0.00,1008.17,34.4,1011.16,23.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.5,09-28-2019,19:00:00,72,10.00,000,0.00,31.31,0.0,0.00,1003.45,34.6,1011.34,24.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.8,09-28-2019,19:00:00,68,8.00,060,0.00,28.53,5.6,0.00,1010.18,34.7,1011.28,23.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.0,09-28-2019,19:00:00,77,8.00,000,0.00,29.19,0.0,0.00,998.11,33.2,1012.83,23.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.6,09-28-2019,19:00:00,85,9.00,000,0.00,19.31,0.0,0.00,878.34,25.4,1014.26,17.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.4,09-28-2019,19:00:00,72,9.00,000,0.00,29.41,0.0,0.00,1005.98,33.9,1011.84,23.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.5,09-28-2019,19:00:00,55,8.00,040,0.00,25.24,3.7,0.00,1010.52,36.6,1011.32,21.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.0,09-28-2019,19:00:00,61,8.00,000,0.00,27.27,0.0,0.00,1010.45,34.2,1010.89,22.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,28.4,09-28-2019,19:00:00,82,6.00,000,0.00,31.62,0.0,0.00,1000.28,34.7,1011.58,25.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.9,09-28-2019,19:00:00,59,7.00,000,0.00,26.27,0.0,0.00,1010.71,34.7,1011.72,21.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.5,09-28-2019,19:00:00,62,10.00,000,0.00,26.87,0.0,0.00,1009.44,34.1,1011.25,22.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.5,09-28-2019,19:00:00,71,6.00,000,0.00,29.33,0.0,0.00,1010.86,34.0,1011.63,23.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.0,09-28-2019,19:00:00,57,9.00,060,0.00,25.39,5.6,0.00,1010.36,34.4,1011.06,21.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.0,09-28-2019,19:00:00,52,7.00,000,0.00,26.17,0.0,0.00,1011.41,36.2,1012.11,21.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.5,09-28-2019,19:00:00,61,8.00,000,0.00,25.30,0.0,0.00,991.06,33.1,1012.15,21.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.6,09-28-2019,19:00:00,75,10.00,000,0.00,29.52,0.0,0.00,995.44,32.3,1012.15,23.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.8,09-28-2019,19:00:00,82,10.00,000,0.00,30.45,0.0,0.00,996.06,32.8,1012.53,24.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.6,09-28-2019,19:00:00,71,10.00,000,0.00,27.89,0.0,0.00,990.67,33.5,1012.53,22.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.9,09-28-2019,19:00:00,59,8.00,080,0.00,19.68,7.4,0.00,969.04,31.2,1012.67,17.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.5,09-28-2019,19:00:00,74,10.00,030,0.00,28.78,3.7,0.00,991.40,33.0,1011.96,23.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.5,09-28-2019,19:00:00,94,9.00,000,0.00,30.71,0.0,0.00,993.01,31.2,1014.07,24.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.5,09-28-2019,19:00:00,68,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,31.35,0.0,0.00,1011.00,33.8,1011.43,24.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.1,09-28-2019,19:00:00,80,8.00,000,0.00,34.26,0.0,0.00,1009.44,34.5,1010.85,26.3
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.4,09-28-2019,19:00:00,85,7.00,000,0.00,34.83,0.0,0.00,1005.96,33.3,1010.87,26.6
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.2,09-28-2019,19:00:00,66,7.00,000,0.00,28.20,0.0,0.00,1008.42,34.1,1011.69,23.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.7,09-28-2019,19:00:00,74,10.00,000,0.00,30.83,0.0,0.00,1010.51,33.3,1011.61,24.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.7,09-28-2019,19:00:00,64,10.00,290,0.00,29.75,5.6,0.00,1010.94,35.4,1011.24,24.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.0,09-28-2019,19:00:00,69,10.00,000,0.00,30.90,0.0,0.00,1010.47,35.3,1011.16,24.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.3,09-28-2019,19:00:00,66,10.00,000,0.00,30.08,0.0,0.00,1011.29,35.7,1011.77,24.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.8,09-28-2019,19:00:00,55,9.00,030,0.00,26.07,5.6,0.00,1009.87,34.0,1011.26,21.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.4,09-28-2019,19:00:00,63,7.00,040,0.00,30.61,5.6,0.00,1009.52,32.9,1011.18,24.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.9,09-28-2019,19:00:00,76,10.00,000,0.00,32.09,0.0,0.00,1004.73,35.2,1012.70,25.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.3,09-28-2019,19:00:00,61,10.00,000,0.00,29.26,0.0,0.00,1010.64,35.8,1010.92,23.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.5,09-28-2019,19:00:00,70,10.00,000,0.00,28.78,0.0,0.00,1007.79,33.2,1010.91,23.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.5,09-28-2019,19:00:00,78,8.00,270,0.00,32.13,5.6,0.00,1004.13,32.0,1011.04,25.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.5,09-28-2019,19:00:00,76,10.00,000,0.00,33.05,0.0,0.00,1005.96,33.7,1011.51,25.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.1,09-28-2019,19:00:00,64,3.00,100,0.00,27.47,11.1,0.00,1002.57,34.2,1011.83,22.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.0,09-28-2019,19:00:00,72,6.00,320,0.00,30.59,3.7,0.00,1010.79,32.8,1012.05,24.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.4,09-28-2019,19:00:00,69,11.00,000,3.20,31.72,0.0,0.00,1010.90,34.4,1011.33,25.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.5,09-28-2019,19:00:00,76,8.00,000,1.00,28.00,0.0,0.00,999.40,32.1,1011.69,22.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.5,09-28-2019,19:00:00,72,7.00,000,0.00,31.31,0.0,0.00,1010.68,32.7,1011.39,24.8
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.3,09-28-2019,19:00:00,74,6.00,360,0.00,30.04,5.6,0.00,1008.82,35.6,1011.25,24.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.1,09-28-2019,19:00:00,66,8.00,000,0.00,31.44,0.0,0.00,1010.21,34.8,1010.72,24.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.7,09-28-2019,19:00:00,73,9.00,260,0.00,30.55,3.7,0.00,1005.72,34.7,1010.84,24.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.0,09-28-2019,19:00:00,78,8.00,000,0.00,29.46,0.0,0.00,1011.04,35.9,1011.45,23.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.5,09-28-2019,19:00:00,94,8.00,000,34.20,32.63,0.0,12.00,1008.72,32.5,1011.50,25.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.9,09-28-2019,19:00:00,73,10.00,000,0.00,30.95,0.0,0.00,1012.14,33.9,1012.92,24.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.8,09-28-2019,19:00:00,88,6.00,030,19.00,31.00,5.6,0.00,1011.02,32.2,1011.48,24.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.0,09-28-2019,19:00:00,92,8.00,000,3.10,29.26,0.0,3.10,1011.08,33.0,1011.77,23.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.8,09-28-2019,19:00:00,87,7.00,000,2.40,28.87,0.0,2.40,1010.75,30.8,1012.29,23.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.2,09-28-2019,19:00:00,90,10.00,060,5.00,28.83,1.9,0.60,1010.49,33.5,1011.42,23.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.9,09-28-2019,19:00:00,93,10.00,000,5.10,31.19,0.0,0.00,1011.07,30.0,1011.77,24.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.2,09-28-2019,19:00:00,94,8.00,010,9.90,30.15,1.9,0.30,1011.44,31.8,1012.24,24.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.5,09-28-2019,19:00:00,94,10.00,150,39.50,28.89,1.9,0.40,1011.05,29.9,1011.69,23.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.2,09-28-2019,19:00:00,88,10.00,000,22.90,28.06,0.0,1.70,1011.41,30.0,1011.82,23.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.6,09-28-2019,19:00:00,97,4.00,000,28.00,29.85,0.0,0.80,1009.70,30.2,1013.97,24.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.6,09-28-2019,19:00:00,90,10.00,000,1.20,29.56,0.0,0.00,1009.82,33.8,1011.45,23.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,26.0,09-28-2019,19:00:00,92,10.00,000,1.30,30.84,0.0,0.00,1008.83,31.0,1012.33,24.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.0,09-28-2019,19:00:00,88,10.00,000,3.10,29.50,0.0,0.00,1010.48,29.5,1011.84,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.0,09-28-2019,19:00:00,99,10.00,000,27.40,29.56,0.0,0.60,1010.01,31.8,1010.91,23.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.5,09-28-2019,19:00:00,91,10.00,030,1.50,29.64,11.1,0.00,1007.63,32.5,1011.23,23.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,09-28-2019,19:00:00,84,10.00,000,4.20,29.08,0.0,0.20,1010.44,33.5,1010.88,23.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.9,09-28-2019,19:00:00,97,10.00,140,8.90,30.40,3.7,0.90,1009.43,33.5,1010.44,24.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.1,09-28-2019,19:00:00,79,10.00,000,0.40,28.33,0.0,0.00,1009.93,33.5,1010.75,23.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.3,09-28-2019,19:00:00,84,10.00,000,0.70,30.31,0.0,0.00,1009.37,32.5,1011.18,24.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.6,09-28-2019,19:00:00,80,10.00,040,6.90,29.52,5.6,0.00,1010.74,31.2,1011.49,23.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.3,09-28-2019,19:00:00,83,10.00,060,1.20,30.04,9.3,0.00,1007.47,33.5,1011.48,24.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.0,09-28-2019,19:00:00,92,10.00,000,20.50,30.84,0.0,20.50,1011.29,33.7,1011.98,24.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,27.5,09-28-2019,19:00:00,92,10.00,000,0.60,33.78,0.0,0.00,1010.58,31.5,1011.70,26.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.4,09-28-2019,19:00:00,85,10.00,000,1.20,31.05,0.0,0.00,1008.43,32.6,1011.36,24.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.4,09-28-2019,19:00:00,86,8.00,000,0.00,31.33,0.0,0.00,1010.46,31.3,1011.15,24.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,27.5,09-28-2019,19:00:00,84,7.00,000,1.50,30.97,0.0,0.00,1007.59,32.4,1011.72,24.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,27.3,09-28-2019,19:00:00,86,10.00,070,1.00,31.14,3.7,0.00,1010.15,32.5,1010.74,24.7
