WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,AirTemperature,LandVisibility,StationPressure,Rainfall,WindDirection,VaporPressure,WindSpeed,RelativeHumidity
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-09-2019,04:00:00,0.00,25.6,1006.33,27.0,6.00,991.67,0.00,270,32.77,3.7,92
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-09-2019,04:00:00,0.60,23.5,1005.93,26.1,10.00,1002.90,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",28.88,0.0,85
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-09-2019,04:00:00,0.00,24.8,1006.20,26.5,7.00,998.24,0.00,000,31.24,0.0,90
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-09-2019,04:00:00,0.00,24.2,1007.02,26.8,6.00,1005.91,0.00,210,30.18,5.6,86
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-09-2019,04:00:00,0.00,23.1,1006.37,26.0,8.00,991.65,0.00,000,28.18,0.0,84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-09-2019,04:00:00,40.60,18.7,1008.99,18.7,.10,873.40,0.00,270,21.54,11.1,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-09-2019,04:00:00,0.00,24.3,1007.03,25.6,10.00,1001.13,0.00,000,30.36,0.0,93
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-09-2019,04:00:00,0.00,23.3,1007.10,27.0,8.00,1006.30,0.00,230,28.67,5.6,80
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-09-2019,04:00:00,35.30,24.4,1007.01,26.3,10.00,1006.56,0.00,000,30.59,0.0,89
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-09-2019,04:00:00,12.20,24.1,1008.79,24.7,3.00,997.38,0.30,000,30.03,0.0,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-09-2019,04:00:00,0.00,23.9,1007.08,26.7,10.00,1006.07,0.00,000,29.72,0.0,85
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-09-2019,04:00:00,0.50,23.7,1007.15,26.0,7.00,1005.32,0.00,000,29.23,0.0,87
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-09-2019,04:00:00,0.00,22.9,1006.86,26.0,5.00,1006.09,0.00,000,27.92,0.0,83
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-09-2019,04:00:00,10.80,23.0,1007.55,25.4,10.00,1006.84,0.00,230,28.15,9.3,87
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-09-2019,04:00:00,1.50,24.6,1007.33,26.2,7.00,1006.62,0.20,000,30.94,0.0,91
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-09-2019,04:00:00,0.00,22.2,1006.66,26.5,10.00,985.48,0.00,000,26.73,0.0,77
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-09-2019,04:00:00,0.00,24.4,1006.67,26.4,6.00,989.93,0.00,220,30.51,3.7,89
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-09-2019,04:00:00,0.00,24.3,1006.97,26.0,5.00,990.49,0.00,000,30.30,0.0,90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-09-2019,04:00:00,0.00,23.3,1006.84,25.5,10.00,984.89,0.00,000,28.59,0.0,88
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-09-2019,04:00:00,5.00,22.1,1007.51,24.8,10.00,963.94,0.00,120,26.60,3.7,85
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-09-2019,04:00:00,0.00,24.4,1006.66,25.7,10.00,986.02,0.00,240,30.54,5.6,93
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-09-2019,04:00:00,0.00,24.7,1007.66,25.6,8.00,986.73,0.00,230,31.17,13.0,95
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-09-2019,04:00:00,1.80,24.4,1007.53,26.7,10.00,1007.10,0.00,000,30.53,0.0,87
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-09-2019,04:00:00,3.70,24.4,1007.24,25.3,6.00,1005.82,0.00,000,30.60,0.0,95
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-09-2019,04:00:00,0.30,24.7,1007.22,25.3,7.00,1002.25,0.30,000,31.14,0.0,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-09-2019,04:00:00,0.00,23.1,1007.45,26.9,10.00,1004.16,0.00,000,28.23,0.0,80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-09-2019,04:00:00,0.20,23.9,1007.43,25.2,10.00,1006.32,0.00,000,29.62,0.0,92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-09-2019,04:00:00,28.00,23.9,1007.61,26.2,10.00,1007.31,0.00,000,29.60,0.0,87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-09-2019,04:00:00,15.40,23.8,1008.06,26.0,10.00,1007.57,0.00,000,29.50,0.0,88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-09-2019,04:00:00,0.01,23.0,1007.47,26.8,10.00,1006.06,0.00,230,28.04,13.0,80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-09-2019,04:00:00,0.00,23.5,1009.63,24.5,10.00,1001.54,0.00,000,28.89,0.0,94
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-09-2019,04:00:00,11.60,25.0,1007.56,25.9,6.00,1007.28,0.00,000,31.74,0.0,95
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-09-2019,04:00:00,8.60,24.8,1007.35,26.0,10.00,1004.21,0.00,000,31.38,0.0,93
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-09-2019,04:00:00,0.00,24.1,1007.59,27.6,10.00,1000.66,0.00,000,30.07,0.0,81
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-09-2019,04:00:00,0.00,24.3,1007.94,26.5,10.00,1002.32,0.00,000,30.43,0.0,88
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-09-2019,04:00:00,1.20,23.5,1009.43,25.0,8.00,1008.15,0.01,000,29.00,0.0,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-09-2019,04:00:00,0.00,23.1,1007.70,27.2,11.00,1007.27,0.00,230,28.24,5.6,78
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-09-2019,04:00:00,0.40,23.2,1008.06,24.1,10.00,995.67,0.00,000,28.44,0.0,95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-09-2019,04:00:00,7.20,23.5,1007.58,26.0,10.00,1006.87,0.00,000,28.97,0.0,86
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-09-2019,04:00:00,0.00,24.3,1009.11,27.8,10.00,1006.68,0.00,200,30.45,5.6,82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-09-2019,04:00:00,0.01,25.4,1008.34,28.0,10.00,1007.83,0.00,260,32.52,9.3,86
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-09-2019,04:00:00,0.00,24.7,1007.56,26.4,8.00,1002.40,0.00,000,31.05,0.0,90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-09-2019,04:00:00,0.00,25.3,1008.41,27.0,7.00,1007.99,0.00,210,32.21,3.7,90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-09-2019,04:00:00,0.00,25.1,1008.63,25.8,8.00,1005.85,0.00,000,31.82,0.0,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-09-2019,04:00:00,0.00,23.1,1008.89,26.0,10.00,1008.10,0.00,000,28.18,0.0,84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-09-2019,04:00:00,77.90,24.0,1008.89,24.6,3.00,1008.43,13.50,000,29.85,0.0,97
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-09-2019,04:00:00,0.10,23.5,1009.11,25.1,8.00,1008.42,0.00,000,28.92,0.0,91
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-09-2019,04:00:00,0.20,23.5,1009.39,25.0,8.00,1007.85,0.00,000,29.00,0.0,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-09-2019,04:00:00,63.00,23.3,1009.75,24.0,10.00,1008.83,0.00,050,28.53,3.7,96
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-09-2019,04:00:00,26.20,24.5,1009.73,25.5,10.00,1009.04,0.00,000,30.71,0.0,94
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-09-2019,04:00:00,30.30,23.3,1009.79,24.0,7.00,1008.99,0.00,000,28.53,0.0,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-09-2019,04:00:00,0.00,24.7,1009.85,25.6,10.00,1009.21,0.00,150,31.17,5.6,95
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-09-2019,04:00:00,12.40,23.6,1009.52,24.0,8.00,1009.11,0.00,000,29.04,0.0,97
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-09-2019,04:00:00,21.10,24.0,1011.07,24.7,6.00,1006.81,0.00,000,29.77,0.0,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-09-2019,04:00:00,0.00,24.3,1008.11,25.0,7.00,1006.49,0.00,000,30.32,0.0,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-09-2019,04:00:00,38.70,24.3,1010.04,25.0,6.00,1006.53,0.00,000,30.32,0.0,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-09-2019,04:00:00,0.01,24.8,1010.14,25.5,8.00,1008.78,0.00,000,31.25,0.0,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-09-2019,04:00:00,45.40,24.2,1009.58,24.5,10.00,1008.69,0.20,000,30.20,0.0,98
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-09-2019,04:00:00,0.00,23.5,1009.57,24.5,10.00,1005.97,0.00,000,28.89,0.0,94
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-09-2019,04:00:00,6.00,24.6,1009.56,26.0,10.00,1009.12,0.00,000,30.84,0.0,92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-09-2019,04:00:00,1.60,24.2,1009.18,25.5,10.00,1008.18,0.00,000,30.17,0.0,93
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-09-2019,04:00:00,42.20,24.7,1010.16,25.4,6.00,1009.33,7.00,080,31.06,7.4,96
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-09-2019,04:00:00,18.90,23.3,1010.26,24.0,8.00,1008.42,2.50,000,28.53,0.0,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-09-2019,04:00:00,0.00,23.9,1010.13,25.8,7.00,1009.38,0.00,000,29.66,0.0,89
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-09-2019,04:00:00,7.40,23.9,1010.17,24.2,5.00,1006.12,0.00,000,29.66,0.0,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-09-2019,04:00:00,0.00,23.6,1010.11,25.2,8.00,1009.42,0.00,000,29.10,0.0,91
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-09-2019,04:00:00,6.40,23.7,1009.86,24.4,10.00,1008.73,0.00,000,29.23,0.0,96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-09-2019,04:00:00,0.30,24.7,1010.22,25.4,10.00,1007.28,0.00,000,31.06,0.0,96
