WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,VaporPressure,AirTemperature,WindDirection,DewPoint,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-07-2019,07:00:00,25.0,1009.18,0.0,29.99,25.4,000,24.1,92,3.60,8.00,1008.41
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-07-2019,07:00:00,26.0,1009.52,3.7,30.02,27.0,220,24.1,84,1.20,9.00,1008.81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-07-2019,07:00:00,26.0,1008.94,0.0,31.79,26.5,000,25.1,92,1.50,7.00,1008.23
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-07-2019,07:00:00,25.5,1008.45,1.9,28.18,26.0,270,23.1,84,0.01,10.00,987.20
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-07-2019,07:00:00,25.0,1008.04,5.6,30.18,26.8,220,24.2,86,0.00,7.00,991.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-07-2019,07:00:00,24.8,1008.75,0.0,29.86,26.2,000,24.0,88,0.00,6.00,992.25
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-07-2019,07:00:00,25.3,1008.54,0.0,28.18,26.0,000,23.1,84,0.00,10.00,986.58
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-07-2019,07:00:00,23.9,1008.60,7.4,24.86,25.7,230,21.0,75,3.90,15.00,965.12
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-07-2019,07:00:00,25.4,1008.17,0.0,29.50,26.0,000,23.8,88,0.00,10.00,987.53
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-07-2019,07:00:00,25.0,1009.44,13.0,31.27,25.8,240,24.8,94,0.00,8.00,988.49
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-07-2019,07:00:00,26.2,1009.27,0.0,31.55,26.8,000,24.9,90,1.60,10.00,1008.83
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-07-2019,07:00:00,25.4,1008.61,0.0,31.98,25.6,000,25.2,97,2.60,8.00,1007.19
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-07-2019,07:00:00,25.5,1008.89,0.0,32.29,25.9,000,25.3,97,0.20,7.00,1003.93
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.10,09-07-2019,07:00:00,24.5,1009.21,0.0,28.92,26.7,000,23.5,83,0.10,10.00,1005.90
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-07-2019,07:00:00,24.2,1009.21,0.0,31.25,25.5,000,24.8,96,0.00,10.00,1008.10
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-07-2019,07:00:00,26.5,1009.45,3.7,30.02,27.0,300,24.1,84,0.20,10.00,1009.15
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-07-2019,07:00:00,26.5,1009.30,0.0,29.19,26.7,000,23.6,83,3.40,10.00,1008.61
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-07-2019,07:00:00,26.4,1009.19,0.0,30.51,26.4,000,24.4,89,2.90,10.00,1008.69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-07-2019,07:00:00,26.4,1009.13,0.0,29.13,27.1,000,23.6,81,11.20,10.00,1007.72
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-07-2019,07:00:00,26.8,1009.23,11.1,32.12,27.8,200,25.2,86,0.00,10.00,1007.55
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-07-2019,07:00:00,25.3,1010.85,0.0,31.25,25.5,000,24.8,96,0.00,10.00,1002.77
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-07-2019,07:00:00,27.0,1009.15,5.6,31.28,27.8,180,24.8,84,0.00,10.00,1008.86
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-07-2019,07:00:00,27.5,1009.02,0.0,30.23,28.4,000,24.2,78,0.00,10.00,1005.89
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-07-2019,07:00:00,27.5,1009.53,0.0,30.28,28.0,000,24.3,80,0.00,10.00,1002.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-07-2019,07:00:00,25.6,1009.05,0.0,31.49,26.2,000,24.9,93,0.00,10.00,1003.43
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.01,09-07-2019,07:00:00,27.3,1010.31,14.8,29.74,28.0,230,23.9,79,0.01,9.00,1001.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-07-2019,07:00:00,24.9,1010.09,0.0,30.17,25.5,000,24.2,93,0.50,10.00,1008.82
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-07-2019,07:00:00,26.8,1009.44,0.0,31.95,28.0,000,25.1,85,0.00,11.00,1009.01
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-07-2019,07:00:00,23.8,1009.68,0.0,28.89,24.5,000,23.5,94,0.01,8.00,997.29
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-07-2019,07:00:00,26.7,1009.46,0.0,28.88,27.4,000,23.5,79,0.00,10.00,1008.74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-07-2019,07:00:00,27.4,1009.47,5.6,31.03,28.1,230,24.7,82,0.00,9.00,1007.03
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-07-2019,07:00:00,28.3,1009.54,13.0,30.98,28.5,230,24.6,80,0.00,10.00,1009.02
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-07-2019,07:00:00,26.6,1009.46,3.7,31.02,27.1,250,24.7,87,0.00,11.00,1004.30
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-07-2019,07:00:00,26.7,1009.76,0.0,32.77,27.0,000,25.6,92,0.20,7.00,1009.35
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-07-2019,07:00:00,25.5,1009.86,0.0,31.00,25.8,000,24.6,93,0.00,8.00,1007.07
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-07-2019,07:00:00,23.0,1009.57,0.0,28.35,27.4,000,23.2,78,0.50,10.00,1008.79
48501,TRAD,ตราด,ตราด,11.76667,102.88333,4.90,09-07-2019,07:00:00,24.9,1010.15,0.0,31.63,25.7,000,25.0,96,5.40,7.00,1009.69
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-07-2019,07:00:00,25.3,1009.91,0.0,30.65,25.9,000,24.4,92,0.00,7.00,1009.23
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-07-2019,07:00:00,24.8,1010.34,0.0,30.32,25.0,000,24.3,96,0.00,8.00,1008.79
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-07-2019,07:00:00,25.4,1010.99,0.0,30.44,25.5,000,24.3,93,0.00,10.00,1010.06
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-07-2019,07:00:00,25.2,1010.70,0.0,31.69,27.3,000,25.0,87,0.00,10.00,1010.01
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-07-2019,07:00:00,23.6,1010.59,0.0,28.95,23.8,000,23.5,98,0.00,8.00,1009.78
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-07-2019,07:00:00,23.4,1010.55,0.0,28.44,24.1,000,23.2,95,0.00,10.00,1009.91
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-07-2019,07:00:00,23.5,1011.02,0.0,28.53,24.0,000,23.3,96,0.00,8.00,1010.61
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-07-2019,07:00:00,23.3,1012.55,0.0,29.13,24.2,000,23.6,97,0.00,6.00,1008.28
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-07-2019,07:00:00,23.1,1010.53,0.0,28.95,23.8,000,23.5,98,0.00,4.00,1008.90
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-07-2019,07:00:00,23.2,1010.53,0.0,28.01,23.7,000,23.0,96,0.00,7.00,1007.01
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-07-2019,07:00:00,24.4,1010.68,0.0,27.94,24.4,000,22.9,91,0.00,8.00,1009.31
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-07-2019,07:00:00,25.0,1009.93,0.0,31.41,25.3,000,24.9,97,0.00,10.00,1009.03
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-07-2019,07:00:00,23.2,1010.37,0.0,28.27,24.0,000,23.1,95,0.00,10.00,1006.76
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-07-2019,07:00:00,25.4,1010.29,0.0,30.19,25.8,000,24.2,91,0.00,10.00,1009.85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-07-2019,07:00:00,23.5,1009.71,0.0,30.32,25.0,000,24.3,96,0.00,8.00,1008.71
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-07-2019,07:00:00,24.8,1010.61,5.6,30.81,25.7,080,24.5,93,0.00,10.00,1009.79
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-07-2019,07:00:00,24.6,1010.74,0.0,30.15,25.2,000,24.2,94,0.00,6.00,1008.91
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-07-2019,07:00:00,25.5,1010.94,3.7,30.97,26.5,190,24.6,89,0.00,5.00,1010.19
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-07-2019,07:00:00,21.9,1011.14,0.0,27.49,22.8,000,22.6,99,0.00,4.00,1007.07
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-07-2019,07:00:00,24.5,1011.45,0.0,30.44,25.5,000,24.3,93,0.00,8.00,1010.76
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-07-2019,07:00:00,24.3,1011.41,0.0,31.25,25.5,000,24.8,96,0.00,8.00,1010.28
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-07-2019,07:00:00,22.2,1011.09,0.0,29.30,24.0,000,23.7,98,0.00,8.00,1008.13
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-07-2019,07:00:00,24.6,1010.48,0.0,31.52,25.5,000,24.9,97,0.00,7.00,1009.79
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-07-2019,07:00:00,24.1,1011.27,0.0,29.77,24.7,000,24.0,96,0.00,5.00,1007.10
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-07-2019,07:00:00,.0,1009.25,0.0,29.97,26.4,000,24.1,87,0.00,9.00,1008.66
