WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,WindSpeed,AirTemperature,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindDirection,Rainfall,MinimumTemperature,DewPoint
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.09,07-19-2019,07:00:00,7.00,0.0,23.0,0.00,955.71,1007.40,93,000,0.00,21.5,21.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.92,07-19-2019,07:00:00,6.00,0.0,27.7,0.00,999.82,1003.76,86,000,0.00,26.1,25.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.66,07-19-2019,07:00:00,.70,9.3,21.8,0.00,910.45,1005.29,95,180,0.00,20.7,20.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.10,07-19-2019,07:00:00,9.00,5.6,28.5,0.00,987.87,1003.72,83,160,0.00,26.7,25.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.02,07-19-2019,07:00:00,12.00,0.0,26.7,0.00,999.68,1003.70,94,000,0.00,26.0,25.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.46,07-19-2019,07:00:00,8.00,0.0,25.8,0.00,994.08,1004.77,92,000,0.00,25.5,24.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.43,07-19-2019,07:00:00,14.00,0.0,26.5,0.00,1002.60,1004.52,88,000,0.00,26.0,24.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.19,07-19-2019,07:00:00,10.00,3.7,28.0,0.00,983.17,1003.89,77,250,0.00,27.2,23.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.97,07-19-2019,07:00:00,10.00,11.1,27.5,0.00,986.58,1004.16,84,200,0.00,26.5,24.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.80,07-19-2019,07:00:00,10.00,11.1,28.0,0.00,987.27,1003.32,87,200,0.00,27.6,25.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.59,07-19-2019,07:00:00,10.00,0.0,27.3,0.00,990.56,1004.55,84,000,0.00,26.2,24.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.40,07-19-2019,07:00:00,9.00,3.7,26.2,0.00,990.38,1005.22,89,170,0.00,25.4,24.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.21,07-19-2019,07:00:00,6.00,7.4,27.0,2.70,990.30,1004.94,90,210,0.00,25.7,25.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.55,07-19-2019,07:00:00,10.00,0.0,26.8,0.00,1000.98,1003.99,90,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,25.3,24.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.12,07-19-2019,07:00:00,10.00,0.0,28.3,0.00,996.16,1004.06,86,000,0.00,26.4,25.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.19,07-19-2019,07:00:00,8.00,11.1,28.0,0.00,1003.33,1004.43,77,180,0.00,26.8,23.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.29,07-19-2019,07:00:00,8.00,0.0,26.5,0.00,989.89,1004.56,82,000,0.00,25.7,23.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.79,07-19-2019,07:00:00,7.00,5.6,19.2,37.40,870.35,1005.22,98,220,0.00,19.0,18.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.27,07-19-2019,07:00:00,10.00,7.4,27.6,0.00,998.61,1004.46,93,190,0.00,26.5,26.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,33.37,07-19-2019,07:00:00,9.00,5.6,28.0,0.00,1003.95,1004.74,88,270,0.00,27.0,25.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.21,07-19-2019,07:00:00,10.00,3.7,28.9,0.00,1004.09,1004.53,78,240,0.00,28.1,24.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.25,07-19-2019,07:00:00,6.00,0.0,25.4,10.00,994.53,1005.88,93,000,0.00,24.6,24.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.53,07-19-2019,07:00:00,10.00,0.0,27.5,0.01,1003.42,1004.43,78,000,0.00,26.4,23.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.54,07-19-2019,07:00:00,7.00,5.6,26.6,0.00,1002.08,1003.90,85,170,0.00,26.5,23.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.44,07-19-2019,07:00:00,8.00,0.0,28.5,0.00,1003.70,1004.46,71,000,0.00,27.1,22.6
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.52,07-19-2019,07:00:00,10.00,5.6,27.6,15.00,1004.16,1004.86,80,250,0.00,24.9,23.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.08,07-19-2019,07:00:00,10.00,0.0,28.0,0.00,1004.00,1004.70,88,000,0.00,27.1,25.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.97,07-19-2019,07:00:00,11.00,3.7,27.5,1.90,984.62,1005.71,84,230,0.00,26.0,24.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.55,07-19-2019,07:00:00,7.00,0.0,26.8,0.00,987.86,1004.54,90,000,0.00,25.4,24.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.35,07-19-2019,07:00:00,6.00,3.7,26.7,0.00,988.42,1004.83,90,180,0.00,25.0,24.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.83,07-19-2019,07:00:00,10.00,0.0,26.9,0.00,982.49,1004.30,84,000,0.00,26.0,24.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.05,07-19-2019,07:00:00,10.00,0.0,27.0,0.00,961.13,1004.24,70,000,0.00,25.4,21.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.02,07-19-2019,07:00:00,10.00,0.0,27.0,7.60,983.60,1004.10,84,000,0.00,25.8,24.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.02,07-19-2019,07:00:00,7.00,13.0,26.7,0.00,984.85,1005.65,94,200,0.00,25.7,25.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.01,07-19-2019,07:00:00,10.00,0.0,28.0,0.00,1004.42,1004.86,79,000,0.00,26.7,24.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.04,07-19-2019,07:00:00,8.00,0.0,26.2,0.00,1003.32,1004.73,94,000,0.00,25.7,25.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.87,07-19-2019,07:00:00,8.00,0.0,26.2,32.30,1000.06,1004.99,97,000,0.00,25.7,25.6
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.85,07-19-2019,07:00:00,10.00,0.0,28.0,0.00,1001.52,1004.80,74,000,0.00,25.7,22.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.51,07-19-2019,07:00:00,10.00,3.7,26.4,0.10,1003.57,1004.67,89,170,0.00,25.5,24.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.76,07-19-2019,07:00:00,10.00,7.4,28.2,0.00,1004.57,1004.87,75,330,0.00,27.6,23.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.35,07-19-2019,07:00:00,10.00,0.0,28.8,0.00,1004.16,1004.84,74,000,0.00,28.3,23.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.44,07-19-2019,07:00:00,10.00,0.0,27.6,0.00,1004.00,1004.48,85,000,0.00,27.6,24.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.41,07-19-2019,07:00:00,10.00,14.8,28.4,0.00,1003.70,1005.10,76,250,0.00,27.5,23.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.88,07-19-2019,07:00:00,12.00,14.8,29.5,0.00,1003.36,1005.02,72,220,0.00,29.3,24.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.65,07-19-2019,07:00:00,10.00,0.0,26.0,0.40,999.09,1007.12,94,000,0.00,25.2,25.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.13,07-19-2019,07:00:00,10.00,0.0,29.5,0.00,1004.42,1004.70,78,000,0.00,28.3,25.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,34.88,07-19-2019,07:00:00,10.00,0.0,29.7,0.00,1001.30,1004.40,84,000,0.00,28.6,26.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.33,07-19-2019,07:00:00,10.00,5.6,28.5,0.00,998.73,1005.63,75,270,0.00,27.8,23.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.29,07-19-2019,07:00:00,9.00,5.6,28.1,0.00,999.49,1005.06,88,260,0.00,26.2,25.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.56,07-19-2019,07:00:00,10.00,0.0,28.0,0.00,996.53,1005.79,81,000,0.00,27.5,24.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.07,07-19-2019,07:00:00,12.00,0.0,26.6,0.00,1004.64,1005.90,86,000,0.00,25.5,24.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.74,07-19-2019,07:00:00,11.00,14.8,28.0,0.90,1004.61,1005.04,79,200,0.00,26.6,23.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.77,07-19-2019,07:00:00,10.00,0.0,24.3,0.00,993.30,1005.65,91,000,0.00,23.2,22.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.12,07-19-2019,07:00:00,10.00,0.0,27.2,0.00,1004.30,1005.01,84,000,0.00,26.2,24.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.96,07-19-2019,07:00:00,10.00,7.4,28.5,0.01,1003.15,1005.57,85,180,0.00,26.3,25.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.26,07-19-2019,07:00:00,10.00,14.8,29.0,0.00,1004.99,1005.50,81,280,0.00,28.8,25.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.64,07-19-2019,07:00:00,12.00,0.0,26.9,0.00,999.96,1005.11,86,000,0.00,26.5,24.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,34.68,07-19-2019,07:00:00,8.00,0.0,27.1,102.90,1005.04,1005.45,97,000,0.00,26.5,26.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.75,07-19-2019,07:00:00,8.00,0.0,26.5,156.60,1002.93,1005.70,98,000,14.90,25.2,26.1
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.84,07-19-2019,07:00:00,10.00,3.7,26.8,0.00,1004.95,1005.74,82,270,0.00,26.1,23.4
48501,TRAD,ตราด,ตราด,11.76667,102.88333,30.96,07-19-2019,07:00:00,3.00,1.9,25.2,97.90,1006.31,1006.77,97,120,44.10,24.8,24.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.32,07-19-2019,07:00:00,8.00,0.0,25.0,32.90,1005.07,1005.76,96,000,0.00,24.1,24.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.89,07-19-2019,07:00:00,10.00,0.0,25.2,19.40,1008.56,1010.10,93,000,0.00,24.6,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.23,07-19-2019,07:00:00,10.00,0.0,25.1,58.10,1005.61,1006.53,95,000,0.30,24.5,24.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.86,07-19-2019,07:00:00,12.00,9.3,26.2,33.80,1005.51,1006.20,88,270,0.00,24.4,24.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.66,07-19-2019,07:00:00,7.00,0.0,24.2,9.30,1005.52,1006.32,98,000,1.30,24.0,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.98,07-19-2019,07:00:00,9.00,0.0,25.5,19.60,1005.17,1005.81,95,000,0.00,24.7,24.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.25,07-19-2019,07:00:00,10.00,7.4,24.7,26.20,1005.59,1005.99,94,210,0.00,24.1,23.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.83,07-19-2019,07:00:00,5.00,0.0,25.2,3.00,1004.19,1008.43,90,000,0.00,24.2,23.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.95,07-19-2019,07:00:00,12.00,0.0,23.8,23.60,1005.28,1006.91,98,000,0.00,22.8,23.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.93,07-19-2019,07:00:00,8.00,0.0,24.5,14.00,1003.97,1007.47,97,000,0.00,24.0,24.1
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.52,07-19-2019,07:00:00,9.00,9.3,25.0,4.20,1005.58,1006.95,93,270,1.50,25.0,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.82,07-19-2019,07:00:00,8.00,0.0,24.0,275.00,1005.88,1006.77,100,000,20.80,23.5,24.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.30,07-19-2019,07:00:00,10.00,0.0,24.0,20.10,1003.44,1007.04,98,000,1.80,22.7,23.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.67,07-19-2019,07:00:00,8.00,9.3,26.2,62.20,1006.04,1006.47,90,240,0.60,25.0,24.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.79,07-19-2019,07:00:00,5.00,5.6,26.5,105.80,1005.19,1006.18,92,240,6.00,23.8,25.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.16,07-19-2019,07:00:00,10.00,9.3,24.8,66.40,1005.88,1006.70,93,050,14.40,23.7,23.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.49,07-19-2019,07:00:00,7.00,5.6,24.4,13.90,1005.82,1007.65,97,180,3.50,24.1,23.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.82,07-19-2019,07:00:00,10.00,3.7,25.6,69.10,1006.37,1007.13,91,190,0.00,23.9,24.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.23,07-19-2019,07:00:00,9.00,0.0,25.1,0.60,1003.45,1007.47,95,000,0.00,23.6,24.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.89,07-19-2019,07:00:00,10.00,0.0,25.2,0.00,1006.88,1007.57,93,000,0.00,24.8,24.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.15,07-19-2019,07:00:00,10.00,0.0,25.2,1.60,1005.90,1007.02,94,000,0.00,22.1,24.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.13,07-19-2019,07:00:00,10.00,0.0,24.2,0.00,1004.68,1007.63,97,000,0.00,23.3,23.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.40,07-19-2019,07:00:00,6.00,0.0,24.9,17.80,1006.71,1007.40,97,000,0.00,24.5,24.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.77,07-19-2019,07:00:00,6.00,0.0,24.7,0.00,1003.37,1007.52,96,000,0.00,24.4,24.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.10,07-19-2019,07:00:00,7.00,5.6,25.2,25.40,1006.60,1007.19,91,270,0.00,.0,23.6
