WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,LandVisibility,DewPoint,Rainfall,StationPressure,WindDirection,Rainfall24Hr
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.67,10-17-2019,04:00:00,3.7,1012.57,24.9,97,10.00,24.5,0.00,1006.71,310,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.85,10-17-2019,04:00:00,0.0,1012.93,25.0,97,6.00,24.6,0.00,1006.66,000,0.50
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.84,10-17-2019,04:00:00,0.0,1014.02,24.5,87,10.00,22.3,0.00,997.33,000,17.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.35,10-17-2019,04:00:00,0.0,1010.76,24.5,89,10.00,22.6,0.00,988.17,000,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.05,10-17-2019,04:00:00,0.0,1013.42,24.3,96,6.00,23.6,0.00,998.81,000,26.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.04,10-17-2019,04:00:00,0.0,1013.16,24.0,97,7.00,23.6,0.00,996.51,000,20.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.93,10-17-2019,04:00:00,3.7,1012.55,25.8,90,10.00,24.1,0.00,1007.28,010,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.13,10-17-2019,04:00:00,0.0,1011.40,25.7,82,10.00,22.4,0.00,998.09,000,1.40
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.79,10-17-2019,04:00:00,1.9,1012.30,24.3,95,11.00,23.4,0.00,1002.84,270,4.10
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.35,10-17-2019,04:00:00,7.4,1012.99,24.2,84,8.00,21.3,0.00,990.97,020,0.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.01,10-17-2019,04:00:00,0.0,1013.25,24.0,94,10.00,23.0,0.00,995.47,000,3.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.84,10-17-2019,04:00:00,0.0,1010.28,24.5,87,10.00,22.3,0.00,994.26,000,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.60,10-17-2019,04:00:00,0.0,1012.30,23.3,90,7.00,21.5,0.00,993.09,000,2.10
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.03,10-17-2019,04:00:00,0.0,1011.77,22.0,91,6.00,20.5,0.00,959.69,000,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.05,10-17-2019,04:00:00,5.6,1012.18,25.0,95,5.00,24.1,0.00,1008.17,340,0.40
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.46,10-17-2019,04:00:00,0.0,1013.50,20.0,96,5.00,19.4,0.00,917.34,000,14.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.26,10-17-2019,04:00:00,5.6,1012.85,24.3,86,8.00,21.9,0.00,996.63,020,0.01
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.38,10-17-2019,04:00:00,1.9,1012.55,25.5,90,9.00,23.7,0.00,1008.48,300,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.83,10-17-2019,04:00:00,0.0,1012.99,25.2,90,8.00,23.4,0.00,1002.19,000,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.56,10-17-2019,04:00:00,5.6,1012.57,25.6,90,6.00,23.8,0.00,1010.62,300,2.10
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.11,10-17-2019,04:00:00,9.3,1012.38,26.0,75,10.00,21.2,0.00,991.34,040,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.10,10-17-2019,04:00:00,16.7,1012.10,24.5,82,10.00,21.2,0.00,994.20,030,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.85,10-17-2019,04:00:00,7.4,1011.80,24.8,83,10.00,21.6,0.00,995.44,040,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.68,10-17-2019,04:00:00,3.7,1012.20,24.7,86,10.00,22.2,0.00,997.99,070,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.75,10-17-2019,04:00:00,0.0,1012.56,24.0,90,7.00,22.2,0.00,997.50,000,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.00,10-17-2019,04:00:00,9.3,1012.02,25.0,92,7.00,23.5,0.00,997.18,050,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.78,10-17-2019,04:00:00,0.0,1012.39,26.4,89,9.00,24.5,0.00,1009.35,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.38,10-17-2019,04:00:00,0.0,1008.22,25.5,90,8.00,23.7,0.00,1000.22,000,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.59,10-17-2019,04:00:00,0.0,1011.22,26.3,89,6.00,24.4,0.00,1010.11,000,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.16,10-17-2019,04:00:00,0.0,1011.19,24.8,93,8.00,23.6,0.00,996.34,000,0.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.77,10-17-2019,04:00:00,9.3,1012.85,18.6,97,2.00,18.1,0.00,876.70,050,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.59,10-17-2019,04:00:00,5.6,1012.35,26.4,80,10.00,22.7,0.00,1006.42,010,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.02,10-17-2019,04:00:00,1.9,1010.86,27.0,84,10.00,24.1,0.00,1010.05,060,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.81,10-17-2019,04:00:00,0.0,1009.84,27.7,83,6.00,24.5,0.00,1009.39,000,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.50,10-17-2019,04:00:00,0.0,1011.84,23.7,94,4.00,22.7,0.00,1000.36,000,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.89,10-17-2019,04:00:00,7.4,1011.43,26.5,86,6.00,24.0,0.00,1010.41,010,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.95,10-17-2019,04:00:00,7.4,1011.64,27.5,73,7.00,22.3,0.00,1009.81,060,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.20,10-17-2019,04:00:00,3.7,1010.93,27.1,84,10.00,24.2,0.00,1010.22,020,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.71,10-17-2019,04:00:00,3.7,1010.44,28.5,71,7.00,22.8,0.00,1009.74,080,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.30,10-17-2019,04:00:00,7.4,1012.40,25.8,82,10.00,22.5,0.00,991.05,060,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.19,10-17-2019,04:00:00,0.0,1011.73,24.7,87,6.00,22.5,0.00,994.81,000,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.03,10-17-2019,04:00:00,0.0,1012.20,24.6,91,6.00,23.0,0.00,995.55,000,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.97,10-17-2019,04:00:00,0.0,1012.37,25.3,87,10.00,22.9,0.00,990.28,000,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.51,10-17-2019,04:00:00,14.8,1012.33,24.6,83,8.00,21.4,0.00,968.53,070,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.40,10-17-2019,04:00:00,5.6,1011.77,25.1,89,7.00,23.2,0.00,990.99,350,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.77,10-17-2019,04:00:00,9.3,1013.54,23.7,98,7.00,23.4,0.00,992.36,020,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.11,10-17-2019,04:00:00,0.0,1010.44,25.9,90,10.00,24.2,0.00,1010.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.30,10-17-2019,04:00:00,0.0,1010.55,26.0,90,6.00,24.3,0.00,1009.13,000,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.85,10-17-2019,04:00:00,0.0,1010.75,25.0,97,7.00,24.6,0.00,1005.77,000,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.40,10-17-2019,04:00:00,0.0,1011.07,26.2,89,10.00,24.3,0.00,1007.75,000,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.30,10-17-2019,04:00:00,3.7,1011.03,26.1,93,10.00,24.8,0.00,1009.91,360,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.87,10-17-2019,04:00:00,0.0,1010.60,28.5,77,10.00,24.0,0.00,1010.30,000,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.03,10-17-2019,04:00:00,1.9,1010.49,28.2,76,10.00,23.5,0.00,1010.00,100,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.66,10-17-2019,04:00:00,14.8,1010.73,27.1,83,10.00,23.9,0.00,1009.32,020,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.41,10-17-2019,04:00:00,0.0,1012.53,24.5,96,10.00,23.8,0.00,1004.42,000,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.37,10-17-2019,04:00:00,0.0,1010.03,28.0,88,10.00,25.9,0.00,1009.75,000,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.60,10-17-2019,04:00:00,5.6,1009.56,27.5,81,10.00,23.9,0.00,1006.42,220,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.76,10-17-2019,04:00:00,0.0,1010.65,26.0,89,8.00,24.0,0.00,1005.02,000,4.50
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.03,10-17-2019,04:00:00,11.1,1011.78,26.0,89,8.00,24.1,0.00,1010.51,320,1.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.42,10-17-2019,04:00:00,9.3,1010.24,27.5,83,11.00,24.3,0.00,1009.80,330,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.33,10-17-2019,04:00:00,0.0,1010.53,24.6,95,6.00,23.7,0.00,998.14,000,0.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.81,10-17-2019,04:00:00,3.7,1010.07,27.7,83,8.00,24.5,0.00,1009.36,310,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.46,10-17-2019,04:00:00,5.6,1010.35,25.8,92,10.00,24.3,0.00,1007.90,350,1.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.63,10-17-2019,04:00:00,0.0,1010.12,26.7,90,8.00,25.0,0.00,1009.60,000,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.86,10-17-2019,04:00:00,3.7,1009.87,26.2,88,5.00,24.0,0.00,1004.69,020,0.40
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,29.89,10-17-2019,04:00:00,7.4,1009.99,26.5,86,7.00,24.0,0.00,1009.58,040,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.36,10-17-2019,04:00:00,0.0,1010.03,25.2,92,10.00,23.7,0.00,1007.24,000,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.25,10-17-2019,04:00:00,29.6,1012.23,24.7,94,4.00,23.7,5.60,1011.44,150,32.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,28.59,10-17-2019,04:00:00,9.3,1009.02,25.5,88,7.00,23.3,0.00,1008.56,090,5.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.77,10-17-2019,04:00:00,3.7,1009.88,25.1,97,8.00,24.5,0.00,1009.19,020,17.90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.91,10-17-2019,04:00:00,0.0,1009.19,25.5,92,7.00,24.0,0.00,1007.65,000,0.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.81,10-17-2019,04:00:00,0.0,1009.65,24.6,93,10.00,23.4,0.00,1008.72,000,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.51,10-17-2019,04:00:00,5.6,1009.54,26.3,95,10.00,25.4,0.00,1008.85,350,0.01
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.60,10-17-2019,04:00:00,0.0,1009.56,23.6,98,8.00,23.3,0.00,1008.75,000,8.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.49,10-17-2019,04:00:00,0.0,1009.41,24.4,97,10.00,23.8,0.00,1008.77,000,16.20
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.58,10-17-2019,04:00:00,0.0,1009.04,25.0,97,10.00,24.4,0.00,1008.63,000,3.30
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.34,10-17-2019,04:00:00,0.0,1010.87,23.6,97,6.00,23.2,0.00,1006.60,000,12.20
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.66,10-17-2019,04:00:00,0.0,1009.03,24.2,98,10.00,23.9,0.00,1007.40,000,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.30,10-17-2019,04:00:00,0.0,1009.25,24.0,98,.80,23.7,0.00,1005.74,000,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.57,10-17-2019,04:00:00,7.4,1009.14,24.3,97,8.00,23.9,0.20,1007.77,270,29.30
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.30,10-17-2019,04:00:00,0.0,1009.26,24.0,98,12.00,23.7,0.00,1008.36,000,10.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.34,10-17-2019,04:00:00,0.0,1009.07,23.6,97,10.00,23.2,0.00,1005.46,000,2.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.24,10-17-2019,04:00:00,0.0,1008.61,26.4,88,10.00,24.2,0.00,1008.17,000,0.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.87,10-17-2019,04:00:00,0.0,1009.25,25.8,87,10.00,23.5,0.00,1008.43,000,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.44,10-17-2019,04:00:00,0.0,1008.61,25.5,93,10.00,24.3,0.00,1006.79,000,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.71,10-17-2019,04:00:00,7.4,1008.78,26.6,91,10.00,25.0,0.00,1008.02,180,0.70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.77,10-17-2019,04:00:00,5.6,1009.59,25.2,99,10.00,25.0,7.00,1005.56,270,10.80
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.28,10-17-2019,04:00:00,0.0,1008.55,25.3,91,10.00,23.7,0.00,1007.86,000,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.12,10-17-2019,04:00:00,0.0,1009.70,23.9,98,10.00,23.6,64.80,1008.57,000,73.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.56,10-17-2019,04:00:00,0.0,1009.17,24.7,98,10.00,24.4,0.00,1006.22,000,0.00
