WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,DewPoint,Rainfall24Hr,StationPressure,Rainfall,VaporPressure,LandVisibility,WindDirection
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,11.1,08-05-2019,13:00:00,1002.40,63,32.0,24.1,0.00,986.90,0.00,30.08,12.00,250
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,08-05-2019,13:00:00,1002.62,68,31.0,24.4,0.00,984.06,0.00,30.61,10.00,190
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-05-2019,13:00:00,1010.24,90,24.2,22.4,14.20,958.60,0.30,27.09,10.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,18.5,08-05-2019,13:00:00,1003.28,65,30.6,23.4,0.01,999.38,0.00,28.70,8.00,180
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,08-05-2019,13:00:00,1004.82,86,22.6,20.1,30.00,910.26,0.01,23.54,.90,190
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-05-2019,13:00:00,1003.59,74,30.4,25.2,0.60,987.83,0.00,31.97,10.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,14.8,08-05-2019,13:00:00,1003.83,73,30.1,24.8,0.30,999.85,0.00,31.35,10.00,180
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,5.6,08-05-2019,13:00:00,1004.91,59,30.5,21.6,14.50,994.38,0.20,25.80,10.00,210
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,08-05-2019,13:00:00,1004.60,67,29.5,22.6,1.80,1002.69,0.00,27.42,12.00,180
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.4,08-05-2019,13:00:00,1003.35,49,33.2,21.0,0.00,982.99,0.00,24.92,10.00,250
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,7.4,08-05-2019,13:00:00,1003.01,62,31.6,23.5,0.10,985.68,0.00,28.99,10.00,230
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,08-05-2019,13:00:00,1002.92,59,32.5,23.4,0.00,987.11,0.00,28.81,10.00,190
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,11.1,08-05-2019,13:00:00,1003.66,63,32.6,24.7,2.40,989.93,0.00,31.02,10.00,200
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-05-2019,13:00:00,1003.91,66,31.5,24.4,0.40,989.35,0.00,30.49,10.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,08-05-2019,13:00:00,1004.10,69,32.0,25.7,0.00,989.71,0.00,32.99,9.00,240
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-05-2019,13:00:00,1004.04,76,28.9,24.1,8.80,1001.05,0.00,30.10,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.6,08-05-2019,13:00:00,1003.93,53,32.7,22.0,0.00,996.15,0.00,26.42,10.00,160
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,08-05-2019,13:00:00,1004.74,56,32.3,22.5,2.10,1003.65,0.00,27.30,9.00,210
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,7.4,08-05-2019,13:00:00,1003.95,66,32.0,24.9,0.00,989.55,0.00,31.52,8.00,200
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,08-05-2019,13:00:00,1005.13,96,22.0,21.4,12.40,871.44,0.00,25.45,2.00,260
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,08-05-2019,13:00:00,1004.22,57,33.4,23.6,19.60,998.48,0.00,29.21,10.00,240
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,13.0,08-05-2019,13:00:00,1004.91,51,33.9,22.4,1.00,1004.13,0.00,27.10,8.00,230
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,13.0,08-05-2019,13:00:00,1004.78,68,30.5,23.9,2.50,1004.34,0.00,29.61,10.00,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-05-2019,13:00:00,1004.63,82,28.0,24.7,32.80,993.40,1.00,31.11,6.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,08-05-2019,13:00:00,1004.49,42,35.9,20.8,3.70,1003.51,0.00,24.61,12.00,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,11.1,08-05-2019,13:00:00,1004.60,53,33.0,22.0,0.01,1002.82,0.00,26.45,10.00,200
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.7,08-05-2019,13:00:00,1004.03,65,30.6,23.2,1.30,1003.28,0.00,28.42,9.00,230
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,08-05-2019,13:00:00,1004.97,64,31.0,23.3,7.60,1004.27,0.00,28.65,10.00,170
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,08-05-2019,13:00:00,1004.97,60,33.0,24.2,0.20,1004.29,0.00,30.11,7.00,210
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,14.8,08-05-2019,13:00:00,1004.05,50,33.8,21.9,0.00,983.43,0.00,26.34,12.00,260
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,16.7,08-05-2019,13:00:00,1004.25,68,30.6,24.0,0.00,987.77,0.00,29.81,10.00,220
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.3,08-05-2019,13:00:00,1005.00,68,30.8,24.2,0.00,988.81,0.00,30.21,9.00,270
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.3,08-05-2019,13:00:00,1003.44,40,34.5,19.0,0.00,982.19,0.00,21.98,10.00,270
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.9,08-05-2019,13:00:00,1004.16,56,30.8,21.1,1.30,961.58,0.00,25.02,10.00,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,13.0,08-05-2019,13:00:00,1003.79,48,33.5,20.9,0.00,983.72,0.00,24.67,10.00,250
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,16.7,08-05-2019,13:00:00,1005.39,70,31.7,25.7,0.00,984.93,0.00,32.94,9.00,220
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,11.1,08-05-2019,13:00:00,1005.02,66,30.2,23.1,9.20,1004.59,0.00,28.20,10.00,200
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,7.4,08-05-2019,13:00:00,1005.11,72,31.0,25.4,0.00,1003.71,0.00,32.34,10.00,250
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-05-2019,13:00:00,1005.33,74,30.6,25.5,0.01,1000.47,0.00,32.67,8.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,08-05-2019,13:00:00,1004.20,60,31.4,22.8,1.10,1000.96,0.00,27.76,12.00,230
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,08-05-2019,13:00:00,1004.67,65,32.1,24.7,0.80,1003.58,0.00,31.15,10.00,220
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,13.0,08-05-2019,13:00:00,1005.11,61,32.0,23.7,18.20,1004.82,0.00,29.22,10.00,210
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,3.7,08-05-2019,13:00:00,1004.66,61,31.8,23.3,7.90,1003.99,0.00,28.54,10.00,210
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.6,08-05-2019,13:00:00,1005.50,65,32.2,24.8,14.30,1005.02,0.00,31.35,10.00,240
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,08-05-2019,13:00:00,1004.81,60,31.8,23.1,4.00,1003.43,0.00,28.27,10.00,210
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,22.2,08-05-2019,13:00:00,1005.29,63,30.6,22.9,0.00,1003.64,0.00,27.87,10.00,220
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,14.8,08-05-2019,13:00:00,1006.55,61,31.1,22.8,20.70,998.66,0.00,27.74,12.00,230
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,5.6,08-05-2019,13:00:00,1004.86,68,32.0,25.4,6.80,1004.58,0.00,32.40,10.00,180
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,08-05-2019,13:00:00,1004.97,63,31.0,23.0,0.50,1001.88,0.00,28.09,10.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,13.0,08-05-2019,13:00:00,1005.59,65,30.0,22.7,0.60,998.73,0.00,27.55,12.00,210
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,11.1,08-05-2019,13:00:00,1005.39,61,31.8,23.4,0.00,999.89,0.00,28.82,7.00,200
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,14.8,08-05-2019,13:00:00,1006.27,62,32.0,23.8,0.40,997.11,0.00,29.51,15.00,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,08-05-2019,13:00:00,1005.56,61,32.0,23.7,6.10,1004.32,0.00,29.22,15.00,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.4,08-05-2019,13:00:00,1005.22,61,31.0,22.5,2.90,1004.79,0.00,27.27,11.00,210
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,11.1,08-05-2019,13:00:00,1005.90,70,29.5,23.4,21.20,993.75,0.70,28.78,10.00,230
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,08-05-2019,13:00:00,1005.85,63,31.0,23.0,7.80,1005.15,0.00,28.09,10.00,260
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,08-05-2019,13:00:00,1005.75,58,32.1,22.8,2.60,1003.36,0.00,27.74,10.00,250
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,18.5,08-05-2019,13:00:00,1006.03,75,29.0,24.1,7.40,1005.52,0.00,30.01,10.00,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,5.6,08-05-2019,13:00:00,1005.40,62,30.7,22.7,4.80,1000.31,0.00,27.52,12.00,230
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,08-05-2019,13:00:00,1007.25,94,26.5,25.5,56.90,1006.84,21.70,32.63,5.00,270
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-05-2019,13:00:00,1006.66,96,26.0,25.3,44.30,1003.88,12.60,32.20,8.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-05-2019,13:00:00,1006.76,80,27.1,23.3,15.50,1005.98,1.00,28.59,10.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,9.3,08-05-2019,13:00:00,1007.14,96,25.0,24.3,128.30,1006.68,16.50,30.32,6.00,090
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.7,08-05-2019,13:00:00,1006.67,88,27.0,24.8,10.60,1005.99,4.50,31.38,7.00,240
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,08-05-2019,13:00:00,1006.59,81,28.0,24.4,7.40,1005.07,1.60,30.56,8.00,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,08-05-2019,13:00:00,1007.96,90,26.8,24.9,15.80,1007.04,9.60,31.55,8.00,220
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.4,08-05-2019,13:00:00,1006.24,66,32.2,25.0,0.00,1005.57,0.00,31.65,10.00,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-05-2019,13:00:00,1007.23,88,27.3,25.2,10.00,1006.43,8.70,31.97,9.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,18.5,08-05-2019,13:00:00,1005.78,54,33.0,22.4,1.80,1005.16,0.00,27.00,10.00,220
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,22.2,08-05-2019,13:00:00,1006.26,60,33.3,24.3,2.50,1005.86,0.00,30.45,10.00,240
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,14.8,08-05-2019,13:00:00,1008.63,58,32.2,22.7,0.10,1004.49,0.00,27.66,7.00,220
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,11.1,08-05-2019,13:00:00,1006.83,52,32.6,21.4,0.00,1005.25,0.00,25.41,10.00,270
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-05-2019,13:00:00,1007.27,60,32.0,23.3,11.10,1003.85,0.00,28.66,12.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,3.7,08-05-2019,13:00:00,1006.66,51,33.8,22.3,0.00,1005.34,0.00,26.90,10.00,230
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,18.5,08-05-2019,13:00:00,1007.70,70,31.0,24.9,3.20,1006.82,2.00,31.47,10.00,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,16.7,08-05-2019,13:00:00,1007.41,71,30.0,24.3,0.00,1003.89,0.00,30.31,10.00,200
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,11.1,08-05-2019,13:00:00,1007.87,53,34.0,23.0,0.60,1007.45,0.00,28.14,10.00,240
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,14.8,08-05-2019,13:00:00,1007.65,58,32.5,23.1,0.01,1006.68,0.00,28.25,10.00,190
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.1,08-05-2019,13:00:00,1007.86,76,31.8,27.0,6.20,1007.06,6.00,35.56,10.00,200
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,22.2,08-05-2019,13:00:00,1007.41,63,32.5,24.5,7.20,1005.62,0.00,30.82,10.00,230
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,20.4,08-05-2019,13:00:00,1006.50,40,35.5,19.8,0.00,1005.77,0.00,23.03,10.00,210
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,16.7,08-05-2019,13:00:00,1007.11,49,34.2,22.1,0.00,1003.21,0.00,26.57,10.00,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,7.4,08-05-2019,13:00:00,1007.86,59,32.9,23.7,0.00,1007.19,0.00,29.33,10.00,190
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,18.5,08-05-2019,13:00:00,1006.55,54,34.5,23.8,0.00,1005.46,0.00,29.46,12.00,230
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,9.3,08-05-2019,13:00:00,1007.35,51,34.6,22.9,0.00,1004.51,0.00,27.94,11.00,230
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,11.1,08-05-2019,13:00:00,1006.84,51,34.5,23.0,0.00,1006.17,0.00,28.02,10.00,220
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,13.0,08-05-2019,13:00:00,1007.21,46,34.8,21.4,0.00,1003.19,0.00,25.52,9.00,240
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.3,08-05-2019,13:00:00,1007.41,44,34.0,20.1,0.00,1006.84,0.00,23.46,10.00,170
