WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,VaporPressure,WindDirection,MeanSeaLevelPressure,StationPressure,LandVisibility,Rainfall24Hr,Rainfall,AirTemperature,WindSpeed
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,08-15-2019,22:00:00,81,32.55,000,1005.14,999.00,10.00,0.00,0.00,29.0,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.6,08-15-2019,22:00:00,76,30.96,000,1004.52,988.24,8.00,0.00,0.00,29.2,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.4,08-15-2019,22:00:00,81,27.05,000,1005.78,983.41,10.00,0.00,0.00,25.8,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.1,08-15-2019,22:00:00,71,28.27,260,1005.82,991.54,6.00,0.00,0.00,28.8,11.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.9,08-15-2019,22:00:00,67,27.88,000,1004.66,988.46,8.00,0.00,0.00,29.6,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.9,08-15-2019,22:00:00,83,33.41,190,1005.75,1000.56,10.00,0.30,0.00,29.0,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.2,08-15-2019,22:00:00,80,31.98,000,1004.13,991.06,10.00,0.00,0.00,29.0,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.8,08-15-2019,22:00:00,79,31.29,000,1005.21,995.96,11.00,0.00,0.00,28.8,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.3,08-15-2019,22:00:00,90,32.21,120,1004.70,983.06,10.00,1.70,1.10,27.0,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.6,08-15-2019,22:00:00,92,32.77,240,1003.70,986.26,4.00,14.00,5.80,27.0,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.9,08-15-2019,22:00:00,81,31.54,180,1005.01,989.29,10.00,17.00,0.00,28.5,5.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.8,08-15-2019,22:00:00,94,33.14,000,1003.75,984.92,8.00,6.50,6.30,26.9,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.2,08-15-2019,22:00:00,85,28.34,000,1008.25,956.99,5.00,7.60,0.00,25.8,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.1,08-15-2019,22:00:00,83,33.74,180,1005.35,1001.43,8.00,0.00,0.00,29.3,11.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.0,08-15-2019,22:00:00,94,24.89,000,1007.24,912.31,5.00,0.40,0.00,22.1,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.6,08-15-2019,22:00:00,94,32.82,000,1005.50,989.52,6.00,4.30,2.20,26.6,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.4,08-15-2019,22:00:00,88,32.36,000,1005.38,1001.36,8.00,0.70,0.00,27.5,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.2,08-15-2019,22:00:00,85,33.99,000,1006.71,996.11,7.00,0.00,0.00,29.0,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.7,08-15-2019,22:00:00,78,31.13,000,1006.55,1004.64,9.00,0.00,0.00,29.0,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.8,08-15-2019,22:00:00,71,29.52,240,1005.05,984.41,10.00,0.00,0.00,29.6,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.5,08-15-2019,22:00:00,93,32.54,350,1005.41,987.75,10.00,16.80,0.00,26.6,14.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.3,08-15-2019,22:00:00,87,32.20,150,1004.60,988.52,10.00,1.20,0.00,27.7,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.8,08-15-2019,22:00:00,80,31.38,000,1005.55,991.62,10.00,0.01,0.00,28.7,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.6,08-15-2019,22:00:00,80,30.87,000,1005.95,991.20,8.00,0.00,0.00,28.3,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.6,08-15-2019,22:00:00,82,32.83,160,1005.48,990.93,8.00,3.90,0.00,29.0,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.4,08-15-2019,22:00:00,88,32.36,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1005.66,1002.65,8.00,12.20,0.30,27.5,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.2,08-15-2019,22:00:00,82,32.02,000,1005.55,997.65,7.00,0.01,0.00,28.6,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.0,08-15-2019,22:00:00,81,35.56,220,1006.11,1005.02,6.00,0.00,0.00,30.7,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.6,08-15-2019,22:00:00,71,27.44,000,1007.18,992.57,8.00,0.00,0.00,28.5,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.3,08-15-2019,22:00:00,97,23.85,200,1008.66,873.99,.10,17.00,0.00,20.8,11.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.6,08-15-2019,22:00:00,91,34.73,000,1006.07,1000.21,10.00,0.01,0.00,28.1,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.0,08-15-2019,22:00:00,78,33.59,230,1006.66,1005.86,9.00,0.20,0.00,30.2,7.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.6,08-15-2019,22:00:00,84,34.75,210,1006.75,1006.31,10.00,0.00,0.00,29.5,22.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.1,08-15-2019,22:00:00,92,31.79,000,1008.21,996.88,4.00,0.20,0.00,26.5,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.7,08-15-2019,22:00:00,82,33.04,180,1006.83,1005.82,10.00,0.30,0.00,29.1,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.3,08-15-2019,22:00:00,78,32.34,170,1006.39,1004.58,8.00,0.00,0.00,29.6,9.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.2,08-15-2019,22:00:00,69,28.50,000,1006.62,1005.86,7.00,0.00,0.00,29.5,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.5,08-15-2019,22:00:00,85,34.62,200,1006.85,1006.15,10.00,0.00,0.00,29.3,18.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.2,08-15-2019,22:00:00,85,36.14,000,1006.70,1006.00,7.00,32.60,0.40,30.0,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.2,08-15-2019,22:00:00,72,30.19,220,1005.90,984.97,10.00,0.50,0.00,29.8,9.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.8,08-15-2019,22:00:00,78,31.33,000,1005.98,989.40,7.00,3.60,0.00,29.1,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.2,08-15-2019,22:00:00,78,30.15,180,1006.52,990.18,7.00,2.20,0.00,28.5,7.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.5,08-15-2019,22:00:00,78,30.82,000,1005.86,984.16,10.00,0.01,0.00,28.7,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.6,08-15-2019,22:00:00,85,29.17,140,1006.87,963.56,8.00,0.80,0.00,26.4,3.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.4,08-15-2019,22:00:00,81,30.56,180,1006.43,985.95,10.00,11.00,0.00,28.0,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.8,08-15-2019,22:00:00,88,33.17,220,1007.33,986.57,9.00,0.80,0.00,27.9,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.6,08-15-2019,22:00:00,87,34.87,290,1007.03,1006.60,10.00,3.50,0.00,29.0,1.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,08-15-2019,22:00:00,85,32.55,000,1006.56,1005.15,6.00,13.10,0.00,28.3,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,08-15-2019,22:00:00,87,32.20,000,1007.15,1002.23,7.00,0.00,0.00,27.7,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.9,08-15-2019,22:00:00,72,29.60,210,1007.23,1003.97,12.00,0.00,0.00,29.5,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.1,08-15-2019,22:00:00,82,31.90,000,1006.99,1005.89,10.00,0.00,0.00,28.4,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.0,08-15-2019,22:00:00,86,35.56,210,1007.13,1006.83,10.00,0.00,0.00,29.6,13.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.1,08-15-2019,22:00:00,87,35.86,000,1007.80,1007.31,10.00,0.00,0.00,29.6,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.9,08-15-2019,22:00:00,81,33.50,200,1006.99,1005.60,10.00,0.00,0.00,29.6,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.6,08-15-2019,22:00:00,86,30.94,000,1008.79,1000.78,10.00,0.00,0.00,27.2,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.1,08-15-2019,22:00:00,83,33.83,000,1006.68,1006.40,10.00,7.50,0.00,29.2,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.7,08-15-2019,22:00:00,80,33.00,000,1007.07,1003.97,10.00,3.70,0.00,29.5,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.6,08-15-2019,22:00:00,89,34.90,230,1007.48,1000.57,10.00,1.30,0.00,28.6,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.0,08-15-2019,22:00:00,77,29.76,210,1007.16,1001.58,8.00,0.00,0.00,28.3,9.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.1,08-15-2019,22:00:00,92,31.79,270,1007.63,1006.36,10.00,5.60,0.00,26.5,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.7,08-15-2019,22:00:00,75,29.33,000,1006.89,1006.46,11.00,16.80,0.00,28.5,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.4,08-15-2019,22:00:00,83,28.74,000,1007.69,995.41,10.00,0.00,0.00,26.6,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.4,08-15-2019,22:00:00,72,28.72,230,1007.41,1006.70,10.00,0.00,0.00,28.9,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.1,08-15-2019,22:00:00,83,33.83,200,1007.67,1005.25,10.00,0.00,0.00,29.2,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.5,08-15-2019,22:00:00,86,34.58,250,1008.39,1007.87,10.00,0.00,0.00,29.0,13.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.9,08-15-2019,22:00:00,84,33.49,170,1007.76,1002.63,10.00,0.00,0.00,28.9,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.8,08-15-2019,22:00:00,86,33.12,200,1008.49,1008.08,7.00,0.00,0.00,28.3,7.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.6,08-15-2019,22:00:00,93,32.86,000,1008.54,1005.76,8.00,0.00,0.00,26.9,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.6,08-15-2019,22:00:00,77,29.19,000,1008.61,1007.83,10.00,0.00,0.00,28.0,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.8,08-15-2019,22:00:00,87,33.20,240,1008.76,1008.30,7.00,5.80,0.00,28.2,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.3,08-15-2019,22:00:00,88,30.43,000,1009.73,1009.05,8.00,4.80,0.00,26.5,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.1,08-15-2019,22:00:00,88,31.77,000,1009.91,1008.38,10.00,0.00,0.00,27.2,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.8,08-15-2019,22:00:00,88,31.38,250,1010.13,1009.21,8.00,18.60,11.20,27.0,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.7,08-15-2019,22:00:00,90,31.16,000,1009.85,1009.16,10.00,5.50,0.00,26.6,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.4,08-15-2019,22:00:00,97,32.37,190,1010.75,1009.94,8.00,4.30,0.50,25.8,3.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.3,08-15-2019,22:00:00,92,30.46,000,1009.66,1009.03,10.00,2.60,0.00,25.8,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.3,08-15-2019,22:00:00,92,30.46,220,1009.56,1009.15,10.00,0.00,0.00,25.8,18.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.7,08-15-2019,22:00:00,89,29.21,000,1011.74,1007.50,6.00,3.10,0.00,25.7,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.2,08-15-2019,22:00:00,98,30.20,000,1010.65,1009.02,10.00,9.60,5.40,24.5,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.9,08-15-2019,22:00:00,95,29.69,000,1010.79,1007.27,7.00,2.40,0.30,24.8,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,22.5,08-15-2019,22:00:00,84,27.29,270,1010.54,1009.17,10.00,0.00,0.00,25.5,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.3,08-15-2019,22:00:00,87,32.20,240,1010.80,1009.91,10.00,13.70,0.00,27.7,18.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.5,08-15-2019,22:00:00,97,30.67,000,1010.27,1006.68,10.00,14.40,0.20,24.9,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.6,08-15-2019,22:00:00,92,30.84,280,1010.81,1010.37,10.00,17.40,2.30,26.0,11.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.7,08-15-2019,22:00:00,80,31.06,250,1010.09,1009.10,10.00,31.20,0.00,28.4,9.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.1,08-15-2019,22:00:00,90,33.74,280,1010.43,1009.62,10.00,43.80,1.20,27.9,22.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.6,08-15-2019,22:00:00,96,29.05,000,1010.94,1009.11,10.00,39.80,0.30,24.3,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.0,08-15-2019,22:00:00,78,28.06,250,1010.39,1009.64,10.00,4.60,0.00,27.1,14.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.7,08-15-2019,22:00:00,88,29.31,240,1010.52,1006.50,10.00,0.01,0.00,25.9,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.9,08-15-2019,22:00:00,91,29.64,000,1011.03,1010.35,10.00,16.30,0.00,25.5,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.7,08-15-2019,22:00:00,85,29.35,000,1010.29,1009.17,10.00,0.00,0.00,26.5,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.8,08-15-2019,22:00:00,94,31.27,220,1010.67,1007.73,10.00,15.00,0.00,25.8,3.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.3,08-15-2019,22:00:00,89,30.32,000,1010.18,1009.49,10.00,0.00,0.00,26.3,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.7,08-15-2019,22:00:00,85,27.63,250,1010.89,1006.73,8.00,0.00,0.00,25.4,9.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.3,08-15-2019,22:00:00,75,26.84,000,1010.72,1010.13,10.00,3.00,0.00,27.0,0.0
