WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,WindSpeed,Rainfall24Hr,DewPoint,StationPressure,AirTemperature,LandVisibility,Rainfall,RelativeHumidity,MeanSeaLevelPressure
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-31-2019,16:00:00,29.33,0.0,24.30,23.7,971.14,24.6,6.00,19.00,95,1001.01
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-31-2019,16:00:00,29.41,0.0,73.00,23.8,965.34,24.5,4.00,24.60,96,1000.82
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,070,08-31-2019,16:00:00,33.70,3.7,23.40,26.0,971.18,28.3,15.00,0.00,88,1000.50
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-31-2019,16:00:00,32.02,0.0,42.50,25.2,994.03,26.9,8.00,0.60,90,1001.29
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,170,08-31-2019,16:00:00,32.30,5.6,29.80,25.3,981.32,30.0,12.00,0.00,76,1000.89
48353,LOEI,เลย,เลย,17.45000,101.73333,030,08-31-2019,16:00:00,30.42,3.7,22.20,24.3,972.59,28.5,15.00,0.00,78,1000.89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,210,08-31-2019,16:00:00,31.44,3.7,20.00,24.9,981.41,30.0,15.00,0.01,74,1001.26
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-31-2019,16:00:00,31.35,0.0,49.80,24.8,980.89,30.8,15.00,3.90,71,1002.23
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,200,08-31-2019,16:00:00,31.07,3.7,40.80,24.7,982.29,30.1,15.00,0.60,73,1001.46
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-31-2019,16:00:00,31.79,0.0,49.50,25.1,986.76,28.2,7.00,1.50,83,1003.37
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-31-2019,16:00:00,32.52,0.0,62.80,25.4,986.05,28.0,8.00,1.20,86,1003.33
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,240,08-31-2019,16:00:00,30.72,3.7,14.80,24.5,975.01,29.5,12.00,0.00,75,1000.39
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,210,08-31-2019,16:00:00,33.47,3.7,36.70,25.9,995.66,26.5,6.00,0.60,97,1001.42
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,200,08-31-2019,16:00:00,33.06,7.4,44.20,25.7,995.41,27.0,8.00,0.20,93,1001.57
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,230,08-31-2019,16:00:00,30.42,11.1,34.30,24.3,985.54,28.5,10.00,0.00,78,1001.81
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-31-2019,16:00:00,29.50,0.0,60.50,23.8,978.54,26.0,7.00,2.60,88,1000.79
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-31-2019,16:00:00,30.84,0.0,68.30,24.6,987.87,26.0,4.00,18.60,92,1002.23
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-31-2019,16:00:00,30.84,0.0,102.50,24.6,984.79,26.0,8.00,0.60,92,1001.12
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,08-31-2019,16:00:00,32.96,0.0,42.40,25.7,996.43,28.5,8.00,0.01,85,1001.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-31-2019,16:00:00,32.63,0.0,102.50,25.5,987.42,28.9,10.00,0.50,82,1000.45
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,090,08-31-2019,16:00:00,33.01,5.6,85.80,25.7,992.49,27.4,8.00,8.30,90,1001.75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,220,08-31-2019,16:00:00,28.86,11.1,49.40,23.4,980.33,29.4,12.00,0.00,70,1001.73
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,230,08-31-2019,16:00:00,29.66,13.0,121.40,23.9,984.67,32.5,10.00,0.01,61,1001.77
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,180,08-31-2019,16:00:00,32.80,3.7,57.50,25.6,986.30,28.0,11.00,7.60,87,1002.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,200,08-31-2019,16:00:00,30.77,5.6,73.90,24.5,982.34,29.1,8.00,0.00,76,1000.98
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-31-2019,16:00:00,26.94,0.0,16.10,22.3,950.49,25.0,10.00,2.50,85,1001.55
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,210,08-31-2019,16:00:00,34.87,11.1,63.20,26.6,997.58,29.0,3.00,1.10,87,1001.49
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,08-31-2019,16:00:00,23.77,0.0,99.20,20.3,907.49,20.9,.40,10.90,96,1002.32
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,180,08-31-2019,16:00:00,34.19,5.6,35.00,26.3,986.33,28.4,6.00,0.50,88,1002.16
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,180,08-31-2019,16:00:00,33.00,3.7,27.70,25.7,998.07,29.5,10.00,0.01,80,1002.06
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,240,08-31-2019,16:00:00,31.89,9.3,42.30,25.1,992.41,29.8,10.00,1.50,76,1002.94
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,08-31-2019,16:00:00,28.91,0.0,11.20,23.5,1000.55,30.0,10.00,0.00,68,1002.46
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,08-31-2019,16:00:00,31.41,0.0,50.80,24.9,981.39,26.3,10.00,1.10,92,1002.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,180,08-31-2019,16:00:00,30.48,5.6,33.80,24.4,984.31,28.1,10.00,0.70,80,1001.82
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,140,08-31-2019,16:00:00,30.72,5.6,27.80,24.5,985.84,27.8,10.00,0.50,82,1001.87
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,170,08-31-2019,16:00:00,30.78,9.3,5.40,24.5,989.24,27.4,9.00,1.00,84,1003.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,170,08-31-2019,16:00:00,30.83,11.1,2.80,24.5,988.89,27.0,7.00,0.40,87,1003.67
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,170,08-31-2019,16:00:00,33.79,5.6,1.30,26.1,989.11,29.6,10.00,0.50,82,1003.61
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-31-2019,16:00:00,30.40,0.0,26.80,24.3,998.83,29.2,8.00,0.20,75,1001.82
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-31-2019,16:00:00,32.12,0.0,29.70,25.2,994.19,27.8,10.00,1.30,86,1002.08
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,200,08-31-2019,16:00:00,29.30,18.5,1.20,23.7,1001.57,30.2,8.00,0.00,68,1002.66
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-31-2019,16:00:00,33.82,0.0,16.00,26.1,986.94,27.8,8.00,0.00,91,1001.50
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,250,08-31-2019,16:00:00,22.28,11.1,49.20,19.2,869.52,19.4,.05,16.40,99,1004.17
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,08-31-2019,16:00:00,32.01,0.0,36.00,25.2,996.30,30.0,10.00,0.00,75,1002.09
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,240,08-31-2019,16:00:00,27.55,9.3,0.20,22.7,1002.44,30.0,8.00,0.00,65,1003.23
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-31-2019,16:00:00,30.21,18.5,0.01,24.2,1002.61,30.8,10.00,0.00,68,1003.05
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-31-2019,16:00:00,31.52,0.0,18.50,24.9,992.05,27.5,6.00,1.50,86,1003.29
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,210,08-31-2019,16:00:00,30.65,3.7,0.01,24.5,1001.46,32.0,10.00,0.00,64,1002.45
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,200,08-31-2019,16:00:00,28.51,11.1,4.70,23.2,1000.66,31.5,10.00,0.00,62,1002.45
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,230,08-31-2019,16:00:00,25.16,7.4,0.01,21.2,1001.65,31.6,8.00,0.00,54,1002.41
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,08-31-2019,16:00:00,31.34,18.5,1.00,24.8,1002.46,28.4,10.00,0.01,81,1003.15
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,08-31-2019,16:00:00,34.19,0.0,5.60,26.3,1002.43,28.4,7.00,2.10,88,1003.12
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,220,08-31-2019,16:00:00,31.52,9.3,21.30,24.9,981.15,27.5,9.00,0.10,86,1002.16
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,230,08-31-2019,16:00:00,29.80,14.8,15.40,24.0,986.30,26.6,5.00,8.90,86,1002.97
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-31-2019,16:00:00,30.81,7.4,15.50,24.5,986.88,27.7,8.00,8.40,83,1003.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-31-2019,16:00:00,30.02,0.0,29.10,24.1,980.90,27.0,10.00,0.60,84,1002.66
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,220,08-31-2019,16:00:00,26.99,11.1,5.70,22.3,959.77,26.5,15.00,0.00,78,1002.90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,230,08-31-2019,16:00:00,29.74,14.8,17.20,23.9,982.08,29.0,10.00,0.00,74,1002.41
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,280,08-31-2019,16:00:00,35.12,5.6,21.40,26.7,983.19,28.7,9.00,2.20,89,1003.83
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,240,08-31-2019,16:00:00,29.19,11.1,0.30,23.6,1002.69,30.0,10.00,0.00,69,1003.12
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-31-2019,16:00:00,32.96,0.0,2.70,25.7,1001.34,28.5,10.00,0.20,85,1002.74
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,240,08-31-2019,16:00:00,32.55,11.1,0.80,25.5,997.58,31.1,9.00,0.00,72,1002.43
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,300,08-31-2019,16:00:00,27.87,7.4,0.40,22.9,999.08,31.6,12.00,0.00,60,1002.31
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-31-2019,16:00:00,29.32,0.0,0.01,23.7,1001.73,31.2,10.00,0.00,65,1002.81
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,210,08-31-2019,16:00:00,30.72,9.3,0.10,24.5,1002.85,29.5,10.00,0.00,75,1003.15
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,000,08-31-2019,16:00:00,32.13,0.0,1.60,25.2,1002.03,29.5,10.00,0.00,78,1002.71
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,08-31-2019,16:00:00,32.01,0.0,2.00,25.2,1002.46,29.3,10.00,0.00,79,1002.95
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,210,08-31-2019,16:00:00,30.40,14.8,6.60,24.3,1001.63,29.2,10.00,0.00,75,1003.02
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-31-2019,16:00:00,35.53,31.5,0.01,26.9,1001.34,28.2,10.00,0.00,93,1003.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,180,08-31-2019,16:00:00,29.33,3.7,0.01,23.7,997.04,29.5,10.00,0.00,71,1004.96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,220,08-31-2019,16:00:00,29.33,11.1,0.00,23.7,1002.44,30.5,10.00,0.00,67,1002.72
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,200,08-31-2019,16:00:00,29.90,9.3,0.00,24.0,1000.03,28.8,10.00,0.00,76,1003.13
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,08-31-2019,16:00:00,33.24,0.0,3.10,25.8,996.88,28.5,10.00,0.00,85,1003.76
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,200,08-31-2019,16:00:00,30.31,14.8,0.40,24.3,997.73,30.0,10.00,0.00,71,1003.25
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,000,08-31-2019,16:00:00,31.94,0.0,0.70,25.1,994.66,28.7,10.00,0.01,81,1003.89
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,260,08-31-2019,16:00:00,30.90,7.4,1.40,24.6,1002.36,31.0,12.00,0.00,69,1003.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,160,08-31-2019,16:00:00,32.63,13.0,0.01,25.5,1002.52,28.9,11.00,0.00,82,1002.95
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,230,08-31-2019,16:00:00,30.02,7.4,5.50,24.1,991.39,27.0,10.00,0.10,84,1003.60
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,220,08-31-2019,16:00:00,30.83,7.4,1.20,24.5,1002.88,27.0,10.00,0.20,87,1003.59
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,230,08-31-2019,16:00:00,29.75,14.8,3.10,24.0,1002.36,31.7,9.00,0.01,64,1004.75
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,220,08-31-2019,16:00:00,30.90,13.0,1.40,24.6,1003.76,28.6,10.00,0.50,79,1004.27
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,210,08-31-2019,16:00:00,28.29,5.6,0.70,23.1,998.93,29.1,10.00,0.00,70,1004.03
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-31-2019,16:00:00,32.94,0.0,35.00,25.7,1004.24,26.8,7.00,29.20,94,1004.65
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,08-31-2019,16:00:00,31.17,0.0,11.40,24.7,1002.40,25.6,8.00,3.00,95,1005.18
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,08-31-2019,16:00:00,30.02,0.0,22.30,24.1,1003.94,27.0,10.00,0.00,84,1004.73
48501,TRAD,ตราด,ตราด,11.76667,102.88333,240,08-31-2019,16:00:00,32.45,5.6,16.10,25.4,1005.05,27.4,7.00,12.70,89,1005.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,210,08-31-2019,16:00:00,29.33,3.7,5.20,23.7,1004.64,29.5,7.00,0.00,71,1005.31
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,280,08-31-2019,16:00:00,29.30,1.9,8.40,23.7,1003.81,29.2,8.00,0.00,72,1005.32
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,200,08-31-2019,16:00:00,28.24,7.4,44.50,23.1,1005.39,28.5,10.00,0.00,73,1006.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-31-2019,16:00:00,33.28,0.0,0.40,25.8,1005.01,28.8,10.00,0.20,84,1005.69
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,240,08-31-2019,16:00:00,32.77,3.7,1.20,25.6,1005.82,27.0,10.00,0.30,92,1006.62
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,270,08-31-2019,16:00:00,24.92,13.0,0.60,21.0,1004.13,33.2,10.00,0.00,49,1004.75
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,08-31-2019,16:00:00,28.56,0.0,0.40,23.3,1004.88,32.8,10.00,0.00,57,1005.28
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,230,08-31-2019,16:00:00,33.37,9.3,5.60,25.9,1004.08,28.0,6.00,5.60,88,1008.28
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-31-2019,16:00:00,29.52,0.0,10.10,23.8,1005.52,27.6,8.00,6.20,80,1007.13
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-31-2019,16:00:00,27.71,0.0,0.20,22.8,1003.33,29.8,10.00,0.00,66,1006.77
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,180,08-31-2019,16:00:00,28.50,3.7,4.50,23.2,1003.69,32.2,10.00,2.10,59,1005.02
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,08-31-2019,16:00:00,27.47,0.0,16.00,22.6,1005.59,27.5,10.00,4.90,75,1006.47
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,310,08-31-2019,16:00:00,31.29,5.6,14.20,24.8,1005.62,28.8,10.00,11.00,79,1006.06
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,08-31-2019,16:00:00,30.61,0.0,19.40,24.4,1005.06,27.6,10.00,3.90,83,1006.05
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,280,08-31-2019,16:00:00,32.22,13.0,0.00,25.3,1005.08,29.4,10.00,0.00,79,1005.89
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,240,08-31-2019,16:00:00,33.50,9.3,0.00,25.9,1004.40,29.6,10.00,0.00,81,1006.19
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,260,08-31-2019,16:00:00,26.32,5.6,0.60,21.9,1004.77,31.5,10.00,0.00,57,1005.51
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,230,08-31-2019,16:00:00,27.49,14.8,3.20,22.6,1001.97,31.4,10.00,0.00,60,1005.91
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-31-2019,16:00:00,30.69,0.0,2.50,24.5,1006.03,33.0,10.00,0.00,61,1006.70
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,180,08-31-2019,16:00:00,27.43,7.4,2.40,22.6,1004.67,31.8,12.00,0.00,58,1005.76
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,260,08-31-2019,16:00:00,29.04,11.1,1.40,23.6,1003.09,31.2,11.00,0.00,64,1005.96
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,030,08-31-2019,16:00:00,37.25,9.3,0.00,27.7,1003.96,32.0,8.00,0.00,78,1004.64
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,060,08-31-2019,16:00:00,31.51,5.6,0.01,24.9,1001.32,31.3,7.00,0.01,69,1005.37
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,08-31-2019,16:00:00,27.43,0.0,0.00,22.6,1004.42,31.8,12.00,0.00,58,1005.00
