WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,Rainfall,AirTemperature,WindSpeed,WindDirection,MaximumTemperature,StationPressure,VaporPressure,Rainfall24Hr,DewPoint,LandVisibility
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1012.30,10-15-2019,19:00:00,73,0.00,28.5,0.0,000,33.7,995.86,28.24,0.00,23.1,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1009.47,10-15-2019,19:00:00,70,0.00,28.5,0.0,000,33.3,987.21,27.18,0.00,22.5,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1011.54,10-15-2019,19:00:00,74,0.00,29.1,0.0,000,33.0,997.19,29.65,0.00,23.9,7.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1011.86,10-15-2019,19:00:00,88,0.00,26.5,0.0,000,33.5,995.37,30.43,0.00,24.3,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1011.48,10-15-2019,19:00:00,72,0.00,30.2,0.0,000,35.5,1006.29,30.70,0.00,24.5,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1010.08,10-15-2019,19:00:00,65,0.00,30.0,0.0,000,34.5,996.97,27.55,0.00,22.7,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1010.81,10-15-2019,19:00:00,80,0.00,29.7,0.0,000,34.1,1001.54,33.41,7.50,25.9,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1012.57,10-15-2019,19:00:00,88,0.00,25.6,9.3,020,33.6,990.66,28.77,12.20,23.4,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1012.41,10-15-2019,19:00:00,84,0.00,26.5,0.0,000,34.0,994.79,29.08,1.10,23.6,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1011.95,10-15-2019,19:00:00,72,0.00,28.0,0.0,000,33.3,996.10,27.32,0.00,22.5,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1011.77,10-15-2019,19:00:00,88,0.00,25.6,1.9,040,32.9,992.72,28.77,4.50,23.4,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1012.06,10-15-2019,19:00:00,82,0.00,25.0,0.0,000,31.7,960.47,25.93,0.00,21.7,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1010.45,10-15-2019,19:00:00,73,0.00,31.0,0.0,000,34.5,1006.54,32.93,0.00,25.7,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1012.62,10-15-2019,19:00:00,93,0.00,21.0,0.0,000,25.0,916.85,23.00,2.60,19.7,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1011.90,10-15-2019,19:00:00,89,0.00,25.5,0.0,000,32.3,995.76,29.11,1.60,23.6,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1010.99,10-15-2019,19:00:00,72,0.00,30.2,0.0,000,34.2,1006.98,30.70,0.00,24.5,7.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1011.97,10-15-2019,19:00:00,71,0.00,29.3,0.0,000,33.3,1001.33,28.94,0.00,23.5,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.66,10-15-2019,19:00:00,71,0.00,30.0,0.0,000,34.0,1008.75,30.31,0.00,24.3,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1011.97,10-15-2019,19:00:00,78,0.20,26.8,7.4,040,32.9,990.99,27.52,1.90,22.7,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1011.76,10-15-2019,19:00:00,83,0.00,26.1,11.1,040,32.7,993.97,28.10,0.00,23.0,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1011.61,10-15-2019,19:00:00,83,0.00,26.7,5.6,340,33.7,995.36,28.92,0.00,23.5,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1011.58,10-15-2019,19:00:00,73,0.10,28.3,3.7,040,34.2,997.55,28.14,0.10,23.0,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1012.28,10-15-2019,19:00:00,89,5.40,26.3,0.0,000,33.6,997.34,30.59,22.00,24.4,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1012.18,10-15-2019,19:00:00,86,0.00,28.7,3.7,050,33.1,997.52,33.95,0.00,26.2,9.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1010.26,10-15-2019,19:00:00,65,0.00,31.4,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",34.1,1007.27,29.72,0.00,23.9,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1011.07,10-15-2019,19:00:00,66,0.00,29.2,0.0,000,33.7,1003.15,26.87,0.00,22.3,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1011.21,10-15-2019,19:00:00,75,0.00,30.0,3.7,050,34.5,1010.11,32.01,0.00,25.2,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1010.66,10-15-2019,19:00:00,81,0.00,29.4,3.7,080,31.1,996.04,33.37,0.00,25.9,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1012.14,10-15-2019,19:00:00,96,0.00,20.2,7.4,050,25.9,876.76,22.75,0.00,19.6,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1011.18,10-15-2019,19:00:00,68,0.00,29.0,5.6,050,33.2,1005.31,27.30,0.00,22.5,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1010.83,10-15-2019,19:00:00,66,0.00,31.0,0.0,000,35.5,1010.03,29.48,0.00,23.8,7.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.35,10-15-2019,19:00:00,74,0.00,28.8,0.0,000,32.6,1009.91,29.35,0.00,23.7,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1010.22,10-15-2019,19:00:00,81,0.00,28.0,0.0,000,34.3,998.92,30.56,0.00,24.4,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.27,10-15-2019,19:00:00,72,0.00,30.6,0.0,000,34.0,1009.26,31.51,0.00,24.9,8.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.44,10-15-2019,19:00:00,65,0.00,30.5,0.0,000,34.1,1008.64,28.50,0.00,23.2,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.16,10-15-2019,19:00:00,82,0.00,29.0,0.0,000,33.5,1009.39,32.83,0.00,25.6,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.32,10-15-2019,19:00:00,71,0.00,29.6,9.3,060,32.8,1009.62,29.24,0.00,23.7,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.42,10-15-2019,19:00:00,77,0.01,28.5,0.0,000,34.8,1009.71,29.87,0.01,24.0,10.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1011.34,10-15-2019,19:00:00,70,0.00,28.9,3.7,050,32.1,990.23,27.91,0.00,22.9,9.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1011.29,10-15-2019,19:00:00,75,0.00,27.7,0.0,000,32.8,994.55,27.83,0.00,22.9,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1011.74,10-15-2019,19:00:00,84,0.00,26.5,0.0,000,33.0,995.21,29.08,0.00,23.6,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1010.88,10-15-2019,19:00:00,74,0.00,29.0,3.7,050,33.0,989.09,29.74,0.00,23.9,8.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1011.25,10-15-2019,19:00:00,78,0.00,26.6,3.7,090,31.0,967.78,27.16,0.00,22.5,9.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1011.14,10-15-2019,19:00:00,75,0.00,28.3,9.3,040,32.5,990.59,28.95,0.00,23.5,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1012.90,10-15-2019,19:00:00,100,1.40,24.6,0.0,000,31.9,991.80,30.91,1.40,24.6,7.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.76,10-15-2019,19:00:00,69,0.00,31.0,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",32.5,1009.33,31.19,8.50,24.7,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.55,10-15-2019,19:00:00,96,0.10,25.5,0.0,000,33.5,1009.13,31.25,6.70,24.8,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1010.82,10-15-2019,19:00:00,86,0.00,27.0,0.0,000,32.7,1005.87,30.56,0.00,24.4,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1010.10,10-15-2019,19:00:00,71,0.00,29.8,0.0,000,33.5,1006.83,29.91,0.30,24.0,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.25,10-15-2019,19:00:00,72,0.00,30.1,0.0,000,33.7,1009.15,30.50,0.00,24.4,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.21,10-15-2019,19:00:00,64,0.00,30.9,3.7,040,33.5,1009.91,28.45,0.20,23.2,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.40,10-15-2019,19:00:00,64,0.00,31.5,0.0,000,34.4,1009.72,29.63,0.00,23.9,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.27,10-15-2019,19:00:00,65,0.00,30.6,0.0,000,35.3,1009.79,28.70,0.00,23.4,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.31,10-15-2019,19:00:00,68,0.00,30.2,11.1,070,33.2,1008.91,29.03,0.01,23.5,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1010.13,10-15-2019,19:00:00,71,0.00,30.0,18.5,040,32.0,1008.46,30.31,0.00,24.3,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1012.44,10-15-2019,19:00:00,84,0.01,26.5,0.0,000,33.5,1004.38,29.08,0.01,23.6,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.03,10-15-2019,19:00:00,70,0.00,30.5,3.7,060,35.2,1009.75,30.46,0.00,24.3,4.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.12,10-15-2019,19:00:00,79,0.00,29.7,5.6,270,34.3,1007.00,32.83,0.00,25.6,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1010.29,10-15-2019,19:00:00,71,0.00,30.0,5.6,090,32.0,1003.40,30.31,0.00,24.3,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1011.41,10-15-2019,19:00:00,85,8.20,27.5,0.0,000,34.0,1005.80,31.25,8.20,24.8,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1010.05,10-15-2019,19:00:00,70,0.00,29.6,9.3,070,33.0,1000.79,28.97,0.00,23.5,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.74,10-15-2019,19:00:00,84,0.00,28.5,0.0,000,32.5,1009.48,32.67,27.00,25.5,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.89,10-15-2019,19:00:00,73,0.00,30.3,0.0,000,33.2,1009.46,31.48,1.20,24.9,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1010.68,10-15-2019,19:00:00,81,0.00,27.4,0.0,000,32.5,998.39,29.69,0.00,23.9,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.29,10-15-2019,19:00:00,72,0.00,30.5,5.6,010,32.2,1009.58,31.31,0.00,24.8,8.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1010.68,10-15-2019,19:00:00,88,14.20,25.0,0.0,000,35.0,1008.22,27.70,14.20,22.8,8.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.39,10-15-2019,19:00:00,90,6.40,26.0,0.0,000,33.7,1009.87,30.30,6.40,24.3,7.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1010.05,10-15-2019,19:00:00,86,0.01,26.3,1.9,260,34.1,1004.87,29.25,0.01,23.7,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.07,10-15-2019,19:00:00,79,0.00,28.5,0.0,000,34.3,1009.65,30.70,0.80,24.5,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.25,10-15-2019,19:00:00,85,0.00,27.5,0.0,000,33.0,1007.47,31.25,0.00,24.8,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.42,10-15-2019,19:00:00,69,0.00,29.6,5.6,020,33.5,1008.64,28.69,0.00,23.4,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.41,10-15-2019,19:00:00,90,5.40,26.2,7.4,090,34.2,1009.94,30.67,5.40,24.5,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.71,10-15-2019,19:00:00,88,0.00,27.0,0.0,000,30.0,1010.02,31.38,7.00,24.8,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.12,10-15-2019,19:00:00,79,0.00,27.5,0.0,000,30.5,1008.59,29.06,10.80,23.6,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.33,10-15-2019,19:00:00,77,0.00,27.9,3.7,050,31.8,1009.42,29.01,0.30,23.5,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.92,10-15-2019,19:00:00,91,0.00,27.5,5.6,330,30.0,1010.24,33.50,9.20,25.9,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.34,10-15-2019,19:00:00,92,0.00,26.0,0.0,000,31.0,1009.54,30.84,0.80,24.6,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.04,10-15-2019,19:00:00,93,5.00,25.5,5.6,280,31.3,1010.40,30.44,17.00,24.3,8.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.91,10-15-2019,19:00:00,95,5.80,25.3,0.0,000,30.4,1010.50,30.60,14.50,24.4,8.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.98,10-15-2019,19:00:00,85,0.00,28.0,0.0,000,31.6,1007.77,31.95,8.20,25.1,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.41,10-15-2019,19:00:00,95,0.00,24.2,0.0,000,31.6,1008.78,28.62,0.00,23.3,12.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.28,10-15-2019,19:00:00,92,0.00,26.0,0.0,000,32.0,1006.79,30.84,1.90,24.6,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.77,10-15-2019,19:00:00,90,0.01,26.6,0.0,000,31.6,1008.41,31.44,5.30,24.9,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.54,10-15-2019,19:00:00,93,11.80,25.1,0.0,000,31.6,1008.65,29.70,16.20,23.9,9.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.98,10-15-2019,19:00:00,93,0.00,24.8,0.0,000,32.5,1006.39,29.16,1.60,23.6,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.59,10-15-2019,19:00:00,84,0.40,26.4,3.7,010,33.3,1009.16,28.90,28.60,23.5,9.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.44,10-15-2019,19:00:00,90,2.90,25.6,1.9,070,33.0,1008.44,29.56,2.90,23.8,8.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.80,10-15-2019,19:00:00,92,6.40,24.2,0.0,000,33.0,1008.98,27.85,20.80,22.9,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.84,10-15-2019,19:00:00,94,0.40,25.5,0.0,000,33.2,1008.01,30.71,1.30,24.5,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.38,10-15-2019,19:00:00,77,0.00,28.0,3.7,070,31.2,1009.63,29.19,11.30,23.6,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.70,10-15-2019,19:00:00,93,0.00,26.6,7.4,240,32.9,1006.68,32.26,7.20,25.3,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.12,10-15-2019,19:00:00,92,2.10,26.0,0.0,000,33.5,1009.43,30.84,4.40,24.6,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.28,10-15-2019,19:00:00,86,0.00,26.7,0.0,000,31.2,1009.16,30.26,0.80,24.2,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.66,10-15-2019,19:00:00,97,4.40,26.4,3.7,290,32.0,1007.72,33.27,10.50,25.8,8.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.43,10-15-2019,19:00:00,88,0.00,26.5,0.0,000,32.0,1008.74,30.43,10.60,24.3,7.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.07,10-15-2019,19:00:00,92,0.00,25.2,0.0,000,31.6,1006.90,29.62,1.30,23.9,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.89,10-15-2019,19:00:00,81,0.00,28.0,0.0,000,31.5,1009.30,30.56,0.00,24.4,10.00
