WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,RelativeHumidity,AirTemperature,WindDirection,MeanSeaLevelPressure,Rainfall,MaximumTemperature,WindSpeed,VaporPressure,DewPoint,StationPressure
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-13-2019,19:00:00,0.01,10.00,74,30.0,270,1006.11,0.00,33.6,1.9,31.44,24.9,989.55
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-13-2019,19:00:00,24.00,10.00,90,28.2,000,1006.29,0.00,34.0,0.0,34.36,26.4,988.98
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-13-2019,19:00:00,0.60,11.00,85,29.5,000,1004.64,0.00,33.5,0.0,35.05,26.7,979.15
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-13-2019,19:00:00,0.00,10.00,80,30.0,000,1006.35,0.00,36.5,0.0,33.75,26.1,1000.62
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-13-2019,19:00:00,1.40,10.00,84,28.4,260,1005.82,1.40,34.8,5.6,32.47,25.4,999.67
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-13-2019,19:00:00,0.10,10.00,79,28.8,000,1007.41,0.10,34.3,0.0,31.29,24.8,991.07
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-13-2019,19:00:00,0.20,10.00,80,26.5,240,1006.80,0.00,30.8,5.6,27.77,22.8,984.45
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-13-2019,19:00:00,0.00,10.00,67,29.7,260,1006.98,0.00,33.5,13.0,27.80,22.8,992.72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-13-2019,19:00:00,0.50,10.00,81,28.5,000,1006.16,0.00,34.7,0.0,31.54,24.9,989.88
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-13-2019,19:00:00,0.00,10.00,72,30.4,000,1006.20,0.00,34.4,0.0,31.39,24.9,1001.04
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-13-2019,19:00:00,0.00,12.00,78,29.9,000,1004.81,0.00,33.6,0.0,32.96,25.7,991.77
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-13-2019,19:00:00,0.00,13.00,63,31.4,000,1005.63,0.00,34.9,0.0,29.15,23.6,996.45
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-13-2019,19:00:00,8.40,10.00,91,27.3,240,1006.70,8.20,34.0,5.6,33.09,25.7,985.05
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-13-2019,19:00:00,3.70,10.00,78,29.0,240,1006.20,0.00,34.2,11.1,31.13,24.7,988.83
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-13-2019,19:00:00,35.80,10.00,78,29.6,000,1005.20,0.00,33.2,0.0,32.34,25.3,989.53
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-13-2019,19:00:00,1.20,10.00,88,27.3,250,1005.75,0.40,33.3,3.7,31.97,25.2,986.91
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-13-2019,19:00:00,0.00,8.00,88,25.2,000,1009.26,0.00,29.2,0.0,28.06,23.0,957.85
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-13-2019,19:00:00,0.00,10.00,73,30.8,000,1005.68,0.00,34.5,0.0,32.51,25.4,1001.78
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-13-2019,19:00:00,1.00,6.00,93,22.1,220,1008.29,0.00,24.0,11.1,24.66,20.9,913.26
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-13-2019,19:00:00,20.10,8.00,95,26.5,000,1006.20,6.80,33.2,0.0,32.91,25.6,990.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-13-2019,19:00:00,0.20,9.00,72,31.5,130,1006.02,0.20,35.5,1.9,33.10,25.7,1002.05
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-13-2019,19:00:00,0.00,7.00,75,30.8,000,1006.81,0.00,34.7,0.0,33.09,25.7,996.27
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-13-2019,19:00:00,0.00,10.00,73,29.8,240,1006.50,0.00,35.1,3.7,30.47,24.4,1004.59
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-13-2019,19:00:00,20.40,10.00,92,25.9,000,1007.25,0.01,33.2,0.0,30.65,24.4,986.31
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-13-2019,19:00:00,8.90,10.00,88,28.3,000,1005.88,0.00,32.5,0.0,33.99,26.2,988.32
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-13-2019,19:00:00,10.50,10.00,85,29.0,000,1005.81,0.00,33.2,0.0,33.99,26.2,989.77
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-13-2019,19:00:00,85.00,10.00,84,28.3,000,1006.08,0.00,31.3,0.0,32.27,25.3,992.12
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-13-2019,19:00:00,26.80,6.00,85,28.0,000,1006.63,0.60,32.5,0.0,31.95,25.1,991.86
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-13-2019,19:00:00,17.20,8.00,86,29.0,000,1007.14,0.00,31.8,0.0,34.58,26.5,992.56
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-13-2019,19:00:00,0.00,10.00,63,31.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1006.30,0.00,36.1,0.0,28.48,23.2,1003.33
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-13-2019,19:00:00,0.00,10.00,77,30.4,000,1006.01,0.00,33.9,0.0,33.42,25.9,998.15
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-13-2019,19:00:00,0.00,9.00,70,30.3,230,1006.59,0.00,34.8,7.4,30.06,24.1,1005.50
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-13-2019,19:00:00,42.50,8.00,87,29.2,000,1007.17,0.00,33.2,0.0,35.30,26.8,992.59
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-13-2019,19:00:00,0.00,7.00,97,20.7,000,1008.49,0.00,24.5,0.0,23.70,20.2,873.81
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-13-2019,19:00:00,0.10,10.00,80,30.9,000,1006.34,0.10,34.8,0.0,35.70,27.0,1000.54
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-13-2019,19:00:00,0.50,4.00,82,30.0,000,1006.66,0.50,36.5,0.0,34.64,26.5,1005.86
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-13-2019,19:00:00,2.30,10.00,85,28.3,210,1006.65,2.30,34.4,7.4,32.84,25.6,1006.21
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-13-2019,19:00:00,6.80,4.00,94,25.5,020,1009.49,6.50,32.0,5.6,30.71,24.5,998.11
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-13-2019,19:00:00,0.01,10.00,85,29.0,000,1006.86,0.01,36.7,0.0,33.99,26.2,1005.85
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-13-2019,19:00:00,0.00,8.00,66,31.5,260,1006.32,0.00,34.9,7.4,30.49,24.4,1004.53
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-13-2019,19:00:00,9.00,6.00,82,28.4,000,1006.83,0.00,35.5,0.0,31.62,25.0,1006.06
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-13-2019,19:00:00,0.01,10.00,77,29.4,200,1006.71,0.01,34.0,13.0,31.65,25.0,1006.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-13-2019,19:00:00,0.00,7.00,82,29.9,000,1006.44,0.00,34.4,0.0,34.72,26.5,1005.74
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-13-2019,19:00:00,1.90,10.00,89,27.0,080,1006.99,1.90,33.4,3.7,31.66,25.0,985.84
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-13-2019,19:00:00,8.10,8.00,73,29.5,000,1006.69,0.00,32.6,0.0,30.16,24.2,990.12
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-13-2019,19:00:00,9.70,8.00,88,27.7,000,1006.87,0.00,32.4,0.0,32.76,25.6,990.48
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-13-2019,19:00:00,0.60,6.00,86,28.0,000,1006.93,0.60,33.9,0.0,32.52,25.4,985.15
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-13-2019,19:00:00,0.00,10.00,82,27.3,230,1007.24,0.00,30.9,3.7,29.77,24.0,964.04
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-13-2019,19:00:00,0.00,10.00,78,27.3,280,1006.75,0.00,33.4,11.1,28.43,23.2,986.22
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-13-2019,19:00:00,1.40,10.00,91,27.6,170,1008.28,0.00,32.6,5.6,33.70,26.0,987.48
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-13-2019,19:00:00,0.00,10.00,63,30.3,340,1007.43,0.00,35.7,16.7,27.30,22.5,1007.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-13-2019,19:00:00,0.01,6.00,89,28.4,000,1006.37,0.01,32.5,0.0,34.48,26.4,1004.96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-13-2019,19:00:00,1.80,7.00,95,26.5,000,1007.67,1.80,32.6,0.0,32.91,25.6,1002.72
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-13-2019,19:00:00,0.00,12.00,65,30.0,250,1007.31,0.00,35.0,9.3,27.55,22.7,1004.05
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-13-2019,19:00:00,0.00,10.00,81,28.2,260,1006.76,0.00,34.4,7.4,30.95,24.6,1005.66
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-13-2019,19:00:00,1.00,10.00,80,30.1,200,1006.58,1.00,35.4,5.6,33.96,26.2,1006.29
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-13-2019,19:00:00,0.20,10.00,65,31.4,270,1006.30,0.20,35.0,5.6,30.00,24.1,1005.63
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-13-2019,19:00:00,0.00,10.00,75,29.5,000,1008.21,0.00,34.0,0.0,30.72,24.5,1007.73
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-13-2019,19:00:00,0.00,10.00,61,31.8,230,1007.04,0.00,34.0,7.4,28.82,23.4,1005.65
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-13-2019,19:00:00,0.00,10.00,81,29.5,210,1006.98,0.00,31.2,29.6,33.58,26.0,1005.31
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-13-2019,19:00:00,0.00,10.00,73,30.2,000,1008.23,0.00,34.4,0.0,31.27,24.8,1000.30
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-13-2019,19:00:00,0.01,10.00,78,29.8,000,1006.68,0.01,34.5,0.0,32.75,25.6,1006.40
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-13-2019,19:00:00,0.00,10.00,76,29.2,290,1007.38,0.00,32.0,5.6,30.96,24.6,1004.27
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-13-2019,19:00:00,3.50,10.00,78,28.8,210,1006.82,0.00,30.8,5.6,30.73,24.5,999.92
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-13-2019,19:00:00,0.00,8.00,83,28.7,000,1006.77,0.00,34.6,0.0,32.79,25.6,1001.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-13-2019,19:00:00,0.00,10.00,76,29.0,220,1008.16,0.00,35.5,16.7,30.57,24.4,998.90
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-13-2019,19:00:00,0.00,10.00,74,28.5,270,1007.92,0.00,34.5,14.8,28.78,23.4,1006.66
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-13-2019,19:00:00,2.00,11.00,87,27.0,210,1007.27,2.00,34.1,7.4,30.83,24.5,1006.84
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-13-2019,19:00:00,0.00,10.00,67,28.0,270,1007.61,0.00,33.4,3.7,25.50,21.4,995.39
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-13-2019,19:00:00,0.00,10.00,60,30.2,280,1006.85,0.00,34.8,22.2,25.78,21.6,1006.14
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-13-2019,19:00:00,0.00,10.00,72,29.5,210,1008.03,0.00,34.8,5.6,29.60,23.9,1005.61
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-13-2019,19:00:00,0.00,10.00,78,29.0,260,1007.25,0.00,32.8,16.7,31.41,24.9,1006.73
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-13-2019,19:00:00,0.00,10.00,74,29.0,230,1007.23,0.00,34.6,1.9,29.74,23.9,1002.11
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-13-2019,19:00:00,0.00,8.00,78,29.2,000,1008.03,0.00,32.8,0.0,31.53,24.9,1007.62
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-13-2019,19:00:00,0.00,8.00,82,28.4,000,1008.15,0.00,32.6,0.0,31.62,25.0,1005.39
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-13-2019,19:00:00,0.00,10.00,70,27.6,000,1007.95,0.00,37.1,0.0,25.83,21.6,1007.17
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-13-2019,19:00:00,20.10,7.00,81,28.0,290,1007.58,0.00,32.0,5.6,30.56,24.4,1007.12
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-13-2019,19:00:00,0.00,8.00,86,26.7,270,1009.53,0.00,30.3,5.6,29.99,24.1,1008.85
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-13-2019,19:00:00,0.00,10.00,77,27.0,000,1009.51,0.00,30.8,0.0,27.36,22.6,1007.98
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-13-2019,19:00:00,4.10,10.00,86,26.3,000,1010.87,0.00,29.5,0.0,29.25,23.7,1009.95
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-13-2019,19:00:00,0.90,10.00,81,26.7,260,1009.43,0.90,32.7,14.8,28.39,23.2,1008.74
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-13-2019,19:00:00,0.20,10.00,85,25.3,000,1010.34,0.00,33.0,0.0,27.46,22.6,1009.54
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-13-2019,19:00:00,13.10,10.00,92,25.5,000,1009.16,0.10,34.0,0.0,29.91,24.0,1008.53
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-13-2019,19:00:00,16.10,10.00,97,24.4,000,1009.32,7.40,34.7,0.0,29.49,23.8,1008.91
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-13-2019,19:00:00,0.60,5.00,81,26.0,000,1012.46,0.00,32.5,0.0,27.14,22.4,1008.21
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-13-2019,19:00:00,11.80,8.00,90,24.2,000,1010.64,0.01,32.5,0.0,27.09,22.4,1009.01
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-13-2019,19:00:00,2.00,7.00,93,25.0,000,1010.78,0.00,33.5,0.0,29.52,23.8,1007.27
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-13-2019,19:00:00,0.00,10.00,71,27.0,280,1009.69,0.00,34.3,3.7,25.30,21.3,1008.33
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-13-2019,19:00:00,1.80,10.00,96,24.8,000,1010.89,0.20,30.8,0.0,29.95,24.1,1009.99
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-13-2019,19:00:00,10.20,10.00,95,24.0,000,1010.66,0.80,32.9,0.0,28.27,23.1,1007.05
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-13-2019,19:00:00,0.00,10.00,82,27.5,310,1010.64,0.00,33.1,5.6,30.15,24.2,1010.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-13-2019,19:00:00,0.01,10.00,82,26.4,000,1010.17,0.00,32.1,0.0,28.11,23.0,1009.18
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-13-2019,19:00:00,3.00,10.00,79,26.7,330,1010.49,3.00,31.0,9.3,27.60,22.7,1009.67
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-13-2019,19:00:00,0.30,10.00,85,25.5,000,1010.39,0.30,34.2,0.0,27.81,22.8,1008.56
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-13-2019,19:00:00,0.00,10.00,76,29.7,120,1009.74,0.00,35.2,3.7,31.68,25.0,1009.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-13-2019,19:00:00,0.00,10.00,69,29.0,230,1009.93,0.00,33.9,7.4,27.56,22.7,1005.95
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-13-2019,19:00:00,1.40,10.00,76,28.8,000,1011.05,0.00,32.6,0.0,29.90,24.0,1010.37
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-13-2019,19:00:00,0.00,10.00,63,30.4,230,1009.46,0.00,35.0,7.4,27.22,22.5,1008.36
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-13-2019,19:00:00,0.00,10.00,84,27.5,000,1010.22,0.00,33.8,0.0,30.97,24.6,1007.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-13-2019,19:00:00,2.40,6.00,86,27.5,000,1009.72,0.00,33.6,0.0,31.52,24.9,1009.03
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-13-2019,19:00:00,2.00,5.00,83,27.2,000,1010.63,0.00,33.6,0.0,29.85,24.0,1006.50
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-13-2019,19:00:00,0.60,8.00,89,26.1,000,1009.99,0.00,35.1,0.0,30.22,24.2,1009.40
