WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,WindDirection,MaximumTemperature,WindSpeed,AirTemperature,Rainfall,MeanSeaLevelPressure,RelativeHumidity,DewPoint,VaporPressure,Rainfall24Hr
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.38,08-22-2019,19:00:00,10.00,000,33.7,0.0,29.8,0.00,1004.53,66,22.8,27.71,0.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.82,08-22-2019,19:00:00,10.00,020,33.5,7.4,24.1,23.00,1005.56,97,23.5,28.96,23.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.19,08-22-2019,19:00:00,12.00,320,31.7,3.7,28.5,0.01,1004.52,86,26.0,33.53,12.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.41,08-22-2019,19:00:00,10.00,000,31.5,0.0,28.3,0.00,1005.04,82,25.0,31.70,47.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.55,08-22-2019,19:00:00,10.00,000,30.6,0.0,28.0,0.00,1005.22,86,25.4,32.52,19.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.37,08-22-2019,19:00:00,6.00,000,31.2,0.0,27.4,1.80,1004.65,89,25.4,32.45,2.10
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.78,08-22-2019,19:00:00,10.00,000,31.4,0.0,26.4,0.30,1005.43,93,25.1,31.88,0.50
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.71,08-22-2019,19:00:00,9.00,000,33.0,0.0,30.1,0.00,1004.93,75,25.1,31.93,15.90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.68,08-22-2019,19:00:00,13.00,000,30.5,0.0,28.6,0.00,1005.42,89,26.6,34.90,3.60
48353,LOEI,เลย,เลย,17.45000,101.73333,976.76,08-22-2019,19:00:00,5.00,000,31.4,0.0,26.0,0.70,1005.42,92,24.6,30.84,0.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.12,08-22-2019,19:00:00,12.00,000,30.5,0.0,28.7,0.00,1005.13,83,25.4,32.51,4.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,984.66,08-22-2019,19:00:00,10.00,000,30.2,0.0,25.0,2.50,1006.50,95,24.1,30.05,9.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.58,08-22-2019,19:00:00,12.00,000,29.8,0.0,25.0,2.00,1006.17,97,24.4,30.58,16.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,990.12,08-22-2019,19:00:00,10.00,000,29.7,0.0,26.0,1.00,1006.91,92,24.6,30.84,27.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.57,08-22-2019,19:00:00,10.00,000,31.0,0.0,25.8,6.00,1007.04,91,24.2,30.19,18.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,979.59,08-22-2019,19:00:00,10.00,300,30.7,3.7,28.5,0.01,1005.18,81,24.9,31.54,0.70
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.89,08-22-2019,19:00:00,8.00,230,32.9,5.6,25.3,8.10,1005.71,97,24.9,31.41,15.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.72,08-22-2019,19:00:00,8.00,200,32.5,5.6,25.0,46.00,1005.95,100,25.0,31.66,57.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,990.19,08-22-2019,19:00:00,10.00,000,32.2,0.0,27.5,0.00,1006.59,88,25.4,32.36,3.70
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.48,08-22-2019,19:00:00,10.00,110,32.3,5.6,25.0,12.50,1004.89,92,23.5,29.00,16.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.50,08-22-2019,19:00:00,6.00,000,34.4,0.0,26.2,1.80,1005.91,90,24.5,30.67,8.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.00,08-22-2019,19:00:00,8.00,000,33.6,0.0,27.0,3.00,1005.35,90,25.3,32.21,3.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.45,08-22-2019,19:00:00,6.00,270,34.0,11.1,25.8,8.90,1006.70,91,24.2,30.19,9.30
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.04,08-22-2019,19:00:00,12.00,000,32.3,0.0,29.5,0.00,1004.09,81,26.0,33.58,15.80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.71,08-22-2019,19:00:00,8.00,000,33.5,0.0,26.0,2.30,1006.06,93,24.8,31.38,2.70
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,983.96,08-22-2019,19:00:00,9.00,080,33.6,3.7,29.0,0.10,1005.46,81,25.3,32.26,0.10
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,988.44,08-22-2019,19:00:00,10.00,030,34.0,3.7,29.5,0.00,1005.78,79,25.4,32.42,15.20
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.92,08-22-2019,19:00:00,10.00,000,32.5,0.0,25.8,2.60,1005.80,93,24.6,31.00,12.50
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.82,08-22-2019,19:00:00,10.00,000,34.0,0.0,30.0,0.00,1004.46,75,25.0,31.72,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.58,08-22-2019,19:00:00,6.00,000,30.4,0.0,24.0,6.60,1008.14,91,22.5,27.25,12.40
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.54,08-22-2019,19:00:00,4.00,180,33.0,11.1,24.8,25.30,1005.52,93,23.6,29.16,25.30
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.22,08-22-2019,19:00:00,.40,210,26.5,7.4,21.2,1.20,1006.34,98,20.9,24.68,14.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.31,08-22-2019,19:00:00,8.00,000,32.3,0.0,27.0,1.60,1005.26,94,25.9,33.34,7.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.92,08-22-2019,19:00:00,10.00,000,33.4,0.0,26.8,7.40,1005.96,94,25.7,32.94,7.40
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.78,08-22-2019,19:00:00,8.00,000,32.5,0.0,30.0,0.00,1006.34,68,23.5,28.91,0.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.85,08-22-2019,19:00:00,9.00,210,32.8,9.3,27.5,3.70,1006.78,84,24.6,30.97,4.50
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.58,08-22-2019,19:00:00,5.00,000,34.7,0.0,29.1,0.70,1006.28,78,24.8,31.33,0.70
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.67,08-22-2019,19:00:00,10.00,000,32.1,0.0,28.4,0.40,1005.22,85,25.7,33.04,53.70
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.84,08-22-2019,19:00:00,10.00,000,33.2,0.0,30.1,0.00,1004.80,77,25.6,32.79,35.40
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.12,08-22-2019,19:00:00,10.00,000,30.8,0.0,26.7,1.90,1006.15,92,25.3,32.18,13.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.17,08-22-2019,19:00:00,9.00,000,30.5,0.0,26.5,0.80,1007.02,95,25.6,32.91,12.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.13,08-22-2019,19:00:00,8.00,000,33.4,0.0,30.0,0.00,1006.65,79,25.9,33.46,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.06,08-22-2019,19:00:00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",33.5,0.0,27.8,2.40,1005.07,92,26.4,34.40,2.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.57,08-22-2019,19:00:00,10.00,000,32.8,0.0,30.0,0.00,1005.43,75,25.0,31.72,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.93,08-22-2019,19:00:00,5.00,230,34.0,25.9,25.6,0.60,1008.05,87,23.2,28.51,8.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.81,08-22-2019,19:00:00,9.00,000,32.4,0.0,29.9,0.00,1005.33,79,25.8,33.25,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.51,08-22-2019,19:00:00,.10,280,20.7,7.4,20.7,8.80,1008.15,99,20.5,24.16,21.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.20,08-22-2019,19:00:00,10.00,200,33.4,5.6,29.9,0.00,1006.01,80,26.0,33.54,3.90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.56,08-22-2019,19:00:00,8.00,310,34.0,9.3,27.0,0.00,1007.36,80,23.3,28.67,1.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.03,08-22-2019,19:00:00,10.00,210,31.9,7.4,29.4,0.00,1006.48,79,25.3,32.22,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.25,08-22-2019,19:00:00,4.00,000,30.1,0.0,26.5,1.20,1007.58,92,25.1,31.79,8.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.65,08-22-2019,19:00:00,10.00,000,34.4,0.0,27.9,0.00,1006.65,83,24.7,31.20,0.50
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.58,08-22-2019,19:00:00,8.00,180,33.6,9.3,30.1,0.00,1006.38,72,24.5,30.79,0.70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.36,08-22-2019,19:00:00,9.00,230,32.5,11.1,31.0,0.00,1006.11,60,22.2,26.73,0.20
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.67,08-22-2019,19:00:00,9.00,300,32.2,16.7,27.4,0.01,1007.38,74,22.4,27.03,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.89,08-22-2019,19:00:00,7.00,000,34.7,0.0,30.6,0.00,1006.59,74,25.4,32.38,0.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.00,08-22-2019,19:00:00,10.00,240,34.4,3.7,30.1,0.00,1005.91,70,23.9,29.66,1.40
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.48,08-22-2019,19:00:00,7.00,000,33.3,0.0,28.1,1.30,1006.11,85,25.4,32.43,1.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.43,08-22-2019,19:00:00,6.00,050,33.3,3.7,28.3,1.20,1006.78,82,25.0,31.70,1.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.09,08-22-2019,19:00:00,10.00,000,33.5,0.0,30.5,0.00,1005.67,65,23.2,28.50,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.36,08-22-2019,19:00:00,14.00,190,31.0,3.7,27.5,0.00,1006.51,77,23.1,28.26,9.20
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.44,08-22-2019,19:00:00,10.00,180,34.6,5.6,30.8,0.00,1005.72,67,23.9,29.65,0.01
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.90,08-22-2019,19:00:00,9.00,170,33.6,11.1,28.9,0.00,1007.60,84,25.9,33.49,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.21,08-22-2019,19:00:00,10.00,010,32.1,5.6,26.7,23.20,1006.65,94,25.7,33.02,23.20
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.97,08-22-2019,19:00:00,8.00,000,32.8,0.0,29.0,0.00,1006.37,85,26.2,33.99,0.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.12,08-22-2019,19:00:00,7.00,000,33.5,0.0,25.5,17.50,1007.07,93,24.3,30.44,17.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.25,08-22-2019,19:00:00,12.00,200,32.5,5.6,28.4,0.01,1006.53,75,23.6,29.14,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.66,08-22-2019,19:00:00,8.00,000,33.2,0.0,27.2,1.30,1006.77,90,25.5,32.61,1.50
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.90,08-22-2019,19:00:00,8.00,000,33.0,0.0,27.0,0.80,1007.20,86,24.4,30.56,0.80
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.26,08-22-2019,19:00:00,2.00,280,33.2,3.7,25.3,2.80,1006.96,92,24.0,29.80,2.80
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.20,08-22-2019,19:00:00,8.00,000,33.9,0.0,25.6,15.10,1006.69,95,24.7,31.17,15.10
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.88,08-22-2019,19:00:00,8.00,210,32.2,13.0,25.1,5.40,1007.30,96,24.4,30.50,6.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.06,08-22-2019,19:00:00,10.00,180,30.4,22.2,29.3,0.00,1006.72,95,28.5,38.86,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.19,08-22-2019,19:00:00,10.00,000,34.5,0.0,29.8,0.00,1008.13,66,22.8,27.71,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.25,08-22-2019,19:00:00,10.00,160,34.8,3.7,30.6,0.00,1006.53,72,24.9,31.51,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.83,08-22-2019,19:00:00,10.00,000,32.3,0.0,29.0,0.00,1006.94,78,24.7,31.13,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1000.42,08-22-2019,19:00:00,10.00,210,32.2,7.4,28.8,0.00,1007.32,79,24.8,31.29,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.56,08-22-2019,19:00:00,8.00,000,34.3,0.0,30.0,0.00,1007.10,78,25.8,33.17,2.60
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.37,08-22-2019,19:00:00,10.00,210,32.0,18.5,28.5,0.00,1007.64,78,24.2,30.15,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.93,08-22-2019,19:00:00,5.00,350,32.4,3.7,26.4,1.60,1008.20,96,25.7,32.99,16.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.15,08-22-2019,19:00:00,11.00,160,34.3,11.1,29.8,0.00,1006.58,66,22.8,27.71,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.69,08-22-2019,19:00:00,10.00,000,33.3,0.0,28.3,0.00,1006.90,70,22.4,27.08,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.02,08-22-2019,19:00:00,10.00,210,33.5,3.7,29.7,0.00,1006.73,67,23.0,28.07,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.95,08-22-2019,19:00:00,10.00,220,34.1,7.4,29.5,0.00,1007.37,74,24.3,30.44,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.82,08-22-2019,19:00:00,12.00,260,31.6,11.1,29.0,0.00,1007.34,78,24.7,31.13,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.10,08-22-2019,19:00:00,10.00,240,32.6,1.9,28.7,0.00,1007.23,78,24.4,30.54,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.31,08-22-2019,19:00:00,7.00,000,32.3,0.0,28.3,0.00,1007.72,82,25.0,31.70,0.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.27,08-22-2019,19:00:00,8.00,000,31.3,0.0,28.0,0.00,1008.03,85,25.1,31.95,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.56,08-22-2019,19:00:00,10.00,290,33.0,9.3,28.4,0.00,1007.34,72,22.8,27.79,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.65,08-22-2019,19:00:00,7.00,100,31.9,7.4,24.4,16.00,1008.12,97,23.8,29.49,20.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.92,08-22-2019,19:00:00,8.00,000,32.2,0.0,26.7,0.00,1008.61,85,23.9,29.72,35.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.86,08-22-2019,19:00:00,7.00,000,31.8,0.0,27.0,0.00,1007.38,83,23.8,29.48,2.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.62,08-22-2019,19:00:00,10.00,000,29.5,0.0,26.8,0.20,1008.54,86,24.2,30.18,4.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.08,08-22-2019,19:00:00,10.00,000,35.2,0.0,30.1,0.00,1007.76,71,24.2,30.22,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.45,08-22-2019,19:00:00,10.00,290,32.8,3.7,29.4,0.00,1008.24,74,24.4,30.52,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.42,08-22-2019,19:00:00,10.00,150,34.6,7.4,30.0,0.00,1008.05,71,24.3,30.31,0.20
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.00,08-22-2019,19:00:00,10.00,000,34.8,0.0,29.4,0.00,1008.40,82,26.0,33.66,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.20,08-22-2019,19:00:00,6.00,230,33.8,9.3,29.5,0.00,1010.39,68,22.9,27.96,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.52,08-22-2019,19:00:00,10.00,000,30.5,0.0,26.7,0.00,1011.13,91,25.1,31.91,1.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.48,08-22-2019,19:00:00,8.00,000,32.0,0.0,27.5,0.00,1008.96,86,24.9,31.52,4.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.92,08-22-2019,19:00:00,9.00,270,34.8,5.6,29.1,0.00,1008.26,72,23.4,28.83,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.27,08-22-2019,19:00:00,10.00,000,30.6,0.0,28.8,0.00,1008.15,79,24.8,31.29,38.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.09,08-22-2019,19:00:00,10.00,000,31.8,0.0,27.3,0.00,1008.65,78,23.0,28.16,9.90
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.17,08-22-2019,19:00:00,10.00,000,33.3,0.0,29.5,0.00,1008.60,76,24.8,31.28,15.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.39,08-22-2019,19:00:00,10.00,280,30.9,5.6,28.8,0.00,1008.37,79,24.8,31.29,20.30
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.08,08-22-2019,19:00:00,10.00,000,32.0,0.0,28.5,0.00,1008.90,75,23.6,29.05,3.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.96,08-22-2019,19:00:00,10.00,000,31.8,0.0,27.5,0.00,1008.77,84,24.6,30.97,3.90
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.66,08-22-2019,19:00:00,10.00,240,34.8,1.9,31.3,0.00,1008.40,58,22.0,26.48,3.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.81,08-22-2019,19:00:00,10.00,230,33.5,3.7,29.4,0.00,1008.78,66,22.5,27.24,0.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.44,08-22-2019,19:00:00,10.00,000,32.2,0.0,29.5,0.00,1009.12,75,24.5,30.72,19.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.23,08-22-2019,19:00:00,10.00,000,34.8,0.0,30.7,0.00,1008.33,63,22.8,27.79,3.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.89,08-22-2019,19:00:00,10.00,000,33.3,0.0,29.9,0.00,1008.78,75,24.9,31.52,1.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.41,08-22-2019,19:00:00,10.00,000,33.6,0.0,30.2,0.00,1008.09,74,24.9,31.56,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1004.73,08-22-2019,19:00:00,10.00,220,33.0,3.7,29.4,0.00,1008.82,70,23.3,28.59,0.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.11,08-22-2019,19:00:00,10.00,180,33.0,5.6,29.0,0.00,1008.69,72,23.5,28.91,0.00
