WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,StationPressure,LandVisibility,VaporPressure,WindDirection,DewPoint
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-10-2019,13:00:00,52,33.2,1009.74,0.00,0.00,987.36,10.00,26.28,000,21.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-10-2019,13:00:00,58,33.0,1009.89,0.00,0.00,980.57,12.00,28.97,000,23.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-10-2019,13:00:00,62,31.7,1009.82,0.00,0.00,974.85,8.00,28.91,000,23.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,10-10-2019,13:00:00,68,32.1,1009.34,0.00,0.00,980.12,15.00,32.31,070,25.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-10-2019,13:00:00,49,35.0,1010.00,0.00,0.00,1002.86,9.00,27.32,000,22.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,10-10-2019,13:00:00,62,34.0,1010.21,0.00,0.00,990.71,8.00,32.84,080,25.6
48353,LOEI,เลย,เลย,17.45000,101.73333,7.4,10-10-2019,13:00:00,58,33.6,1009.68,0.50,0.00,981.60,14.00,30.20,070,24.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,10-10-2019,13:00:00,49,33.0,1010.55,0.00,0.00,990.71,15.00,24.81,010,21.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,10-10-2019,13:00:00,54,32.2,1010.47,0.00,0.00,989.05,12.00,25.74,140,21.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,10-10-2019,13:00:00,54,32.1,1010.20,0.00,0.00,990.99,15.00,25.82,160,21.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,10-10-2019,13:00:00,50,33.8,1010.08,0.00,0.00,993.66,12.00,26.07,140,21.8
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,10-10-2019,13:00:00,50,34.0,1010.16,0.00,0.00,993.10,12.00,26.46,120,22.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.4,10-10-2019,13:00:00,56,32.4,1008.57,0.00,0.00,983.22,12.00,27.22,100,22.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,10-10-2019,13:00:00,68,33.3,1010.04,0.00,0.00,1004.35,10.00,34.94,000,26.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,11.1,10-10-2019,13:00:00,59,33.5,1009.97,0.00,0.00,1003.89,8.00,30.28,200,24.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-10-2019,13:00:00,54,34.0,1011.22,3.50,0.00,995.09,12.00,28.72,000,23.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,10-10-2019,13:00:00,60,32.5,1007.96,0.20,0.00,986.02,10.00,29.38,000,23.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.6,10-10-2019,13:00:00,53,33.2,1010.30,0.00,0.00,996.16,8.00,27.11,180,22.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-10-2019,13:00:00,63,32.0,1009.57,4.50,0.00,993.42,8.00,30.08,000,24.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,9.3,10-10-2019,13:00:00,60,32.5,1010.38,1.90,0.00,1005.23,8.00,29.38,010,23.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-10-2019,13:00:00,68,32.0,1008.93,0.40,0.00,995.92,12.00,32.40,000,25.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.6,10-10-2019,13:00:00,61,33.6,1009.81,0.00,0.00,1000.66,12.00,31.67,010,25.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,10-10-2019,13:00:00,56,33.1,1010.13,0.00,0.00,988.81,10.00,28.32,030,23.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-10-2019,13:00:00,61,33.0,1010.11,0.00,0.00,992.90,12.00,30.69,000,24.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.4,10-10-2019,13:00:00,60,32.5,1009.58,0.00,0.00,993.99,12.00,29.38,060,23.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,10-10-2019,13:00:00,60,33.3,1009.53,0.01,0.00,990.99,10.00,30.45,050,24.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-10-2019,13:00:00,55,30.8,1010.52,0.50,0.00,959.96,11.00,24.24,000,20.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,10-10-2019,13:00:00,62,32.8,1009.85,2.50,0.01,1005.95,9.00,30.86,000,24.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,14.8,10-10-2019,13:00:00,66,26.1,1010.52,0.00,0.00,916.48,8.00,22.34,070,19.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-10-2019,13:00:00,62,32.2,1010.35,0.00,0.00,994.59,15.00,29.91,000,24.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.3,10-10-2019,13:00:00,68,30.3,1011.09,0.80,0.60,1007.09,1.00,29.50,160,23.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-10-2019,13:00:00,66,31.5,1011.11,52.80,0.00,1000.55,10.00,30.49,000,24.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,10-10-2019,13:00:00,61,32.5,1010.58,0.00,0.00,1008.68,12.00,29.66,120,23.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,10-10-2019,13:00:00,54,33.9,1009.44,0.00,0.00,989.00,10.00,28.51,170,23.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,10-10-2019,13:00:00,59,31.7,1010.06,0.00,0.00,992.62,10.00,27.52,000,22.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,10-10-2019,13:00:00,56,32.3,1010.00,0.00,0.00,994.07,10.00,27.02,050,22.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,10-10-2019,13:00:00,61,32.0,1010.05,0.00,0.00,996.20,10.00,29.22,000,23.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-10-2019,13:00:00,66,31.4,1010.46,2.80,0.00,995.80,10.00,30.28,000,24.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,10-10-2019,13:00:00,72,32.3,1010.28,0.60,0.01,995.82,8.00,34.85,000,26.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-10-2019,13:00:00,62,33.3,1010.14,30.70,0.00,1007.18,10.00,31.92,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-10-2019,13:00:00,69,31.5,1009.88,5.30,0.00,1002.02,10.00,31.93,000,25.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,10-10-2019,13:00:00,64,34.0,1010.90,0.00,0.00,1009.81,9.00,34.05,000,26.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-10-2019,13:00:00,55,32.3,1010.62,0.00,0.00,996.14,8.00,26.75,000,22.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.9,10-10-2019,13:00:00,77,24.3,1009.85,21.40,19.40,876.47,8.00,23.33,130,20.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,10-10-2019,13:00:00,64,33.5,1009.68,14.70,0.00,1003.91,10.00,33.25,290,25.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.4,10-10-2019,13:00:00,60,33.7,1010.14,0.00,0.00,1009.35,12.00,31.59,230,25.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,10-10-2019,13:00:00,73,32.5,1009.60,0.00,0.00,1009.16,9.00,35.60,210,27.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-10-2019,13:00:00,60,33.8,1009.47,2.70,0.00,998.39,10.00,31.50,000,24.9
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,10-10-2019,13:00:00,56,34.0,1010.15,0.00,0.00,1009.16,10.00,29.87,040,24.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,10-10-2019,13:00:00,64,33.6,1010.34,20.60,0.00,1008.55,8.00,33.17,340,25.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.7,10-10-2019,13:00:00,55,33.5,1009.73,0.00,0.00,1008.98,12.00,28.27,090,23.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,3.7,10-10-2019,13:00:00,56,33.2,1009.73,0.00,0.00,1009.04,9.00,28.24,090,23.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,10-10-2019,13:00:00,66,33.8,1010.37,10.30,0.00,1009.68,10.00,34.53,300,26.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-10-2019,13:00:00,91,24.1,1011.03,45.70,45.70,989.59,9.00,27.42,000,22.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.7,10-10-2019,13:00:00,69,31.7,1010.01,0.00,0.00,993.50,9.00,32.06,150,25.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-10-2019,13:00:00,70,32.3,1010.34,5.60,0.00,994.14,10.00,33.64,000,26.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-10-2019,13:00:00,88,27.0,1010.93,14.30,14.00,988.99,6.00,31.38,000,24.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,10-10-2019,13:00:00,66,29.8,1009.94,0.00,0.00,966.97,9.00,27.71,300,22.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,10-10-2019,13:00:00,68,31.4,1010.32,47.20,0.00,989.99,10.00,31.43,080,24.9
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,10-10-2019,13:00:00,70,32.6,1012.08,0.00,0.00,991.54,10.00,34.29,070,26.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-10-2019,13:00:00,66,31.0,1010.55,36.60,0.00,1010.12,10.00,29.76,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-10-2019,13:00:00,65,32.5,1010.03,5.20,0.00,1008.63,11.00,31.98,000,25.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-10-2019,13:00:00,64,33.0,1009.98,0.00,0.00,1005.13,8.00,32.16,000,25.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,7.4,10-10-2019,13:00:00,60,33.4,1009.87,63.80,0.00,1006.64,10.00,30.66,040,24.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-10-2019,13:00:00,60,33.3,1010.05,0.00,0.00,1008.96,10.00,30.74,000,24.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,10-10-2019,13:00:00,62,31.9,1009.94,13.20,0.00,1009.64,10.00,29.31,220,23.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,3.7,10-10-2019,13:00:00,63,32.8,1010.26,4.80,0.00,1009.58,10.00,31.44,140,24.9
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,10-10-2019,13:00:00,66,32.0,1009.67,0.70,0.00,1009.18,10.00,31.23,150,24.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,3.7,10-10-2019,13:00:00,60,34.0,1010.03,0.01,0.00,1008.65,10.00,31.94,220,25.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.0,10-10-2019,13:00:00,70,31.5,1010.06,0.00,0.00,1008.40,7.00,32.22,000,25.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-10-2019,13:00:00,67,32.1,1011.45,0.01,0.00,1003.54,12.00,32.02,000,25.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,11.1,10-10-2019,13:00:00,70,31.7,1009.66,0.00,0.00,1009.38,10.00,32.64,270,25.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-10-2019,13:00:00,76,32.2,1009.92,0.00,0.00,1006.83,10.00,36.47,000,27.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,10-10-2019,13:00:00,69,28.8,1010.47,0.00,0.00,1003.55,10.00,27.20,240,22.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-10-2019,13:00:00,77,28.5,1011.17,0.01,0.01,1005.58,8.00,29.87,000,24.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,5.6,10-10-2019,13:00:00,73,33.5,1010.54,0.00,0.00,1001.39,4.00,37.91,320,28.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,10-10-2019,13:00:00,66,32.3,1011.11,0.01,0.00,1009.86,14.00,31.86,000,25.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,10-10-2019,13:00:00,69,33.8,1010.46,0.00,0.00,1010.04,11.00,36.08,120,27.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,11.1,10-10-2019,13:00:00,56,32.8,1010.24,0.00,0.00,998.18,8.00,28.00,040,23.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,9.3,10-10-2019,13:00:00,78,30.7,1010.72,0.00,0.00,1010.01,7.00,34.66,060,26.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,10-10-2019,13:00:00,63,31.5,1010.58,6.30,6.30,1008.18,9.00,29.07,220,23.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,11.1,10-10-2019,13:00:00,70,31.3,1010.33,0.00,0.00,1009.81,8.00,32.10,200,25.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,10-10-2019,13:00:00,68,32.3,1009.81,0.50,0.00,1004.73,11.00,32.74,250,25.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.4,10-10-2019,13:00:00,74,30.0,1010.74,11.80,0.00,1010.33,7.00,31.44,160,24.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-10-2019,13:00:00,81,29.5,1011.71,3.20,3.20,1008.95,8.00,33.58,000,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,10-10-2019,13:00:00,82,31.5,1009.47,0.00,0.00,1008.69,8.00,37.98,000,28.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,10-10-2019,13:00:00,70,32.7,1010.15,1.80,0.00,1009.70,8.00,34.52,260,26.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.4,10-10-2019,13:00:00,66,32.1,1010.50,0.00,0.00,1009.83,9.00,31.44,060,24.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,11.1,10-10-2019,13:00:00,62,32.2,1010.99,0.40,0.00,1009.49,9.00,29.91,190,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,10-10-2019,13:00:00,84,27.0,1011.51,2.50,2.50,1010.59,5.00,30.02,190,24.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.4,10-10-2019,13:00:00,96,26.9,1011.81,5.30,2.10,1011.12,10.00,33.99,100,26.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,10-10-2019,13:00:00,65,32.2,1010.85,0.00,0.00,1010.06,10.00,31.35,000,24.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,10-10-2019,13:00:00,66,31.5,1010.22,0.00,0.00,1009.60,12.00,30.49,060,24.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.6,10-10-2019,13:00:00,64,32.4,1010.27,0.30,0.00,1009.87,10.00,31.19,030,24.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-10-2019,13:00:00,88,27.5,1013.11,1.30,0.90,1008.89,5.00,32.36,000,25.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-10-2019,13:00:00,70,30.5,1010.69,5.80,0.00,1009.09,12.00,30.46,000,24.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-10-2019,13:00:00,69,31.5,1010.53,0.00,0.00,1007.10,12.00,31.93,000,25.1
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,3.7,10-10-2019,13:00:00,66,31.8,1010.26,0.00,0.00,1008.92,10.00,30.81,120,24.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,10-10-2019,13:00:00,71,31.4,1010.67,7.60,0.00,1009.80,10.00,32.60,000,25.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.6,10-10-2019,13:00:00,66,31.3,1010.40,25.00,0.00,1006.88,10.00,30.08,210,24.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,10-10-2019,13:00:00,69,31.6,1010.35,65.00,0.20,1009.92,10.00,31.85,000,25.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,11.1,10-10-2019,13:00:00,66,31.0,1011.15,5.70,0.00,1010.17,10.00,29.48,260,23.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,10-10-2019,13:00:00,83,31.0,1010.62,56.40,0.00,1009.81,10.00,37.15,250,27.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.3,10-10-2019,13:00:00,67,31.8,1010.19,12.10,0.00,1008.40,10.00,31.39,260,24.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,10-10-2019,13:00:00,57,32.3,1009.91,0.00,0.00,1009.17,12.00,27.58,340,22.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.4,10-10-2019,13:00:00,61,31.8,1009.92,0.80,0.00,1005.98,10.00,28.54,990,23.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-10-2019,13:00:00,72,30.1,1010.67,24.60,0.00,1009.99,10.00,30.50,000,24.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,9.3,10-10-2019,13:00:00,56,31.9,1009.49,12.00,0.00,1008.39,12.00,26.53,150,22.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,5.6,10-10-2019,13:00:00,62,33.1,1009.73,26.50,0.00,1006.86,12.00,31.20,290,24.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.6,10-10-2019,13:00:00,68,31.2,1009.83,8.40,0.00,1009.15,11.00,30.73,240,24.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,3.7,10-10-2019,13:00:00,67,30.8,1010.08,2.10,0.00,1006.00,10.00,29.65,330,23.9
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,11.1,10-10-2019,13:00:00,61,30.8,1010.10,0.00,0.00,1009.52,12.00,26.89,060,22.3
