WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,RelativeHumidity,StationPressure,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,DewPoint,Rainfall,WindSpeed,WindDirection
48353,LOEI,เลย,เลย,17.45000,101.73333,27.7,08-07-2019,01:00:00,12.00,69,976.78,1005.28,25.49,0.20,21.4,0.00,5.6,330
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.0,08-07-2019,01:00:00,12.00,77,985.21,1005.26,29.19,0.00,23.6,0.00,7.4,240
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.5,08-07-2019,01:00:00,12.00,88,983.41,1005.12,30.43,0.00,24.3,0.00,0.0,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.3,08-07-2019,01:00:00,12.00,89,985.35,1004.76,32.25,0.00,25.3,0.00,0.0,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.4,08-07-2019,01:00:00,10.00,93,988.67,1005.41,31.88,2.00,25.1,0.00,0.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.2,08-07-2019,01:00:00,10.00,94,988.12,1005.60,30.15,1.60,24.2,0.00,0.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.2,08-07-2019,01:00:00,10.00,90,978.60,1004.36,30.67,5.60,24.5,0.00,0.0,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.5,08-07-2019,01:00:00,10.00,97,1001.32,1007.12,33.47,11.30,25.9,0.00,0.0,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.9,08-07-2019,01:00:00,10.00,98,1000.20,1006.40,32.84,22.40,25.6,0.00,0.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.0,08-07-2019,01:00:00,8.00,84,990.55,1006.98,30.02,1.70,24.1,0.00,0.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.5,08-07-2019,01:00:00,6.00,96,983.78,1006.34,27.66,24.30,22.8,7.20,5.6,090
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.0,08-07-2019,01:00:00,4.00,97,993.20,1007.69,30.58,10.90,24.4,6.80,0.0,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.2,08-07-2019,01:00:00,6.00,98,990.32,1006.85,29.66,18.10,23.9,6.80,0.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.0,08-07-2019,01:00:00,8.00,91,1001.38,1006.58,34.52,2.80,26.5,0.20,0.0,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.0,08-07-2019,01:00:00,10.00,91,992.09,1005.26,32.49,1.60,25.4,0.20,0.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.3,08-07-2019,01:00:00,8.00,93,997.35,1006.69,31.96,4.10,25.1,0.10,0.0,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.6,08-07-2019,01:00:00,10.00,68,983.76,1005.29,26.57,0.00,22.1,0.00,5.6,240
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.0,08-07-2019,01:00:00,10.00,77,987.06,1004.51,27.36,0.00,22.6,0.00,0.0,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.5,08-07-2019,01:00:00,10.00,96,988.07,1003.88,33.19,14.90,25.8,0.00,0.0,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.0,08-07-2019,01:00:00,8.00,71,986.00,1004.72,28.37,0.01,23.2,0.00,0.0,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.6,08-07-2019,01:00:00,5.00,95,957.97,1009.85,25.93,24.10,21.7,5.90,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.2,08-07-2019,01:00:00,7.00,87,1002.23,1006.18,31.49,0.10,24.9,0.00,5.6,160
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.6,08-07-2019,01:00:00,3.00,96,911.91,1007.31,23.33,17.10,20.0,6.20,0.0,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.5,08-07-2019,01:00:00,6.00,91,989.44,1005.42,31.52,0.40,24.9,0.00,0.0,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.0,08-07-2019,01:00:00,8.00,94,1002.52,1006.55,33.34,5.50,25.9,0.00,0.0,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.0,08-07-2019,01:00:00,7.00,89,997.33,1008.05,30.03,0.00,24.1,0.00,0.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,08-07-2019,01:00:00,7.00,90,1005.33,1007.27,30.30,1.10,24.3,0.00,5.6,180
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.8,08-07-2019,01:00:00,10.00,75,985.39,1006.18,28.02,0.00,23.0,0.00,9.3,220
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.5,08-07-2019,01:00:00,10.00,92,987.41,1005.07,31.79,1.20,25.1,1.20,0.0,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.6,08-07-2019,01:00:00,10.00,93,988.91,1005.06,32.26,3.80,25.3,3.80,7.4,190
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.9,08-07-2019,01:00:00,10.00,84,991.62,1005.64,29.83,1.10,24.0,0.50,5.6,240
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.5,08-07-2019,01:00:00,8.00,86,991.70,1006.54,29.62,1.00,23.9,0.00,0.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.5,08-07-2019,01:00:00,6.00,93,991.73,1006.42,32.07,1.60,25.2,0.00,0.0,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.1,08-07-2019,01:00:00,10.00,88,1003.79,1006.81,31.58,0.60,24.9,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.3,08-07-2019,01:00:00,7.00,82,998.72,1006.66,29.77,0.00,24.0,0.00,3.7,200
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.5,08-07-2019,01:00:00,6.00,85,1006.21,1007.32,31.25,6.60,24.8,0.00,5.6,220
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.1,08-07-2019,01:00:00,8.00,80,991.57,1006.24,28.59,18.10,23.3,0.00,0.0,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.8,08-07-2019,01:00:00,.05,98,873.44,1008.50,22.62,16.60,19.5,0.00,5.6,290
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.4,08-07-2019,01:00:00,10.00,83,1001.14,1007.01,30.23,0.90,24.2,0.00,0.0,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.3,08-07-2019,01:00:00,8.00,90,1007.20,1008.01,32.53,6.70,25.4,0.20,0.0,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.0,08-07-2019,01:00:00,6.00,83,1005.22,1005.66,31.39,2.80,24.8,1.20,9.3,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,08-07-2019,01:00:00,3.00,96,997.35,1008.79,28.53,57.60,23.3,1.00,0.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.0,08-07-2019,01:00:00,10.00,90,1006.72,1007.73,30.30,17.80,24.3,0.30,0.0,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.0,08-07-2019,01:00:00,7.00,93,1005.41,1007.24,31.11,6.60,24.7,0.90,0.0,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.9,08-07-2019,01:00:00,5.00,95,1007.15,1007.92,29.87,5.60,24.0,2.20,0.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.1,08-07-2019,01:00:00,8.00,97,1007.17,1007.89,29.22,31.20,23.7,25.40,9.3,260
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.7,08-07-2019,01:00:00,7.00,89,1006.58,1007.28,33.05,7.70,25.7,0.00,0.0,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.8,08-07-2019,01:00:00,10.00,79,985.89,1006.98,29.36,0.00,23.7,0.00,5.6,270
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.7,08-07-2019,01:00:00,7.00,76,989.76,1006.42,28.10,0.30,23.0,0.00,9.3,240
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.0,08-07-2019,01:00:00,6.00,80,990.24,1006.66,28.67,0.90,23.3,0.01,3.7,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.2,08-07-2019,01:00:00,10.00,76,985.15,1006.99,27.45,0.01,22.6,0.00,0.0,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.8,08-07-2019,01:00:00,10.00,78,964.06,1007.48,25.78,3.20,21.6,0.00,18.5,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.7,08-07-2019,01:00:00,10.00,74,986.32,1006.82,27.57,0.00,22.7,0.00,5.6,260
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.4,08-07-2019,01:00:00,8.00,82,986.88,1007.68,29.96,0.00,24.1,0.00,9.3,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.6,08-07-2019,01:00:00,10.00,90,1007.93,1008.37,31.16,8.10,24.7,0.60,9.3,270
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.9,08-07-2019,01:00:00,6.00,91,1005.53,1006.95,32.30,1.10,25.3,0.00,0.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.2,08-07-2019,01:00:00,7.00,98,1002.77,1007.71,33.15,1.30,25.8,0.00,0.0,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.0,08-07-2019,01:00:00,8.00,92,1005.01,1008.32,30.84,2.60,24.6,0.30,0.0,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.0,08-07-2019,01:00:00,10.00,96,1006.83,1007.94,32.20,7.00,25.3,4.50,0.0,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.0,08-07-2019,01:00:00,5.00,96,1007.85,1008.15,30.32,18.70,24.3,17.50,0.0,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.0,08-07-2019,01:00:00,10.00,85,1007.66,1008.15,31.95,5.30,25.1,0.00,0.0,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.1,08-07-2019,01:00:00,8.00,93,1006.92,1008.33,31.57,6.00,24.9,4.80,14.8,240
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.5,08-07-2019,01:00:00,10.00,96,1001.64,1009.71,31.25,4.10,24.8,0.00,0.0,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.0,08-07-2019,01:00:00,6.00,94,1007.67,1007.95,31.65,18.10,25.0,5.20,0.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.5,08-07-2019,01:00:00,10.00,92,1004.73,1007.87,31.79,8.50,25.1,5.00,0.0,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.4,08-07-2019,01:00:00,10.00,94,1001.18,1008.14,32.43,13.10,25.4,1.40,9.3,260
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.5,08-07-2019,01:00:00,8.00,92,1002.32,1007.94,31.79,0.20,25.1,0.00,0.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.6,08-07-2019,01:00:00,6.00,91,1007.72,1009.00,29.82,17.30,24.0,0.10,3.7,230
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.5,08-07-2019,01:00:00,11.00,88,1007.85,1008.28,30.43,6.60,24.3,0.00,7.4,260
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.7,08-07-2019,01:00:00,8.00,97,996.55,1008.93,30.30,31.90,24.3,14.70,0.0,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.5,08-07-2019,01:00:00,10.00,98,1007.86,1008.58,32.07,15.70,25.2,11.40,0.0,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.5,08-07-2019,01:00:00,7.00,92,1005.99,1008.44,31.79,7.70,25.1,5.00,3.7,270
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,27.4,08-07-2019,01:00:00,8.00,85,1007.96,1008.47,31.05,0.70,24.7,0.50,16.7,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.2,08-07-2019,01:00:00,9.00,93,1003.16,1008.33,31.76,0.80,25.0,0.40,3.7,230
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.9,08-07-2019,01:00:00,7.00,92,1007.58,1007.99,32.58,102.30,25.5,0.00,0.0,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.0,08-07-2019,01:00:00,8.00,93,1005.21,1008.00,31.11,67.40,24.7,0.00,0.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.5,08-07-2019,01:00:00,10.00,92,1008.13,1008.92,29.91,12.20,24.0,3.80,3.7,260
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.9,08-07-2019,01:00:00,5.00,97,1007.94,1008.40,32.29,146.70,25.3,4.10,0.0,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.4,08-07-2019,01:00:00,7.00,93,1008.08,1008.76,31.88,3.90,25.1,0.00,0.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.6,08-07-2019,01:00:00,8.00,98,1007.10,1008.64,32.26,0.60,25.3,0.00,3.7,190
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.1,08-07-2019,01:00:00,10.00,87,1008.30,1009.21,31.30,0.90,24.8,0.00,5.6,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.0,08-07-2019,01:00:00,12.00,75,1008.68,1009.37,28.39,0.00,23.2,0.00,0.0,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.0,08-07-2019,01:00:00,6.00,88,1008.85,1009.66,27.96,0.00,22.9,0.00,0.0,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,26.2,08-07-2019,01:00:00,10.00,89,1008.41,1009.05,30.13,0.00,24.2,0.00,0.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.4,08-07-2019,01:00:00,10.00,93,1008.76,1009.16,32.15,0.00,25.3,0.00,7.4,210
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.5,08-07-2019,01:00:00,6.00,88,1006.77,1011.02,28.59,0.00,23.3,0.00,0.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.7,08-07-2019,01:00:00,7.00,98,1008.01,1009.65,28.77,0.00,23.4,0.00,0.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.5,08-07-2019,01:00:00,10.00,87,1006.05,1009.56,26.84,0.00,22.3,0.00,0.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.2,08-07-2019,01:00:00,8.00,88,1007.93,1009.30,28.06,0.00,23.0,0.00,0.0,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.5,08-07-2019,01:00:00,10.00,88,1008.81,1009.70,30.43,0.00,24.3,0.00,13.0,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.9,08-07-2019,01:00:00,10.00,88,1005.71,1009.30,27.79,0.00,22.8,0.00,0.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,27.8,08-07-2019,01:00:00,10.00,81,1008.78,1009.21,30.17,0.00,24.2,0.00,0.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.3,08-07-2019,01:00:00,10.00,66,1007.80,1008.78,26.78,0.00,22.2,0.00,3.7,320
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.4,08-07-2019,01:00:00,10.00,92,1008.60,1009.42,29.72,0.00,23.9,0.00,7.4,260
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.0,08-07-2019,01:00:00,10.00,92,1007.60,1009.43,30.84,0.00,24.6,0.00,0.0,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.9,08-07-2019,01:00:00,10.00,73,1008.49,1009.24,27.40,0.00,22.6,0.00,3.7,250
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.0,08-07-2019,01:00:00,7.00,89,1005.59,1009.61,30.03,0.00,24.1,0.00,0.0,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.9,08-07-2019,01:00:00,10.00,90,1008.72,1009.41,31.74,0.00,25.0,0.00,0.0,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,26.8,08-07-2019,01:00:00,10.00,86,1008.22,1009.34,30.18,0.00,24.2,0.00,0.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.4,08-07-2019,01:00:00,10.00,90,1006.60,1009.53,31.05,0.00,24.7,0.00,0.0,000
