WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,AirTemperature,MaximumTemperature,WindDirection,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,StationPressure,VaporPressure,Rainfall
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.4,09-15-2019,19:00:00,2.50,29.4,34.1,180,79,11.1,11.00,1005.41,1004.98,32.50,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.1,09-15-2019,19:00:00,0.01,27.1,31.3,000,84,0.0,8.00,1006.21,993.97,29.93,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.8,09-15-2019,19:00:00,0.00,28.4,31.5,240,76,13.0,10.00,1005.64,1004.93,29.41,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.0,09-15-2019,19:00:00,44.10,26.6,30.4,000,91,0.0,9.00,1006.58,1004.14,31.71,3.20
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.6,09-15-2019,19:00:00,54.90,27.8,28.0,260,83,11.1,10.00,1005.73,1005.22,31.00,1.60
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.0,09-15-2019,19:00:00,14.10,26.3,30.5,260,93,3.7,8.00,1005.94,1000.78,31.68,2.20
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.4,09-15-2019,19:00:00,67.10,25.0,30.9,140,97,9.3,2.00,1006.90,1006.49,30.58,52.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,23.9,09-15-2019,19:00:00,369.90,24.2,30.2,000,98,0.0,8.00,1006.72,1003.92,29.66,290.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.2,09-15-2019,19:00:00,0.60,26.7,32.7,000,81,0.0,10.00,1006.40,1005.61,28.39,0.01
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.3,09-15-2019,19:00:00,141.00,26.0,27.5,280,96,7.4,6.00,1007.33,1006.87,32.20,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.6,09-15-2019,19:00:00,41.80,24.3,26.4,290,96,7.4,7.00,1008.41,1007.72,29.05,2.20
