WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,StationPressure,AirTemperature,Rainfall,WindDirection,DewPoint,LandVisibility,RelativeHumidity,VaporPressure,Rainfall24Hr
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.97,07-29-2019,22:00:00,0.0,993.96,24.0,13.00,000,23.1,5.00,95,28.27,14.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.15,07-29-2019,22:00:00,0.0,994.27,23.5,58.30,000,22.9,1.50,96,27.92,66.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.48,07-29-2019,22:00:00,0.0,1004.49,29.9,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",21.7,10.00,62,26.03,0.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1007.71,07-29-2019,22:00:00,0.0,999.76,27.2,0.00,000,24.6,8.00,86,30.94,1.60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.10,07-29-2019,22:00:00,22.2,1008.00,29.0,0.00,250,24.4,6.00,76,30.57,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.94,07-29-2019,22:00:00,3.7,991.31,27.8,23.90,120,26.5,7.00,93,34.69,24.80
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1011.34,07-29-2019,22:00:00,0.0,875.47,18.8,0.00,000,18.3,3.00,97,21.03,50.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.31,07-29-2019,22:00:00,7.4,1002.47,29.3,0.00,250,22.7,10.00,68,27.59,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.67,07-29-2019,22:00:00,18.5,1008.87,30.0,0.00,240,21.0,8.00,59,24.89,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.47,07-29-2019,22:00:00,7.4,1008.03,29.9,0.00,230,21.4,10.00,60,25.50,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.15,07-29-2019,22:00:00,0.0,999.73,25.0,0.00,000,23.2,5.00,90,28.48,4.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.12,07-29-2019,22:00:00,5.6,1008.11,28.1,0.00,200,22.0,10.00,70,26.45,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.89,07-29-2019,22:00:00,9.3,1007.07,28.5,0.00,150,21.5,8.00,66,25.61,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.94,07-29-2019,22:00:00,0.0,1008.18,28.0,0.00,000,20.6,9.00,64,24.23,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.75,07-29-2019,22:00:00,11.1,1008.05,28.9,0.00,290,21.6,10.00,65,25.80,5.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.36,07-29-2019,22:00:00,3.7,1007.66,29.0,0.00,300,23.5,7.00,72,28.91,17.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.00,07-29-2019,22:00:00,13.0,987.04,30.1,0.00,260,22.8,10.00,65,27.74,0.10
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.51,07-29-2019,22:00:00,0.0,991.66,25.0,21.90,000,24.6,3.00,97,30.85,50.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1008.86,07-29-2019,22:00:00,0.0,992.30,25.3,35.30,000,24.4,5.00,95,30.60,61.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1007.72,07-29-2019,22:00:00,9.3,986.05,29.7,0.00,260,22.8,10.00,67,27.80,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.83,07-29-2019,22:00:00,11.1,965.51,27.0,0.00,220,19.4,12.00,63,22.57,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.02,07-29-2019,22:00:00,11.1,987.57,29.0,0.00,240,21.7,10.00,65,25.98,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.84,07-29-2019,22:00:00,9.3,989.76,24.4,18.00,310,24.4,6.00,100,30.54,33.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.69,07-29-2019,22:00:00,3.7,1008.25,29.0,0.00,310,20.7,10.00,61,24.42,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.41,07-29-2019,22:00:00,0.0,1006.99,26.4,0.01,000,25.3,8.00,93,32.15,12.40
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.31,07-29-2019,22:00:00,0.0,1004.37,27.2,0.00,000,24.8,7.00,87,31.22,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.23,07-29-2019,22:00:00,7.4,1005.94,28.1,0.00,220,20.9,10.00,65,24.65,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.14,07-29-2019,22:00:00,3.7,1008.04,27.5,0.00,280,21.5,10.00,70,25.65,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.70,07-29-2019,22:00:00,3.7,1008.40,29.7,0.00,270,21.2,10.00,60,25.14,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.62,07-29-2019,22:00:00,0.0,1009.13,29.3,0.00,000,21.9,10.00,64,26.25,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.36,07-29-2019,22:00:00,11.1,1008.96,29.1,0.00,270,22.0,10.00,66,26.42,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.49,07-29-2019,22:00:00,3.7,1002.50,28.5,0.00,230,22.6,10.00,71,27.44,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.93,07-29-2019,22:00:00,0.0,1008.65,30.0,0.00,000,24.7,10.00,73,31.15,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.51,07-29-2019,22:00:00,5.6,1005.40,29.8,0.00,270,22.8,10.00,66,27.71,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.16,07-29-2019,22:00:00,0.0,1002.27,29.5,0.00,000,22.4,10.00,66,27.15,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.12,07-29-2019,22:00:00,0.0,1003.52,27.6,0.00,000,24.1,7.00,81,30.07,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.35,07-29-2019,22:00:00,7.4,1008.08,26.7,0.00,320,21.9,10.00,75,26.31,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.81,07-29-2019,22:00:00,0.0,1008.38,28.4,0.00,000,21.0,11.00,64,24.91,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.11,07-29-2019,22:00:00,3.7,996.80,26.4,0.00,200,21.8,10.00,76,26.04,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.99,07-29-2019,22:00:00,3.7,1008.28,28.5,0.00,220,22.3,10.00,69,26.91,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.15,07-29-2019,22:00:00,0.0,1006.73,30.0,0.00,000,21.0,10.00,59,24.89,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.92,07-29-2019,22:00:00,11.1,1008.41,30.0,0.00,290,23.8,10.00,69,29.47,7.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.90,07-29-2019,22:00:00,0.0,1003.77,28.8,0.00,000,21.3,10.00,64,25.36,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.79,07-29-2019,22:00:00,0.0,1009.38,29.0,0.00,000,25.2,7.00,80,31.98,9.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.89,07-29-2019,22:00:00,7.4,1007.11,27.2,0.00,210,25.5,8.00,90,32.61,11.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.04,07-29-2019,22:00:00,5.6,1009.26,27.1,0.00,270,22.5,10.00,76,27.27,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.57,07-29-2019,22:00:00,3.7,1010.11,28.1,0.00,090,25.8,6.00,88,33.29,34.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.76,07-29-2019,22:00:00,3.7,1010.07,25.5,0.20,200,22.5,8.00,84,27.29,0.20
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.25,07-29-2019,22:00:00,0.0,1008.71,26.2,0.60,000,24.8,7.00,92,31.22,0.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.69,07-29-2019,22:00:00,3.7,1010.77,25.1,0.20,010,23.5,10.00,91,28.92,15.80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.96,07-29-2019,22:00:00,0.0,1010.28,29.1,0.00,000,23.6,10.00,72,29.11,0.01
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.41,07-29-2019,22:00:00,0.0,1010.61,26.7,0.00,000,23.5,9.00,83,28.92,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.62,07-29-2019,22:00:00,0.0,1009.99,28.0,0.00,000,25.1,10.00,85,31.95,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.68,07-29-2019,22:00:00,7.4,1010.27,27.5,0.00,230,25.1,10.00,87,31.80,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.17,07-29-2019,22:00:00,0.0,1008.93,26.2,0.00,000,25.2,5.00,94,32.04,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.57,07-29-2019,22:00:00,0.0,1009.94,25.5,0.00,000,23.3,10.00,88,28.59,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.46,07-29-2019,22:00:00,0.0,1007.96,26.5,0.00,000,24.3,7.00,88,30.43,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.21,07-29-2019,22:00:00,0.0,1009.85,26.6,0.00,000,23.5,8.00,83,29.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.09,07-29-2019,22:00:00,0.0,1010.20,26.0,0.00,000,24.8,10.00,93,31.38,1.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.96,07-29-2019,22:00:00,0.0,1008.37,26.0,0.00,000,22.9,10.00,83,27.92,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.19,07-29-2019,22:00:00,0.0,1010.75,26.9,0.20,000,24.4,10.00,86,30.64,2.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.54,07-29-2019,22:00:00,0.0,1009.56,29.0,0.00,000,25.0,10.00,79,31.69,1.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.79,07-29-2019,22:00:00,16.7,1010.98,28.7,0.00,280,24.8,10.00,80,31.38,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.61,07-29-2019,22:00:00,0.0,1009.79,26.5,0.00,000,24.2,10.00,87,30.16,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.49,07-29-2019,22:00:00,7.4,1010.74,28.1,0.00,210,24.1,11.00,79,29.93,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.17,07-29-2019,22:00:00,0.0,1008.15,26.8,0.00,000,23.4,10.00,82,28.84,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.82,07-29-2019,22:00:00,0.0,1011.13,26.4,0.00,000,24.4,10.00,89,30.51,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.58,07-29-2019,22:00:00,0.0,1010.47,30.7,0.00,000,22.7,10.00,62,27.52,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.87,07-29-2019,22:00:00,0.0,1008.96,29.0,0.00,000,23.2,10.00,71,28.37,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.74,07-29-2019,22:00:00,0.0,1010.05,27.0,0.00,000,24.3,10.00,85,30.29,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1012.64,07-29-2019,22:00:00,0.0,1008.51,28.0,0.00,000,23.6,7.00,77,29.19,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.90,07-29-2019,22:00:00,0.0,1010.32,28.0,0.00,000,23.6,10.00,77,29.19,0.00
