WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MaximumTemperature,StationPressure,MeanSeaLevelPressure,LandVisibility,AirTemperature,RelativeHumidity,WindSpeed,DewPoint,WindDirection,Rainfall24Hr,Rainfall
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.96,09-27-2019,19:00:00,34.8,1008.63,1011.62,10.00,31.8,64,0.0,24.1,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.54,09-27-2019,19:00:00,34.6,1004.29,1012.21,10.00,29.6,64,0.0,22.1,000,0.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.52,09-27-2019,19:00:00,34.8,1011.90,1013.00,8.00,29.6,71,11.1,23.8,040,0.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.97,09-27-2019,19:00:00,32.0,998.06,1012.63,9.00,31.1,71,3.7,25.2,100,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.24,09-27-2019,19:00:00,25.6,878.38,1014.11,8.00,20.0,95,0.0,19.2,000,0.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,28.89,09-27-2019,19:00:00,33.6,1006.47,1012.35,8.00,28.7,73,3.7,23.5,050,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.47,09-27-2019,19:00:00,36.7,1011.03,1011.82,7.00,31.0,70,0.0,24.9,000,1.80,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.32,09-27-2019,19:00:00,34.7,1011.41,1011.85,10.00,29.3,74,7.4,24.3,230,0.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.69,09-27-2019,19:00:00,34.5,1000.61,1011.89,4.00,29.0,79,0.0,25.0,000,0.00,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.09,09-27-2019,19:00:00,35.0,1011.28,1012.28,10.00,31.0,63,0.0,23.0,000,0.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.27,09-27-2019,19:00:00,34.5,1010.34,1012.15,9.00,30.5,58,3.7,21.3,050,0.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.17,09-27-2019,19:00:00,35.4,1012.52,1013.28,8.00,30.9,63,0.0,23.1,000,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.86,09-27-2019,19:00:00,34.3,1010.78,1011.48,7.00,28.8,80,9.3,25.1,230,0.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.58,09-27-2019,19:00:00,34.9,1010.73,1011.43,7.00,30.2,69,0.0,23.9,000,0.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.45,09-27-2019,19:00:00,32.4,991.78,1012.91,8.00,29.0,64,9.3,21.4,090,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.81,09-27-2019,19:00:00,31.8,996.12,1012.83,8.00,28.8,73,0.0,23.4,000,0.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.19,09-27-2019,19:00:00,32.4,997.08,1013.56,6.00,28.0,77,5.6,23.6,050,0.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.96,09-27-2019,19:00:00,32.8,990.15,1011.93,8.00,29.5,68,0.0,22.9,000,0.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.37,09-27-2019,19:00:00,31.4,969.22,1012.85,9.00,26.0,73,5.6,20.7,090,0.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.30,09-27-2019,19:00:00,32.1,991.95,1012.55,10.00,28.1,74,3.7,23.1,050,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.18,09-27-2019,19:00:00,31.1,993.66,1014.76,6.00,25.1,92,0.0,23.6,000,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.62,09-27-2019,19:00:00,32.3,1011.14,1011.57,10.00,28.6,78,0.0,24.4,000,0.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.13,09-27-2019,19:00:00,33.8,1010.09,1011.50,6.00,29.0,78,0.0,24.7,000,0.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.63,09-27-2019,19:00:00,33.2,1006.83,1011.81,8.00,25.7,96,0.0,25.0,000,15.00,15.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.43,09-27-2019,19:00:00,34.6,1008.41,1011.68,8.00,30.8,62,0.0,22.6,000,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.59,09-27-2019,19:00:00,33.9,1010.93,1012.03,10.00,30.2,78,0.0,26.0,000,2.50,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.38,09-27-2019,19:00:00,35.1,1011.50,1011.80,10.00,29.9,77,0.0,25.4,000,0.01,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.68,09-27-2019,19:00:00,35.3,1010.78,1011.46,10.00,29.2,76,5.6,24.5,240,0.01,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.80,09-27-2019,19:00:00,32.6,1011.20,1011.69,10.00,29.4,75,3.7,24.5,220,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.60,09-27-2019,19:00:00,33.8,1011.03,1012.43,10.00,29.5,72,11.1,23.9,170,0.01,0.01
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.13,09-27-2019,19:00:00,32.8,1010.18,1011.85,8.00,29.5,78,9.3,25.2,220,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,33.12,09-27-2019,19:00:00,35.0,1005.60,1013.60,10.00,29.0,83,0.0,25.8,000,0.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.99,09-27-2019,19:00:00,36.1,1011.35,1011.63,8.00,28.3,83,0.0,25.2,000,4.70,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.84,09-27-2019,19:00:00,33.5,1008.64,1011.80,10.00,26.0,92,0.0,24.6,000,14.30,0.50
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.25,09-27-2019,19:00:00,33.0,1004.90,1011.90,10.00,25.5,96,0.0,24.8,000,13.80,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.25,09-27-2019,19:00:00,32.8,1006.73,1012.38,8.00,25.4,93,0.0,24.2,000,18.20,18.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.41,09-27-2019,19:00:00,34.5,1003.40,1012.79,4.00,26.1,87,0.0,23.8,000,1.80,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.43,09-27-2019,19:00:00,33.0,1011.27,1012.54,8.00,26.4,94,0.0,25.4,000,4.50,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.31,09-27-2019,19:00:00,34.6,1010.88,1011.30,11.00,{'@attributes': {'Unit': 'celcius'}},72,0.0,24.8,000,3.10,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.97,09-27-2019,19:00:00,30.8,999.93,1012.27,8.00,26.5,89,0.0,24.6,000,23.10,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.87,09-27-2019,19:00:00,32.2,1010.96,1011.68,6.00,28.1,84,0.0,25.1,000,6.80,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.30,09-27-2019,19:00:00,34.1,1009.55,1012.00,6.00,26.0,90,7.4,24.3,320,3.10,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.79,09-27-2019,19:00:00,32.8,1011.10,1011.62,8.00,26.5,92,0.0,25.1,000,0.10,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.85,09-27-2019,19:00:00,33.0,1006.53,1011.73,9.00,26.1,94,3.7,25.1,040,1.40,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.30,09-27-2019,19:00:00,33.5,1011.00,1011.41,7.00,29.3,79,0.0,25.3,000,0.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.74,09-27-2019,19:00:00,33.2,1008.67,1011.43,8.00,28.6,86,0.0,26.1,000,0.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.21,09-27-2019,19:00:00,33.0,1011.63,1012.42,10.00,27.0,82,0.0,23.6,000,5.50,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.79,09-27-2019,19:00:00,30.7,1010.97,1011.43,7.00,28.2,83,0.0,25.1,000,0.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.55,09-27-2019,19:00:00,32.3,1010.67,1011.35,10.00,26.5,83,0.0,23.3,000,0.70,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.66,09-27-2019,19:00:00,32.0,1010.17,1011.71,7.00,25.8,89,0.0,23.9,000,4.60,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.36,09-27-2019,19:00:00,33.5,1010.06,1010.98,10.00,27.8,79,5.6,23.7,020,0.40,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.69,09-27-2019,19:00:00,30.9,1010.11,1010.80,10.00,27.3,87,5.6,25.0,020,1.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.28,09-27-2019,19:00:00,32.2,1010.30,1011.09,10.00,28.0,80,3.7,24.3,060,0.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.75,09-27-2019,19:00:00,32.1,1010.31,1010.95,10.00,28.4,85,0.0,25.6,000,0.50,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.04,09-27-2019,19:00:00,31.7,1010.95,1011.36,10.00,28.4,85,0.0,25.7,000,0.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.80,09-27-2019,19:00:00,31.5,1008.79,1013.01,5.00,27.5,87,0.0,25.1,000,0.01,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.38,09-27-2019,19:00:00,34.0,1008.96,1010.57,10.00,27.0,88,0.0,24.8,000,3.20,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.37,09-27-2019,19:00:00,34.5,1007.08,1010.56,10.00,28.0,88,0.0,25.9,000,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.13,09-27-2019,19:00:00,32.8,1009.65,1011.00,10.00,29.0,78,3.7,24.7,120,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.41,09-27-2019,19:00:00,33.5,1009.56,1010.45,10.00,24.5,96,0.0,23.8,000,25.90,0.90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.58,09-27-2019,19:00:00,33.2,1006.80,1010.38,10.00,25.9,89,0.0,23.9,000,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.19,09-27-2019,19:00:00,34.8,1009.75,1010.19,10.00,28.4,83,0.0,25.3,000,4.60,4.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.56,09-27-2019,19:00:00,33.4,1008.76,1009.75,10.00,26.9,83,0.0,23.8,000,0.01,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.57,09-27-2019,19:00:00,33.5,1009.77,1010.59,10.00,29.2,73,0.0,23.9,000,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.07,09-27-2019,19:00:00,34.4,1008.76,1010.56,12.00,29.6,65,9.3,22.4,050,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.52,09-27-2019,19:00:00,32.4,1010.81,1011.56,10.00,28.6,75,5.6,23.8,060,0.30,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.22,09-27-2019,19:00:00,33.4,1007.30,1011.30,10.00,28.3,76,9.3,23.7,050,0.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.21,09-27-2019,19:00:00,33.9,1011.31,1011.99,10.00,27.0,90,0.0,25.3,000,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.78,09-27-2019,19:00:00,32.5,1010.29,1011.40,10.00,28.4,80,5.6,24.5,090,0.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.19,09-27-2019,19:00:00,32.7,1008.45,1011.36,10.00,28.4,83,3.7,25.3,040,1.60,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.78,09-27-2019,19:00:00,31.4,1009.93,1010.62,7.00,27.5,92,0.0,26.1,000,35.40,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,30.56,09-27-2019,19:00:00,33.0,1007.12,1011.25,8.00,28.0,81,5.6,24.4,160,0.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.98,09-27-2019,19:00:00,33.0,1010.36,1010.95,10.00,28.5,80,0.0,24.6,000,0.00,0.00
