WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,Rainfall,RelativeHumidity,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,WindDirection,AirTemperature
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.02,09-16-2019,01:00:00,24.1,0.00,84,0.00,0.0,1006.94,987.47,10.00,000,27.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.49,09-16-2019,01:00:00,24.9,0.00,93,9.20,0.0,1007.98,991.19,10.00,000,26.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.91,09-16-2019,01:00:00,24.0,0.00,92,0.00,0.0,1007.91,990.41,10.00,000,25.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.33,09-16-2019,01:00:00,23.7,0.00,95,5.00,5.6,1006.94,980.98,10.00,320,24.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.77,09-16-2019,01:00:00,26.6,0.00,98,0.00,3.7,1007.05,1001.27,10.00,270,27.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.76,09-16-2019,01:00:00,25.6,0.00,98,1.60,0.0,1007.02,1000.81,10.00,000,26.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.83,09-16-2019,01:00:00,23.4,0.00,90,0.00,0.0,1007.91,991.36,10.00,000,25.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.95,09-16-2019,01:00:00,23.5,0.00,88,0.00,0.0,1006.55,984.15,10.00,000,25.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.71,09-16-2019,01:00:00,24.5,0.00,94,11.40,0.0,1008.10,993.63,6.00,000,25.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.59,09-16-2019,01:00:00,23.3,0.00,88,0.00,0.0,1007.96,991.49,7.00,000,25.5
