WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,VaporPressure,WindSpeed,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility,Rainfall,RelativeHumidity
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.2,09-25-2019,01:00:00,25.11,0.0,0.00,23.0,1014.02,000,961.99,6.00,0.00,89
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.5,09-25-2019,01:00:00,32.61,0.0,0.00,27.2,1013.91,000,1009.92,5.00,0.00,90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.4,09-25-2019,01:00:00,21.14,0.0,0.00,19.2,1015.66,000,919.04,1.50,0.00,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,21.1,09-25-2019,01:00:00,24.94,0.0,0.00,24.4,1014.64,000,998.40,8.00,0.00,82
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.5,09-25-2019,01:00:00,30.73,0.0,1.00,25.8,1014.37,000,1010.29,6.00,0.00,93
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,22.3,09-25-2019,01:00:00,26.84,0.0,0.50,24.5,1015.48,000,1004.62,7.00,0.00,87
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.0,09-25-2019,01:00:00,29.91,0.0,0.90,25.5,1014.31,000,1012.36,9.00,0.00,92
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.7,09-25-2019,01:00:00,24.45,0.0,0.00,25.0,1014.56,000,993.41,10.00,0.00,77
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,21.5,09-25-2019,01:00:00,25.60,5.6,0.00,24.5,1014.09,030,996.15,10.00,0.00,83
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,21.2,09-25-2019,01:00:00,25.19,0.0,0.00,25.0,1013.94,000,997.57,10.00,0.00,80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,19.6,09-25-2019,01:00:00,22.76,3.7,0.00,25.0,1013.52,040,999.31,10.00,0.00,72
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,20.9,09-25-2019,01:00:00,24.69,0.0,0.00,25.0,1014.35,000,999.32,8.00,0.00,78
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,20.9,09-25-2019,01:00:00,24.78,13.0,0.00,25.5,1014.88,070,1000.03,7.00,0.00,76
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.5,09-25-2019,01:00:00,30.76,0.0,0.10,26.1,1013.69,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.65,8.00,0.00,91
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,21.5,09-25-2019,01:00:00,25.69,0.0,0.00,25.3,1013.71,000,1005.66,7.00,0.00,80
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.9,09-25-2019,01:00:00,29.60,0.0,0.00,26.2,1013.59,000,1012.47,7.00,0.00,87
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.3,09-25-2019,01:00:00,30.46,0.0,0.00,25.8,1013.53,000,998.69,8.00,0.00,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,17.4,09-25-2019,01:00:00,19.80,11.1,0.00,19.0,1014.88,050,878.63,7.00,0.00,90
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.3,09-25-2019,01:00:00,28.59,0.0,0.00,25.5,1013.60,000,1007.65,8.00,0.00,88
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.4,09-25-2019,01:00:00,32.36,0.0,0.00,27.5,1013.84,000,1013.04,7.00,0.00,88
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.6,09-25-2019,01:00:00,29.11,0.0,0.00,28.1,1011.79,000,1011.34,10.00,0.00,77
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,22.2,09-25-2019,01:00:00,26.83,0.0,0.50,23.0,1014.59,000,1003.05,4.00,0.00,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.5,09-25-2019,01:00:00,29.02,0.0,0.20,26.9,1013.75,000,1012.73,7.00,0.00,82
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.2,09-25-2019,01:00:00,28.37,0.0,0.40,26.4,1013.96,000,1012.12,8.00,0.00,82
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.0,09-25-2019,01:00:00,29.77,5.6,0.00,27.3,1013.13,040,1012.42,9.00,0.00,82
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.3,09-25-2019,01:00:00,28.67,0.0,0.00,27.0,1012.67,000,1011.96,7.00,0.00,80
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.9,09-25-2019,01:00:00,27.96,0.0,0.00,25.0,1014.20,000,992.76,7.00,0.00,88
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,21.9,09-25-2019,01:00:00,26.19,0.0,0.00,25.3,1013.72,000,996.80,6.00,0.00,81
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,21.9,09-25-2019,01:00:00,26.34,5.6,0.00,24.2,1014.39,050,997.69,6.00,0.00,87
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.8,09-25-2019,01:00:00,24.53,11.1,2.00,24.3,1013.95,090,970.03,8.00,0.00,81
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.2,09-25-2019,01:00:00,28.37,5.6,0.00,24.5,1013.86,050,992.99,7.00,0.00,92
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,22.7,09-25-2019,01:00:00,27.59,13.0,0.00,23.9,1015.60,040,994.39,7.00,0.00,93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.8,09-25-2019,01:00:00,31.25,9.3,2.00,25.5,1012.94,350,1012.50,9.00,0.00,96
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.0,09-25-2019,01:00:00,29.91,0.0,0.80,25.5,1012.73,000,1011.30,6.00,0.00,92
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.6,09-25-2019,01:00:00,30.87,0.0,0.00,25.3,1012.90,000,1007.91,7.00,0.00,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.0,09-25-2019,01:00:00,29.76,0.0,0.00,26.0,1013.47,000,1010.14,10.00,0.00,89
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.3,09-25-2019,01:00:00,32.20,0.0,0.30,26.0,1013.71,000,1012.60,5.00,0.30,96
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.9,09-25-2019,01:00:00,29.65,3.7,0.00,28.1,1013.00,120,1012.70,10.00,0.00,78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.6,09-25-2019,01:00:00,29.19,0.0,0.00,28.0,1012.80,000,1012.31,10.00,0.00,77
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.5,09-25-2019,01:00:00,32.68,0.0,0.00,27.8,1013.55,000,1012.14,10.00,0.00,88
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.1,09-25-2019,01:00:00,29.93,0.0,0.01,24.5,1015.08,000,1006.94,8.00,0.00,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.3,09-25-2019,01:00:00,32.28,0.0,0.00,27.6,1012.63,000,1012.34,6.00,0.00,87
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.6,09-25-2019,01:00:00,30.84,0.0,0.00,26.0,1012.76,000,1009.60,10.00,0.00,92
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.5,09-25-2019,01:00:00,30.76,0.0,20.70,26.1,1012.86,000,1005.86,10.00,0.00,91
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.3,09-25-2019,01:00:00,30.43,0.0,0.00,26.5,1013.22,000,1007.58,8.00,0.00,88
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.0,09-25-2019,01:00:00,29.82,7.4,0.20,25.6,1013.73,320,1012.45,5.00,0.00,91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.6,09-25-2019,01:00:00,32.76,9.3,3.00,26.0,1012.84,330,1012.41,11.00,0.00,98
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.3,09-25-2019,01:00:00,28.56,0.0,0.00,24.9,1013.60,000,1001.17,8.00,0.00,91
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.4,09-25-2019,01:00:00,30.53,5.6,0.00,26.7,1012.99,330,1012.27,8.00,0.00,87
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.6,09-25-2019,01:00:00,29.18,5.6,6.30,25.1,1012.72,010,1010.25,8.00,0.00,92
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.1,09-25-2019,01:00:00,29.99,5.6,0.10,25.4,1012.50,020,1011.98,10.00,0.00,92
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.8,09-25-2019,01:00:00,29.42,0.0,17.20,24.8,1012.56,000,1007.34,7.00,0.00,94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.3,09-25-2019,01:00:00,30.43,0.0,0.00,26.5,1012.24,000,1011.83,7.00,0.00,88
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.0,09-25-2019,01:00:00,31.65,0.0,0.00,26.0,1012.40,000,1009.61,8.00,0.00,94
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.6,09-25-2019,01:00:00,29.10,3.7,0.00,25.2,1013.03,300,1012.23,8.00,0.00,91
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.9,09-25-2019,01:00:00,29.61,3.7,0.00,24.9,1012.02,090,1011.55,6.00,0.00,94
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.8,09-25-2019,01:00:00,31.22,0.0,0.00,26.2,1012.58,000,1011.90,8.00,0.00,92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.0,09-25-2019,01:00:00,29.89,1.9,0.00,25.2,1012.28,030,1010.74,6.00,0.00,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.6,09-25-2019,01:00:00,29.13,3.7,0.00,25.8,1012.36,010,1011.44,10.00,0.00,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.7,09-25-2019,01:00:00,33.09,0.0,5.00,27.3,1012.50,000,1011.81,9.00,0.00,91
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.2,09-25-2019,01:00:00,30.15,0.0,2.70,25.2,1012.59,000,1011.78,8.00,0.00,94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.0,09-25-2019,01:00:00,31.71,0.0,1.00,25.6,1011.44,000,1010.80,7.00,0.00,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.6,09-25-2019,01:00:00,31.00,0.0,6.60,25.8,1011.82,000,1011.41,10.00,0.00,93
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.1,09-25-2019,01:00:00,29.95,0.0,7.70,24.8,1014.44,000,1010.17,5.00,0.80,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.1,09-25-2019,01:00:00,30.02,0.0,0.00,24.4,1011.83,000,1010.20,6.00,0.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,09-25-2019,01:00:00,29.00,0.0,0.30,25.0,1012.31,000,1008.80,10.00,0.00,92
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.7,09-25-2019,01:00:00,31.04,3.7,8.40,25.1,1011.51,080,1010.14,8.00,3.40,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.9,09-25-2019,01:00:00,29.57,0.0,14.80,24.3,1011.73,000,1010.83,10.00,0.00,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,09-25-2019,01:00:00,29.25,0.0,2.60,24.7,1011.85,000,1008.25,8.00,0.00,94
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.3,09-25-2019,01:00:00,30.43,0.0,0.10,26.5,1012.03,000,1011.59,8.00,0.00,88
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.5,09-25-2019,01:00:00,30.69,0.0,11.90,25.2,1011.30,000,1010.30,8.00,0.00,96
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.8,09-25-2019,01:00:00,29.39,0.0,0.00,27.1,1010.94,000,1010.12,8.00,0.00,82
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.8,09-25-2019,01:00:00,31.38,0.0,1.50,26.0,1011.31,000,1009.48,8.00,0.70,93
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.1,09-25-2019,01:00:00,31.87,7.4,2.70,28.1,1011.91,020,1011.16,8.00,0.00,84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.6,09-25-2019,01:00:00,30.98,5.6,4.20,25.5,1011.68,250,1007.64,7.00,0.00,95
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.8,09-25-2019,01:00:00,29.55,0.0,0.00,27.9,1011.24,000,1010.55,8.00,0.00,79
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.8,09-25-2019,01:00:00,31.31,0.0,0.00,28.1,1011.31,000,1010.19,10.00,0.00,82
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.6,09-25-2019,01:00:00,31.00,0.0,1.00,25.8,1011.63,000,1008.68,7.00,0.00,93
