WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,AirTemperature,WindSpeed,WindDirection,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall
48331,NAN,น่าน,น่าน,18.77972,100.77778,56,09-28-2019,16:00:00,10.00,31.6,0.0,000,988.95,0.00,1011.48,26.23,21.9,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,55,09-28-2019,16:00:00,12.00,31.5,5.6,210,981.74,0.00,1011.25,25.24,21.3,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,63,09-28-2019,16:00:00,8.00,31.0,0.0,000,977.12,1.20,1012.25,28.09,23.0,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,59,09-28-2019,16:00:00,8.00,32.1,3.7,100,981.66,0.00,1010.94,28.30,23.1,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,49,09-28-2019,16:00:00,8.00,34.5,0.0,000,1003.40,0.60,1010.55,26.60,22.1,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,47,09-28-2019,16:00:00,6.00,33.4,5.6,040,991.77,0.00,1011.32,23.95,20.4,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,47,09-28-2019,16:00:00,6.00,32.7,7.4,070,982.99,0.00,1011.19,23.20,19.9,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,36,09-28-2019,16:00:00,8.00,32.8,5.6,040,992.07,0.00,1011.95,17.81,15.7,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,49,09-28-2019,16:00:00,7.00,31.5,5.6,070,990.24,0.00,1011.73,22.63,19.5,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,45,09-28-2019,16:00:00,8.00,32.0,3.7,090,992.08,0.00,1011.32,21.20,18.4,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,46,09-28-2019,16:00:00,8.00,33.5,1.9,270,995.12,0.00,1011.58,23.60,20.2,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,52,09-28-2019,16:00:00,7.00,32.0,0.0,000,994.73,0.00,1011.93,24.57,20.8,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,48,09-28-2019,16:00:00,7.00,31.8,3.7,040,984.91,0.00,1010.35,22.38,19.3,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,63,09-28-2019,16:00:00,8.00,32.9,3.7,180,1005.78,0.00,1011.48,31.36,24.8,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,60,09-28-2019,16:00:00,8.00,32.2,0.0,000,1004.54,0.00,1010.65,29.06,23.6,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,44,09-28-2019,16:00:00,12.00,34.5,0.0,000,994.48,0.00,1010.57,23.85,20.3,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,63,09-28-2019,16:00:00,10.00,31.0,3.7,180,986.28,0.00,1008.34,28.09,23.0,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,60,09-28-2019,16:00:00,6.00,32.6,5.6,120,997.26,0.00,1011.44,29.58,23.9,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,68,09-28-2019,16:00:00,8.00,30.0,0.0,000,995.26,0.00,1011.55,28.91,23.5,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,55,09-28-2019,16:00:00,10.00,33.0,3.7,180,1005.97,2.30,1011.12,27.84,22.9,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,48,09-28-2019,16:00:00,10.00,34.7,0.0,000,996.35,2.20,1009.25,26.44,22.0,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,56,09-28-2019,16:00:00,8.00,32.6,5.6,050,1001.77,0.00,1010.95,27.61,22.7,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,46,09-28-2019,16:00:00,9.00,33.2,5.6,060,990.00,0.00,1011.34,23.58,20.1,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,50,09-28-2019,16:00:00,12.00,33.0,0.0,000,992.87,0.00,1010.08,25.08,21.1,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,54,09-28-2019,16:00:00,12.00,32.6,3.7,040,994.99,0.00,1010.59,26.78,22.2,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,54,09-28-2019,16:00:00,10.00,33.2,1.9,050,991.85,0.00,1010.41,27.67,22.8,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,68,09-28-2019,16:00:00,11.00,27.2,0.0,000,960.47,0.00,1011.67,24.63,20.9,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,55,09-28-2019,16:00:00,4.00,33.5,0.0,000,1006.67,0.00,1010.56,28.56,23.3,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,69,09-28-2019,16:00:00,8.00,26.0,5.6,070,916.77,0.00,1010.88,23.14,19.8,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,49,09-28-2019,16:00:00,10.00,32.5,5.6,040,995.37,0.00,1011.13,24.16,20.5,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,55,09-28-2019,16:00:00,9.00,33.8,0.0,000,1007.00,0.00,1010.96,28.88,23.5,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,44,09-28-2019,16:00:00,10.00,33.5,3.7,020,1000.94,0.00,1011.43,22.54,19.4,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,48,09-28-2019,16:00:00,10.00,33.5,0.0,000,1009.18,0.00,1011.08,24.67,20.9,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,47,09-28-2019,16:00:00,8.00,32.4,3.7,030,990.04,0.00,1010.60,22.92,19.7,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,49,09-28-2019,16:00:00,10.00,31.9,14.8,050,993.31,0.00,1010.76,23.07,19.8,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,47,09-28-2019,16:00:00,10.00,32.7,7.4,050,994.59,0.00,1010.51,23.46,20.1,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,47,09-28-2019,16:00:00,10.00,33.0,0.0,000,996.77,0.00,1010.58,23.74,20.3,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,50,09-28-2019,16:00:00,10.00,33.0,0.0,000,996.25,0.00,1010.84,25.35,21.3,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,57,09-28-2019,16:00:00,10.00,32.5,9.3,050,996.43,0.00,1010.89,27.69,22.8,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,50,09-28-2019,16:00:00,10.00,34.1,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1007.41,0.00,1010.37,26.93,22.3,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,42,09-28-2019,16:00:00,10.00,34.4,9.3,010,1002.30,0.00,1010.09,22.86,19.6,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,50,09-28-2019,16:00:00,9.00,34.0,7.4,060,1009.13,0.00,1010.22,26.73,22.2,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,67,09-28-2019,16:00:00,9.00,31.9,3.7,100,998.05,0.00,1012.58,31.60,25.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,57,09-28-2019,16:00:00,9.00,25.7,3.7,060,876.27,0.00,1008.96,18.70,16.5,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,48,09-28-2019,16:00:00,9.00,33.4,0.0,000,1004.92,0.00,1010.70,24.75,20.9,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,44,09-28-2019,16:00:00,8.00,36.0,5.6,080,1009.51,0.00,1010.30,25.93,21.7,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,49,09-28-2019,16:00:00,10.00,33.6,11.1,120,1009.26,0.00,1009.70,25.41,21.4,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,50,09-28-2019,16:00:00,7.00,33.8,5.6,230,998.78,0.00,1009.87,26.34,21.9,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,48,09-28-2019,16:00:00,10.00,33.6,5.6,040,1009.64,0.00,1010.63,25.13,21.2,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,42,09-28-2019,16:00:00,13.00,34.1,13.0,030,1008.74,0.00,1010.53,22.58,19.4,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,49,09-28-2019,16:00:00,11.00,33.2,0.0,000,1009.79,0.00,1010.54,24.92,21.0,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,46,09-28-2019,16:00:00,8.00,33.6,9.3,100,1009.26,0.00,1009.95,24.05,20.5,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,42,09-28-2019,16:00:00,8.00,35.5,5.6,060,1008.86,0.00,1009.54,24.39,20.7,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,45,09-28-2019,16:00:00,9.00,32.5,7.4,010,990.12,0.00,1010.98,22.06,19.1,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,58,09-28-2019,16:00:00,13.00,32.0,9.3,040,994.24,0.00,1010.75,27.55,22.7,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,58,09-28-2019,16:00:00,11.00,32.2,3.7,010,995.00,0.00,1011.22,27.94,22.9,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,46,09-28-2019,16:00:00,10.00,33.4,7.4,030,989.13,0.00,1010.61,23.68,20.2,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,45,09-28-2019,16:00:00,10.00,30.5,14.8,030,967.74,0.00,1010.65,19.46,17.1,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,60,09-28-2019,16:00:00,11.00,32.2,0.0,000,990.37,0.00,1010.66,29.06,23.6,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,69,09-28-2019,16:00:00,8.00,30.3,9.3,010,991.99,0.00,1012.70,29.78,24.0,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,54,09-28-2019,16:00:00,10.00,33.3,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.49,0.00,1009.92,27.87,22.9,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,59,09-28-2019,16:00:00,11.00,33.8,0.0,000,1008.33,0.00,1009.72,31.21,24.8,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,63,09-28-2019,16:00:00,8.00,32.3,0.0,000,1005.05,15.00,1009.92,30.40,24.3,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,50,09-28-2019,16:00:00,7.00,33.6,9.3,080,1007.21,0.00,1010.45,25.95,21.7,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,54,09-28-2019,16:00:00,10.00,33.1,3.7,020,1009.49,0.00,1010.58,27.47,22.6,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,48,09-28-2019,16:00:00,10.00,34.1,5.6,170,1009.45,0.00,1009.74,25.82,21.6,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,50,09-28-2019,16:00:00,10.00,34.0,5.6,140,1008.99,0.01,1009.66,26.46,22.0,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,52,09-28-2019,16:00:00,10.00,33.5,5.6,120,1010.22,0.00,1010.71,26.87,22.3,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,50,09-28-2019,16:00:00,9.00,33.5,14.8,080,1008.60,0.01,1009.98,25.76,21.6,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,69,09-28-2019,16:00:00,6.00,31.0,5.6,130,1008.32,0.00,1009.98,30.90,24.6,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,57,09-28-2019,16:00:00,15.00,33.8,3.7,050,1003.53,0.00,1011.39,30.04,24.1,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,46,09-28-2019,16:00:00,10.00,35.2,11.1,070,1009.41,0.00,1009.69,26.03,21.7,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,55,09-28-2019,16:00:00,10.00,32.5,0.0,000,1006.59,0.50,1009.67,26.86,22.3,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,69,09-28-2019,16:00:00,8.00,31.5,16.7,300,1003.24,0.00,1010.10,31.93,25.1,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,61,09-28-2019,16:00:00,10.00,33.6,0.0,000,1004.75,18.00,1010.24,31.67,25.0,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,54,09-28-2019,16:00:00,3.00,33.8,14.8,010,1001.30,0.00,1010.43,28.59,23.3,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,59,09-28-2019,16:00:00,8.00,32.8,7.4,350,1009.99,0.00,1011.24,29.42,23.8,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,53,09-28-2019,16:00:00,11.00,33.8,11.1,030,1009.58,3.20,1010.01,28.02,23.0,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,58,09-28-2019,16:00:00,8.00,31.5,11.1,090,998.17,1.00,1010.29,26.59,22.1,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,64,09-28-2019,16:00:00,7.00,32.1,11.1,060,1010.11,0.00,1010.82,30.57,24.4,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,55,09-28-2019,16:00:00,6.00,33.0,11.1,330,1008.48,0.00,1010.88,27.84,22.9,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,66,09-28-2019,16:00:00,8.00,32.1,7.4,200,1009.68,0.00,1010.19,31.44,24.9,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,55,09-28-2019,16:00:00,12.00,32.9,3.7,190,1004.63,0.00,1009.70,27.64,22.7,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,62,09-28-2019,16:00:00,9.00,33.0,0.0,000,1009.16,0.00,1009.57,31.28,24.8,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,98,09-28-2019,16:00:00,8.00,28.0,0.0,000,1007.10,22.20,1009.87,37.18,27.7,22.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,67,09-28-2019,16:00:00,10.00,32.8,0.0,000,1010.17,0.00,1010.95,33.22,25.8,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,89,09-28-2019,16:00:00,8.00,26.5,0.0,000,1009.88,19.00,1010.34,30.97,24.6,19.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,73,09-28-2019,16:00:00,10.00,30.4,7.4,100,1010.54,0.00,1011.22,31.68,25.0,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,72,09-28-2019,16:00:00,9.00,30.5,11.1,130,1009.32,0.00,1010.83,31.31,24.8,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,87,09-28-2019,16:00:00,9.00,27.2,5.6,100,1009.68,4.40,1010.60,31.22,24.8,4.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,91,09-28-2019,16:00:00,9.00,26.5,0.0,000,1010.70,5.10,1011.39,31.52,24.9,5.10
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,91,09-28-2019,16:00:00,9.00,27.1,1.9,070,1010.77,9.60,1011.57,32.69,25.5,0.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,86,09-28-2019,16:00:00,10.00,25.4,5.6,240,1010.38,39.10,1011.02,27.89,22.9,1.40
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,94,09-28-2019,16:00:00,6.00,25.2,0.0,000,1011.29,21.20,1011.70,30.15,24.2,3.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,93,09-28-2019,16:00:00,4.00,24.8,0.0,000,1009.33,27.20,1013.60,29.16,23.6,19.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,88,09-28-2019,16:00:00,10.00,26.0,0.0,000,1008.56,1.20,1010.18,29.50,23.8,1.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,87,09-28-2019,16:00:00,10.00,28.0,0.0,000,1007.67,1.30,1011.14,32.80,25.6,0.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,86,09-28-2019,16:00:00,10.00,27.4,3.7,120,1008.92,3.10,1010.28,31.33,24.8,2.10
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,96,09-28-2019,16:00:00,8.00,23.7,0.0,000,1010.56,27.70,1011.46,28.26,23.1,26.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,92,09-28-2019,16:00:00,10.00,25.1,7.4,020,1007.07,1.50,1010.66,29.18,23.6,1.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,92,09-28-2019,16:00:00,8.00,27.0,0.0,000,1008.91,8.60,1009.35,32.77,25.6,0.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,89,09-28-2019,16:00:00,7.00,24.9,5.6,090,1009.50,8.00,1010.50,28.04,23.0,8.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,76,09-28-2019,16:00:00,10.00,29.0,11.1,050,1008.84,0.40,1009.65,30.57,24.4,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,71,09-28-2019,16:00:00,10.00,30.0,11.1,080,1007.92,0.70,1009.72,30.03,24.1,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,79,09-28-2019,16:00:00,12.00,28.4,5.6,030,1009.42,6.90,1010.17,30.51,24.4,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,71,09-28-2019,16:00:00,10.00,29.6,18.5,060,1006.24,1.20,1010.21,29.52,23.8,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,71,09-28-2019,16:00:00,10.00,31.0,5.6,300,1009.83,0.00,1010.51,31.76,25.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,76,09-28-2019,16:00:00,10.00,29.2,11.1,050,1009.36,0.60,1010.47,30.96,24.6,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,70,09-28-2019,16:00:00,12.00,30.5,5.6,050,1007.16,1.20,1010.05,30.46,24.3,0.60
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,70,09-28-2019,16:00:00,10.00,30.7,7.4,030,1008.95,0.00,1009.64,30.86,24.6,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,73,09-28-2019,16:00:00,8.00,30.2,0.0,000,1006.24,1.50,1010.33,31.27,24.8,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,62,09-28-2019,16:00:00,10.00,31.6,7.4,040,1009.15,1.00,1009.73,28.99,23.5,0.00
