WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindSpeed,AirTemperature,WindDirection,LandVisibility,VaporPressure,RelativeHumidity,Rainfall,MeanSeaLevelPressure,StationPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,21.5,07-11-2019,13:00:00,0.00,0.0,34.7,000,10.00,25.60,46,0.00,1007.33,980.53
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,21.1,07-11-2019,13:00:00,0.80,11.1,35.0,230,12.00,25.08,45,0.00,1006.95,974.34
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.2,07-11-2019,13:00:00,2.50,3.7,32.6,240,15.00,26.78,54,0.00,1007.57,989.42
48331,NAN,น่าน,น่าน,18.77972,100.77778,22.5,07-11-2019,13:00:00,0.70,0.0,34.1,000,10.00,27.21,51,0.00,1007.03,984.77
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.1,07-11-2019,13:00:00,0.00,0.0,32.5,000,12.00,28.25,58,0.00,1007.33,978.04
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.8,07-11-2019,13:00:00,0.00,0.0,34.4,000,7.00,27.81,51,0.00,1006.91,972.34
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.3,07-11-2019,13:00:00,0.00,9.3,36.2,080,17.00,28.64,48,0.00,1006.07,977.32
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.6,07-11-2019,13:00:00,0.00,0.0,33.5,000,10.00,27.43,53,0.00,1008.32,1001.16
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.7,07-11-2019,13:00:00,1.80,7.4,34.2,290,18.00,31.17,58,0.00,1007.02,987.60
48353,LOEI,เลย,เลย,17.45000,101.73333,20.4,07-11-2019,13:00:00,0.00,11.1,36.0,260,17.00,23.98,40,0.00,1006.53,978.75
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.8,07-11-2019,13:00:00,0.00,13.0,34.2,290,15.00,27.70,51,0.00,1007.59,987.89
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.2,07-11-2019,13:00:00,0.00,5.6,33.5,250,12.00,32.05,62,0.00,1007.94,986.66
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.8,07-11-2019,13:00:00,3.00,0.0,30.1,000,9.00,31.35,73,3.00,1007.95,988.65
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.2,07-11-2019,13:00:00,0.50,3.7,32.0,280,12.00,32.10,68,0.00,1008.72,992.23
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.5,07-11-2019,13:00:00,0.00,3.7,32.9,120,12.00,32.54,65,0.00,1008.49,991.40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.7,07-11-2019,13:00:00,0.00,9.3,35.1,250,12.00,27.52,49,0.00,1006.88,981.80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.8,07-11-2019,13:00:00,0.00,0.0,32.8,000,10.00,29.42,59,0.00,1009.84,1004.14
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,23.5,07-11-2019,13:00:00,0.00,9.3,33.4,300,12.00,28.92,56,0.00,1008.67,1002.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.0,07-11-2019,13:00:00,0.00,0.0,34.8,000,10.00,26.36,47,0.00,1008.50,992.46
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.1,07-11-2019,13:00:00,2.60,3.7,30.9,270,10.00,28.17,63,0.00,1008.11,986.05
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.3,07-11-2019,13:00:00,0.00,13.0,33.5,260,8.00,26.87,52,0.00,1009.37,995.26
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.2,07-11-2019,13:00:00,0.00,11.1,33.0,240,7.00,28.40,56,0.00,1008.55,992.47
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.4,07-11-2019,13:00:00,0.01,7.4,33.5,210,12.00,28.84,56,0.00,1009.08,1003.96
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.6,07-11-2019,13:00:00,0.00,0.0,35.0,000,12.00,29.05,52,0.00,1007.14,994.29
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,22.6,07-11-2019,13:00:00,0.00,1.9,33.5,060,12.00,27.43,53,0.00,1008.77,999.63
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.9,07-11-2019,13:00:00,0.00,11.1,35.3,280,10.00,26.23,46,0.00,1007.28,986.17
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,21.9,07-11-2019,13:00:00,0.00,9.3,35.0,240,12.00,26.19,47,0.00,1008.27,991.20
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.1,07-11-2019,13:00:00,0.00,3.7,32.6,270,12.00,31.90,65,0.00,1007.96,992.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,22.9,07-11-2019,13:00:00,1.80,5.6,35.0,180,10.00,27.89,50,0.00,1006.34,987.95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.3,07-11-2019,13:00:00,1.10,0.0,29.5,000,11.00,25.30,61,0.00,1010.75,959.97
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,23.7,07-11-2019,13:00:00,0.10,14.8,32.2,180,12.00,29.34,61,0.00,1009.15,1005.25
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.3,07-11-2019,13:00:00,6.50,11.1,25.8,200,6.00,25.28,76,0.01,1009.29,915.27
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,23.3,07-11-2019,13:00:00,1.60,3.7,34.5,350,8.00,28.59,52,0.00,1007.93,992.31
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.1,07-11-2019,13:00:00,0.01,5.6,34.6,220,12.00,29.96,54,0.00,1009.60,1005.65
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,21.1,07-11-2019,13:00:00,0.00,5.6,33.5,130,10.00,24.94,48,0.00,1010.38,999.90
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,21.2,07-11-2019,13:00:00,0.00,13.0,34.6,190,14.00,25.13,46,0.00,1010.05,1008.16
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.2,07-11-2019,13:00:00,0.00,13.0,35.1,240,12.00,23.63,42,0.00,1007.93,987.59
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.5,07-11-2019,13:00:00,14.40,11.1,33.8,270,10.00,27.18,52,0.00,1007.67,990.38
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,22.9,07-11-2019,13:00:00,8.00,13.0,34.0,210,10.00,27.86,52,0.00,1007.83,992.02
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.5,07-11-2019,13:00:00,0.00,11.1,33.8,300,10.00,28.88,55,0.00,1008.90,995.15
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.9,07-11-2019,13:00:00,0.00,0.0,33.8,000,10.00,31.50,60,0.00,1009.52,994.99
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.7,07-11-2019,13:00:00,0.00,7.4,34.0,220,10.00,31.04,58,0.00,1009.11,994.74
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,19.5,07-11-2019,13:00:00,0.00,0.0,35.3,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,22.65,40,0.00,1009.56,1006.61
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.5,07-11-2019,13:00:00,0.60,0.0,33.8,000,10.00,28.88,55,0.00,1009.24,1001.45
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,22.9,07-11-2019,13:00:00,0.00,14.8,33.5,230,9.00,27.99,54,0.00,1011.00,1009.91
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.2,07-11-2019,13:00:00,0.00,3.7,31.1,070,9.00,30.25,67,0.00,1007.42,992.92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.0,07-11-2019,13:00:00,0.60,5.6,24.6,260,8.00,21.90,71,0.00,1008.28,875.24
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.8,07-11-2019,13:00:00,0.00,5.6,36.2,250,10.00,29.53,49,0.00,1009.01,1003.29
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.7,07-11-2019,13:00:00,0.01,5.6,35.0,310,10.00,35.09,62,0.00,1010.50,1009.71
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.5,07-11-2019,13:00:00,0.00,18.5,31.6,210,10.00,28.99,62,0.00,1009.98,1009.54
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.1,07-11-2019,13:00:00,0.20,0.0,33.6,000,10.00,28.19,54,0.00,1010.31,999.21
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.0,07-11-2019,13:00:00,0.00,9.3,35.4,190,12.00,29.89,52,0.00,1009.61,1008.63
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,22.0,07-11-2019,13:00:00,0.00,3.7,34.0,230,10.00,26.46,50,0.00,1010.08,1008.29
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.3,07-11-2019,13:00:00,0.00,3.7,34.4,230,9.00,26.97,50,0.00,1009.64,1008.89
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.2,07-11-2019,13:00:00,0.00,14.8,33.6,160,10.00,28.47,55,0.00,1010.36,1009.67
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.1,07-11-2019,13:00:00,0.00,5.6,34.5,240,8.00,30.04,55,0.00,1010.20,1009.51
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.4,07-11-2019,13:00:00,0.00,11.1,35.0,260,12.00,27.04,48,0.00,1008.61,987.97
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.0,07-11-2019,13:00:00,0.00,18.5,34.0,250,11.00,26.46,50,0.00,1008.56,992.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,22.9,07-11-2019,13:00:00,0.00,7.4,34.2,240,14.00,27.98,52,0.00,1009.63,993.54
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.0,07-11-2019,13:00:00,0.00,0.0,34.5,000,10.00,28.02,51,0.00,1008.58,987.22
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.5,07-11-2019,13:00:00,0.00,14.8,30.7,240,14.00,25.63,58,0.00,1009.67,966.84
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.5,07-11-2019,13:00:00,0.00,11.1,34.8,210,12.00,27.20,49,0.00,1008.84,988.76
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.1,07-11-2019,13:00:00,0.00,9.3,33.5,250,10.00,29.99,58,0.00,1010.59,990.14
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.9,07-11-2019,13:00:00,0.00,14.8,32.5,200,12.00,29.66,61,0.00,1010.31,1009.89
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.0,07-11-2019,13:00:00,0.00,3.7,33.5,240,11.00,31.75,61,0.00,1010.19,1008.80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.4,07-11-2019,13:00:00,0.00,3.7,33.2,330,10.00,30.53,60,0.00,1009.84,1004.99
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,21.2,07-11-2019,13:00:00,0.00,9.3,35.5,340,12.00,25.22,44,0.00,1009.89,1006.68
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.1,07-11-2019,13:00:00,0.00,3.7,34.5,300,10.00,30.04,55,0.00,1010.48,1009.40
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.2,07-11-2019,13:00:00,0.00,11.1,33.7,180,10.00,28.39,54,0.00,1010.27,1009.97
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.4,07-11-2019,13:00:00,0.00,5.6,34.5,220,10.00,30.63,56,0.00,1009.68,1009.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,22.3,07-11-2019,13:00:00,0.00,3.7,34.2,140,10.00,26.85,50,0.00,1009.70,1009.22
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.0,07-11-2019,13:00:00,0.00,14.8,33.8,250,10.00,28.02,53,0.00,1010.30,1008.92
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,22.9,07-11-2019,13:00:00,0.00,13.0,30.5,190,10.00,27.95,64,0.00,1010.65,1008.99
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.2,07-11-2019,13:00:00,0.00,3.7,32.2,230,10.00,28.50,59,0.00,1011.77,1003.87
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,23.4,07-11-2019,13:00:00,0.00,11.1,33.5,250,10.00,28.84,56,0.00,1010.22,1009.94
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.3,07-11-2019,13:00:00,0.00,5.6,32.0,240,12.00,28.66,60,0.00,1010.42,1007.33
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,22.5,07-11-2019,13:00:00,0.00,11.1,32.0,240,12.00,27.27,57,0.00,1010.94,1004.08
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,23.8,07-11-2019,13:00:00,0.00,18.5,34.5,290,7.00,29.46,54,0.00,1010.13,1004.65
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,23.5,07-11-2019,13:00:00,0.00,5.6,32.4,240,10.00,28.89,59,0.00,1010.68,1001.50
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,22.4,07-11-2019,13:00:00,0.00,11.1,34.0,310,15.00,27.01,51,0.00,1011.08,1009.84
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.0,07-11-2019,13:00:00,0.00,14.8,35.0,170,11.00,31.71,56,0.00,1010.11,1009.69
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,20.8,07-11-2019,13:00:00,0.00,7.4,34.0,220,9.00,24.53,46,0.00,1010.10,998.08
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.3,07-11-2019,13:00:00,0.00,13.0,31.4,130,10.00,28.59,62,0.00,1010.63,1009.93
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,22.7,07-11-2019,13:00:00,0.00,14.8,34.6,180,10.00,27.65,50,0.00,1009.69,1007.31
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.5,07-11-2019,13:00:00,0.00,13.0,31.3,200,10.00,30.65,67,0.00,1011.39,1010.87
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.8,07-11-2019,13:00:00,0.00,3.7,33.7,020,12.00,29.54,56,0.00,1010.35,1005.29
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.1,07-11-2019,13:00:00,0.00,5.6,33.2,230,10.00,29.95,59,0.00,1010.99,1010.59
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.1,07-11-2019,13:00:00,0.00,5.6,32.0,210,8.00,30.08,63,0.00,1011.36,1008.63
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.7,07-11-2019,13:00:00,0.00,14.8,32.5,300,10.00,34.99,72,0.00,1009.90,1009.12
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.7,07-11-2019,13:00:00,0.00,0.0,31.9,000,8.00,33.07,70,0.00,1011.00,1010.55
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.9,07-11-2019,13:00:00,0.00,5.6,32.1,080,8.00,31.44,66,0.00,1011.20,1010.53
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,22.8,07-11-2019,13:00:00,0.00,0.0,33.2,000,10.00,27.67,54,0.00,1010.65,1009.15
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.5,07-11-2019,13:00:00,0.00,7.4,32.3,260,10.00,30.69,63,0.00,1011.90,1010.99
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.3,07-11-2019,13:00:00,0.00,9.3,31.3,150,12.00,34.16,75,0.00,1011.71,1011.03
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.1,07-11-2019,13:00:00,8.40,0.0,34.5,000,10.00,30.04,55,0.00,1010.94,1010.16
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,21.9,07-11-2019,13:00:00,0.00,0.0,35.0,000,10.00,26.19,47,0.00,1010.04,1009.42
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.3,07-11-2019,13:00:00,0.00,7.4,35.5,200,10.00,28.64,50,0.00,1010.50,1010.10
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.2,07-11-2019,13:00:00,37.70,5.6,33.5,080,7.00,30.28,59,0.00,1012.73,1008.59
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.2,07-11-2019,13:00:00,0.00,0.0,31.8,000,12.00,30.24,64,0.00,1009.38,1007.79
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.3,07-11-2019,13:00:00,0.40,7.4,34.0,320,10.00,30.46,57,0.00,1010.83,1007.42
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.3,07-11-2019,13:00:00,4.50,13.0,32.7,120,10.00,30.36,61,0.00,1010.69,1009.36
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.9,07-11-2019,13:00:00,0.00,14.8,32.0,270,10.00,31.52,66,0.00,1011.40,1010.52
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.7,07-11-2019,13:00:00,0.00,0.0,33.3,000,10.00,27.59,54,0.00,1010.88,1007.38
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,22.4,07-11-2019,13:00:00,0.00,0.0,34.0,000,10.00,27.01,51,0.00,1011.28,1010.85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.2,07-11-2019,13:00:00,13.30,0.0,26.0,000,8.00,28.44,85,6.90,1011.42,1010.42
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.4,07-11-2019,13:00:00,0.00,7.4,33.6,210,10.00,28.76,55,0.00,1011.07,1010.27
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.1,07-11-2019,13:00:00,0.00,16.7,32.4,190,10.00,31.77,65,0.00,1010.96,1009.18
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.3,07-11-2019,13:00:00,32.20,5.6,32.5,260,11.00,28.53,58,0.01,1010.95,1010.21
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.2,07-11-2019,13:00:00,5.20,13.0,31.5,200,10.00,28.51,62,0.00,1011.20,1007.25
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.1,07-11-2019,13:00:00,0.50,0.0,30.4,000,10.00,29.98,69,0.50,1011.56,1010.88
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.0,07-11-2019,13:00:00,5.40,0.0,32.2,000,10.00,29.91,62,0.00,1010.65,1009.55
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,22.8,07-11-2019,13:00:00,0.00,9.3,32.7,260,12.00,27.80,56,0.00,1011.21,1008.34
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.9,07-11-2019,13:00:00,0.00,5.6,32.0,270,10.00,31.52,66,0.00,1010.59,1009.91
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,25.4,07-11-2019,13:00:00,4.80,0.0,31.6,000,10.00,32.43,70,0.00,1011.35,1007.27
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.6,07-11-2019,13:00:00,23.20,0.0,32.5,000,12.00,27.41,56,0.00,1010.05,1009.47
