WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall24Hr,DewPoint,WindSpeed,VaporPressure,StationPressure,RelativeHumidity,WindDirection
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-16-2019,22:00:00,1014.05,25.8,6.00,4.20,24.3,1.9,30.46,995.37,92,180
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-16-2019,22:00:00,1014.88,25.0,10.00,1.60,23.5,0.0,29.00,991.77,92,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-16-2019,22:00:00,1014.96,24.5,7.00,2.40,23.0,0.0,28.11,984.66,91,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-16-2019,22:00:00,1014.60,24.0,8.00,3.00,22.8,0.0,27.76,978.58,93,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-16-2019,22:00:00,1014.34,25.0,10.00,0.00,23.2,0.0,28.48,984.29,90,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-16-2019,22:00:00,1013.43,27.5,9.00,2.70,24.2,0.0,30.15,1006.09,82,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-16-2019,22:00:00,1013.48,27.0,10.00,0.00,21.8,0.0,26.06,993.47,73,000
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-16-2019,22:00:00,1014.34,26.5,10.00,0.10,22.8,0.0,27.77,985.47,80,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-16-2019,22:00:00,1014.65,25.0,12.00,8.00,23.2,0.0,28.48,994.21,90,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-16-2019,22:00:00,1014.27,25.0,12.00,0.40,22.0,0.0,26.43,992.26,83,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-16-2019,22:00:00,1014.01,26.8,12.00,2.00,21.7,3.7,25.97,994.39,74,180
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-16-2019,22:00:00,1014.20,26.8,10.00,0.00,20.2,3.7,23.71,997.33,67,090
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-16-2019,22:00:00,1014.38,25.1,10.00,0.00,21.6,0.0,25.85,996.75,81,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-16-2019,22:00:00,1012.71,28.0,11.00,0.01,23.6,3.7,29.19,986.89,77,110
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-16-2019,22:00:00,1013.58,26.3,10.00,0.00,24.4,5.6,30.59,1007.74,89,290
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.50,10-16-2019,22:00:00,1013.57,26.0,7.00,0.50,25.0,0.0,31.65,1007.32,94,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-16-2019,22:00:00,1014.29,26.3,10.00,17.00,22.9,0.0,27.93,997.70,82,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-16-2019,22:00:00,1011.86,25.5,10.00,0.00,22.8,0.0,27.81,989.33,85,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,2.60,10-16-2019,22:00:00,1015.08,25.6,4.00,2.60,24.3,5.6,30.36,1000.52,93,080
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-16-2019,22:00:00,1015.33,24.0,7.00,0.00,22.5,0.0,27.25,998.65,91,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-16-2019,22:00:00,1013.38,27.7,10.00,0.00,24.5,5.6,30.81,1008.13,83,320
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-16-2019,22:00:00,1011.96,27.3,10.00,1.40,22.9,5.6,27.90,998.71,77,010
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.90,10-16-2019,22:00:00,1013.41,26.0,11.00,3.90,24.6,0.0,30.84,1003.99,92,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-16-2019,22:00:00,1013.58,26.1,9.00,0.60,22.7,7.4,27.58,991.69,82,350
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-16-2019,22:00:00,1013.29,26.0,10.00,3.00,24.6,0.0,30.84,995.63,92,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-16-2019,22:00:00,1012.70,26.5,10.00,0.00,22.2,3.7,26.73,996.76,77,070
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-16-2019,22:00:00,1012.51,24.7,8.00,2.10,23.4,0.0,28.72,993.38,92,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-16-2019,22:00:00,1015.17,23.2,7.00,0.00,20.6,0.0,24.23,963.11,85,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-16-2019,22:00:00,1013.09,27.0,8.00,0.40,24.8,3.7,31.38,1009.11,88,240
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-16-2019,22:00:00,1014.87,20.9,5.00,17.40,19.8,0.0,23.08,918.85,93,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-16-2019,22:00:00,1013.14,25.0,8.00,0.01,23.5,5.6,29.00,996.95,92,010
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-16-2019,22:00:00,1013.21,27.7,10.00,0.00,24.1,1.9,29.98,1009.16,81,020
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-16-2019,22:00:00,1013.60,27.2,8.00,0.00,23.1,1.9,28.24,1002.87,78,030
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-16-2019,22:00:00,1013.11,27.7,7.00,2.10,23.8,5.6,29.44,1011.17,79,360
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-16-2019,22:00:00,1012.93,27.0,10.00,0.00,22.6,3.7,27.36,991.95,77,070
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-16-2019,22:00:00,1012.63,25.9,10.00,0.00,23.1,3.7,28.26,994.81,85,350
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-16-2019,22:00:00,1012.55,26.5,10.00,0.00,23.4,9.3,28.82,996.28,83,030
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-16-2019,22:00:00,1012.62,27.5,10.00,0.00,21.3,7.4,25.40,998.53,69,060
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-16-2019,22:00:00,1013.08,26.7,7.00,0.00,21.9,0.0,26.31,998.15,75,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-16-2019,22:00:00,1012.39,28.0,10.00,0.00,22.9,11.1,27.85,997.69,74,050
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-16-2019,22:00:00,1012.95,28.9,10.00,0.00,24.9,0.0,31.49,1009.93,79,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-16-2019,22:00:00,1012.69,27.0,7.00,0.00,23.2,7.4,28.41,1004.69,80,250
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-16-2019,22:00:00,1012.41,28.0,7.00,0.00,25.1,5.6,31.95,1011.30,85,040
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-16-2019,22:00:00,1012.51,27.5,8.00,0.20,25.4,0.0,32.36,997.77,88,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-16-2019,22:00:00,1013.60,19.9,4.00,0.00,19.1,7.4,22.10,877.90,95,060
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-16-2019,22:00:00,1012.75,26.5,10.00,0.00,24.0,0.0,29.89,1006.83,86,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-16-2019,22:00:00,1011.85,29.2,10.00,0.00,25.4,1.9,32.38,1011.05,80,040
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-16-2019,22:00:00,1012.29,29.0,6.00,0.00,24.4,5.6,30.57,1011.84,76,120
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-16-2019,22:00:00,1013.10,26.0,6.00,0.00,23.4,0.0,28.70,1001.70,85,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-16-2019,22:00:00,1012.34,28.8,7.00,0.00,25.1,0.0,31.86,1011.33,80,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-16-2019,22:00:00,1012.53,28.5,8.00,0.00,23.2,3.7,28.51,1010.71,73,330
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-16-2019,22:00:00,1012.74,27.1,5.00,0.00,25.1,0.0,31.85,1011.97,89,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-16-2019,22:00:00,1011.98,29.5,10.00,0.00,23.7,9.3,29.33,1011.28,71,060
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-16-2019,22:00:00,1011.54,29.5,8.00,0.00,23.6,0.0,29.05,1010.84,70,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-16-2019,22:00:00,1013.15,28.0,10.00,0.00,23.9,0.0,29.74,991.94,79,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-16-2019,22:00:00,1012.31,27.0,8.00,0.00,23.3,0.0,28.67,995.51,80,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-16-2019,22:00:00,1012.74,26.2,8.00,0.00,24.2,5.6,30.13,996.17,89,010
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-16-2019,22:00:00,1011.27,27.0,10.00,0.00,24.1,0.0,30.02,989.32,84,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-16-2019,22:00:00,1012.72,25.1,8.00,0.00,22.0,7.4,26.35,968.97,83,070
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-16-2019,22:00:00,1012.29,27.3,8.00,1.30,24.3,0.0,30.31,991.64,84,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-16-2019,22:00:00,1014.19,25.1,10.00,0.00,24.4,7.4,30.50,993.09,96,020
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-16-2019,22:00:00,1011.93,26.7,10.00,0.10,24.5,0.0,30.81,1011.49,88,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-16-2019,22:00:00,1011.41,27.1,6.00,0.00,24.2,0.0,30.20,1009.98,84,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-16-2019,22:00:00,1011.48,26.4,8.00,0.00,25.3,0.0,32.15,1006.52,93,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-16-2019,22:00:00,1012.46,27.5,10.00,0.00,24.0,0.0,29.88,1009.15,81,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-16-2019,22:00:00,1012.37,26.6,10.00,0.00,25.6,0.0,32.82,1011.25,94,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-16-2019,22:00:00,1011.88,30.2,10.00,0.00,24.9,0.0,31.56,1011.58,74,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-16-2019,22:00:00,1011.47,29.5,10.00,0.00,24.0,0.0,29.88,1010.98,72,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-16-2019,22:00:00,1011.81,29.8,10.00,0.00,24.7,0.0,31.03,1010.41,74,000
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-16-2019,22:00:00,1013.35,26.2,10.00,0.00,24.8,0.0,31.22,1005.27,92,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-16-2019,22:00:00,1011.36,29.5,10.00,0.00,26.0,0.0,33.58,1011.07,81,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-16-2019,22:00:00,1011.64,28.0,10.00,0.00,25.1,5.6,31.95,1008.50,85,250
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-16-2019,22:00:00,1011.43,29.0,10.00,0.00,23.2,9.3,28.37,1004.50,71,060
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-16-2019,22:00:00,1011.88,27.5,8.00,4.50,25.7,0.0,32.93,1006.26,90,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-16-2019,22:00:00,1012.36,26.0,8.00,1.20,24.3,7.4,30.30,1011.09,90,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-16-2019,22:00:00,1011.44,28.1,11.00,0.00,24.4,14.8,30.48,1011.01,80,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-16-2019,22:00:00,1011.93,26.0,6.00,1.80,24.1,0.0,30.03,999.57,89,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-16-2019,22:00:00,1011.41,28.9,8.00,1.40,25.5,0.0,32.63,1010.70,82,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-16-2019,22:00:00,1011.55,26.1,10.00,1.00,24.1,3.7,29.95,1009.10,89,360
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-16-2019,22:00:00,1011.14,27.7,10.00,0.01,25.7,0.0,33.05,1010.62,89,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-16-2019,22:00:00,1011.25,26.6,6.00,0.40,24.9,0.0,31.44,1006.07,90,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-16-2019,22:00:00,1011.01,28.1,8.00,0.00,24.1,0.0,29.93,1010.60,79,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-16-2019,22:00:00,1011.42,27.5,10.00,0.00,24.2,0.0,30.15,1008.65,82,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-16-2019,22:00:00,1011.83,26.8,10.00,26.40,24.2,0.0,30.18,1011.04,86,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-16-2019,22:00:00,1010.57,27.0,7.00,5.80,24.1,5.6,30.02,1010.11,84,080
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,17.70,10-16-2019,22:00:00,1011.34,26.0,8.00,17.90,25.0,0.0,31.65,1010.65,94,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-16-2019,22:00:00,1010.21,26.8,7.00,0.80,24.5,0.0,30.72,1008.68,87,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-16-2019,22:00:00,1011.23,25.3,10.00,0.00,23.8,0.0,29.54,1010.31,92,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.01,10-16-2019,22:00:00,1010.79,27.8,10.00,0.01,25.7,0.0,32.96,1010.10,88,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-16-2019,22:00:00,1011.40,24.9,8.00,8.30,24.0,0.0,29.87,1010.59,95,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-16-2019,22:00:00,1010.94,25.7,10.00,10.40,25.1,0.0,31.90,1010.31,97,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-16-2019,22:00:00,1010.88,26.0,10.00,3.30,25.1,0.0,31.93,1010.48,95,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-16-2019,22:00:00,1012.60,24.8,6.00,12.20,24.4,0.0,30.48,1008.34,97,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-16-2019,22:00:00,1011.00,24.9,10.00,0.40,24.3,0.0,30.40,1009.38,97,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-16-2019,22:00:00,1010.64,25.5,7.00,0.00,24.8,0.0,31.25,1007.14,96,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.40,10-16-2019,22:00:00,1010.79,25.8,10.00,29.10,25.4,0.0,32.37,1009.42,97,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-16-2019,22:00:00,1011.07,24.6,12.00,10.20,24.0,0.0,29.85,1010.18,97,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-16-2019,22:00:00,1010.81,24.8,10.00,2.00,23.8,0.0,29.42,1007.21,94,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-16-2019,22:00:00,1010.80,27.3,10.00,0.40,24.9,0.0,31.41,1010.37,87,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-16-2019,22:00:00,1010.78,26.0,10.00,0.00,23.8,0.0,29.50,1009.78,88,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-16-2019,22:00:00,1011.14,27.0,10.00,0.00,22.4,9.3,27.10,1010.33,76,060
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-16-2019,22:00:00,1010.51,26.6,10.00,0.00,24.6,5.6,30.89,1008.69,89,020
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-16-2019,22:00:00,1010.61,28.6,10.00,0.70,25.0,7.4,31.74,1009.86,81,080
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-16-2019,22:00:00,1010.59,26.3,10.00,2.80,25.3,5.6,32.23,1006.58,94,270
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-16-2019,22:00:00,1009.88,26.9,10.00,0.00,24.9,0.0,31.46,1009.19,89,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.40,10-16-2019,22:00:00,1010.38,27.0,10.00,0.40,25.1,0.0,31.94,1009.26,90,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-16-2019,22:00:00,1010.73,26.9,10.00,0.00,25.6,0.0,32.86,1007.80,93,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-16-2019,22:00:00,1009.83,26.5,10.00,0.00,25.8,0.0,33.19,1009.14,96,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,10-16-2019,22:00:00,1011.00,26.7,7.00,0.00,24.2,0.0,30.26,1006.86,86,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-16-2019,22:00:00,1010.37,28.0,9.00,0.00,24.4,0.0,30.56,1009.78,81,000
