WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MinimumTemperature,WindSpeed,DewPoint,WindDirection,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall,Rainfall24Hr,LandVisibility,VaporPressure
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,986.79,07-25-2019,07:00:00,24.7,5.6,23.0,220,1008.65,25.5,86,0.00,2.80,10.00,28.07
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,988.83,07-25-2019,07:00:00,24.8,5.6,23.2,160,1008.42,25.7,86,0.00,3.40,12.00,28.42
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,992.51,07-25-2019,07:00:00,23.8,3.7,23.9,060,1009.42,24.6,96,3.00,60.00,9.00,29.59
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,991.71,07-25-2019,07:00:00,22.9,0.0,24.3,000,1009.26,25.0,96,0.80,26.40,8.00,30.32
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.68,07-25-2019,07:00:00,25.8,0.0,24.3,000,1007.53,26.0,90,0.00,3.00,11.00,30.30
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.88,07-25-2019,07:00:00,24.8,0.0,25.9,000,1008.68,27.0,94,0.00,2.50,10.00,33.34
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.19,07-25-2019,07:00:00,26.2,0.0,24.4,000,1008.40,26.4,89,0.00,3.50,10.00,30.51
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.08,07-25-2019,07:00:00,24.0,0.0,23.8,000,1009.67,25.0,93,1.90,3.50,6.00,29.52
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.66,07-25-2019,07:00:00,23.3,11.1,23.0,150,1007.20,24.0,94,1.20,12.60,10.00,28.01
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.62,07-25-2019,07:00:00,25.5,0.0,24.2,000,1009.07,26.2,89,0.00,1.60,10.00,30.13
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.54,07-25-2019,07:00:00,25.0,7.4,23.3,120,1008.02,25.5,88,0.00,2.80,7.00,28.59
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.34,07-25-2019,07:00:00,25.0,5.6,24.1,090,1008.60,25.8,90,0.00,1.20,10.00,29.93
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,994.25,07-25-2019,07:00:00,25.0,0.0,24.0,000,1007.51,25.5,92,0.50,3.90,10.00,29.91
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,998.74,07-25-2019,07:00:00,25.9,0.0,24.6,000,1008.08,26.6,89,0.01,2.20,10.00,30.89
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,987.27,07-25-2019,07:00:00,24.6,1.9,23.6,190,1009.14,25.1,92,0.30,4.40,8.00,29.18
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,991.91,07-25-2019,07:00:00,24.8,0.0,24.8,000,1009.54,25.5,96,0.30,1.30,10.00,31.25
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,992.83,07-25-2019,07:00:00,23.8,3.7,23.6,140,1008.81,24.8,93,0.00,3.60,10.00,29.16
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,988.98,07-25-2019,07:00:00,25.1,1.9,25.2,260,1007.96,25.8,97,0.10,5.30,8.00,32.09
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,959.51,07-25-2019,07:00:00,21.8,0.0,21.6,000,1011.44,22.8,93,0.00,9.50,7.00,25.76
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.30,07-25-2019,07:00:00,26.2,5.6,24.0,090,1008.27,26.6,86,0.00,0.10,7.00,29.80
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,913.45,07-25-2019,07:00:00,19.8,7.4,19.9,230,1009.14,20.2,98,0.50,5.50,4.00,23.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,993.04,07-25-2019,07:00:00,24.2,5.6,24.4,200,1009.18,24.7,98,2.90,5.90,5.00,30.56
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.71,07-25-2019,07:00:00,26.9,3.7,23.7,200,1008.74,27.3,81,0.00,0.01,10.00,29.23
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,999.59,07-25-2019,07:00:00,25.8,0.0,22.9,000,1010.33,26.3,82,0.00,1.20,8.00,27.93
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.63,07-25-2019,07:00:00,26.2,13.0,22.0,180,1009.57,26.5,77,0.00,3.60,9.00,26.47
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,988.05,07-25-2019,07:00:00,25.0,0.0,23.5,000,1009.09,25.0,92,0.00,0.80,10.00,29.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,991.37,07-25-2019,07:00:00,23.9,0.0,23.7,000,1009.21,24.6,95,1.80,10.00,8.00,29.33
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,992.72,07-25-2019,07:00:00,24.2,0.0,24.0,000,1009.04,24.7,96,0.80,12.60,8.00,29.77
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,996.47,07-25-2019,07:00:00,23.3,3.7,23.3,180,1010.68,24.3,94,0.00,48.30,10.00,28.54
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,995.86,07-25-2019,07:00:00,22.8,0.0,23.3,000,1010.89,24.0,96,0.00,25.20,8.00,28.53
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,996.01,07-25-2019,07:00:00,22.7,0.0,23.9,000,1010.86,24.5,97,0.00,16.40,6.00,29.67
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.30,07-25-2019,07:00:00,26.3,0.0,23.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.32,27.4,77,0.00,0.01,10.00,28.08
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.22,07-25-2019,07:00:00,25.2,0.0,24.1,000,1009.20,26.3,88,0.00,0.30,10.00,30.05
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.80,07-25-2019,07:00:00,25.0,0.0,24.5,000,1008.91,26.2,90,0.00,14.60,6.00,30.67
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,994.12,07-25-2019,07:00:00,23.8,0.0,25.2,000,1008.84,26.9,90,0.00,15.20,9.00,32.02
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.86,07-25-2019,07:00:00,17.7,7.4,18.6,280,1010.58,18.9,98,0.00,16.20,8.00,21.38
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.62,07-25-2019,07:00:00,24.6,11.1,24.8,220,1009.53,26.4,91,0.00,7.40,10.00,31.33
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.00,07-25-2019,07:00:00,26.3,0.0,25.9,000,1009.81,26.9,94,0.00,1.10,8.00,33.42
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.32,07-25-2019,07:00:00,27.0,3.7,25.3,210,1009.77,28.0,85,0.00,2.50,10.00,32.23
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.64,07-25-2019,07:00:00,23.4,0.0,23.1,000,1011.11,23.7,96,2.20,23.20,3.00,28.26
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.95,07-25-2019,07:00:00,26.0,5.6,21.9,240,1009.96,26.5,76,0.00,1.60,10.00,26.22
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.16,07-25-2019,07:00:00,26.0,3.7,23.6,170,1009.99,26.5,84,0.50,0.70,7.00,29.08
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.03,07-25-2019,07:00:00,23.5,0.0,21.5,000,1009.80,26.0,76,0.00,2.50,8.00,25.61
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.37,07-25-2019,07:00:00,26.6,7.4,24.9,350,1010.08,27.2,87,0.00,24.00,10.00,31.49
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.06,07-25-2019,07:00:00,25.5,0.0,25.0,000,1009.77,26.2,93,0.00,3.50,7.00,31.76
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.31,07-25-2019,07:00:00,24.4,5.6,24.2,250,1009.62,25.5,93,0.20,3.50,10.00,30.17
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,993.26,07-25-2019,07:00:00,23.0,0.0,23.3,000,1010.18,24.3,94,0.40,18.40,7.00,28.54
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,993.79,07-25-2019,07:00:00,23.0,1.9,23.6,090,1010.42,24.3,96,0.80,25.50,4.00,29.05
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,987.81,07-25-2019,07:00:00,24.0,0.0,23.5,000,1009.84,25.3,90,0.20,2.20,8.00,29.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.23,07-25-2019,07:00:00,23.0,7.4,21.7,200,1010.02,24.0,87,0.01,7.90,8.00,26.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,989.09,07-25-2019,07:00:00,24.0,0.0,23.4,000,1009.83,25.2,90,0.00,8.20,6.00,28.83
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,990.21,07-25-2019,07:00:00,24.0,11.1,24.6,180,1011.28,24.6,100,0.40,2.60,7.00,30.91
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.69,07-25-2019,07:00:00,26.3,9.3,24.1,010,1010.13,26.9,85,0.00,25.90,10.00,30.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.62,07-25-2019,07:00:00,25.0,0.0,24.8,000,1010.05,25.4,97,0.50,17.60,8.00,31.33
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.36,07-25-2019,07:00:00,24.8,0.0,24.9,000,1010.34,25.2,98,0.00,10.00,7.00,31.49
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.85,07-25-2019,07:00:00,24.0,0.0,22.3,000,1010.16,26.2,79,0.00,0.20,12.00,26.98
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.06,07-25-2019,07:00:00,25.4,0.0,24.1,000,1010.17,25.8,90,0.01,0.10,10.00,29.93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.83,07-25-2019,07:00:00,26.0,0.0,24.3,000,1010.13,27.3,84,0.00,17.60,8.00,30.31
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.25,07-25-2019,07:00:00,26.5,0.0,24.2,000,1009.94,26.8,86,0.00,3.90,10.00,30.18
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.43,07-25-2019,07:00:00,26.8,1.9,24.9,290,1009.92,26.8,90,0.00,0.30,10.00,31.55
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.73,07-25-2019,07:00:00,27.2,9.3,23.5,310,1010.14,27.9,77,0.00,0.01,10.00,29.01
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.06,07-25-2019,07:00:00,28.5,9.3,23.8,250,1009.73,29.9,70,0.40,1.20,10.00,29.55
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.96,07-25-2019,07:00:00,24.5,0.0,24.9,000,1012.05,25.2,98,0.00,6.10,10.00,31.49
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.26,07-25-2019,07:00:00,25.3,0.0,26.6,000,1009.55,28.0,92,0.00,3.50,6.00,34.81
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.94,07-25-2019,07:00:00,27.0,5.6,25.4,190,1009.07,28.0,86,0.00,0.00,10.00,32.52
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.13,07-25-2019,07:00:00,26.5,5.6,24.4,270,1010.07,28.0,81,0.00,1.20,12.00,30.56
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.71,07-25-2019,07:00:00,25.0,0.0,24.3,000,1010.35,25.5,93,0.00,2.20,9.00,30.44
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1001.61,07-25-2019,07:00:00,25.7,13.0,24.5,240,1010.92,28.1,81,1.00,1.00,7.00,30.75
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.64,07-25-2019,07:00:00,25.1,3.7,25.0,350,1010.91,25.7,96,0.00,33.00,8.00,31.63
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.67,07-25-2019,07:00:00,26.4,0.0,25.1,000,1010.10,27.2,88,0.00,34.20,11.00,31.77
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.94,07-25-2019,07:00:00,24.7,0.0,23.2,000,1010.32,25.0,90,0.00,0.50,8.00,28.48
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.36,07-25-2019,07:00:00,27.4,0.0,24.1,000,1010.07,28.0,79,0.00,0.00,10.00,30.01
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.93,07-25-2019,07:00:00,26.6,0.0,24.7,000,1010.37,28.0,82,0.01,0.40,9.00,31.11
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.57,07-25-2019,07:00:00,26.0,5.6,25.1,230,1010.09,28.0,85,0.00,10.30,10.00,31.95
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.09,07-25-2019,07:00:00,26.9,0.0,24.4,000,1010.25,27.4,84,0.00,0.20,11.00,30.50
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.68,07-25-2019,07:00:00,23.6,0.0,24.1,000,1011.10,25.0,95,0.80,37.70,7.00,30.05
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.39,07-25-2019,07:00:00,24.0,0.0,24.4,000,1011.19,24.8,97,4.20,21.50,8.00,30.48
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.13,07-25-2019,07:00:00,27.7,0.0,23.6,000,1010.92,28.0,77,0.00,0.00,10.00,29.19
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.98,07-25-2019,07:00:00,23.5,3.7,23.3,100,1011.45,24.0,96,7.00,25.40,7.00,28.53
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.11,07-25-2019,07:00:00,25.9,0.0,24.4,000,1010.79,26.3,89,0.00,0.00,8.00,30.59
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.38,07-25-2019,07:00:00,25.2,0.0,24.4,000,1010.92,25.4,94,0.00,0.00,6.00,30.52
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.53,07-25-2019,07:00:00,26.4,0.0,24.8,000,1011.45,26.5,90,0.00,0.00,10.00,31.24
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.76,07-25-2019,07:00:00,26.2,5.6,24.0,270,1011.45,27.3,82,0.00,0.20,10.00,29.77
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.95,07-25-2019,07:00:00,23.8,0.0,23.4,000,1011.76,24.0,97,0.00,0.00,8.00,28.78
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1004.23,07-25-2019,07:00:00,23.5,1.9,23.8,240,1004.86,24.1,98,0.00,14.20,9.00,29.48
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.87,07-25-2019,07:00:00,24.4,0.0,24.3,000,1011.28,25.0,96,0.00,6.50,10.00,30.32
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.29,07-25-2019,07:00:00,23.5,0.0,23.1,000,1013.57,24.0,95,0.00,0.20,5.00,28.27
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.20,07-25-2019,07:00:00,23.1,0.0,23.3,000,1011.83,23.6,98,0.00,18.80,10.00,28.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.97,07-25-2019,07:00:00,24.0,0.0,23.3,000,1011.50,24.0,96,0.00,9.60,8.00,28.53
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.16,07-25-2019,07:00:00,24.4,0.0,24.1,000,1011.53,24.4,98,0.00,4.10,7.00,30.02
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.14,07-25-2019,07:00:00,24.8,0.0,24.3,000,1011.04,25.0,96,0.00,0.00,10.00,30.32
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.68,07-25-2019,07:00:00,22.5,0.0,22.2,000,1011.29,23.4,93,0.00,5.00,10.00,26.75
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.00,07-25-2019,07:00:00,25.7,0.0,23.7,000,1011.44,25.9,88,0.00,0.00,10.00,29.31
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.87,07-25-2019,07:00:00,23.0,0.0,24.9,000,1010.87,25.3,97,0.00,0.00,10.00,31.41
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.59,07-25-2019,07:00:00,23.5,5.6,22.8,050,1011.42,24.1,92,3.00,3.00,10.00,27.68
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.33,07-25-2019,07:00:00,24.0,0.0,23.9,000,1012.16,24.5,97,0.00,0.60,4.00,29.67
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.27,07-25-2019,07:00:00,25.4,3.7,24.6,250,1012.03,26.0,92,0.00,17.10,8.00,30.84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.13,07-25-2019,07:00:00,22.2,0.0,24.7,000,1012.17,25.0,98,0.00,6.20,5.00,31.12
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.95,07-25-2019,07:00:00,24.3,0.0,24.1,000,1012.64,25.0,95,0.00,2.40,10.00,30.05
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.02,07-25-2019,07:00:00,23.7,0.0,24.6,000,1012.15,25.2,97,0.00,9.60,10.00,30.96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.99,07-25-2019,07:00:00,23.3,0.0,23.8,000,1011.95,24.2,97,0.00,7.20,10.00,29.39
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.98,07-25-2019,07:00:00,23.5,0.0,23.9,000,1011.68,24.2,98,0.00,4.40,7.00,29.66
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.21,07-25-2019,07:00:00,23.4,5.6,23.4,230,1012.39,23.8,97,0.00,40.40,6.00,28.69
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.09,07-25-2019,07:00:00,.0,0.0,22.5,000,1011.68,24.0,91,0.00,23.80,8.00,27.25
