WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,RelativeHumidity,Rainfall,VaporPressure,WindDirection,DewPoint,LandVisibility,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,978.14,07-15-2019,01:00:00,27.8,68,0.00,25.41,000,21.4,10.00,0.0,1005.49,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.43,07-15-2019,01:00:00,27.4,74,0.00,27.03,000,22.4,10.00,0.0,1004.77,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,985.82,07-15-2019,01:00:00,26.5,86,0.00,29.62,260,23.9,12.00,5.6,1004.28,0.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,981.66,07-15-2019,01:00:00,25.5,96,0.01,31.25,000,24.8,10.00,0.0,1004.49,1.90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.92,07-15-2019,01:00:00,24.4,95,0.00,28.97,000,23.5,6.00,0.0,1004.93,30.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.15,07-15-2019,01:00:00,27.3,78,0.00,28.43,000,23.2,7.00,0.0,1004.43,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.08,07-15-2019,01:00:00,28.0,70,0.00,26.54,000,22.1,12.00,0.0,1003.53,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.29,07-15-2019,01:00:00,28.2,69,0.00,26.37,000,22.0,9.00,0.0,1005.56,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,983.94,07-15-2019,01:00:00,27.7,85,0.00,31.64,000,25.0,11.00,0.0,1003.71,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,975.57,07-15-2019,01:00:00,29.0,58,0.00,23.15,270,19.9,13.00,7.4,1003.91,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,983.96,07-15-2019,01:00:00,27.7,78,0.00,28.90,220,23.5,10.00,5.6,1004.01,0.10
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.20,07-15-2019,01:00:00,26.9,91,0.00,32.30,000,25.3,10.00,0.0,1004.87,1.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,984.10,07-15-2019,01:00:00,27.7,89,0.00,33.05,000,25.7,10.00,0.0,1003.46,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,987.77,07-15-2019,01:00:00,28.5,78,0.00,30.15,090,24.2,10.00,3.7,1004.38,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.33,07-15-2019,01:00:00,26.8,90,0.00,31.55,000,24.9,10.00,0.0,1004.70,0.30
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.61,07-15-2019,01:00:00,27.0,84,0.00,30.02,000,24.1,10.00,0.0,1003.27,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.68,07-15-2019,01:00:00,28.3,68,0.00,26.29,000,21.9,10.00,0.0,1005.43,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.10,07-15-2019,01:00:00,28.5,71,0.00,27.44,280,22.6,12.00,9.3,1005.25,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.22,07-15-2019,01:00:00,28.5,62,0.00,24.07,230,20.5,8.00,5.6,1005.55,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,983.38,07-15-2019,01:00:00,24.0,93,0.00,27.76,130,22.8,10.00,3.7,1005.89,7.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.00,07-15-2019,01:00:00,27.3,73,0.00,26.59,270,22.1,7.00,5.6,1006.36,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.56,07-15-2019,01:00:00,27.8,71,0.00,26.70,000,22.2,8.00,0.0,1004.87,2.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,999.83,07-15-2019,01:00:00,26.5,84,0.00,29.08,000,23.6,10.00,0.0,1005.06,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.38,07-15-2019,01:00:00,28.1,84,0.00,31.87,000,25.1,10.00,0.0,1004.49,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.14,07-15-2019,01:00:00,28.0,70,0.00,26.54,000,22.1,10.00,0.0,1005.41,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.86,07-15-2019,01:00:00,29.2,70,0.00,28.21,220,23.1,10.00,7.4,1004.32,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.50,07-15-2019,01:00:00,30.0,65,0.00,27.55,230,22.7,10.00,7.4,1004.79,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.62,07-15-2019,01:00:00,28.0,77,0.00,29.19,000,23.6,10.00,0.0,1004.36,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.95,07-15-2019,01:00:00,29.5,71,0.00,29.33,000,23.7,10.00,0.0,1003.62,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.39,07-15-2019,01:00:00,23.7,85,0.00,25.03,000,21.1,4.00,0.0,1006.94,2.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.63,07-15-2019,01:00:00,27.0,88,0.00,31.38,000,24.8,6.00,0.0,1005.58,0.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.81,07-15-2019,01:00:00,20.4,96,0.01,23.03,240,19.8,.60,25.9,1007.26,1.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.66,07-15-2019,01:00:00,27.8,86,0.20,32.12,000,25.2,6.00,0.0,1004.56,0.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.59,07-15-2019,01:00:00,27.5,81,0.00,29.60,000,23.9,10.00,0.0,1005.61,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,996.31,07-15-2019,01:00:00,26.5,80,0.00,27.77,000,22.8,7.00,0.0,1007.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.20,07-15-2019,01:00:00,27.0,73,0.00,26.06,220,21.8,7.00,9.3,1006.13,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.43,07-15-2019,01:00:00,28.3,71,0.00,27.34,000,22.6,10.00,0.0,1005.16,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.58,07-15-2019,01:00:00,28.8,69,0.00,27.20,000,22.5,10.00,0.0,1004.08,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.18,07-15-2019,01:00:00,29.5,71,0.00,29.33,000,23.7,10.00,0.0,1004.16,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.83,07-15-2019,01:00:00,25.5,92,0.50,29.91,000,24.0,10.00,0.0,1005.91,40.50
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.10,07-15-2019,01:00:00,25.0,95,7.10,30.05,000,24.1,6.00,0.0,1007.02,11.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,990.77,07-15-2019,01:00:00,28.0,85,0.00,31.95,000,25.1,6.00,0.0,1005.36,0.01
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.58,07-15-2019,01:00:00,29.0,62,0.00,24.94,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",21.1,10.00,0.0,1005.58,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.64,07-15-2019,01:00:00,27.8,82,0.00,30.45,000,24.3,7.00,0.0,1005.55,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.14,07-15-2019,01:00:00,27.5,71,0.00,25.91,250,21.7,8.00,14.8,1006.25,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.90,07-15-2019,01:00:00,28.2,80,0.00,30.67,000,24.5,10.00,0.0,1005.51,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.95,07-15-2019,01:00:00,19.1,98,0.00,21.65,300,18.8,2.00,11.1,1007.12,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.21,07-15-2019,01:00:00,27.5,87,0.00,31.80,180,25.1,10.00,3.7,1006.07,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.03,07-15-2019,01:00:00,29.5,75,0.00,30.72,240,24.5,8.00,3.7,1006.83,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.91,07-15-2019,01:00:00,28.9,84,0.00,33.49,180,25.9,10.00,9.3,1006.36,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.92,07-15-2019,01:00:00,25.0,94,0.00,29.79,000,24.0,4.00,0.0,1008.31,2.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.81,07-15-2019,01:00:00,27.5,73,0.00,26.95,200,22.3,10.00,5.6,1006.82,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.42,07-15-2019,01:00:00,27.5,77,0.00,28.26,000,23.1,7.00,0.0,1006.24,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.94,07-15-2019,01:00:00,27.9,68,0.00,25.58,000,21.5,8.00,0.0,1006.70,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.85,07-15-2019,01:00:00,28.0,70,0.00,26.54,260,22.1,10.00,9.3,1006.55,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.80,07-15-2019,01:00:00,29.1,77,0.00,31.05,270,24.7,7.00,5.6,1006.49,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.87,07-15-2019,01:00:00,29.0,72,0.00,28.64,270,23.3,10.00,5.6,1005.85,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.95,07-15-2019,01:00:00,28.0,76,0.00,28.65,230,23.3,6.00,5.6,1006.32,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.06,07-15-2019,01:00:00,27.3,75,0.00,27.11,000,22.4,10.00,0.0,1005.87,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.13,07-15-2019,01:00:00,26.4,70,0.00,24.04,230,20.5,12.00,11.1,1006.42,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.47,07-15-2019,01:00:00,28.2,72,0.00,27.69,210,22.8,10.00,3.7,1005.92,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.06,07-15-2019,01:00:00,27.6,79,0.00,29.25,230,23.7,8.00,7.4,1006.83,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.81,07-15-2019,01:00:00,28.3,67,0.00,25.77,250,21.6,10.00,7.4,1007.24,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.88,07-15-2019,01:00:00,27.5,88,0.00,32.36,000,25.4,6.00,0.0,1006.30,1.80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.81,07-15-2019,01:00:00,27.0,88,0.00,31.38,000,24.8,8.00,0.0,1006.74,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.82,07-15-2019,01:00:00,27.6,73,0.00,27.13,000,22.4,10.00,0.0,1007.11,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.74,07-15-2019,01:00:00,26.5,83,0.00,28.82,000,23.4,10.00,0.0,1006.85,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.64,07-15-2019,01:00:00,28.9,67,0.00,26.58,230,22.1,10.00,5.6,1006.93,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.61,07-15-2019,01:00:00,29.0,75,0.00,30.01,000,24.1,10.00,0.0,1007.09,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.82,07-15-2019,01:00:00,28.8,67,0.00,26.67,260,22.1,10.00,14.8,1007.22,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.29,07-15-2019,01:00:00,26.7,86,0.00,29.99,000,24.1,10.00,0.0,1008.32,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.31,07-15-2019,01:00:00,30.0,78,0.00,33.17,270,25.8,10.00,14.8,1006.60,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.91,07-15-2019,01:00:00,29.2,70,0.00,28.21,000,23.1,10.00,0.0,1007.02,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1000.42,07-15-2019,01:00:00,29.0,68,0.00,27.03,330,22.4,10.00,7.4,1007.31,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1000.96,07-15-2019,01:00:00,27.6,84,0.00,30.89,000,24.6,8.00,0.0,1006.54,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.93,07-15-2019,01:00:00,28.0,67,0.00,25.24,300,21.3,11.00,5.6,1007.36,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.49,07-15-2019,01:00:00,24.5,87,0.00,26.59,210,22.1,8.00,3.7,1007.86,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.75,07-15-2019,01:00:00,27.5,75,0.00,27.47,000,22.6,10.00,0.0,1007.46,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.64,07-15-2019,01:00:00,29.3,67,0.00,27.32,330,22.5,10.00,14.8,1007.06,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.62,07-15-2019,01:00:00,29.7,71,0.00,29.44,290,23.8,10.00,9.3,1007.13,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.86,07-15-2019,01:00:00,27.9,82,0.00,30.64,270,24.4,10.00,3.7,1007.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.50,07-15-2019,01:00:00,28.0,85,0.00,31.95,030,25.1,7.00,7.4,1006.91,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.37,07-15-2019,01:00:00,26.8,90,0.00,31.55,000,24.9,8.00,0.0,1007.15,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.14,07-15-2019,01:00:00,27.2,78,0.00,27.98,250,22.9,10.00,9.3,1007.93,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.05,07-15-2019,01:00:00,25.1,95,0.00,30.23,090,24.2,6.00,7.4,1008.52,1.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.92,07-15-2019,01:00:00,27.0,80,0.00,28.67,000,23.3,8.00,0.0,1008.60,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.16,07-15-2019,01:00:00,26.0,84,0.00,28.18,000,23.1,6.00,0.0,1008.69,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.60,07-15-2019,01:00:00,26.0,88,0.00,29.50,000,23.8,10.00,0.0,1009.52,0.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.56,07-15-2019,01:00:00,28.1,74,0.00,28.30,000,23.1,10.00,0.0,1009.25,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.97,07-15-2019,01:00:00,23.6,95,0.00,27.58,000,22.7,7.00,0.0,1009.78,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.23,07-15-2019,01:00:00,25.8,93,0.00,31.00,000,24.6,10.00,0.0,1008.87,0.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.43,07-15-2019,01:00:00,26.1,91,0.00,30.76,000,24.5,10.00,0.0,1008.84,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.25,07-15-2019,01:00:00,23.9,97,0.00,28.61,000,23.3,5.00,0.0,1011.52,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.52,07-15-2019,01:00:00,25.0,94,0.00,29.79,000,24.0,7.00,0.0,1008.14,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.82,07-15-2019,01:00:00,24.7,96,0.00,29.77,000,24.0,7.00,0.0,1009.33,1.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.62,07-15-2019,01:00:00,27.6,83,0.00,30.61,000,24.4,8.00,0.0,1008.97,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.69,07-15-2019,01:00:00,26.1,91,0.00,30.76,000,24.5,10.00,0.0,1009.58,1.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.84,07-15-2019,01:00:00,26.5,87,0.00,30.16,000,24.2,10.00,0.0,1009.41,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.72,07-15-2019,01:00:00,27.7,79,0.00,29.44,280,23.8,10.00,3.7,1009.16,5.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.77,07-15-2019,01:00:00,29.5,71,0.00,29.33,300,23.7,10.00,7.4,1008.75,8.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.44,07-15-2019,01:00:00,29.2,78,0.00,31.53,280,24.9,10.00,14.8,1009.25,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.53,07-15-2019,01:00:00,26.5,91,0.00,31.52,000,24.9,10.00,0.0,1009.35,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.47,07-15-2019,01:00:00,25.8,85,0.00,28.08,230,23.0,10.00,5.6,1009.23,22.40
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.33,07-15-2019,01:00:00,25.1,93,0.00,29.70,000,23.9,10.00,0.0,1009.36,2.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.43,07-15-2019,01:00:00,24.7,95,0.00,29.51,000,23.8,10.00,0.0,1011.12,0.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.98,07-15-2019,01:00:00,25.8,89,0.00,29.66,000,23.9,10.00,0.0,1009.11,1.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.84,07-15-2019,01:00:00,24.0,96,0.00,28.53,000,23.3,10.00,0.0,1009.80,2.00
