WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MeanSeaLevelPressure,VaporPressure,AirTemperature,WindDirection,Rainfall24Hr,WindSpeed,Rainfall,DewPoint,StationPressure,LandVisibility,MaximumTemperature
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,84,10-06-2019,19:00:00,1008.75,30.70,27.5,000,2.50,0.0,0.00,24.5,982.99,10.00,32.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,76,10-06-2019,19:00:00,1008.48,32.92,30.3,000,0.00,0.0,0.00,25.6,1002.74,10.00,34.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,77,10-06-2019,19:00:00,1009.07,32.59,30.0,000,0.00,0.0,0.00,25.5,1002.92,7.00,34.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,61,10-06-2019,19:00:00,1009.54,25.22,29.6,000,3.80,0.0,0.00,21.2,993.20,12.00,34.7
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,80,10-06-2019,19:00:00,1008.25,28.67,27.0,000,3.50,0.0,0.00,23.3,985.91,10.00,34.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,67,10-06-2019,19:00:00,1010.15,28.26,29.8,000,0.00,0.0,0.00,23.1,995.85,6.00,32.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,81,10-06-2019,19:00:00,1010.11,30.56,28.0,000,0.00,0.0,0.00,24.4,993.73,8.00,32.9
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,73,10-06-2019,19:00:00,1008.99,30.47,29.8,000,0.00,0.0,0.00,24.4,1003.80,8.00,33.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,54,10-06-2019,19:00:00,1006.99,24.98,31.5,000,0.00,0.0,0.00,21.1,993.99,10.00,34.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,90,10-06-2019,19:00:00,1009.55,31.94,27.0,000,14.00,0.0,0.00,25.1,1000.20,10.00,32.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,75,10-06-2019,19:00:00,1009.16,29.63,28.8,000,4.00,0.0,0.00,23.9,987.56,10.00,33.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,83,10-06-2019,19:00:00,1008.51,31.79,28.2,060,7.50,5.6,0.00,25.1,991.06,7.00,32.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,73,10-06-2019,19:00:00,1008.87,28.70,28.6,010,11.00,3.7,0.00,23.4,993.09,10.00,33.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,85,10-06-2019,19:00:00,1008.40,31.25,27.5,000,7.00,0.0,0.00,24.8,989.52,8.00,32.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,80,10-06-2019,19:00:00,1010.71,26.02,25.5,000,0.00,0.0,0.00,21.7,959.27,8.00,33.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,76,10-06-2019,19:00:00,1008.65,32.09,29.9,230,0.01,3.7,0.00,25.2,1004.73,10.00,34.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,92,10-06-2019,19:00:00,1010.47,24.27,22.0,070,1.70,5.6,1.70,20.6,915.20,5.00,26.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,85,10-06-2019,19:00:00,1008.74,31.95,28.0,000,19.40,0.0,0.00,25.1,992.78,10.00,32.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,77,10-06-2019,19:00:00,1009.20,30.85,29.0,000,0.50,0.0,0.00,24.6,1005.19,8.00,33.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,81,10-06-2019,19:00:00,1009.97,32.55,29.0,000,0.00,0.0,0.00,25.5,999.34,8.00,32.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,80,10-06-2019,19:00:00,1009.73,31.98,29.0,000,0.01,0.0,0.00,25.2,1007.81,9.00,32.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,67,10-06-2019,19:00:00,1009.51,26.77,29.0,000,0.00,0.0,0.00,22.2,988.74,10.00,32.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,83,10-06-2019,19:00:00,1009.18,31.39,28.0,000,8.00,0.0,0.00,24.8,991.54,10.00,31.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,76,10-06-2019,19:00:00,1008.73,31.08,29.4,000,6.30,0.0,0.00,24.7,992.67,10.00,32.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,78,10-06-2019,19:00:00,1009.33,26.81,26.4,000,0.00,0.0,0.00,22.2,995.24,10.00,33.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,88,10-06-2019,19:00:00,1009.84,27.70,25.0,000,0.00,0.0,0.00,22.8,994.88,8.00,33.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,89,10-06-2019,19:00:00,1010.59,31.66,27.0,000,0.00,0.0,0.00,25.0,995.86,8.00,31.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,82,10-06-2019,19:00:00,1008.50,33.66,29.4,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1.70,0.0,0.00,26.0,1005.50,8.00,32.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,63,10-06-2019,19:00:00,1009.15,25.83,29.5,000,0.20,0.0,0.00,21.6,1001.25,10.00,33.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,88,10-06-2019,19:00:00,1009.93,29.50,26.0,160,0.60,7.4,0.00,23.8,1008.82,8.00,33.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,96,10-06-2019,19:00:00,1009.90,32.20,26.0,000,14.50,0.0,14.50,25.3,995.12,8.00,32.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,91,10-06-2019,19:00:00,1011.75,19.63,18.7,070,3.20,3.7,0.00,17.2,875.79,8.00,25.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,74,10-06-2019,19:00:00,1009.37,29.16,28.7,000,0.00,0.0,0.00,23.6,1003.51,10.00,33.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,84,10-06-2019,19:00:00,1009.87,30.02,27.0,000,0.00,0.0,0.00,24.1,1009.06,6.00,33.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,87,10-06-2019,19:00:00,1009.62,31.22,27.2,000,6.40,0.0,1.10,24.8,1009.17,7.00,31.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,92,10-06-2019,19:00:00,1009.65,31.79,26.5,000,3.90,0.0,0.00,25.1,998.30,5.00,33.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,74,10-06-2019,19:00:00,1009.28,29.46,29.0,170,0.00,3.7,0.00,23.8,1008.27,7.00,34.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,89,10-06-2019,19:00:00,1010.26,29.84,25.9,000,5.20,0.0,0.00,24.0,1008.42,8.00,33.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,77,10-06-2019,19:00:00,1009.30,28.45,27.6,000,0.00,0.0,0.00,23.2,1008.53,9.00,33.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,90,10-06-2019,19:00:00,1009.84,28.83,25.2,000,13.40,0.0,13.40,23.4,1009.13,8.00,32.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,81,10-06-2019,19:00:00,1009.50,28.94,27.0,060,4.30,3.7,0.00,23.5,1008.80,10.00,33.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,84,10-06-2019,19:00:00,1009.82,28.18,26.0,180,0.00,1.9,0.00,23.1,988.54,7.00,30.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,78,10-06-2019,19:00:00,1009.99,28.53,27.5,000,0.30,0.0,0.10,23.3,993.25,7.00,31.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,77,10-06-2019,19:00:00,1010.16,29.19,28.0,050,0.00,7.4,0.00,23.6,993.74,6.00,32.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,87,10-06-2019,19:00:00,1010.16,29.23,26.0,000,21.50,0.0,0.00,23.7,988.17,10.00,31.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,84,10-06-2019,19:00:00,1010.33,24.07,23.4,040,0.01,11.1,0.01,20.5,966.44,7.00,30.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,84,10-06-2019,19:00:00,1009.74,30.02,27.0,000,11.40,0.0,0.00,24.1,989.13,10.00,30.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,10-06-2019,19:00:00,1011.38,28.42,23.2,170,6.00,20.4,6.00,23.2,990.21,2.00,32.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,84,10-06-2019,19:00:00,1009.27,30.50,27.4,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.30,0.0,0.01,24.4,1008.83,10.00,32.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,90,10-06-2019,19:00:00,1009.56,30.30,26.0,000,0.00,0.0,0.00,24.3,1008.13,8.00,33.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,94,10-06-2019,19:00:00,1009.72,29.79,25.0,000,12.50,0.0,0.00,24.0,1004.74,7.00,31.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,74,10-06-2019,19:00:00,1009.31,27.31,27.7,000,0.00,0.0,0.00,22.5,1006.02,10.00,33.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,81,10-06-2019,19:00:00,1009.56,30.56,28.0,000,0.00,0.0,0.00,24.4,1008.46,10.00,33.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,93,10-06-2019,19:00:00,1009.91,30.92,25.9,000,10.80,0.0,10.80,24.6,1009.61,7.00,32.9
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,96,10-06-2019,19:00:00,1011.06,31.25,25.5,000,11.50,0.0,6.30,24.8,1010.36,8.00,32.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,93,10-06-2019,19:00:00,1009.92,30.63,25.6,000,16.40,0.0,3.40,24.4,1009.43,7.00,32.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,88,10-06-2019,19:00:00,1009.66,30.43,26.5,140,15.00,9.3,0.00,24.3,1008.25,10.00,31.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,89,10-06-2019,19:00:00,1009.52,30.97,26.5,030,26.50,22.2,0.00,24.6,1007.84,8.00,29.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,97,10-06-2019,19:00:00,1011.48,29.13,24.2,000,47.50,0.0,0.00,23.6,1003.37,10.00,32.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,89,10-06-2019,19:00:00,1009.52,30.97,26.5,000,5.50,0.0,0.00,24.6,1009.23,6.00,30.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,84,10-06-2019,19:00:00,1009.28,30.02,27.0,230,0.20,7.4,0.00,24.1,1006.14,10.00,31.7
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,91,10-06-2019,19:00:00,1009.41,30.57,26.0,000,29.60,0.0,0.00,24.4,1002.43,10.00,30.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,88,10-06-2019,19:00:00,1013.16,30.43,26.5,000,4.60,0.0,0.00,24.3,1007.52,8.00,30.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,81,10-06-2019,19:00:00,1010.23,29.04,27.2,000,0.00,0.0,0.00,23.6,1000.89,10.00,32.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,92,10-06-2019,19:00:00,1010.09,30.84,26.0,230,0.30,3.7,0.30,24.6,1008.82,8.00,32.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,74,10-06-2019,19:00:00,1008.75,30.63,29.6,000,7.90,0.0,0.00,24.4,1008.32,11.00,33.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,92,10-06-2019,19:00:00,1009.64,29.99,25.4,000,16.80,0.0,4.70,24.1,997.29,8.00,31.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,79,10-06-2019,19:00:00,1009.14,30.90,28.6,000,11.80,0.0,0.00,24.6,1008.42,8.00,29.8
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,90,10-06-2019,19:00:00,1009.79,30.30,26.0,360,145.60,5.6,0.00,24.3,1007.34,10.00,30.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,89,10-06-2019,19:00:00,1009.27,29.76,26.0,000,5.70,0.0,0.00,24.0,1008.75,10.00,31.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,92,10-06-2019,19:00:00,1009.46,30.46,25.8,030,23.10,7.4,0.30,24.3,1004.27,7.00,31.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,89,10-06-2019,19:00:00,1009.65,28.75,25.3,000,0.60,0.0,0.20,23.4,1009.24,7.00,33.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,96,10-06-2019,19:00:00,1009.64,30.32,25.0,000,0.70,0.0,0.70,24.3,1006.84,8.00,31.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,77,10-06-2019,19:00:00,1009.66,29.76,28.3,000,0.00,0.0,0.00,24.0,1008.87,10.00,35.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,83,10-06-2019,19:00:00,1009.91,29.85,27.2,070,0.20,5.6,0.00,24.0,1009.45,8.00,32.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,92,10-06-2019,19:00:00,1009.87,31.22,26.2,000,2.00,0.0,0.00,24.8,1009.18,7.00,32.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,92,10-06-2019,19:00:00,1009.52,30.46,25.8,000,1.00,0.0,1.00,24.3,1007.98,8.00,32.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,87,10-06-2019,19:00:00,1009.98,29.41,26.1,000,13.20,0.0,0.00,23.8,1009.06,10.00,30.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,87,10-06-2019,19:00:00,1010.03,31.69,27.3,000,0.00,0.0,0.00,25.0,1009.35,10.00,30.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,87,10-06-2019,19:00:00,1009.64,29.41,26.1,000,0.20,0.0,0.00,23.8,1008.84,10.00,32.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,89,10-06-2019,19:00:00,1009.79,30.59,26.3,000,0.00,0.0,0.00,24.4,1009.16,10.00,32.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,90,10-06-2019,19:00:00,1010.13,31.63,26.7,000,0.00,0.0,0.00,25.0,1009.72,10.00,31.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,94,10-06-2019,19:00:00,1011.91,33.02,26.7,000,0.10,0.0,0.00,25.7,1007.67,5.00,30.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,88,10-06-2019,19:00:00,1009.55,29.50,26.0,000,0.20,0.0,0.00,23.8,1007.94,10.00,33.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,92,10-06-2019,19:00:00,1009.83,29.36,25.2,000,0.01,0.0,0.00,23.7,1006.33,8.00,33.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,93,10-06-2019,19:00:00,1009.35,30.17,25.5,000,0.00,0.0,0.00,24.2,1007.98,7.00,32.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,74,10-06-2019,19:00:00,1008.89,29.74,29.0,000,1.60,0.0,0.00,23.9,1008.01,10.00,32.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,95,10-06-2019,19:00:00,1010.11,29.33,24.6,040,4.50,9.3,3.00,23.7,1006.51,10.00,32.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,88,10-06-2019,19:00:00,1009.49,30.43,26.5,000,8.60,0.0,8.60,24.3,1009.05,10.00,33.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,72,10-06-2019,19:00:00,1008.71,28.83,29.1,000,0.20,0.0,0.00,23.4,1007.72,10.00,32.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,80,10-06-2019,19:00:00,1009.85,28.04,26.8,100,0.40,5.6,0.00,23.0,1009.03,10.00,31.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,95,10-06-2019,19:00:00,1009.81,28.62,24.2,000,36.00,0.0,3.10,23.3,1007.98,10.00,34.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,77,10-06-2019,19:00:00,1009.60,27.62,27.0,220,0.00,3.7,0.00,22.7,1008.85,10.00,31.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,93,10-06-2019,19:00:00,1009.47,30.25,25.4,080,24.60,5.6,0.00,24.2,1005.45,10.00,33.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,89,10-06-2019,19:00:00,1011.02,30.03,26.0,000,0.00,0.0,0.00,24.1,1010.33,10.00,32.7
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,94,10-06-2019,19:00:00,1009.16,30.52,25.4,000,14.00,0.0,0.20,24.4,1008.04,10.00,32.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,96,10-06-2019,19:00:00,1009.92,31.25,25.5,000,3.60,0.0,0.00,24.8,1006.98,10.00,33.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,90,10-06-2019,19:00:00,1009.23,29.38,25.5,000,1.70,0.0,0.00,23.7,1008.53,7.00,32.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,95,10-06-2019,19:00:00,1010.36,28.27,24.0,220,4.00,9.3,4.00,23.1,1006.19,8.00,33.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,80,10-06-2019,19:00:00,1009.85,27.77,26.5,000,0.00,0.0,0.00,22.8,1009.25,10.00,32.0
