WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,VaporPressure,DewPoint,RelativeHumidity,WindSpeed,WindDirection,Rainfall,AirTemperature,Rainfall24Hr,LandVisibility
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.55,08-13-2019,13:00:00,989.31,31.47,24.9,70,3.7,270,0.00,31.0,6.30,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.70,08-13-2019,13:00:00,985.11,29.71,23.9,71,0.0,000,0.00,29.7,7.20,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1008.19,08-13-2019,13:00:00,978.43,30.84,24.6,82,0.0,000,0.00,28.0,4.00,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.79,08-13-2019,13:00:00,972.59,29.74,23.9,74,0.0,000,0.00,29.0,5.60,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1007.03,08-13-2019,13:00:00,977.60,33.53,26.0,83,5.6,180,0.00,29.2,13.20,14.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.25,08-13-2019,13:00:00,1001.01,34.34,26.4,81,0.0,000,0.01,30.0,11.30,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1007.44,08-13-2019,13:00:00,987.68,33.99,26.2,85,14.8,240,0.00,29.0,38.40,20.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.63,08-13-2019,13:00:00,979.23,29.33,23.7,71,5.6,260,0.00,29.5,5.50,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.55,08-13-2019,13:00:00,987.56,30.92,24.6,75,9.3,230,0.10,29.6,7.10,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1008.53,08-13-2019,13:00:00,986.93,33.70,26.0,84,3.7,220,0.20,29.0,11.10,9.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1007.20,08-13-2019,13:00:00,987.85,31.49,24.9,79,5.6,230,0.10,28.9,5.80,9.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.41,08-13-2019,13:00:00,990.75,32.96,25.7,85,3.7,050,0.70,28.5,15.70,9.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.50,08-13-2019,13:00:00,990.16,33.49,25.9,88,0.0,000,1.20,28.2,14.20,8.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1007.54,08-13-2019,13:00:00,981.89,32.39,25.4,83,0.0,000,0.50,28.5,8.10,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.88,08-13-2019,13:00:00,1002.16,34.74,26.6,79,3.7,200,0.00,30.6,6.30,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1008.38,08-13-2019,13:00:00,1002.25,34.47,26.4,80,7.4,150,0.00,30.2,9.10,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.69,08-13-2019,13:00:00,992.39,31.72,25.0,75,0.0,000,0.00,30.0,3.40,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.08,08-13-2019,13:00:00,984.80,33.78,26.1,92,0.0,000,2.20,27.5,14.90,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.16,08-13-2019,13:00:00,994.89,33.08,25.7,78,5.6,070,0.00,30.1,1.30,7.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.88,08-13-2019,13:00:00,991.61,33.08,25.7,81,0.0,000,0.00,29.4,3.00,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.39,08-13-2019,13:00:00,1003.21,33.08,25.7,78,7.4,180,0.00,30.1,9.30,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1007.03,08-13-2019,13:00:00,993.98,32.84,25.6,76,0.0,000,0.20,30.4,11.80,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.22,08-13-2019,13:00:00,999.01,32.93,25.7,73,11.1,140,0.00,31.0,4.20,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.19,08-13-2019,13:00:00,986.54,31.84,25.1,85,7.4,230,0.60,27.8,1.00,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.77,08-13-2019,13:00:00,990.46,34.22,26.3,78,14.8,250,0.20,30.5,0.30,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1007.02,08-13-2019,13:00:00,991.24,33.37,25.9,88,7.4,200,2.00,28.0,5.60,9.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1007.40,08-13-2019,13:00:00,988.60,32.96,25.7,85,3.7,240,0.90,28.5,1.10,7.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1007.38,08-13-2019,13:00:00,956.66,28.00,22.9,71,0.0,000,0.00,28.8,10.90,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.00,08-13-2019,13:00:00,1004.09,33.52,26.0,75,7.4,130,0.00,31.0,3.10,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1008.34,08-13-2019,13:00:00,913.91,26.67,22.1,89,0.0,000,0.50,24.1,6.10,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1008.04,08-13-2019,13:00:00,992.09,35.40,26.9,94,0.0,000,1.90,28.0,3.70,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.14,08-13-2019,13:00:00,1004.16,34.05,26.2,72,5.6,250,0.00,31.8,5.80,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.92,08-13-2019,13:00:00,998.39,31.02,24.7,66,5.6,180,0.00,31.9,1.20,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.04,08-13-2019,13:00:00,1006.14,30.03,24.1,62,14.8,180,0.00,32.4,5.80,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.33,08-13-2019,13:00:00,987.57,29.35,23.7,74,7.4,310,0.01,28.8,1.60,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.95,08-13-2019,13:00:00,990.30,32.93,25.7,90,9.3,270,1.40,27.5,1.40,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.76,08-13-2019,13:00:00,991.64,33.74,26.1,90,0.0,000,1.50,27.9,5.90,9.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.44,08-13-2019,13:00:00,993.60,30.20,24.2,65,9.3,230,0.00,31.5,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1007.64,08-13-2019,13:00:00,993.02,33.40,25.9,72,0.0,000,0.00,31.5,0.00,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.74,08-13-2019,13:00:00,994.24,32.26,25.3,71,9.3,270,0.00,31.1,0.00,9.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.61,08-13-2019,13:00:00,1004.64,32.58,25.5,67,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.01,32.5,0.20,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.25,08-13-2019,13:00:00,1000.39,31.93,25.1,72,0.0,000,0.01,30.8,0.01,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.34,08-13-2019,13:00:00,1007.25,32.07,25.2,66,11.1,260,0.00,32.4,0.00,9.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.63,08-13-2019,13:00:00,991.11,34.13,26.3,81,0.0,000,0.00,29.9,0.00,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.01,08-13-2019,13:00:00,874.89,26.01,21.7,97,3.7,280,1.80,22.2,21.60,4.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.01,08-13-2019,13:00:00,1002.24,33.72,26.1,66,0.0,000,0.00,33.3,5.80,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.88,08-13-2019,13:00:00,1008.09,31.59,25.0,60,11.1,240,0.00,33.7,0.00,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.49,08-13-2019,13:00:00,1008.05,32.10,25.2,70,13.0,210,0.00,31.3,0.00,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.77,08-13-2019,13:00:00,998.43,32.18,25.3,92,0.0,000,6.70,26.7,10.70,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.36,08-13-2019,13:00:00,1007.37,31.02,24.7,63,5.6,210,0.00,32.6,2.10,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.49,08-13-2019,13:00:00,1006.70,30.90,24.6,61,3.7,190,0.00,33.1,0.00,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.12,08-13-2019,13:00:00,1007.37,30.61,24.4,63,0.0,000,0.00,32.4,13.10,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.66,08-13-2019,13:00:00,1007.97,28.59,23.3,62,5.6,230,0.00,31.4,0.00,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.62,08-13-2019,13:00:00,1007.93,33.61,26.0,68,5.6,240,0.01,32.7,0.01,8.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1007.03,08-13-2019,13:00:00,986.38,27.81,22.8,51,7.4,290,0.00,34.4,9.40,12.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1007.57,08-13-2019,13:00:00,991.08,31.14,24.7,68,0.0,000,0.00,31.4,0.00,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1008.34,08-13-2019,13:00:00,992.14,32.35,25.4,69,3.7,270,0.00,31.7,0.01,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1006.50,08-13-2019,13:00:00,985.15,28.43,23.2,53,9.3,300,0.00,34.0,0.00,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.25,08-13-2019,13:00:00,965.28,29.77,24.0,73,18.5,250,0.00,29.3,0.00,14.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1007.03,08-13-2019,13:00:00,986.90,27.43,22.6,53,14.8,120,0.00,33.5,0.00,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.69,08-13-2019,13:00:00,989.08,34.79,26.6,78,7.4,270,0.00,30.9,0.40,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.55,08-13-2019,13:00:00,1008.13,31.64,25.0,68,20.4,180,0.00,31.5,0.40,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.67,08-13-2019,13:00:00,1007.26,33.99,26.2,85,0.0,000,5.50,29.0,7.20,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.39,08-13-2019,13:00:00,1003.53,33.70,26.0,73,0.0,000,0.00,31.5,0.01,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.29,08-13-2019,13:00:00,1005.05,31.11,24.7,64,3.7,240,0.00,32.5,0.40,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.50,08-13-2019,13:00:00,1007.41,32.00,25.2,63,7.4,260,0.00,33.2,0.50,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.44,08-13-2019,13:00:00,1008.15,29.79,24.0,63,7.4,220,0.00,32.0,0.01,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1008.24,08-13-2019,13:00:00,1007.56,29.83,24.0,62,7.4,260,0.00,32.3,0.00,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.17,08-13-2019,13:00:00,1007.69,31.35,24.8,65,7.4,240,0.00,32.2,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.29,08-13-2019,13:00:00,1006.90,31.06,24.7,67,14.8,210,0.01,31.5,0.01,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.92,08-13-2019,13:00:00,1007.25,32.46,25.4,81,20.4,220,0.00,29.1,0.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.58,08-13-2019,13:00:00,1002.61,33.16,25.8,81,0.0,000,0.90,29.3,0.90,6.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.42,08-13-2019,13:00:00,1008.14,32.58,25.5,67,13.0,240,0.00,32.5,0.00,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.69,08-13-2019,13:00:00,1005.59,33.22,25.8,74,0.0,000,0.00,31.0,13.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.08,08-13-2019,13:00:00,1002.21,32.09,25.2,73,0.0,000,0.00,30.6,3.70,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1008.80,08-13-2019,13:00:00,1003.29,31.11,24.7,64,16.7,250,0.00,32.5,0.00,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1008.83,08-13-2019,13:00:00,999.63,32.39,25.4,71,13.0,240,0.00,31.3,5.60,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.61,08-13-2019,13:00:00,1008.37,32.49,25.4,66,7.4,270,0.00,32.6,10.20,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.64,08-13-2019,13:00:00,1008.21,35.20,26.8,76,9.3,160,0.00,31.5,0.90,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.62,08-13-2019,13:00:00,996.52,30.49,24.4,66,7.4,340,0.50,31.5,0.80,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.60,08-13-2019,13:00:00,1007.90,32.58,25.5,67,5.6,290,0.00,32.5,4.60,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.27,08-13-2019,13:00:00,1006.87,29.54,23.8,61,14.8,200,0.00,32.3,0.00,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.36,08-13-2019,13:00:00,1008.85,33.09,25.7,75,11.1,260,0.00,30.8,0.00,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.72,08-13-2019,13:00:00,1003.65,28.94,23.5,61,3.7,120,0.00,32.0,0.30,15.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.37,08-13-2019,13:00:00,1008.96,34.58,26.5,86,7.4,180,2.80,29.0,5.50,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.64,08-13-2019,13:00:00,1006.87,33.37,25.9,88,0.0,000,3.00,28.0,3.60,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.09,08-13-2019,13:00:00,1008.31,29.48,23.8,66,18.5,280,0.00,31.0,1.50,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.21,08-13-2019,13:00:00,1009.75,33.33,25.9,79,5.6,240,0.00,29.8,8.30,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.35,08-13-2019,13:00:00,1009.67,28.70,23.4,85,7.4,320,4.50,26.0,6.00,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.63,08-13-2019,13:00:00,1008.09,30.84,24.6,92,5.6,280,12.60,26.0,12.60,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.71,08-13-2019,13:00:00,1009.80,30.01,24.1,79,11.1,270,0.90,28.0,1.30,9.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.55,08-13-2019,13:00:00,1008.87,31.82,25.1,58,7.4,240,0.00,34.5,0.00,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.03,08-13-2019,13:00:00,1009.25,31.44,24.9,63,3.7,170,0.00,32.8,0.01,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.12,08-13-2019,13:00:00,1008.50,25.08,21.1,45,20.4,230,0.00,35.0,0.00,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.15,08-13-2019,13:00:00,1008.76,29.22,23.7,51,7.4,190,0.00,35.5,0.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.98,08-13-2019,13:00:00,1006.85,28.72,23.4,54,11.1,230,0.00,34.0,0.00,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.77,08-13-2019,13:00:00,1008.19,25.41,21.4,52,0.0,000,0.00,32.6,0.00,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.56,08-13-2019,13:00:00,1006.14,33.58,26.0,71,0.0,000,0.20,32.0,0.20,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.40,08-13-2019,13:00:00,1008.07,30.11,24.2,60,5.6,080,0.00,33.0,0.00,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.48,08-13-2019,13:00:00,1009.60,34.16,26.3,75,5.6,270,0.00,31.3,5.40,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.03,08-13-2019,13:00:00,1006.52,29.51,23.8,62,13.0,210,0.00,32.0,0.00,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.38,08-13-2019,13:00:00,1008.95,29.62,23.9,57,0.0,000,0.00,33.6,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.76,08-13-2019,13:00:00,1008.78,34.66,26.5,78,0.0,000,0.00,30.7,30.60,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.48,08-13-2019,13:00:00,1009.67,33.10,25.7,72,11.1,260,0.00,31.5,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.72,08-13-2019,13:00:00,1007.94,31.50,24.9,60,9.3,310,0.00,33.8,0.00,14.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.39,08-13-2019,13:00:00,1008.65,30.32,24.3,65,11.1,070,0.00,31.7,0.00,12.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1009.19,08-13-2019,13:00:00,1005.28,26.18,21.8,49,11.1,240,0.00,34.0,0.00,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.62,08-13-2019,13:00:00,1008.95,29.41,23.8,57,0.0,000,0.00,33.5,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.66,08-13-2019,13:00:00,1008.57,26.68,22.2,49,0.0,000,0.00,34.4,0.00,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.64,08-13-2019,13:00:00,1006.79,29.97,24.1,52,9.3,180,0.00,35.3,0.00,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.78,08-13-2019,13:00:00,1008.11,33.75,26.1,63,0.0,000,0.00,34.0,0.00,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.33,08-13-2019,13:00:00,1005.31,28.88,23.5,51,0.0,000,0.00,35.2,0.00,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.37,08-13-2019,13:00:00,1008.79,32.12,25.2,65,11.1,050,0.00,32.7,0.00,10.00
