WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,WindDirection,RelativeHumidity,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,StationPressure,VaporPressure,MeanSeaLevelPressure
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-30-2019,22:00:00,0.0,000,93,25.5,10.00,26.6,12.70,988.76,32.54,1006.17
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.20,07-30-2019,22:00:00,0.0,000,94,26.6,8.00,27.6,7.80,980.25,34.85,1005.93
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-30-2019,22:00:00,9.3,250,68,21.9,10.00,28.3,0.00,999.61,26.29,1005.36
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-30-2019,22:00:00,0.0,000,70,22.9,10.00,29.0,0.00,1000.16,27.83,1006.30
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-30-2019,22:00:00,0.0,000,76,24.0,8.00,28.6,0.20,990.20,29.79,1006.54
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,07-30-2019,22:00:00,3.7,240,90,22.1,10.00,23.9,8.10,985.58,26.58,1008.15
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-30-2019,22:00:00,18.5,280,66,20.7,10.00,27.5,0.00,993.65,24.38,1008.03
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-30-2019,22:00:00,18.5,120,70,22.1,7.00,28.0,0.00,991.05,26.54,1007.38
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-30-2019,22:00:00,18.5,240,68,23.0,10.00,29.4,0.00,1000.67,28.04,1005.85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-30-2019,22:00:00,0.0,000,71,23.2,10.00,29.0,0.00,991.78,28.37,1004.86
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-30-2019,22:00:00,5.6,310,58,19.9,10.00,29.0,0.00,997.17,23.15,1006.43
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-30-2019,22:00:00,3.7,210,80,25.0,10.00,28.7,0.00,984.39,31.66,1005.92
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,2.10,07-30-2019,22:00:00,0.0,000,88,24.8,8.00,27.0,3.90,988.15,31.38,1005.62
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-30-2019,22:00:00,0.0,000,96,24.8,10.00,25.5,15.80,989.17,31.25,1005.05
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,07-30-2019,22:00:00,0.0,000,88,26.4,7.00,28.6,0.01,986.18,34.32,1004.92
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,2.30,07-30-2019,22:00:00,0.0,000,96,21.6,5.00,22.2,8.60,961.12,25.77,1013.24
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,07-30-2019,22:00:00,13.0,230,68,21.8,6.00,28.2,0.10,1002.23,26.11,1006.17
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-30-2019,22:00:00,5.6,200,95,19.2,2.50,20.0,2.20,913.50,22.24,1009.26
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.01,07-30-2019,22:00:00,0.0,000,94,26.9,6.00,27.9,14.80,989.80,35.48,1005.72
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-30-2019,22:00:00,11.1,240,70,23.6,10.00,29.7,0.00,1002.88,29.16,1006.87
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-30-2019,22:00:00,7.4,260,59,21.0,7.00,30.0,0.00,997.27,24.89,1007.85
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-30-2019,22:00:00,22.2,230,64,20.6,10.00,28.2,0.00,1005.66,24.31,1007.58
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-30-2019,22:00:00,3.7,320,71,23.2,10.00,29.0,0.00,985.38,28.37,1006.08
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.01,07-30-2019,22:00:00,3.7,190,95,26.3,8.00,27.2,17.60,988.12,34.31,1005.75
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.20,07-30-2019,22:00:00,0.0,000,96,26.3,8.00,27.0,13.40,989.48,34.19,1005.62
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,4.70,07-30-2019,22:00:00,9.3,170,94,23.8,10.00,24.8,12.80,992.28,29.42,1006.41
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,5.40,07-30-2019,22:00:00,5.6,170,96,23.6,9.00,24.3,24.00,991.89,29.05,1006.85
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-30-2019,22:00:00,7.4,240,90,24.7,6.00,26.4,9.00,998.35,31.05,1013.14
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-30-2019,22:00:00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",67,22.0,10.00,28.8,0.10,1003.72,26.40,1006.72
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-30-2019,22:00:00,3.7,210,65,23.2,7.00,30.6,0.00,998.13,28.42,1005.98
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-30-2019,22:00:00,16.7,250,66,22.4,8.00,29.5,0.00,1006.01,27.15,1007.11
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-30-2019,22:00:00,0.0,000,85,25.1,8.00,28.0,0.00,991.30,31.95,1005.92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-30-2019,22:00:00,7.4,290,98,19.6,7.00,19.9,0.00,874.22,22.77,1009.36
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-30-2019,22:00:00,5.6,210,60,22.2,10.00,30.9,0.00,1000.41,26.81,1006.21
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-30-2019,22:00:00,7.4,230,60,21.7,8.00,30.4,0.00,1007.00,25.88,1007.79
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-30-2019,22:00:00,9.3,240,71,24.3,10.00,30.0,0.00,1006.41,30.31,1006.85
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.50,07-30-2019,22:00:00,0.0,000,82,21.9,6.00,25.2,0.50,999.14,26.27,1010.55
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-30-2019,22:00:00,11.1,300,58,21.4,10.00,30.6,0.00,1007.01,25.45,1008.01
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-30-2019,22:00:00,3.7,230,67,22.9,8.00,29.8,0.00,1005.70,27.98,1007.51
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-30-2019,22:00:00,3.7,270,61,21.3,5.00,29.5,0.00,1007.12,25.30,1007.88
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-30-2019,22:00:00,14.8,260,59,21.4,10.00,30.3,0.00,1007.09,25.43,1007.79
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-30-2019,22:00:00,5.6,300,69,23.9,7.00,30.2,0.00,1006.47,29.58,1007.17
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-30-2019,22:00:00,0.0,000,65,23.3,10.00,30.7,0.00,985.33,28.62,1006.21
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-30-2019,22:00:00,0.0,000,79,24.2,8.00,28.2,9.20,989.71,30.12,1006.35
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-30-2019,22:00:00,0.0,000,85,24.7,7.00,27.4,7.00,990.42,31.05,1006.82
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-30-2019,22:00:00,0.0,000,67,22.3,10.00,29.1,4.00,984.74,26.95,1006.43
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-30-2019,22:00:00,7.4,200,66,20.6,10.00,27.6,0.00,964.11,24.30,1007.27
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-30-2019,22:00:00,3.7,220,78,24.2,10.00,28.5,1.00,985.69,30.15,1006.13
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.40,07-30-2019,22:00:00,7.4,250,97,24.9,8.00,25.3,9.40,987.53,31.41,1008.49
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-30-2019,22:00:00,11.1,280,61,21.5,10.00,29.8,0.00,1008.25,25.58,1008.68
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-30-2019,22:00:00,0.0,000,81,25.5,6.00,29.0,0.00,1005.86,32.55,1007.27
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-30-2019,22:00:00,0.0,000,78,24.8,8.00,29.1,0.00,1002.28,31.33,1007.18
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-30-2019,22:00:00,7.4,320,62,21.3,10.00,29.4,0.00,1005.55,25.39,1008.82
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-30-2019,22:00:00,3.7,270,69,22.3,10.00,28.5,0.00,1007.28,26.91,1008.38
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-30-2019,22:00:00,14.8,310,59,21.6,10.00,30.5,0.00,1007.75,25.80,1008.05
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-30-2019,22:00:00,0.0,000,66,23.2,10.00,30.2,0.00,1008.11,28.48,1008.59
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-30-2019,22:00:00,11.1,270,61,22.0,10.00,30.4,0.00,1006.53,26.41,1007.92
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-30-2019,22:00:00,0.0,000,71,23.2,10.00,29.0,0.00,1001.47,28.37,1009.44
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-30-2019,22:00:00,5.6,290,78,26.3,10.00,30.5,0.00,1007.99,34.22,1008.27
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-30-2019,22:00:00,9.3,270,75,24.5,10.00,29.5,0.00,1004.53,30.72,1007.64
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-30-2019,22:00:00,11.1,250,70,24.0,10.00,30.0,0.00,1001.17,29.75,1008.05
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-30-2019,22:00:00,0.0,000,81,24.9,8.00,28.5,0.01,1000.39,31.54,1005.95
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-30-2019,22:00:00,11.1,270,66,21.1,10.00,28.0,0.00,1008.07,24.99,1009.33
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-30-2019,22:00:00,0.0,000,64,21.6,11.00,29.0,0.00,1008.33,25.71,1008.76
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-30-2019,22:00:00,0.0,000,69,21.7,10.00,27.8,0.00,996.82,25.92,1009.06
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-30-2019,22:00:00,0.0,000,63,22.0,10.00,29.7,0.00,1008.29,26.46,1009.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-30-2019,22:00:00,11.1,190,67,23.8,10.00,30.6,0.00,1006.08,29.53,1008.49
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-30-2019,22:00:00,11.1,260,76,25.4,10.00,30.2,0.00,1007.75,32.42,1008.27
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-30-2019,22:00:00,3.7,260,74,24.2,10.00,29.2,0.00,1003.29,30.13,1008.41
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-30-2019,22:00:00,0.0,000,82,26.3,7.00,29.8,0.00,1007.95,34.21,1008.36
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-30-2019,22:00:00,0.0,000,88,25.9,8.00,28.0,0.00,1005.80,33.37,1008.57
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-30-2019,22:00:00,0.0,000,71,22.6,10.00,28.5,0.00,1007.22,27.44,1008.01
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-30-2019,22:00:00,5.6,300,86,26.0,6.00,28.5,0.00,1008.75,33.53,1009.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-30-2019,22:00:00,5.6,240,78,24.2,9.00,28.5,0.00,1009.40,30.15,1010.08
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.40,07-30-2019,22:00:00,0.0,000,89,24.6,8.00,26.5,1.40,1008.51,30.97,1010.04
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.30,07-30-2019,22:00:00,0.0,000,92,25.2,10.00,26.6,1.90,1010.46,31.99,1011.38
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-30-2019,22:00:00,0.0,000,79,25.5,10.00,29.5,0.00,1009.81,32.71,1010.49
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-30-2019,22:00:00,0.0,000,88,24.3,9.00,26.5,0.00,1010.56,30.43,1011.36
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-30-2019,22:00:00,1.9,300,83,23.7,10.00,26.8,0.00,1009.60,29.37,1010.23
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-30-2019,22:00:00,0.0,000,90,25.3,10.00,27.0,0.00,1009.74,32.21,1010.15
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-30-2019,22:00:00,0.0,000,81,23.9,5.00,27.4,0.00,1008.73,29.69,1012.95
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-30-2019,22:00:00,0.0,000,93,25.3,10.00,26.4,0.00,1010.73,32.15,1012.35
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-30-2019,22:00:00,0.0,000,97,24.3,7.00,24.9,11.80,1007.18,30.40,1010.69
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-30-2019,22:00:00,3.7,260,76,23.8,8.00,28.4,0.00,1009.08,29.41,1010.44
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-30-2019,22:00:00,0.0,000,78,24.5,10.00,28.7,0.00,1009.83,30.82,1010.71
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-30-2019,22:00:00,0.0,000,87,24.8,10.00,27.2,0.00,1007.78,31.22,1011.35
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-30-2019,22:00:00,0.0,000,78,24.7,10.00,29.0,0.80,1010.64,31.13,1011.07
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-30-2019,22:00:00,9.3,230,72,24.4,10.00,30.0,0.10,1009.86,30.59,1010.85
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-30-2019,22:00:00,22.2,240,79,25.4,10.00,29.4,0.00,1010.36,32.50,1011.17
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-30-2019,22:00:00,0.0,000,87,24.8,10.00,27.1,0.00,1009.27,31.30,1011.09
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-30-2019,22:00:00,9.3,200,72,23.3,10.00,28.8,0.00,1009.91,28.54,1010.66
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-30-2019,22:00:00,0.0,000,78,23.6,10.00,27.8,0.00,1007.03,29.09,1011.03
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-30-2019,22:00:00,0.0,000,81,24.4,10.00,28.0,0.00,1010.65,30.56,1011.34
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-30-2019,22:00:00,5.6,180,79,23.2,10.00,27.2,0.00,1010.28,28.51,1011.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-30-2019,22:00:00,0.0,000,80,24.7,10.00,28.4,0.00,1008.26,31.06,1011.18
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-30-2019,22:00:00,0.0,000,86,24.9,10.00,27.5,0.00,1009.81,31.52,1010.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-30-2019,22:00:00,0.0,000,81,23.9,7.00,27.5,0.00,1007.12,29.60,1011.25
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-30-2019,22:00:00,0.0,000,78,24.2,10.00,28.5,0.00,1010.18,30.15,1010.77
