WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,Rainfall24Hr,StationPressure,VaporPressure,WindDirection,DewPoint,WindSpeed,AirTemperature,RelativeHumidity,LandVisibility,Rainfall,MeanSeaLevelPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.5,07-20-2019,07:00:00,0.01,985.22,26.71,000,22.2,0.0,28.1,70,10.00,0.00,1005.98
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.0,07-20-2019,07:00:00,0.00,988.12,30.61,180,24.4,14.8,27.6,83,10.00,0.00,1005.72
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.3,07-20-2019,07:00:00,0.00,989.60,32.26,170,25.3,5.6,26.6,93,10.00,0.00,1005.76
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.2,07-20-2019,07:00:00,0.00,993.16,29.75,000,24.0,0.0,27.0,83,10.00,0.00,1007.19
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.7,07-20-2019,07:00:00,0.00,992.79,29.91,000,24.0,0.0,26.8,85,10.00,0.00,1007.64
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.2,07-20-2019,07:00:00,0.00,992.95,31.38,000,24.8,0.0,27.0,88,9.00,0.00,1007.63
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.2,07-20-2019,07:00:00,0.00,1002.22,32.58,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",25.5,0.0,26.9,92,10.00,0.00,1005.23
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.2,07-20-2019,07:00:00,0.00,998.17,28.41,000,23.2,0.0,27.0,80,10.00,0.00,1006.11
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.5,07-20-2019,07:00:00,0.00,1005.02,29.89,160,24.0,9.3,26.5,86,8.00,0.00,1006.13
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.2,07-20-2019,07:00:00,0.00,991.92,31.22,000,24.8,0.0,26.2,92,8.00,0.00,1006.64
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.9,07-20-2019,07:00:00,76.80,871.72,23.13,190,19.8,7.4,20.0,99,.05,0.00,1006.42
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.8,07-20-2019,07:00:00,0.00,1000.37,30.03,230,24.1,3.7,26.0,89,10.00,0.00,1006.26
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.0,07-20-2019,07:00:00,11.90,1006.09,32.20,000,25.3,0.0,26.0,96,9.00,0.00,1006.89
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.6,07-20-2019,07:00:00,0.00,1005.50,31.13,230,24.7,11.1,29.0,78,10.00,0.00,1005.94
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.4,07-20-2019,07:00:00,0.00,996.39,29.77,000,24.0,0.0,24.7,96,5.00,0.00,1007.79
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.0,07-20-2019,07:00:00,0.80,1005.48,31.19,210,24.7,7.4,26.9,88,10.00,0.00,1006.49
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.0,07-20-2019,07:00:00,0.00,1004.63,30.02,000,24.1,0.0,27.0,84,9.00,0.00,1006.45
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.0,07-20-2019,07:00:00,50.40,1005.60,30.02,000,24.1,0.0,27.0,84,8.00,0.00,1006.37
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.7,07-20-2019,07:00:00,0.10,1005.55,30.62,000,24.4,0.0,26.6,88,10.00,0.00,1006.25
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.1,07-20-2019,07:00:00,0.00,1005.38,32.60,000,25.5,0.0,27.9,87,7.00,0.00,1006.08
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.4,07-20-2019,07:00:00,0.10,984.98,29.57,290,23.9,5.6,28.2,77,10.00,0.00,1006.03
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.0,07-20-2019,07:00:00,0.00,989.86,31.00,000,24.6,0.0,26.8,88,7.00,0.00,1006.58
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.5,07-20-2019,07:00:00,0.00,990.49,30.19,190,24.2,5.6,25.8,91,9.00,0.00,1006.99
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.7,07-20-2019,07:00:00,0.00,983.83,30.02,000,24.1,0.0,27.0,84,10.00,0.00,1005.66
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.1,07-20-2019,07:00:00,0.00,962.27,27.52,240,22.7,14.8,26.8,78,10.00,0.00,1005.47
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.1,07-20-2019,07:00:00,0.00,985.55,29.54,000,23.8,0.0,26.6,85,10.00,0.00,1006.12
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.2,07-20-2019,07:00:00,0.00,987.04,31.55,190,24.9,7.4,26.8,90,8.00,0.00,1007.88
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.9,07-20-2019,07:00:00,0.00,1006.12,31.52,000,24.9,0.0,27.5,86,10.00,0.00,1006.55
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.5,07-20-2019,07:00:00,0.00,1004.04,31.91,000,25.1,0.0,26.7,91,8.00,0.00,1005.46
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.5,07-20-2019,07:00:00,0.00,1001.64,31.57,000,24.9,0.0,26.1,93,7.00,0.00,1006.59
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.9,07-20-2019,07:00:00,0.00,1003.18,28.74,000,23.4,0.0,27.9,76,12.00,0.00,1006.46
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.2,07-20-2019,07:00:00,0.70,1005.47,32.04,000,25.2,0.0,26.2,94,10.00,0.00,1006.58
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.3,07-20-2019,07:00:00,0.00,1006.09,31.94,000,25.1,0.0,27.0,90,10.00,0.00,1006.39
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,26.8,07-20-2019,07:00:00,0.00,1005.89,32.69,000,25.5,0.0,27.1,91,10.00,0.00,1006.58
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.1,07-20-2019,07:00:00,0.00,1005.68,32.69,000,25.5,0.0,27.1,91,10.00,0.00,1006.17
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.4,07-20-2019,07:00:00,8.20,1004.96,31.08,000,24.7,0.0,26.7,89,10.00,0.00,1006.37
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.9,07-20-2019,07:00:00,0.00,1004.60,32.26,210,25.3,18.5,29.0,81,12.00,0.00,1006.27
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.3,07-20-2019,07:00:00,0.00,1000.45,32.20,180,25.3,3.7,26.0,96,10.00,0.00,1008.49
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.7,07-20-2019,07:00:00,0.00,1005.81,33.74,150,26.1,3.7,29.3,83,10.00,0.00,1006.09
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.2,07-20-2019,07:00:00,0.00,1002.36,31.13,000,24.7,0.0,29.0,78,10.00,0.00,1005.47
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.5,07-20-2019,07:00:00,0.00,999.56,30.23,000,24.2,0.0,28.4,78,12.00,0.00,1006.47
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.9,07-20-2019,07:00:00,0.00,1001.35,33.08,000,25.7,0.0,28.0,88,8.00,0.00,1006.93
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.5,07-20-2019,07:00:00,0.00,998.06,30.87,240,24.6,13.0,28.3,80,8.00,0.00,1007.33
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.1,07-20-2019,07:00:00,4.20,1006.00,31.71,000,25.0,0.0,25.6,97,14.00,0.00,1007.27
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.8,07-20-2019,07:00:00,0.00,1006.17,27.73,250,22.8,5.6,27.5,76,11.00,0.00,1006.60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.3,07-20-2019,07:00:00,3.10,994.69,27.59,000,22.7,0.0,23.9,93,10.00,0.00,1007.08
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.2,07-20-2019,07:00:00,0.00,1006.04,29.72,000,23.9,0.0,26.7,85,10.00,0.00,1006.75
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.5,07-20-2019,07:00:00,0.00,1004.64,32.67,180,25.5,11.1,28.5,84,10.00,0.00,1007.07
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.5,07-20-2019,07:00:00,0.00,1006.56,32.55,260,25.5,9.3,29.0,81,10.00,0.00,1007.08
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.3,07-20-2019,07:00:00,0.00,1001.18,31.36,000,24.8,0.0,27.7,84,11.00,0.00,1006.32
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.0,07-20-2019,07:00:00,26.30,1006.87,34.40,000,26.4,0.0,27.8,92,7.00,0.00,1007.28
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.5,07-20-2019,07:00:00,20.00,1004.55,33.04,000,25.7,0.0,26.0,98,8.00,4.50,1007.33
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.6,07-20-2019,07:00:00,0.30,1006.26,27.36,330,22.6,1.9,27.0,77,10.00,0.00,1007.04
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.2,07-20-2019,07:00:00,105.90,1007.05,31.60,070,25.0,5.6,25.4,97,7.00,0.00,1007.51
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.3,07-20-2019,07:00:00,45.60,1006.71,30.03,000,24.1,0.0,24.7,97,6.00,0.20,1007.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.4,07-20-2019,07:00:00,98.60,1005.74,29.16,190,23.6,5.6,24.8,93,8.00,0.00,1007.28
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,07-20-2019,07:00:00,123.10,1007.20,29.49,000,23.8,0.0,24.4,97,10.00,7.30,1008.13
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.7,07-20-2019,07:00:00,0.00,1006.46,28.92,260,23.5,11.1,26.7,83,12.00,0.00,1007.14
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.9,07-20-2019,07:00:00,13.00,1007.38,29.66,000,23.9,0.0,24.2,98,7.00,0.00,1008.18
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.9,07-20-2019,07:00:00,0.90,1007.01,30.96,000,24.6,0.0,25.2,97,10.00,0.00,1007.64
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.3,07-20-2019,07:00:00,0.01,1007.44,30.42,000,24.3,0.0,25.2,95,10.00,0.00,1007.84
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.1,07-20-2019,07:00:00,0.01,1004.91,29.67,000,23.9,0.0,24.5,97,6.00,0.00,1009.17
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.0,07-20-2019,07:00:00,12.40,1006.43,30.38,000,24.3,0.0,24.6,98,4.00,0.00,1008.05
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.6,07-20-2019,07:00:00,4.00,1005.49,29.41,000,23.8,0.0,24.5,96,5.00,0.00,1009.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.7,07-20-2019,07:00:00,4.40,1006.20,30.48,000,24.4,0.0,24.8,97,8.00,0.00,1007.57
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.2,07-20-2019,07:00:00,73.40,1006.74,30.83,000,24.5,0.0,24.7,99,10.00,0.00,1007.63
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.0,07-20-2019,07:00:00,105.20,1004.15,28.95,000,23.5,0.0,23.8,98,8.00,0.00,1007.75
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.7,07-20-2019,07:00:00,10.60,1007.14,30.96,000,24.6,0.0,25.2,97,10.00,0.00,1007.57
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.0,07-20-2019,07:00:00,54.70,1006.25,30.58,000,24.4,0.0,25.0,97,8.00,0.50,1007.25
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.5,07-20-2019,07:00:00,76.20,1006.97,31.25,090,24.8,9.3,25.5,96,10.00,0.00,1007.79
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.3,07-20-2019,07:00:00,12.50,1005.89,30.56,000,24.4,0.0,24.7,98,1.50,0.00,1007.71
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.2,07-20-2019,07:00:00,0.00,1007.30,31.19,000,24.7,0.0,26.9,88,7.00,0.00,1008.05
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.1,07-20-2019,07:00:00,0.20,1004.29,31.06,000,24.7,0.0,25.4,96,3.00,0.00,1008.31
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.4,07-20-2019,07:00:00,9.40,1006.94,31.00,000,24.6,0.0,25.8,93,10.00,6.80,1007.62
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,22.5,07-20-2019,07:00:00,0.00,1006.76,31.00,000,24.6,0.0,25.8,93,10.00,0.00,1007.88
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.1,07-20-2019,07:00:00,0.00,1005.08,32.65,000,25.5,0.0,25.8,98,10.00,0.00,1008.02
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.0,07-20-2019,07:00:00,1.00,1007.33,31.41,000,24.9,0.0,25.3,97,6.00,0.00,1008.03
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.5,07-20-2019,07:00:00,1.60,1004.70,30.32,080,24.3,3.7,25.0,96,3.00,0.00,1008.85
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,.0,07-20-2019,07:00:00,10.60,1007.05,29.26,000,23.7,0.0,25.0,92,8.00,0.00,1007.64
