WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,AirTemperature,Rainfall,StationPressure,LandVisibility,WindSpeed,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,DewPoint
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,51,10-10-2019,16:00:00,140,34.0,0.00,988.40,15.00,3.7,1008.12,27.01,0.00,22.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,51,10-10-2019,16:00:00,120,33.0,0.00,986.87,12.00,3.7,1008.18,25.63,0.00,21.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,53,10-10-2019,16:00:00,170,32.5,0.00,988.87,15.00,9.3,1008.01,25.77,0.00,21.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,45,10-10-2019,16:00:00,100,33.0,0.00,991.63,12.00,3.7,1008.06,22.43,0.00,19.3
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,57,10-10-2019,16:00:00,000,32.6,0.00,991.33,12.00,0.0,1008.43,27.89,0.00,22.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,50,10-10-2019,16:00:00,060,33.5,0.00,981.60,12.00,5.6,1006.81,26.04,0.00,21.8
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,63,10-10-2019,16:00:00,130,34.0,0.00,1002.03,10.00,5.6,1007.69,33.44,0.00,25.9
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,64,10-10-2019,16:00:00,000,32.5,0.00,1000.98,8.00,0.0,1007.06,31.11,0.00,24.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,71,10-10-2019,16:00:00,000,29.0,1.30,993.14,12.00,0.0,1009.50,28.37,4.80,23.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,58,10-10-2019,16:00:00,300,32.5,0.00,983.42,10.00,7.4,1005.30,28.25,0.20,23.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,69,10-10-2019,16:00:00,000,32.3,0.00,993.72,7.00,0.0,1007.86,33.34,0.00,25.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,60,10-10-2019,16:00:00,000,32.7,0.00,991.19,8.00,0.0,1007.27,29.50,4.50,23.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,61,10-10-2019,16:00:00,110,33.4,0.00,1002.29,12.00,13.0,1007.41,31.24,0.00,24.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,85,10-10-2019,16:00:00,000,28.5,11.80,994.63,12.00,0.0,1007.77,32.96,12.20,25.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,56,10-10-2019,16:00:00,120,34.3,0.00,998.16,12.00,5.6,1007.26,30.21,0.00,24.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,53,10-10-2019,16:00:00,090,33.9,0.00,986.56,10.00,7.4,1007.78,28.23,0.00,23.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,59,10-10-2019,16:00:00,000,34.0,0.00,990.49,12.00,0.0,1007.60,31.34,0.00,24.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,56,10-10-2019,16:00:00,060,33.5,0.00,991.87,12.00,3.7,1007.37,28.84,0.00,23.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,60,10-10-2019,16:00:00,060,33.8,0.00,988.70,10.00,1.9,1007.17,31.50,0.01,24.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,60,10-10-2019,16:00:00,000,31.0,0.00,955.23,11.00,0.0,1005.51,27.00,0.00,22.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,62,10-10-2019,16:00:00,110,32.6,0.00,1003.75,10.00,3.7,1007.63,30.73,0.10,24.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,74,10-10-2019,16:00:00,020,26.2,0.00,913.98,8.00,11.1,1007.74,25.20,0.00,21.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,59,10-10-2019,16:00:00,000,33.0,0.00,992.49,15.00,0.0,1008.18,29.83,0.00,24.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,76,10-10-2019,16:00:00,150,31.6,12.30,1004.09,9.00,3.7,1008.07,35.42,13.10,26.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,64,10-10-2019,16:00:00,330,32.5,0.00,998.27,10.00,5.6,1008.77,31.11,52.80,24.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,71,10-10-2019,16:00:00,360,30.0,0.00,1006.26,10.00,5.6,1008.17,30.31,0.00,24.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,66,10-10-2019,16:00:00,000,30.3,0.00,988.20,10.00,0.0,1008.87,28.67,0.00,23.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,58,10-10-2019,16:00:00,000,32.6,0.00,990.64,10.00,0.0,1008.00,28.73,0.00,23.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,58,10-10-2019,16:00:00,000,33.0,0.00,991.85,10.00,0.0,1007.71,28.97,0.00,23.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,51,10-10-2019,16:00:00,330,33.4,0.00,993.69,10.00,3.7,1007.44,26.39,0.00,22.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,57,10-10-2019,16:00:00,000,33.4,0.00,993.72,10.00,0.0,1008.26,29.50,2.80,23.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,70,10-10-2019,16:00:00,240,32.0,2.40,994.07,10.00,3.7,1008.53,33.29,3.00,25.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,62,10-10-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.7,0.00,1005.06,10.00,0.0,1008.03,28.91,30.70,23.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,78,10-10-2019,16:00:00,000,27.4,0.00,1001.42,10.00,0.0,1009.38,28.35,5.30,23.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,69,10-10-2019,16:00:00,090,31.8,0.00,1007.10,9.00,7.4,1008.20,32.56,0.00,25.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,53,10-10-2019,16:00:00,000,30.5,0.00,994.28,8.00,0.0,1008.83,23.19,0.00,19.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,79,10-10-2019,16:00:00,050,22.8,0.40,874.90,8.00,1.9,1008.74,21.98,19.80,19.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,88,10-10-2019,16:00:00,000,26.0,0.30,1003.32,8.00,0.0,1009.23,29.50,0.50,23.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,62,10-10-2019,16:00:00,050,34.2,0.00,1006.74,12.00,5.6,1007.52,33.58,0.00,26.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,72,10-10-2019,16:00:00,210,31.7,0.00,1007.57,8.00,11.1,1008.01,33.53,0.00,26.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,83,10-10-2019,16:00:00,000,27.2,0.50,997.18,7.00,0.0,1008.49,29.85,0.50,24.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,54,10-10-2019,16:00:00,140,34.5,0.00,1006.74,10.00,3.7,1007.73,29.46,0.00,23.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,67,10-10-2019,16:00:00,080,32.4,0.00,1006.30,8.00,7.4,1008.09,32.36,0.40,25.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,51,10-10-2019,16:00:00,000,33.5,0.00,1006.74,11.00,0.0,1007.49,26.31,0.00,21.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,58,10-10-2019,16:00:00,230,33.3,0.00,1007.09,7.00,13.0,1007.78,29.58,0.00,23.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,66,10-10-2019,16:00:00,120,30.9,0.00,1007.41,10.00,5.6,1008.10,29.56,0.00,23.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,83,10-10-2019,16:00:00,000,27.5,0.20,988.14,10.00,0.0,1009.31,30.42,45.90,24.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,75,10-10-2019,16:00:00,180,29.0,0.01,992.21,9.00,5.6,1008.84,30.01,0.01,24.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,72,10-10-2019,16:00:00,180,30.5,0.00,992.91,8.00,11.1,1009.19,31.31,0.00,24.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,81,10-10-2019,16:00:00,000,28.5,0.00,987.21,6.00,0.0,1009.00,31.54,14.00,24.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,92,10-10-2019,16:00:00,100,23.9,1.00,965.83,7.00,7.4,1009.62,27.34,1.00,22.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,76,10-10-2019,16:00:00,180,28.2,0.00,988.35,10.00,3.7,1008.86,29.03,12.60,23.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,84,10-10-2019,16:00:00,010,29.4,0.00,989.51,10.00,3.7,1010.23,34.25,0.00,26.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,68,10-10-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.4,0.00,1007.92,10.00,0.0,1008.35,31.14,36.60,24.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,76,10-10-2019,16:00:00,000,29.2,0.00,1007.12,11.00,0.0,1008.53,30.96,0.00,24.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,76,10-10-2019,16:00:00,000,29.5,0.00,1004.08,8.00,0.0,1008.98,31.28,0.00,24.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,57,10-10-2019,16:00:00,130,33.9,0.00,1004.45,10.00,5.6,1007.67,30.24,63.80,24.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,55,10-10-2019,16:00:00,000,34.1,0.00,1006.68,10.00,0.0,1007.76,29.21,0.00,23.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,78,10-10-2019,16:00:00,000,28.5,7.10,1007.71,9.00,0.0,1008.01,30.42,7.20,24.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,79,10-10-2019,16:00:00,130,29.0,24.80,1007.51,8.00,3.7,1008.19,31.69,24.80,25.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,90,10-10-2019,16:00:00,000,27.5,26.60,1007.50,8.00,0.0,1007.99,33.21,26.60,25.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,66,10-10-2019,16:00:00,240,31.7,0.00,1006.52,10.00,9.3,1007.91,30.90,0.01,24.6
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,68,10-10-2019,16:00:00,210,30.8,0.00,1006.51,7.00,9.3,1008.17,30.21,0.00,24.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,73,10-10-2019,16:00:00,090,30.1,0.00,1002.29,10.00,7.4,1010.23,31.07,0.00,24.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,83,10-10-2019,16:00:00,000,30.7,5.80,1007.76,4.00,0.0,1008.04,36.47,5.80,27.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,80,10-10-2019,16:00:00,000,30.0,0.00,1005.29,10.00,0.0,1008.39,33.75,0.00,26.1
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,76,10-10-2019,16:00:00,230,30.6,0.00,1001.61,4.00,9.3,1008.48,33.26,0.00,25.8
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,75,10-10-2019,16:00:00,170,30.0,0.00,1003.90,10.00,9.3,1009.46,31.72,0.01,25.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,78,10-10-2019,16:00:00,000,30.5,0.00,1000.11,1.00,0.0,1009.34,34.22,0.00,26.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,63,10-10-2019,16:00:00,150,33.0,0.00,1008.07,14.00,11.1,1009.32,31.57,0.01,24.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,68,10-10-2019,16:00:00,150,32.5,0.00,1008.00,11.00,7.4,1008.43,33.47,0.00,25.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,65,10-10-2019,16:00:00,130,31.5,0.00,996.37,8.00,7.4,1008.47,29.92,0.00,24.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,78,10-10-2019,16:00:00,150,30.1,0.00,1008.17,7.00,11.1,1008.87,33.08,0.00,25.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,72,10-10-2019,16:00:00,240,30.9,0.00,1006.59,6.00,11.1,1009.00,32.13,6.30,25.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,78,10-10-2019,16:00:00,000,29.5,0.00,1008.66,8.00,0.0,1009.18,32.13,0.00,25.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,68,10-10-2019,16:00:00,030,29.2,0.00,1004.04,10.00,3.7,1009.16,27.67,0.50,22.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,85,10-10-2019,16:00:00,000,28.0,0.30,1008.53,8.00,0.0,1008.94,31.95,12.10,25.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,88,10-10-2019,16:00:00,000,28.0,0.00,1006.19,8.00,0.0,1008.95,33.37,3.20,25.9
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,71,10-10-2019,16:00:00,150,30.6,0.00,1008.39,10.00,7.4,1009.17,31.23,0.00,24.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,91,10-10-2019,16:00:00,080,25.1,16.20,1008.62,6.00,7.4,1009.09,28.92,16.20,23.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,71,10-10-2019,16:00:00,000,29.9,0.00,1007.87,8.00,0.0,1008.55,30.11,0.00,24.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,75,10-10-2019,16:00:00,000,29.5,0.00,1007.94,9.00,0.0,1009.46,30.72,0.40,24.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,81,10-10-2019,16:00:00,040,27.5,9.20,1008.56,10.00,3.7,1009.48,29.88,11.70,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,77,10-10-2019,16:00:00,080,28.4,0.10,1008.61,10.00,9.3,1009.30,29.96,5.40,24.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,78,10-10-2019,16:00:00,090,29.5,0.01,1008.47,8.00,5.6,1009.26,32.13,0.01,25.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,72,10-10-2019,16:00:00,090,30.6,0.00,1007.49,12.00,5.6,1008.12,31.80,0.00,25.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,78,10-10-2019,16:00:00,050,29.7,0.01,1008.25,10.00,18.5,1008.65,32.54,0.30,25.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,93,10-10-2019,16:00:00,000,27.2,1.50,1006.70,6.00,0.0,1010.92,33.46,2.40,25.9
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,76,10-10-2019,16:00:00,000,27.5,0.00,1007.20,12.00,0.0,1008.81,28.00,0.00,22.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,92,10-10-2019,16:00:00,000,26.0,1.40,1005.83,10.00,0.0,1009.33,30.84,1.40,24.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,83,10-10-2019,16:00:00,180,27.0,0.00,1006.92,10.00,3.7,1008.27,29.48,0.00,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,90,10-10-2019,16:00:00,000,27.5,0.80,1008.41,8.00,0.0,1009.30,32.93,8.40,25.7
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,72,10-10-2019,16:00:00,030,29.0,0.00,1005.22,10.00,14.8,1008.76,28.64,25.00,23.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,66,10-10-2019,16:00:00,270,31.0,0.00,1007.53,10.00,5.6,1007.96,29.48,65.00,23.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,69,10-10-2019,16:00:00,000,29.8,0.60,1007.75,10.00,0.0,1008.73,29.08,6.30,23.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,73,10-10-2019,16:00:00,000,29.4,0.00,1007.80,10.00,0.0,1008.61,29.96,16.40,24.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,91,10-10-2019,16:00:00,060,26.5,1.30,1006.51,13.00,5.6,1008.33,31.52,10.60,24.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,66,10-10-2019,16:00:00,050,30.2,0.00,1007.66,12.00,5.6,1008.40,28.20,0.00,23.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,99,10-10-2019,16:00:00,270,24.0,29.40,1005.77,.80,7.4,1009.82,29.56,30.20,23.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,72,10-10-2019,16:00:00,280,30.1,0.00,1008.16,10.00,5.6,1008.83,30.50,0.60,24.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,10-10-2019,16:00:00,240,24.1,23.60,1006.80,10.00,16.7,1007.93,29.22,35.60,23.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,97,10-10-2019,16:00:00,050,24.8,25.00,1006.64,4.00,3.7,1009.58,30.22,25.00,24.2
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,65,10-10-2019,16:00:00,000,31.7,0.00,1007.31,11.00,0.0,1007.98,30.32,8.40,24.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,63,10-10-2019,16:00:00,030,31.3,0.00,1004.02,10.00,7.4,1008.08,28.68,0.00,23.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,68,10-10-2019,16:00:00,040,30.0,0.00,1007.59,12.00,11.1,1008.18,28.91,0.00,23.5
