WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall,Rainfall24Hr,RelativeHumidity,AirTemperature,WindDirection,WindSpeed,DewPoint,VaporPressure,StationPressure
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1009.50,09-30-2019,13:00:00,4.00,0.00,0.00,52,34.0,000,0.0,22.9,27.86,1005.62
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1010.66,09-30-2019,13:00:00,4.00,0.70,0.70,89,24.8,090,5.6,22.9,27.87,916.22
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1009.30,09-30-2019,13:00:00,8.00,0.00,0.00,52,32.8,000,0.0,21.8,26.06,993.58
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1010.03,09-30-2019,13:00:00,6.00,0.00,0.00,62,33.7,350,9.3,25.3,32.18,1006.07
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1010.76,09-30-2019,13:00:00,10.00,0.00,0.00,54,33.7,020,5.6,23.0,28.11,1000.28
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.12,09-30-2019,13:00:00,11.00,0.00,0.00,55,34.2,000,0.0,23.9,29.71,1008.23
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1009.65,09-30-2019,13:00:00,7.00,0.00,0.00,52,33.6,000,0.0,22.4,27.06,989.18
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1009.27,09-30-2019,13:00:00,10.00,0.00,0.00,54,32.2,350,5.6,21.7,26.01,991.87
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1009.03,09-30-2019,13:00:00,10.00,0.00,0.00,48,33.0,320,7.4,20.6,24.28,993.16
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.32,09-30-2019,13:00:00,10.00,0.00,0.00,45,33.0,080,5.6,19.3,22.43,995.53
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.83,09-30-2019,13:00:00,9.00,0.00,0.00,49,33.0,340,3.7,20.8,24.55,995.25
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1010.01,09-30-2019,13:00:00,10.00,0.00,0.00,53,32.7,020,14.8,21.8,26.15,995.57
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1010.16,09-30-2019,13:00:00,6.00,0.00,0.01,52,35.1,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,23.8,29.55,1007.21
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1009.27,09-30-2019,13:00:00,10.00,0.00,0.00,47,34.2,000,0.0,21.4,25.46,1001.49
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.89,09-30-2019,13:00:00,8.00,0.00,0.00,56,34.1,210,3.7,24.0,29.79,1008.80
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1009.70,09-30-2019,13:00:00,8.00,0.00,0.00,64,31.8,000,0.0,24.2,30.24,995.21
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1007.75,09-30-2019,13:00:00,{'@attributes': {'Unit': 'km'}},0.00,0.00,59,26.7,340,5.6,18.0,20.65,875.63
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.74,09-30-2019,13:00:00,8.00,0.00,0.00,50,35.0,000,0.0,23.1,28.18,1004.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.87,09-30-2019,13:00:00,6.00,0.00,0.00,55,36.0,000,0.0,25.5,32.71,1009.09
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.12,09-30-2019,13:00:00,10.00,0.00,0.00,66,32.0,210,5.6,24.9,31.52,1009.68
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1010.42,09-30-2019,13:00:00,7.00,0.00,19.30,61,33.5,010,7.4,25.0,31.75,999.32
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.07,09-30-2019,13:00:00,8.00,0.00,0.00,52,34.6,210,1.9,23.4,28.80,1009.08
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.09,09-30-2019,13:00:00,7.00,0.00,0.00,56,33.6,000,0.0,23.6,29.04,1008.30
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.49,09-30-2019,13:00:00,9.00,0.00,0.00,53,34.4,000,0.0,23.3,28.67,1008.74
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.86,09-30-2019,13:00:00,5.00,0.00,0.00,60,33.1,190,3.7,24.3,30.32,1009.17
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.57,09-30-2019,13:00:00,7.00,0.00,0.00,53,35.5,230,3.7,24.5,30.70,1008.89
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1009.55,09-30-2019,13:00:00,7.00,0.00,0.00,49,33.2,050,5.6,21.0,24.92,988.77
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1009.95,09-30-2019,13:00:00,10.00,0.00,0.00,53,32.0,000,0.0,21.3,25.37,993.46
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1010.68,09-30-2019,13:00:00,9.00,0.00,0.00,54,32.2,000,0.0,21.7,26.01,994.47
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.71,09-30-2019,13:00:00,8.00,0.00,0.00,53,34.0,000,0.0,23.2,28.43,988.29
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.99,09-30-2019,13:00:00,8.00,0.00,0.00,57,31.0,060,7.4,21.3,25.39,967.18
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1009.77,09-30-2019,13:00:00,9.00,0.00,0.00,55,32.7,040,3.7,22.5,27.25,989.54
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1011.73,09-30-2019,13:00:00,8.00,0.00,0.00,61,31.4,350,5.6,23.0,28.04,991.11
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.42,09-30-2019,13:00:00,9.00,0.00,0.00,63,32.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,24.7,31.15,1008.99
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.64,09-30-2019,13:00:00,11.00,0.00,0.00,56,34.2,000,0.0,24.3,30.29,1008.25
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.59,09-30-2019,13:00:00,9.00,0.00,0.00,58,34.2,030,3.7,24.7,31.17,1004.76
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.67,09-30-2019,13:00:00,7.00,0.00,0.00,47,35.6,280,7.4,22.6,27.40,1006.46
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.03,09-30-2019,13:00:00,10.00,0.00,0.00,53,34.5,000,0.0,23.5,28.88,1008.94
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.78,09-30-2019,13:00:00,10.00,0.00,0.00,63,33.1,170,7.4,25.2,32.08,1009.48
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.58,09-30-2019,13:00:00,10.00,0.00,0.00,63,32.8,180,7.4,24.7,31.15,1008.90
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.27,09-30-2019,13:00:00,7.00,0.00,0.00,59,34.0,120,1.9,24.8,31.34,1008.79
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.64,09-30-2019,13:00:00,8.00,0.00,0.00,56,33.7,360,5.6,23.7,29.25,1008.26
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1010.02,09-30-2019,13:00:00,3.00,0.00,0.00,78,30.5,200,9.3,26.3,34.22,1008.36
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1011.19,09-30-2019,13:00:00,12.00,0.00,0.00,48,34.8,050,3.7,22.3,26.92,1003.35
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.69,09-30-2019,13:00:00,6.00,0.00,0.00,63,33.5,280,13.0,25.5,32.65,1009.41
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.94,09-30-2019,13:00:00,12.00,0.00,0.00,67,31.5,270,5.6,24.7,31.06,1006.85
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1010.24,09-30-2019,13:00:00,8.00,0.00,0.00,75,31.0,270,13.0,26.0,33.52,1003.37
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1010.24,09-30-2019,13:00:00,7.00,0.00,0.00,56,34.0,300,5.6,24.0,29.87,1004.75
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1011.01,09-30-2019,13:00:00,2.00,0.00,0.00,63,35.0,300,14.8,26.9,35.40,1001.91
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.94,09-30-2019,13:00:00,7.00,0.00,0.00,55,33.6,000,0.0,23.2,28.47,1009.70
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.99,09-30-2019,13:00:00,8.00,0.00,0.00,60,35.0,130,13.0,26.0,33.54,1009.57
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1010.00,09-30-2019,13:00:00,7.00,0.00,0.00,55,33.0,000,0.0,22.9,27.84,997.94
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.19,09-30-2019,13:00:00,6.00,0.00,0.00,68,32.1,100,13.0,25.3,32.31,1009.49
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.02,09-30-2019,13:00:00,5.00,0.00,0.00,61,33.6,180,11.1,25.0,31.67,1008.63
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.98,09-30-2019,13:00:00,7.00,0.00,0.00,72,31.4,230,11.1,25.8,33.19,1009.47
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.75,09-30-2019,13:00:00,9.00,0.00,0.00,63,33.0,110,1.9,25.1,31.87,1004.68
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.68,09-30-2019,13:00:00,9.00,0.00,1.20,64,33.6,220,7.4,25.8,33.17,1010.27
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.05,09-30-2019,13:00:00,8.00,0.00,0.00,80,30.0,000,0.0,26.1,33.75,1007.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.91,09-30-2019,13:00:00,6.00,0.00,0.00,68,33.5,130,11.1,26.7,35.08,1009.14
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.11,09-30-2019,13:00:00,8.00,0.00,0.00,70,33.0,290,7.4,26.8,35.19,1009.66
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.34,09-30-2019,13:00:00,10.00,0.00,0.00,53,34.2,100,5.6,23.1,28.26,1009.67
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.24,09-30-2019,13:00:00,9.00,0.00,0.00,50,34.2,090,7.4,22.3,26.85,1008.74
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.78,09-30-2019,13:00:00,9.00,0.00,0.00,63,32.6,260,7.4,24.7,31.02,1009.88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.26,09-30-2019,13:00:00,10.00,0.00,0.00,76,30.4,140,9.3,25.6,32.84,1010.58
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.32,09-30-2019,13:00:00,10.00,0.00,0.00,59,33.5,330,5.6,24.2,30.28,1009.54
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.59,09-30-2019,13:00:00,10.00,0.00,0.00,73,32.0,050,9.3,26.4,34.49,1009.96
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.42,09-30-2019,13:00:00,10.00,0.00,0.00,69,33.1,000,0.0,26.7,35.10,1010.03
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.63,09-30-2019,13:00:00,6.00,0.00,0.00,66,32.0,000,0.0,24.9,31.52,1008.47
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.21,09-30-2019,13:00:00,10.00,0.00,0.00,52,32.7,030,11.1,21.5,25.60,1008.62
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.14,09-30-2019,13:00:00,10.00,0.00,0.00,59,34.0,020,5.6,24.8,31.34,1006.73
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.99,09-30-2019,13:00:00,10.00,0.00,1.40,73,30.9,080,3.7,25.5,32.72,1009.65
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.32,09-30-2019,13:00:00,10.00,0.00,11.50,72,31.0,240,9.3,25.4,32.34,1010.44
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.99,09-30-2019,13:00:00,10.00,0.00,4.40,58,33.2,000,0.0,23.7,29.37,1006.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.70,09-30-2019,13:00:00,10.00,0.00,21.80,66,33.0,000,0.0,25.7,33.06,1010.27
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.01,09-30-2019,13:00:00,10.00,0.00,23.60,69,31.0,240,11.1,24.6,30.90,1010.03
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.11,09-30-2019,13:00:00,10.00,0.00,0.00,72,31.6,210,9.3,25.9,33.32,1010.30
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.14,09-30-2019,13:00:00,6.00,0.10,0.10,63,32.9,060,9.3,24.8,31.36,1008.36
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.64,09-30-2019,13:00:00,12.00,0.00,0.00,70,31.0,220,3.7,24.9,31.47,1009.90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.25,09-30-2019,13:00:00,10.00,0.00,0.00,57,33.2,190,7.4,23.6,29.09,1006.33
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.09,09-30-2019,13:00:00,10.00,14.50,15.20,80,30.6,270,7.4,26.8,35.34,1010.41
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.86,09-30-2019,13:00:00,10.00,0.00,0.00,62,32.5,000,0.0,24.4,30.53,1008.77
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.33,09-30-2019,13:00:00,12.00,0.00,0.00,61,34.0,090,5.6,25.4,32.53,1007.47
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.68,09-30-2019,13:00:00,12.00,0.00,0.00,58,33.4,090,5.6,24.1,30.07,1009.01
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.88,09-30-2019,13:00:00,10.00,0.00,2.70,59,32.9,230,7.4,23.7,29.33,1006.82
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.59,09-30-2019,13:00:00,10.00,0.00,0.80,68,31.0,120,9.3,24.3,30.33,1010.01
