WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,WindDirection,Rainfall24Hr,LandVisibility,AirTemperature,MeanSeaLevelPressure,VaporPressure,Rainfall,DewPoint,RelativeHumidity
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,09-15-2019,16:00:00,988.49,000,0.50,8.00,31.0,1004.95,32.34,0.50,25.4,72
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.6,09-15-2019,16:00:00,989.16,090,11.40,14.00,31.5,1005.32,31.93,0.00,25.1,69
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.3,09-15-2019,16:00:00,982.73,090,3.00,10.00,32.0,1004.17,29.22,0.00,23.7,61
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,09-15-2019,16:00:00,961.46,040,15.30,15.00,31.4,1003.96,26.40,0.60,22.0,57
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,09-15-2019,16:00:00,984.52,070,0.40,10.00,31.0,1004.77,29.48,0.40,23.8,66
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,3.7,09-15-2019,16:00:00,985.83,060,2.20,10.00,25.5,1006.74,32.62,2.20,25.5,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,14.8,09-15-2019,16:00:00,1003.67,190,6.00,10.00,30.6,1004.09,33.85,0.00,26.1,77
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-15-2019,16:00:00,1002.50,000,23.70,11.00,31.0,1003.89,33.81,10.50,26.1,75
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-15-2019,16:00:00,998.90,000,8.40,10.00,32.6,1003.73,33.99,0.10,26.2,69
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,09-15-2019,16:00:00,1000.67,160,20.90,12.00,34.7,1003.87,27.28,0.00,22.5,49
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-15-2019,16:00:00,1002.44,000,36.60,10.00,34.2,1003.52,31.17,0.00,24.7,58
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,11.1,09-15-2019,16:00:00,1004.22,220,2.70,10.00,32.5,1004.51,34.07,0.00,26.2,70
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.4,09-15-2019,16:00:00,1003.45,240,13.30,10.00,32.4,1004.12,34.76,0.00,26.6,71
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,09-15-2019,16:00:00,1002.77,150,31.80,10.00,31.4,1003.25,34.38,0.00,26.4,75
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,14.8,09-15-2019,16:00:00,1002.64,120,4.60,10.00,34.0,1004.01,28.43,0.00,23.2,53
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,18.5,09-15-2019,16:00:00,1002.01,210,0.00,12.00,29.5,1003.67,35.94,0.00,27.1,87
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,09-15-2019,16:00:00,997.68,230,11.60,10.00,33.2,1005.51,30.53,0.00,24.4,60
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,5.6,09-15-2019,16:00:00,1003.96,310,35.40,10.00,28.6,1004.24,33.74,31.90,26.1,86
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,09-15-2019,16:00:00,1001.64,000,35.00,10.00,28.5,1004.75,31.82,0.00,25.1,82
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,09-15-2019,16:00:00,998.11,240,3.40,12.00,28.0,1005.01,30.56,0.00,24.4,81
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.4,09-15-2019,16:00:00,998.86,070,3.10,9.00,32.6,1004.35,33.99,0.00,26.2,69
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,16.7,09-15-2019,16:00:00,996.01,230,17.00,10.00,28.1,1005.27,31.31,0.00,24.8,82
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,09-15-2019,16:00:00,1004.22,180,2.50,10.00,31.9,1005.46,33.07,0.00,25.7,70
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,9.3,09-15-2019,16:00:00,1004.07,170,2.50,11.00,32.4,1004.50,34.16,0.00,26.3,70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,3.7,09-15-2019,16:00:00,993.14,210,1.20,9.00,30.5,1005.23,32.17,0.00,25.3,74
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,5.6,09-15-2019,16:00:00,1004.47,150,0.00,10.00,29.9,1005.17,32.96,0.00,25.7,78
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,09-15-2019,16:00:00,1003.75,210,40.90,7.00,27.8,1006.18,28.55,0.50,23.3,76
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,09-15-2019,16:00:00,1004.82,230,53.30,2.00,27.2,1005.34,32.61,14.90,25.5,90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,09-15-2019,16:00:00,999.96,270,11.90,7.00,27.2,1005.10,32.33,2.10,25.3,90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,09-15-2019,16:00:00,1004.36,000,16.60,5.00,26.3,1004.77,31.41,6.40,24.9,92
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,14.8,09-15-2019,16:00:00,1002.46,140,87.10,8.00,25.0,1005.24,30.32,59.20,24.3,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,3.7,09-15-2019,16:00:00,1005.76,200,0.60,10.00,29.0,1006.54,29.19,0.60,23.6,73
48501,TRAD,ตราด,ตราด,11.76667,102.88333,14.8,09-15-2019,16:00:00,1005.55,260,145.70,5.00,26.7,1006.01,31.63,3.50,25.0,90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.6,09-15-2019,16:00:00,1006.73,260,40.60,6.00,25.7,1007.42,29.21,0.70,23.7,89
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,09-15-2019,16:00:00,1006.37,270,28.20,8.00,26.0,1007.90,29.50,1.60,23.8,88
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,5.6,09-15-2019,16:00:00,1007.75,170,146.50,8.00,24.9,1008.68,28.82,18.50,23.4,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,09-15-2019,16:00:00,1006.88,000,1.00,8.00,27.2,1007.57,32.33,0.20,25.3,90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,3.7,09-15-2019,16:00:00,1007.25,280,6.20,9.00,27.0,1008.04,31.11,0.30,24.7,87
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.4,09-15-2019,16:00:00,1006.21,330,1.70,10.00,31.0,1006.84,29.48,0.00,23.8,66
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,09-15-2019,16:00:00,1006.38,270,0.30,10.00,31.4,1006.78,29.72,0.00,23.9,65
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,3.7,09-15-2019,16:00:00,1005.43,230,2.50,5.00,26.7,1009.65,32.46,0.80,25.4,93
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-15-2019,16:00:00,1006.28,000,3.20,10.00,29.5,1007.87,29.33,0.00,23.7,71
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,5.6,09-15-2019,16:00:00,1004.45,270,1.70,8.00,29.7,1007.90,29.16,0.00,23.6,70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,09-15-2019,16:00:00,1006.69,000,7.00,7.00,24.6,1008.06,27.78,5.00,22.8,90
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,14.8,09-15-2019,16:00:00,1007.66,240,24.00,10.00,27.0,1008.55,30.56,0.60,24.4,86
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.6,09-15-2019,16:00:00,1004.47,280,12.40,10.00,29.2,1008.00,27.13,0.00,22.4,67
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,16.7,09-15-2019,16:00:00,1007.19,290,17.20,10.00,30.8,1007.62,28.81,0.00,23.4,65
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,7.4,09-15-2019,16:00:00,1006.71,330,17.40,10.00,29.9,1007.69,29.00,0.00,23.5,69
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.5,09-15-2019,16:00:00,1007.15,270,55.00,10.00,29.0,1007.96,31.41,1.80,24.9,78
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.3,09-15-2019,16:00:00,1006.95,150,20.00,10.00,24.8,1008.77,29.69,6.20,23.9,95
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,22.2,09-15-2019,16:00:00,1008.76,270,12.10,4.00,24.1,1009.52,28.70,12.10,23.4,96
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,18.5,09-15-2019,16:00:00,1004.52,260,2.80,8.00,23.9,1008.56,26.58,2.80,22.1,90
48570,SATUN,สตูล,สตูล,6.65000,100.08333,11.1,09-15-2019,16:00:00,1008.19,270,15.40,6.00,25.5,1008.88,29.91,3.20,24.0,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,5.6,09-15-2019,16:00:00,1008.27,080,18.80,10.00,23.0,1009.40,27.57,18.80,22.7,98
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,14.8,09-15-2019,16:00:00,1005.38,300,8.00,10.00,25.9,1008.31,28.78,1.40,23.4,86
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,09-15-2019,16:00:00,1006.36,000,5.20,6.00,25.2,1007.06,31.22,5.20,24.8,97
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,16.7,09-15-2019,16:00:00,1002.97,250,1.60,10.00,26.8,1007.09,28.31,1.60,23.1,80
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.3,09-15-2019,16:00:00,1006.91,170,18.50,6.00,23.5,1007.51,27.66,17.90,22.8,96
