WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,StationPressure,Rainfall24Hr,WindDirection,DewPoint,WindSpeed,MeanSeaLevelPressure,VaporPressure,LandVisibility,RelativeHumidity
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.5,08-24-2019,22:00:00,1.10,1002.36,69.30,000,25.1,0.0,1007.61,31.79,10.00,97
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.5,08-24-2019,22:00:00,0.00,992.76,15.60,000,25.1,0.0,1005.96,31.79,10.00,92
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.5,08-24-2019,22:00:00,3.00,997.62,30.50,000,24.8,0.0,1006.99,31.25,10.00,96
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.9,08-24-2019,22:00:00,0.40,984.43,7.80,220,24.6,3.7,1006.17,30.92,9.00,93
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.5,08-24-2019,22:00:00,0.00,989.48,17.30,000,23.6,0.0,1007.01,29.08,10.00,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.0,08-24-2019,22:00:00,0.50,989.95,139.80,200,24.6,5.6,1005.87,30.85,10.00,97
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.4,08-24-2019,22:00:00,0.00,986.40,8.70,260,24.5,1.9,1005.28,30.78,8.00,89
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.6,08-24-2019,22:00:00,1.00,958.04,12.10,000,22.1,0.0,1009.75,26.58,6.00,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.2,08-24-2019,22:00:00,13.90,1003.31,16.10,060,23.6,3.7,1007.30,29.13,4.00,97
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.0,08-24-2019,22:00:00,0.40,912.45,3.40,250,20.8,7.4,1007.77,24.61,.20,99
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.6,08-24-2019,22:00:00,0.00,990.14,35.10,240,24.4,3.7,1006.18,30.63,7.00,93
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.0,08-24-2019,22:00:00,0.20,1003.49,0.20,000,25.6,0.0,1007.53,32.77,8.00,92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.5,08-24-2019,22:00:00,0.40,997.50,6.30,000,25.4,0.0,1008.21,32.35,7.00,93
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.6,08-24-2019,22:00:00,0.70,1005.70,1.60,180,25.9,14.8,1007.63,33.41,6.00,91
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.3,08-24-2019,22:00:00,1.60,986.26,2.20,230,23.4,5.6,1007.24,28.75,10.00,89
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.0,08-24-2019,22:00:00,3.90,988.85,12.30,000,23.3,0.0,1006.68,28.53,8.00,96
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.7,08-24-2019,22:00:00,1.20,989.99,13.90,240,23.8,14.8,1006.26,29.51,7.00,95
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.4,08-24-2019,22:00:00,0.00,992.68,20.30,000,25.0,0.0,1006.74,31.60,10.00,92
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.0,08-24-2019,22:00:00,0.30,992.46,21.90,000,25.0,0.0,1007.34,31.65,9.00,94
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.6,08-24-2019,22:00:00,0.00,992.28,10.90,240,25.7,3.7,1006.97,33.10,6.00,95
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.4,08-24-2019,22:00:00,0.10,1003.68,1.60,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.3,0.0,1006.69,34.15,8.00,94
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.8,08-24-2019,22:00:00,110.40,1000.68,122.80,250,24.1,14.8,1008.70,29.95,7.00,96
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.9,08-24-2019,22:00:00,0.00,1006.11,0.00,210,25.8,7.4,1007.21,33.20,6.00,83
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.3,08-24-2019,22:00:00,13.50,993.19,52.00,000,21.9,0.0,1007.97,26.19,8.00,81
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.7,08-24-2019,22:00:00,0.00,876.65,3.60,250,20.2,5.6,1011.77,23.70,.05,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.0,08-24-2019,22:00:00,5.10,1001.80,8.30,000,25.4,0.0,1007.70,32.48,7.00,97
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.8,08-24-2019,22:00:00,0.00,1006.70,0.00,230,26.0,5.6,1007.50,33.57,8.00,85
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.0,08-24-2019,22:00:00,0.40,1006.92,0.40,230,25.3,7.4,1007.36,32.26,10.00,81
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.7,08-24-2019,22:00:00,2.50,998.16,8.70,000,24.1,0.0,1009.58,30.03,3.00,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.5,08-24-2019,22:00:00,0.00,1006.69,0.00,270,24.5,3.7,1007.69,30.70,10.00,79
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.2,08-24-2019,22:00:00,0.01,1005.68,0.40,000,25.1,0.0,1007.50,31.79,6.00,83
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.0,08-24-2019,22:00:00,0.00,1006.79,4.50,000,24.8,0.0,1007.56,31.38,6.00,88
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.8,08-24-2019,22:00:00,0.01,1007.15,0.10,230,25.1,7.4,1007.85,31.84,10.00,85
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.5,08-24-2019,22:00:00,9.30,1005.81,12.70,000,24.6,0.0,1006.52,30.97,7.00,89
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.5,08-24-2019,22:00:00,0.00,985.98,0.20,270,23.7,9.3,1007.02,29.33,10.00,75
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.5,08-24-2019,22:00:00,0.00,989.98,5.10,000,24.9,0.0,1006.72,31.52,7.00,91
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.2,08-24-2019,22:00:00,0.00,991.07,5.30,210,24.5,5.6,1007.55,30.67,6.00,90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.0,08-24-2019,22:00:00,0.00,985.32,0.00,000,23.9,0.0,1007.03,29.74,10.00,74
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.2,08-24-2019,22:00:00,0.00,964.42,0.00,210,23.7,14.8,1007.80,29.33,10.00,86
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.0,08-24-2019,22:00:00,0.80,986.44,11.70,000,25.3,0.0,1007.06,32.20,10.00,96
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.9,08-24-2019,22:00:00,0.00,987.66,5.60,000,25.9,0.0,1008.58,33.40,8.00,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.6,08-24-2019,22:00:00,0.00,1007.52,0.00,280,23.7,5.6,1007.95,29.24,10.00,75
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,08-24-2019,22:00:00,2.10,1006.38,12.40,000,24.5,0.0,1007.81,30.71,6.00,94
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.6,08-24-2019,22:00:00,32.90,1004.13,41.00,000,24.3,0.0,1009.11,30.38,6.00,98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.2,08-24-2019,22:00:00,0.00,1004.73,0.01,230,23.1,3.7,1008.02,28.22,10.00,74
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.5,08-24-2019,22:00:00,0.01,1006.58,0.01,220,23.6,3.7,1007.68,29.06,10.00,79
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.7,08-24-2019,22:00:00,0.01,1007.65,1.10,000,24.1,0.0,1007.95,29.98,8.00,76
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.2,08-24-2019,22:00:00,0.00,1007.27,0.00,000,25.1,0.0,1007.76,31.79,10.00,83
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.8,08-24-2019,22:00:00,0.00,1006.41,3.60,210,26.0,9.3,1007.81,33.53,10.00,90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.0,08-24-2019,22:00:00,2.30,1001.54,6.30,000,25.4,0.0,1009.59,32.48,10.00,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.0,08-24-2019,22:00:00,6.50,1007.48,12.10,000,25.9,0.0,1007.76,33.37,10.00,88
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,08-24-2019,22:00:00,0.00,1005.00,0.00,000,24.9,0.0,1008.12,31.54,10.00,81
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.1,08-24-2019,22:00:00,0.10,1001.18,0.30,000,25.8,0.0,1008.10,33.29,10.00,88
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.3,08-24-2019,22:00:00,5.30,1003.26,7.00,000,24.6,0.0,1008.90,30.87,7.00,96
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.2,08-24-2019,22:00:00,0.00,1007.33,0.01,000,23.4,0.0,1008.60,28.78,10.00,80
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.9,08-24-2019,22:00:00,0.01,1007.73,0.01,220,22.9,16.7,1008.17,27.93,11.00,74
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.9,08-24-2019,22:00:00,0.30,996.60,0.30,000,22.8,0.0,1008.96,27.79,10.00,88
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.6,08-24-2019,22:00:00,0.00,1008.03,0.00,000,22.7,0.0,1008.74,27.65,10.00,75
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.0,08-24-2019,22:00:00,0.00,1006.06,1.30,230,24.7,11.1,1008.49,31.13,10.00,78
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.4,08-24-2019,22:00:00,0.00,1007.66,0.60,250,25.1,14.8,1008.17,31.93,12.00,78
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.4,08-24-2019,22:00:00,0.01,1003.23,0.40,000,25.0,0.0,1008.37,31.62,9.00,82
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.8,08-24-2019,22:00:00,0.00,1007.99,7.90,000,26.0,0.0,1008.40,33.53,7.00,90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.8,08-24-2019,22:00:00,0.00,1005.76,11.90,040,24.9,7.4,1008.54,31.55,8.00,90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.5,08-24-2019,22:00:00,0.00,1008.11,0.30,000,21.7,0.0,1008.90,25.96,10.00,75
48501,TRAD,ตราด,ตราด,11.76667,102.88333,28.0,08-24-2019,22:00:00,0.00,1008.44,62.60,240,25.6,16.7,1008.90,32.80,6.00,87
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.8,08-24-2019,22:00:00,0.00,1009.36,0.10,000,22.1,0.0,1010.04,26.54,7.00,80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.6,08-24-2019,22:00:00,0.00,1008.34,1.00,300,22.6,3.7,1009.88,27.47,6.00,84
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.5,08-24-2019,22:00:00,1.10,1010.32,39.90,220,22.7,5.6,1011.25,27.60,9.00,90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.7,08-24-2019,22:00:00,0.00,1009.41,0.20,000,23.6,0.0,1010.09,29.16,10.00,74
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,26.3,08-24-2019,22:00:00,0.00,1009.94,0.01,190,24.0,7.4,1010.74,29.78,9.00,87
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.0,08-24-2019,22:00:00,0.00,1008.90,0.40,000,23.3,0.0,1009.53,28.67,10.00,80
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.8,08-24-2019,22:00:00,0.00,1009.85,0.90,000,22.8,0.0,1010.26,27.78,10.00,79
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.5,08-24-2019,22:00:00,0.00,1007.68,0.20,000,21.8,0.0,1011.90,26.17,6.00,71
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.0,08-24-2019,22:00:00,0.00,1009.21,0.90,000,23.5,0.0,1010.83,29.00,7.00,92
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.5,08-24-2019,22:00:00,0.00,1007.64,1.20,000,23.3,0.0,1011.14,28.59,10.00,88
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.7,08-24-2019,22:00:00,0.00,1008.92,0.20,300,22.7,3.7,1010.28,27.60,8.00,79
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,27.0,08-24-2019,22:00:00,0.00,1010.28,8.40,240,24.1,14.8,1011.17,30.02,10.00,84
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.3,08-24-2019,22:00:00,0.00,1007.13,5.80,000,23.6,0.0,1010.73,29.05,10.00,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.1,08-24-2019,22:00:00,0.00,1010.27,3.80,280,23.7,5.6,1010.71,29.38,10.00,77
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.0,08-24-2019,22:00:00,0.00,1009.50,10.80,260,23.9,9.3,1010.49,29.74,9.00,74
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.1,08-24-2019,22:00:00,0.20,1010.54,18.80,240,26.1,27.8,1011.35,33.86,10.00,89
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.6,08-24-2019,22:00:00,0.00,1009.49,2.80,000,23.6,0.0,1011.32,29.07,10.00,94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.2,08-24-2019,22:00:00,0.00,1009.91,0.00,200,22.5,9.3,1010.67,27.19,10.00,75
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.7,08-24-2019,22:00:00,0.00,1007.38,2.60,230,23.2,9.3,1011.40,28.39,10.00,81
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.0,08-24-2019,22:00:00,0.00,1012.07,7.70,000,24.6,0.0,1012.76,30.84,10.00,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.5,08-24-2019,22:00:00,0.00,1009.78,3.00,000,23.7,0.0,1010.91,29.38,10.00,90
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.5,08-24-2019,22:00:00,0.00,1008.54,7.90,000,24.6,0.0,1011.47,30.97,10.00,89
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,26.8,08-24-2019,22:00:00,0.00,1009.96,0.00,000,25.4,0.0,1010.65,32.38,10.00,92
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,25.5,08-24-2019,22:00:00,0.00,1007.72,0.00,000,23.4,0.0,1011.88,28.85,7.00,88
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,25.0,08-24-2019,22:00:00,0.00,1010.66,5.60,150,22.8,9.3,1011.25,27.70,7.00,88
