WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,MeanSeaLevelPressure,RelativeHumidity,StationPressure,AirTemperature,VaporPressure,WindSpeed,Rainfall24Hr,WindDirection,LandVisibility,Rainfall
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-30-2019,22:00:00,23.4,1002.28,97,981.02,24.0,28.78,0.0,58.30,000,6.00,6.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-30-2019,22:00:00,24.6,1003.03,97,986.27,25.0,30.85,0.0,36.90,000,5.00,1.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-30-2019,22:00:00,24.4,1003.24,97,986.76,25.0,30.58,9.3,43.90,180,4.00,0.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-30-2019,22:00:00,23.8,1002.50,97,980.55,24.4,29.49,0.0,52.40,000,4.00,15.40
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-30-2019,22:00:00,22.2,1002.09,86,958.74,24.7,26.68,7.4,12.80,240,8.00,3.90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-30-2019,22:00:00,24.0,1003.01,99,982.34,24.2,29.92,3.7,40.20,210,3.00,7.60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-30-2019,22:00:00,24.0,1003.43,100,982.48,24.0,29.82,22.2,85.80,190,5.00,6.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-30-2019,22:00:00,23.8,1002.92,74,1002.49,29.0,29.46,13.0,0.01,240,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-30-2019,22:00:00,25.3,1001.87,96,1000.45,26.0,32.20,0.0,12.20,000,6.00,0.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-30-2019,22:00:00,25.0,1003.63,97,998.69,25.6,31.71,0.0,17.10,000,5.00,0.30
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-30-2019,22:00:00,22.9,1002.91,70,999.66,29.0,27.83,0.0,0.00,000,10.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-30-2019,22:00:00,24.0,1002.77,83,1001.67,27.2,29.85,0.0,0.60,000,7.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-30-2019,22:00:00,24.3,1003.01,75,1002.71,29.2,30.40,9.3,1.00,190,8.00,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-30-2019,22:00:00,25.6,1003.29,88,1002.80,27.7,32.76,0.0,1.40,000,10.00,0.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-30-2019,22:00:00,25.5,1003.32,89,1001.92,27.5,32.64,0.0,1.40,000,10.00,0.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-30-2019,22:00:00,24.4,1003.02,78,1002.74,28.6,30.62,5.6,0.40,270,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-30-2019,22:00:00,24.2,1003.13,78,1000.03,28.5,30.15,7.4,0.01,130,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-30-2019,22:00:00,23.5,1003.89,76,997.00,28.2,29.03,13.0,0.00,220,10.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-30-2019,22:00:00,24.6,1003.50,92,997.90,26.0,30.84,9.3,2.10,220,7.00,0.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-30-2019,22:00:00,23.9,1003.82,81,1002.56,27.4,29.69,7.4,0.00,270,10.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-30-2019,22:00:00,22.8,1003.57,73,1003.14,28.1,27.77,7.4,0.00,220,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-30-2019,22:00:00,22.9,1004.24,82,991.98,26.1,27.83,3.7,0.00,180,10.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-30-2019,22:00:00,23.2,1003.97,78,1003.26,27.3,28.43,13.0,0.00,210,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-30-2019,22:00:00,22.8,1004.05,71,1001.63,28.5,27.71,18.5,0.01,240,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-30-2019,22:00:00,24.7,1004.21,81,1003.69,28.3,31.14,18.5,0.01,270,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-30-2019,22:00:00,23.4,1004.04,77,998.92,27.8,28.82,9.3,0.10,250,8.00,0.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-30-2019,22:00:00,25.4,1004.78,85,1004.37,28.2,32.35,7.4,3.60,220,7.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-30-2019,22:00:00,25.8,1005.32,90,1002.56,27.5,33.21,5.6,1.10,200,8.00,1.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-30-2019,22:00:00,22.9,1005.46,89,1004.67,24.8,27.87,3.7,16.50,200,6.00,8.30
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-30-2019,22:00:00,25.4,1005.84,88,1005.38,27.5,32.36,9.3,26.30,240,6.00,0.10
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-30-2019,22:00:00,23.8,1007.09,97,1006.40,24.4,29.49,0.0,46.70,000,7.00,1.90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-30-2019,22:00:00,23.6,1006.62,93,1005.08,24.8,29.16,0.0,36.40,000,7.00,2.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-30-2019,22:00:00,24.2,1007.99,95,1007.07,25.1,30.23,7.4,58.30,250,7.00,4.80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-30-2019,22:00:00,23.2,1006.42,81,1005.74,26.7,28.39,9.3,1.50,240,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-30-2019,22:00:00,24.3,1007.79,99,1006.98,24.5,30.46,3.7,12.30,210,8.00,0.20
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-30-2019,22:00:00,23.6,1006.78,89,1006.14,25.5,29.11,7.4,5.40,080,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-30-2019,22:00:00,23.8,1007.84,94,1007.44,24.8,29.42,7.4,4.60,230,8.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-30-2019,22:00:00,22.2,1009.00,78,1004.77,26.4,26.81,13.0,1.20,260,7.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-30-2019,22:00:00,23.6,1007.93,98,1006.31,23.9,29.12,0.0,32.50,000,9.00,14.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-30-2019,22:00:00,23.8,1008.50,96,1004.99,24.5,29.41,0.0,14.80,000,10.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-30-2019,22:00:00,23.9,1007.82,98,1006.45,24.2,29.66,0.0,21.30,000,7.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-30-2019,22:00:00,24.7,1008.38,98,1007.49,25.0,31.12,0.0,84.80,000,10.00,0.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-30-2019,22:00:00,23.9,1007.94,99,1004.35,24.1,29.74,0.0,66.10,000,10.00,0.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-30-2019,22:00:00,24.8,1007.88,96,1007.45,25.5,31.25,0.0,41.40,000,10.00,1.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-30-2019,22:00:00,23.7,1008.39,95,1007.39,24.6,29.33,0.0,93.00,000,8.00,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-30-2019,22:00:00,25.2,1008.29,86,1007.48,27.8,32.12,13.0,45.40,230,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-30-2019,22:00:00,23.5,1008.51,97,1006.68,23.9,28.86,0.0,43.60,000,10.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-30-2019,22:00:00,23.0,1008.31,89,1007.55,24.9,28.04,1.9,16.80,160,10.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-30-2019,22:00:00,23.2,1008.60,98,1004.55,23.5,28.42,5.6,11.00,120,10.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-30-2019,22:00:00,23.6,1009.05,96,1008.36,24.3,29.05,0.0,28.50,000,10.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-30-2019,22:00:00,24.1,1008.14,97,1007.01,24.5,29.93,0.0,4.00,000,10.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-30-2019,22:00:00,23.7,1008.63,98,1005.67,24.0,29.30,0.0,27.60,000,10.00,0.20
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-30-2019,22:00:00,23.6,1008.37,96,1007.68,24.3,29.05,0.0,0.80,000,8.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-30-2019,22:00:00,22.4,1008.73,81,1004.58,25.8,27.05,9.3,0.00,230,8.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-30-2019,22:00:00,22.1,1008.20,75,1007.62,27.0,26.58,0.0,0.00,000,10.00,0.00
