WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,MaximumTemperature,MeanSeaLevelPressure,StationPressure,LandVisibility,AirTemperature,RelativeHumidity,DewPoint,Rainfall,Rainfall24Hr,VaporPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,08-10-2019,19:00:00,000,33.6,1002.43,988.50,10.00,27.9,85,25.0,0.60,26.50,31.75
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-10-2019,19:00:00,000,33.0,1003.32,988.52,10.00,26.5,85,23.7,0.00,41.40,29.35
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.6,08-10-2019,19:00:00,180,33.2,1001.94,987.46,10.00,29.4,82,26.0,0.00,14.70,33.66
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-10-2019,19:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.6,999.07,996.10,10.00,29.4,75,24.5,0.01,4.40,30.80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.4,08-10-2019,19:00:00,120,34.1,1000.23,992.35,10.00,27.6,84,24.7,0.30,3.80,31.16
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,08-10-2019,19:00:00,180,34.0,999.58,998.49,8.00,29.2,79,25.1,0.00,14.00,31.81
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-10-2019,19:00:00,000,32.3,1001.04,986.67,9.00,31.9,79,27.8,0.00,30.40,37.34
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,9.3,08-10-2019,19:00:00,200,20.5,1002.10,868.10,.10,20.3,99,20.1,2.60,99.60,23.57
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,11.1,08-10-2019,19:00:00,200,33.2,1000.46,994.61,10.00,26.7,90,25.0,3.30,3.30,31.63
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.4,08-10-2019,19:00:00,220,34.5,1000.65,999.86,8.00,29.6,75,24.7,0.00,1.80,31.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,16.7,08-10-2019,19:00:00,210,31.2,1001.72,1001.28,10.00,30.0,75,25.0,0.00,0.00,31.72
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-10-2019,19:00:00,000,28.4,1001.24,989.95,3.00,25.5,96,24.8,2.60,14.50,31.25
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,08-10-2019,19:00:00,000,34.0,1000.61,999.61,10.00,28.4,85,25.7,0.00,0.00,33.04
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.4,08-10-2019,19:00:00,200,33.8,1000.49,998.69,8.00,29.1,75,24.2,0.00,25.30,30.21
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-10-2019,19:00:00,000,32.2,1000.47,999.71,8.00,27.9,85,25.2,0.40,0.40,32.03
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.2,08-10-2019,19:00:00,210,31.8,1001.59,1000.90,10.00,28.9,80,25.1,0.00,0.00,31.77
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,08-10-2019,19:00:00,000,33.6,1000.88,1000.19,7.00,29.8,76,25.1,0.00,26.50,31.89
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.3,08-10-2019,19:00:00,220,35.0,1000.08,979.31,11.00,30.4,68,23.9,0.00,0.40,29.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.4,08-10-2019,19:00:00,100,33.9,1001.64,985.11,10.00,28.7,75,23.9,0.00,40.50,29.71
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.3,08-10-2019,19:00:00,180,35.5,1001.65,985.41,8.00,28.9,76,24.3,0.00,25.80,30.37
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-10-2019,19:00:00,000,34.8,1000.53,979.03,10.00,30.0,68,23.5,0.00,0.01,28.91
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.4,08-10-2019,19:00:00,210,35.0,1001.02,957.80,10.00,25.3,88,23.2,2.50,32.50,28.49
