WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,DewPoint,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,LandVisibility,Rainfall
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.5,09-12-2019,22:00:00,0.0,23.0,91,984.64,000,8.80,28.11,1012.48,4.00,8.80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.3,09-12-2019,22:00:00,0.0,23.7,91,977.71,000,1.00,29.28,1011.52,10.00,0.90
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.0,09-12-2019,22:00:00,0.0,24.8,88,992.08,000,0.10,31.38,1010.62,10.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,28.0,09-12-2019,22:00:00,0.0,24.3,80,987.66,000,0.00,30.28,1010.43,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.2,09-12-2019,22:00:00,0.0,24.3,84,980.69,000,0.00,30.39,1010.59,10.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,09-12-2019,22:00:00,0.0,23.8,96,975.94,000,3.00,29.41,1011.80,6.00,3.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.8,09-12-2019,22:00:00,0.0,23.9,95,979.68,000,0.00,29.69,1009.62,12.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.6,09-12-2019,22:00:00,0.0,25.2,87,1003.66,000,0.00,32.00,1010.98,8.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.9,09-12-2019,22:00:00,3.7,24.9,89,989.64,340,2.70,31.46,1009.58,12.00,0.10
48353,LOEI,เลย,เลย,17.45000,101.73333,26.8,09-12-2019,22:00:00,0.0,24.2,86,981.13,000,0.01,30.18,1009.84,12.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.0,09-12-2019,22:00:00,0.0,24.4,81,989.30,000,19.70,30.56,1009.43,12.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.0,09-12-2019,22:00:00,0.0,24.1,84,988.44,000,0.60,30.02,1010.22,12.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.0,09-12-2019,22:00:00,0.0,24.7,87,989.60,000,0.30,31.11,1009.12,10.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.3,09-12-2019,22:00:00,3.7,23.7,86,993.50,080,0.01,29.25,1010.33,10.00,0.01
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.4,09-12-2019,22:00:00,0.0,24.2,93,992.98,000,24.10,30.25,1010.54,10.00,24.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.6,09-12-2019,22:00:00,0.0,25.9,91,983.52,000,0.40,33.41,1009.28,11.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.7,09-12-2019,22:00:00,5.6,25.6,83,1004.93,210,0.00,32.79,1010.70,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.8,09-12-2019,22:00:00,9.3,25.5,83,1004.70,260,0.00,32.71,1010.88,12.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.5,09-12-2019,22:00:00,0.0,23.9,81,994.26,000,0.00,29.60,1010.72,10.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.5,09-12-2019,22:00:00,0.0,23.4,88,989.37,000,1.50,28.85,1011.90,10.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.2,09-12-2019,22:00:00,13.0,21.3,66,997.99,260,0.00,25.34,1012.39,7.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.5,09-12-2019,22:00:00,11.1,22.6,71,995.07,120,0.00,27.44,1011.44,7.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.9,09-12-2019,22:00:00,0.0,24.4,82,1005.72,000,0.01,30.64,1010.95,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.7,09-12-2019,22:00:00,0.0,24.7,84,995.84,000,0.00,31.08,1009.03,10.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.4,09-12-2019,22:00:00,0.0,25.7,85,1002.07,000,0.00,33.04,1011.39,10.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.4,09-12-2019,22:00:00,0.0,24.7,85,988.10,000,0.10,31.05,1009.81,10.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.9,09-12-2019,22:00:00,5.6,24.1,85,993.11,200,0.00,30.10,1010.68,10.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.0,09-12-2019,22:00:00,5.6,25.0,100,992.87,250,0.00,31.66,1008.84,10.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.6,09-12-2019,22:00:00,0.0,23.8,85,990.04,000,0.00,29.54,1008.98,8.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,09-12-2019,22:00:00,0.0,21.5,91,962.51,000,0.00,25.60,1014.56,7.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,28.8,09-12-2019,22:00:00,3.7,26.0,85,1006.68,230,1.00,33.57,1010.63,8.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.0,09-12-2019,22:00:00,7.4,19.9,93,917.62,210,0.10,23.23,1013.47,4.00,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.8,09-12-2019,22:00:00,0.0,26.4,92,993.29,000,0.20,34.40,1009.27,10.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.8,09-12-2019,22:00:00,0.0,23.7,79,1007.40,000,0.01,29.36,1011.44,10.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.3,09-12-2019,22:00:00,0.0,25.2,88,1001.55,000,0.00,31.97,1012.27,8.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.5,09-12-2019,22:00:00,0.0,24.3,78,1010.07,000,0.00,30.42,1012.00,9.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,{'@attributes': {'Unit': 'celcius'}},09-12-2019,22:00:00,0.0,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': '%'}},{'@attributes': {'unit': 'hPa'}},"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,{'@attributes': {'Unit': 'mb'}},{'@attributes': {'Unit': 'hPa'}},{'@attributes': {'Unit': 'km'}},0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.2,09-12-2019,22:00:00,0.0,26.5,91,991.72,000,32.90,34.65,1009.36,10.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.5,09-12-2019,22:00:00,0.0,26.0,86,993.16,000,25.20,33.53,1009.27,10.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.9,09-12-2019,22:00:00,0.0,25.2,85,995.66,000,0.01,32.03,1009.69,10.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,27.5,09-12-2019,22:00:00,0.0,25.4,88,995.78,000,0.00,32.36,1010.64,8.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.5,09-12-2019,22:00:00,0.0,27.1,92,996.31,000,0.00,35.87,1010.97,7.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.1,09-12-2019,22:00:00,0.0,24.4,80,1007.86,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,30.48,1010.88,10.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.6,09-12-2019,22:00:00,0.0,24.6,84,1002.60,000,0.00,30.89,1010.57,7.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.7,09-12-2019,22:00:00,0.0,26.0,86,1010.11,000,0.80,33.66,1011.22,8.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.9,09-12-2019,22:00:00,3.7,25.5,82,997.47,090,0.00,32.63,1012.13,9.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.8,09-12-2019,22:00:00,7.4,19.5,98,877.52,280,7.20,22.62,1013.21,8.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.0,09-12-2019,22:00:00,0.0,24.1,84,1005.19,000,15.40,30.02,1011.09,10.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.2,09-12-2019,22:00:00,11.1,23.4,67,1011.03,240,0.00,28.75,1011.82,8.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.8,09-12-2019,22:00:00,0.0,24.4,73,1011.75,000,0.00,30.47,1012.19,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.5,09-12-2019,22:00:00,0.0,23.3,88,1001.96,000,0.00,28.59,1013.39,6.00,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.2,09-12-2019,22:00:00,0.0,23.1,70,1010.66,000,0.00,28.21,1011.67,10.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.9,09-12-2019,22:00:00,0.0,25.9,84,1009.49,000,0.00,33.49,1011.31,9.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.7,09-12-2019,22:00:00,0.0,20.7,62,1010.94,000,0.00,24.41,1011.71,8.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.3,09-12-2019,22:00:00,13.0,22.5,67,1011.31,260,0.00,27.32,1012.02,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.7,09-12-2019,22:00:00,0.0,25.4,83,1010.34,000,17.20,32.51,1011.04,7.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.0,09-12-2019,22:00:00,0.0,24.1,79,989.66,000,9.00,30.01,1010.82,10.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.3,09-12-2019,22:00:00,9.3,23.1,93,994.17,230,10.20,28.28,1011.10,5.00,4.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.5,09-12-2019,22:00:00,3.7,22.6,89,994.97,180,13.60,27.35,1011.61,6.00,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.5,09-12-2019,22:00:00,0.0,22.3,73,988.86,000,0.00,26.95,1010.75,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.1,09-12-2019,22:00:00,0.0,22.6,86,967.95,000,9.90,27.37,1011.65,12.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.5,09-12-2019,22:00:00,0.0,24.6,84,990.42,000,6.00,30.97,1011.02,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.9,09-12-2019,22:00:00,16.7,24.3,97,991.14,210,1.20,30.40,1012.21,8.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.8,09-12-2019,22:00:00,3.7,25.7,88,1011.53,360,2.40,32.96,1011.96,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.8,09-12-2019,22:00:00,0.0,25.4,92,1009.42,000,40.10,32.38,1010.84,8.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.7,09-12-2019,22:00:00,0.0,25.0,90,1005.97,000,2.50,31.63,1010.93,8.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.0,09-12-2019,22:00:00,5.6,21.1,62,1008.91,200,0.00,24.94,1012.20,10.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.0,09-12-2019,22:00:00,0.0,21.3,53,1011.03,000,0.00,25.37,1012.12,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.3,09-12-2019,22:00:00,7.4,24.3,74,1011.56,260,0.01,30.32,1011.86,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.7,09-12-2019,22:00:00,0.0,24.7,75,1010.76,000,0.00,31.12,1011.25,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.1,09-12-2019,22:00:00,14.8,22.5,64,1010.28,260,0.00,27.20,1011.69,10.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,27.0,09-12-2019,22:00:00,0.0,24.4,86,1005.02,000,0.01,30.56,1013.07,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.8,09-12-2019,22:00:00,0.0,25.1,76,1011.37,000,0.00,31.89,1011.65,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.7,09-12-2019,22:00:00,0.0,24.1,76,1008.24,000,0.00,29.98,1011.36,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.6,09-12-2019,22:00:00,0.0,24.3,87,1004.76,000,3.50,30.34,1011.74,10.00,3.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.3,09-12-2019,22:00:00,0.0,25.8,86,1005.99,000,15.50,33.12,1011.59,8.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.1,09-12-2019,22:00:00,7.4,21.9,73,1011.57,270,0.50,26.24,1012.84,10.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.0,09-12-2019,22:00:00,0.0,23.6,77,1011.61,000,1.20,29.19,1012.04,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.0,09-12-2019,22:00:00,0.0,21.2,75,1000.71,000,0.00,25.11,1013.08,8.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.2,09-12-2019,22:00:00,0.0,21.6,68,1011.34,000,0.00,25.85,1012.06,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.0,09-12-2019,22:00:00,7.4,21.9,62,1009.60,240,0.00,26.21,1012.03,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.4,09-12-2019,22:00:00,16.7,25.3,79,1011.19,270,0.20,32.22,1011.70,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.7,09-12-2019,22:00:00,5.6,23.3,73,1006.60,230,0.00,28.62,1011.75,10.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.0,09-12-2019,22:00:00,3.7,25.4,86,1011.08,180,16.90,32.52,1011.49,7.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.6,09-12-2019,22:00:00,0.0,24.7,84,1007.96,000,7.20,31.16,1010.74,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.2,09-12-2019,22:00:00,11.1,21.8,73,1011.95,270,0.00,26.16,1012.74,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.9,09-12-2019,22:00:00,3.7,25.2,90,1011.41,090,0.00,32.02,1011.87,7.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.9,09-12-2019,22:00:00,0.0,23.4,81,1012.15,000,0.00,28.76,1012.84,8.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.6,09-12-2019,22:00:00,0.0,23.5,88,1011.47,000,0.00,29.03,1013.02,8.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.6,09-12-2019,22:00:00,3.7,23.4,88,1012.82,070,0.00,28.77,1013.75,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.5,09-12-2019,22:00:00,0.0,25.9,91,1012.45,000,0.00,33.50,1013.14,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.9,09-12-2019,22:00:00,0.0,23.7,93,1012.60,000,0.60,29.34,1013.40,9.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.0,09-12-2019,22:00:00,0.0,24.3,96,1011.56,000,5.10,30.32,1012.21,10.00,5.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.1,09-12-2019,22:00:00,0.0,23.8,92,1012.60,000,0.30,29.44,1013.01,8.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.5,09-12-2019,22:00:00,0.0,23.3,88,1011.45,000,0.00,28.59,1015.72,6.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.4,09-12-2019,22:00:00,0.0,23.5,95,1010.79,000,0.00,28.97,1012.42,12.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.0,09-12-2019,22:00:00,0.0,24.1,95,1009.12,000,43.00,30.05,1012.64,7.00,0.50
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.8,09-12-2019,22:00:00,0.0,23.9,95,1011.49,000,3.30,29.69,1012.86,7.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.0,09-12-2019,22:00:00,0.0,24.6,92,1011.87,000,0.00,30.84,1012.76,10.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,26.6,09-12-2019,22:00:00,0.0,24.3,87,1009.56,000,0.00,30.34,1013.14,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.4,09-12-2019,22:00:00,0.0,25.0,82,1012.40,000,0.80,31.62,1012.84,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,27.6,09-12-2019,22:00:00,0.0,24.6,84,1011.23,000,0.00,30.89,1012.23,10.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.1,09-12-2019,22:00:00,9.3,25.0,78,1011.96,290,0.00,31.61,1012.77,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.0,09-12-2019,22:00:00,0.0,24.8,88,1011.07,000,0.00,31.38,1012.90,6.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.6,09-12-2019,22:00:00,3.7,24.1,86,1012.16,170,0.00,30.07,1012.92,6.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.6,09-12-2019,22:00:00,3.7,23.4,93,1009.44,310,0.60,28.81,1013.49,5.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,27.5,09-12-2019,22:00:00,0.0,25.1,87,1012.22,000,0.00,31.80,1012.90,8.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.0,09-12-2019,22:00:00,0.0,24.3,96,1011.63,000,30.60,30.32,1012.76,10.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.0,09-12-2019,22:00:00,0.0,24.3,96,1010.25,000,1.50,30.32,1013.20,10.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.1,09-12-2019,22:00:00,0.0,24.9,99,1011.78,000,3.30,31.58,1012.48,6.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.6,09-12-2019,22:00:00,3.7,23.1,92,1009.19,280,5.60,28.29,1013.37,6.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.0,09-12-2019,22:00:00,9.3,23.1,84,1011.95,260,71.10,28.18,1012.55,9.00,0.00
