WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility,WindSpeed,MeanSeaLevelPressure
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-21-2019,10:00:00,68,24.0,1008.04,30.6,29.81,0.00,000,10.00,0.0,1011.57
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-21-2019,10:00:00,66,23.7,1010.00,30.9,29.28,0.00,140,10.00,5.6,1010.43
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-21-2019,10:00:00,75,25.0,1009.34,30.0,31.72,0.00,270,10.00,9.3,1010.32
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-21-2019,10:00:00,86,27.2,1010.31,29.8,36.00,0.00,230,10.00,5.6,1011.12
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-21-2019,10:00:00,66,23.8,1009.06,31.0,29.48,2.60,000,8.00,0.0,1010.86
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-21-2019,10:00:00,75,25.2,1009.66,30.2,32.13,0.00,070,5.00,7.4,1010.41
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-21-2019,10:00:00,67,23.7,1006.83,30.5,29.33,0.20,240,9.00,5.6,1010.79
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-21-2019,10:00:00,67,24.1,1010.82,31.0,30.05,0.20,250,4.00,5.6,1011.50
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-21-2019,10:00:00,64,23.8,1009.27,31.6,29.55,0.00,000,10.00,0.0,1010.38
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-21-2019,10:00:00,71,25.2,1007.87,31.0,32.05,0.00,250,10.00,5.6,1010.76
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-21-2019,10:00:00,77,25.7,1009.45,30.2,33.00,0.00,000,6.00,0.0,1010.13
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-21-2019,10:00:00,74,24.6,1006.97,29.7,30.83,0.00,000,4.00,0.0,1011.07
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-21-2019,10:00:00,73,24.9,1010.12,30.3,31.48,30.70,000,8.00,0.0,1010.71
