WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,DewPoint,WindDirection,MeanSeaLevelPressure,StationPressure,RelativeHumidity,AirTemperature,Rainfall24Hr,VaporPressure,WindSpeed
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-26-2019,01:00:00,8.00,23.4,000,1008.42,986.58,90,25.2,7.70,28.83,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-26-2019,01:00:00,10.00,23.6,210,1009.00,991.38,89,25.5,2.40,29.11,7.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.60,07-26-2019,01:00:00,10.00,24.3,000,1007.99,992.04,96,25.0,0.80,30.32,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-26-2019,01:00:00,8.00,23.4,170,1007.49,988.50,88,25.5,7.70,28.85,11.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1.50,07-26-2019,01:00:00,6.00,21.4,000,1011.40,959.37,95,22.2,10.40,25.53,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,4.40,07-26-2019,01:00:00,4.00,23.9,090,1009.17,1005.17,97,24.3,31.20,29.57,5.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.20,07-26-2019,01:00:00,.10,19.4,290,1009.83,913.89,99,19.6,18.00,22.57,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-26-2019,01:00:00,6.00,24.1,000,1008.60,992.47,96,24.8,11.60,29.95,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.20,07-26-2019,01:00:00,5.00,24.6,000,1004.33,1000.29,93,25.8,10.40,31.00,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.20,07-26-2019,01:00:00,6.00,24.0,000,1010.45,999.68,92,25.5,1.90,29.91,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,07-26-2019,01:00:00,8.00,24.0,000,1009.84,1007.90,88,26.2,0.30,29.86,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1.80,07-26-2019,01:00:00,6.00,23.0,000,1009.09,987.98,94,24.0,1.80,28.01,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-26-2019,01:00:00,10.00,24.3,210,1008.39,990.59,96,25.0,14.70,30.32,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-26-2019,01:00:00,10.00,24.4,170,1008.14,991.86,96,25.1,11.10,30.50,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.40,07-26-2019,01:00:00,10.00,23.5,000,1009.54,995.40,89,25.4,10.80,28.93,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.20,07-26-2019,01:00:00,7.00,23.5,000,1010.28,995.30,92,25.0,1.20,29.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.70,07-26-2019,01:00:00,2.50,24.0,000,1010.25,995.43,94,25.0,4.30,29.79,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,07-26-2019,01:00:00,8.00,25.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1009.35,1006.31,93,26.3,0.70,31.68,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.50,07-26-2019,01:00:00,5.00,23.7,000,1009.52,1001.49,94,24.7,20.80,29.25,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-26-2019,01:00:00,6.00,23.7,000,1009.71,1008.59,86,26.3,1.90,29.25,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-26-2019,01:00:00,8.00,23.0,000,1009.13,994.29,91,24.5,25.90,28.11,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,07-26-2019,01:00:00,.10,18.1,260,1010.34,874.44,98,18.4,17.00,20.72,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1.00,07-26-2019,01:00:00,10.00,24.3,000,1009.78,1003.84,98,24.6,1.80,30.38,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-26-2019,01:00:00,8.00,26.6,000,1009.64,1008.84,95,27.4,0.00,34.73,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-26-2019,01:00:00,10.00,25.6,120,1008.82,1008.37,92,27.0,0.90,32.77,3.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-26-2019,01:00:00,4.00,23.4,000,1010.71,999.27,95,24.3,4.70,28.79,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-26-2019,01:00:00,10.00,22.7,200,1009.27,1008.26,79,26.7,0.40,27.60,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-26-2019,01:00:00,7.00,22.1,170,1009.52,1007.69,78,26.3,0.50,26.64,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-26-2019,01:00:00,6.00,23.8,000,1009.23,1008.46,89,25.8,0.10,29.39,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,07-26-2019,01:00:00,9.00,25.0,120,1009.54,1008.83,91,26.6,2.00,31.71,3.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.30,07-26-2019,01:00:00,7.00,24.3,000,1009.39,1008.68,94,25.3,23.90,30.34,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-26-2019,01:00:00,10.00,22.6,300,1009.25,988.06,77,27.0,1.10,27.36,5.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-26-2019,01:00:00,7.00,22.1,000,1009.38,992.54,81,25.5,1.00,26.53,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.01,07-26-2019,01:00:00,6.00,23.1,000,1009.88,993.35,84,26.0,1.40,28.18,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-26-2019,01:00:00,10.00,22.1,000,1009.21,987.26,78,26.3,1.70,26.64,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-26-2019,01:00:00,10.00,20.6,000,1009.36,965.81,74,25.5,0.01,24.28,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-26-2019,01:00:00,10.00,22.1,210,1009.38,988.73,78,26.3,0.20,26.64,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-26-2019,01:00:00,7.00,23.8,230,1010.61,989.64,89,25.8,1.20,29.39,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-26-2019,01:00:00,10.00,24.4,000,1009.34,1008.91,80,28.1,0.00,30.48,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.10,07-26-2019,01:00:00,6.00,23.8,000,1009.69,1008.26,96,24.5,10.60,29.41,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1.20,07-26-2019,01:00:00,7.00,23.8,000,1009.94,1004.95,97,24.2,11.30,29.39,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-26-2019,01:00:00,10.00,22.4,000,1009.41,1006.11,75,27.3,0.01,27.11,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-26-2019,01:00:00,10.00,24.5,000,1009.38,1008.26,90,26.2,0.01,30.67,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,07-26-2019,01:00:00,8.00,25.3,000,1009.24,1008.94,90,27.0,1.20,32.21,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-26-2019,01:00:00,10.00,24.1,000,1009.26,1008.76,89,26.0,11.70,30.03,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-26-2019,01:00:00,10.00,24.8,110,1009.78,1008.37,89,26.8,0.01,31.27,5.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,07-26-2019,01:00:00,8.00,24.7,180,1011.76,1003.66,98,25.0,12.30,31.12,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.00,07-26-2019,01:00:00,8.00,26.4,000,1009.01,1008.73,98,26.8,7.90,34.36,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-26-2019,01:00:00,10.00,23.3,000,1009.10,1005.98,72,28.8,2.00,28.54,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-26-2019,01:00:00,10.00,22.4,240,1009.35,1002.43,69,28.7,0.01,27.01,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-26-2019,01:00:00,8.00,24.6,000,1010.25,1004.62,92,26.0,10.40,30.84,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-26-2019,01:00:00,10.00,24.3,000,1010.28,1009.01,90,26.0,5.90,30.30,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-26-2019,01:00:00,11.00,20.1,240,1009.22,1008.78,61,28.5,0.00,23.56,5.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-26-2019,01:00:00,10.00,22.6,000,1009.94,997.54,89,24.5,0.50,27.35,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-26-2019,01:00:00,10.00,22.9,210,1009.80,1009.09,77,27.3,12.20,27.90,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-26-2019,01:00:00,10.00,22.5,000,1010.23,1007.80,69,28.7,0.40,27.28,0.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-26-2019,01:00:00,7.00,24.7,230,1009.49,1008.98,78,29.0,0.90,31.13,9.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-26-2019,01:00:00,10.00,24.0,000,1009.52,1004.36,83,27.2,0.30,29.85,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-26-2019,01:00:00,7.00,24.4,000,1009.94,1009.52,97,25.0,32.40,30.58,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-26-2019,01:00:00,8.00,24.3,000,1009.87,1007.07,96,25.0,101.60,30.32,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-26-2019,01:00:00,10.00,21.8,000,1010.29,1009.50,73,27.0,0.00,26.06,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-26-2019,01:00:00,6.00,23.6,100,1009.46,1009.00,97,24.0,17.50,29.04,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-26-2019,01:00:00,7.00,24.0,000,1010.28,1009.59,95,24.9,4.10,29.87,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-26-2019,01:00:00,6.00,24.9,000,1010.19,1008.65,95,25.8,4.20,31.55,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-26-2019,01:00:00,10.00,24.3,000,1010.79,1009.87,88,26.5,0.00,30.43,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-26-2019,01:00:00,10.00,25.1,000,1010.26,1009.57,87,27.4,0.00,31.89,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-26-2019,01:00:00,7.00,24.3,000,1010.89,1010.09,93,25.5,0.00,30.44,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-26-2019,01:00:00,10.00,24.5,000,1010.03,1009.39,90,26.2,0.00,30.67,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-26-2019,01:00:00,10.00,24.7,000,1010.36,1009.95,92,26.1,0.00,31.03,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-26-2019,01:00:00,6.00,24.7,000,1012.12,1007.87,94,25.7,0.00,31.08,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-26-2019,01:00:00,10.00,24.8,000,1010.96,1009.33,97,25.4,0.00,31.33,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-26-2019,01:00:00,10.00,24.0,000,1010.94,1007.44,92,25.5,0.00,29.91,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-26-2019,01:00:00,7.00,24.0,000,1010.91,1009.54,92,25.5,0.00,29.91,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-26-2019,01:00:00,10.00,24.6,000,1010.73,1009.84,92,26.0,0.00,30.84,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-26-2019,01:00:00,10.00,24.6,000,1010.71,1010.27,84,27.5,0.00,30.97,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-26-2019,01:00:00,10.00,24.7,000,1010.16,1009.16,92,26.1,0.00,31.03,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-26-2019,01:00:00,10.00,24.6,000,1010.81,1008.99,93,25.9,0.00,30.92,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-26-2019,01:00:00,10.00,23.3,260,1010.70,1009.95,85,26.1,0.01,28.62,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-26-2019,01:00:00,7.00,24.1,000,1011.03,1006.98,97,24.5,0.80,29.93,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-26-2019,01:00:00,10.00,24.0,000,1011.39,1010.70,92,25.5,0.00,29.91,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-26-2019,01:00:00,10.00,23.8,000,1010.66,1009.53,96,24.5,21.20,29.41,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-26-2019,01:00:00,10.00,24.2,000,1011.16,1008.20,96,24.9,0.00,30.13,0.0
