WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,MeanSeaLevelPressure,RelativeHumidity,MinimumTemperature,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,StationPressure,Rainfall,WindSpeed
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,9.00,09-04-2019,07:00:00,27.3,1007.42,80,25.7,1.20,230,28.96,23.5,1004.98,0.00,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-04-2019,07:00:00,28.0,1007.21,79,24.8,8.10,260,29.74,23.9,1006.69,0.00,18.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,09-04-2019,07:00:00,25.7,1007.42,90,25.4,1.30,270,29.74,23.9,1002.24,0.00,7.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-04-2019,07:00:00,25.2,1007.51,97,24.2,19.10,000,30.96,24.6,1007.09,7.40,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-04-2019,07:00:00,25.0,1007.77,98,24.8,26.00,000,31.12,24.7,1004.98,2.00,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-04-2019,07:00:00,25.8,1007.27,86,23.0,3.40,000,28.60,23.3,1006.48,2.10,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.00,09-04-2019,07:00:00,25.5,1007.90,92,23.2,146.90,290,29.91,24.0,1007.44,31.80,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,09-04-2019,07:00:00,25.3,1007.92,97,25.3,2.50,000,31.14,24.7,1007.23,0.10,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,09-04-2019,07:00:00,26.5,1007.49,84,25.8,0.20,000,29.08,23.6,1005.96,0.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-04-2019,07:00:00,26.5,1008.41,25,26.4,3.40,190,8.64,4.9,1007.49,2.20,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,09-04-2019,07:00:00,27.2,1008.22,86,25.8,0.00,000,30.94,24.6,1007.54,0.00,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,09-04-2019,07:00:00,25.0,1008.98,97,24.5,0.00,210,30.58,24.4,1008.17,0.00,1.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,09-04-2019,07:00:00,26.0,1008.33,92,25.0,0.00,120,30.84,24.6,1007.70,0.00,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-04-2019,07:00:00,26.2,1008.50,95,25.4,0.00,190,32.32,25.3,1008.09,0.00,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,09-04-2019,07:00:00,27.0,1010.18,83,24.2,0.00,230,29.48,23.8,1005.96,0.00,5.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,09-04-2019,07:00:00,24.4,1009.18,98,24.0,0.20,000,30.02,24.1,1007.56,0.00,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,09-04-2019,07:00:00,24.5,1009.24,97,24.3,0.00,000,29.67,23.9,1005.73,0.00,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,9.00,09-04-2019,07:00:00,25.2,1009.03,98,25.0,0.00,000,31.49,24.9,1007.67,0.00,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-04-2019,07:00:00,28.0,1008.54,87,26.7,0.00,240,32.80,25.6,1007.66,0.00,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-04-2019,07:00:00,25.3,1009.12,97,24.5,0.00,000,31.41,24.9,1005.54,0.00,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-04-2019,07:00:00,27.5,1009.13,85,26.5,7.00,000,31.25,24.8,1008.69,0.00,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,09-04-2019,07:00:00,28.8,1008.36,73,26.4,2.00,300,28.81,23.4,1007.37,0.00,9.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,09-04-2019,07:00:00,28.4,1009.37,83,25.5,0.00,240,32.19,25.3,1008.55,0.00,13.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.00,09-04-2019,07:00:00,25.5,1009.49,97,24.7,0.00,000,31.52,24.9,1007.67,0.00,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,8.00,09-04-2019,07:00:00,26.6,1009.48,88,25.8,0.00,000,30.62,24.4,1008.72,0.00,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,2.00,09-04-2019,07:00:00,24.9,1009.77,98,23.4,0.00,000,30.93,24.6,1005.74,0.00,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,8.00,09-04-2019,07:00:00,25.5,1009.71,95,25.1,0.00,000,30.98,24.6,1009.02,0.00,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,8.00,09-04-2019,07:00:00,25.1,1009.35,97,24.6,0.00,000,30.77,24.5,1008.22,0.00,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,.50,09-04-2019,07:00:00,25.2,1009.67,98,23.2,0.00,000,31.49,24.9,1006.72,0.00,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.00,09-04-2019,07:00:00,24.2,1009.71,97,23.8,0.00,000,29.13,23.6,1009.02,0.00,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,4.00,09-04-2019,07:00:00,23.6,1009.90,95,22.8,2.00,230,27.58,22.7,1005.72,0.00,11.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,8.00,09-04-2019,07:00:00,23.5,1009.44,91,.0,5.20,000,26.42,22.0,1008.84,0.00,0.0
