WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,Rainfall,RelativeHumidity,DewPoint,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall24Hr
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-19-2019,01:00:00,25.3,0.00,94,24.3,30.34,1007.68,0.0,1009.30,000,7.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-19-2019,01:00:00,25.0,0.00,96,24.3,30.32,1008.23,0.0,1011.74,000,10.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-19-2019,01:00:00,25.2,0.00,94,24.2,30.15,1009.92,0.0,1011.28,000,8.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-19-2019,01:00:00,24.8,0.00,89,22.9,27.87,1010.34,0.0,1011.23,000,15.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-19-2019,01:00:00,25.0,0.00,87,22.6,27.45,1007.84,0.0,1011.44,000,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-19-2019,01:00:00,27.5,0.00,82,24.2,30.15,1010.77,0.0,1011.21,000,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-19-2019,01:00:00,26.5,0.00,89,24.6,30.97,1009.83,0.0,1010.83,000,10.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-19-2019,01:00:00,25.2,0.00,92,23.9,29.62,1010.53,5.6,1011.35,090,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-19-2019,01:00:00,25.5,0.00,92,24.0,29.91,1009.53,0.0,1011.36,000,10.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-19-2019,01:00:00,24.5,0.01,93,23.3,28.63,1011.00,3.7,1011.76,280,10.00,2.80
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-19-2019,01:00:00,23.3,0.00,96,22.5,27.33,1007.77,0.0,1011.84,000,10.00,13.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-19-2019,01:00:00,26.0,0.00,94,25.0,31.65,1008.95,0.0,1009.64,000,10.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-19-2019,01:00:00,24.0,0.00,96,23.3,28.53,1010.37,0.0,1011.50,000,10.00,11.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-19-2019,01:00:00,24.6,0.00,97,24.0,29.85,1008.67,0.0,1011.62,000,10.00,27.10
