WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,DewPoint,MeanSeaLevelPressure,WindDirection,WindSpeed,RelativeHumidity,AirTemperature,VaporPressure,Rainfall24Hr,StationPressure,LandVisibility
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-19-2019,19:00:00,35.4,23.5,1006.68,300,3.7,68,30.0,28.91,0.00,994.55,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-19-2019,19:00:00,31.8,26.1,1006.61,000,0.0,80,30.0,33.75,0.00,1005.90,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-19-2019,19:00:00,34.4,24.3,1008.30,210,11.1,71,30.0,30.31,0.00,1005.89,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-19-2019,19:00:00,32.0,25.3,1007.17,220,9.3,79,29.3,32.30,0.00,1006.65,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-19-2019,19:00:00,34.2,24.5,1006.74,220,3.7,75,29.5,30.72,0.00,1001.63,14.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-19-2019,19:00:00,33.3,24.8,1007.43,000,0.0,77,29.2,31.25,0.00,1007.02,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-19-2019,19:00:00,32.4,24.9,1007.95,000,0.0,81,28.5,31.54,0.00,1005.19,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.30,08-19-2019,19:00:00,4.0,22.9,1008.46,000,0.0,72,28.5,27.97,0.30,1007.67,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-19-2019,19:00:00,31.8,24.7,1007.35,280,5.6,78,29.0,31.13,0.00,1006.90,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-19-2019,19:00:00,34.3,23.6,1008.38,280,5.6,70,29.7,29.16,0.00,1007.71,10.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-19-2019,19:00:00,34.2,23.5,1008.63,000,0.0,72,29.0,28.91,0.00,1007.11,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-19-2019,19:00:00,32.6,23.5,1009.38,220,3.7,70,29.6,28.97,0.00,1008.47,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-19-2019,19:00:00,35.7,22.3,1008.27,260,5.6,57,31.8,26.89,0.00,1007.60,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-19-2019,19:00:00,35.7,22.6,1008.85,270,3.7,63,30.5,27.41,0.00,1008.06,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-19-2019,19:00:00,36.2,24.6,1008.46,000,0.0,73,30.0,30.87,0.00,1007.84,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-19-2019,19:00:00,37.8,25.9,1008.47,000,0.0,77,30.4,33.42,0.00,1008.07,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-19-2019,19:00:00,35.5,22.8,1010.10,000,0.0,60,31.5,27.68,0.00,1005.95,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-19-2019,19:00:00,35.0,24.3,1008.82,000,0.0,78,28.5,30.42,0.00,1007.21,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-19-2019,19:00:00,34.4,24.8,1008.45,000,0.0,75,29.8,31.32,0.00,1005.00,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-19-2019,19:00:00,35.8,21.8,1008.00,310,7.4,58,31.1,26.11,0.00,1006.67,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-19-2019,19:00:00,32.0,23.5,1009.17,000,0.0,72,29.2,29.02,0.00,1008.28,12.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-19-2019,19:00:00,33.0,23.8,1008.51,000,0.0,79,27.9,29.55,0.00,1004.96,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-19-2019,19:00:00,34.6,24.6,1009.14,330,5.6,76,29.3,30.88,0.00,1008.71,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-19-2019,19:00:00,31.9,24.2,1008.85,280,5.6,73,29.7,30.27,0.00,1007.86,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-19-2019,19:00:00,32.3,23.9,1009.44,270,5.6,73,29.2,29.57,0.00,1008.63,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-19-2019,19:00:00,33.7,24.7,1008.98,000,0.0,78,29.0,31.13,0.00,1007.17,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-19-2019,19:00:00,35.8,24.1,1008.27,250,3.7,67,31.0,30.05,2.80,1007.53,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-19-2019,19:00:00,34.3,23.1,1008.98,230,11.1,67,29.8,28.26,0.01,1005.02,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-19-2019,19:00:00,33.5,25.0,1009.17,000,0.0,75,30.0,31.72,0.00,1008.50,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-19-2019,19:00:00,34.5,23.2,1008.63,220,11.1,63,31.0,28.37,6.60,1007.53,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-19-2019,19:00:00,33.7,25.6,1008.93,210,3.7,83,28.7,32.79,0.40,1006.02,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-19-2019,19:00:00,35.1,26.6,1007.88,000,0.0,80,30.5,34.82,0.00,1007.20,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-19-2019,19:00:00,35.2,24.9,1008.85,090,7.4,74,30.2,31.56,0.00,1004.76,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-19-2019,19:00:00,33.5,24.3,1008.92,000,0.0,71,30.0,30.31,0.00,1008.33,10.00
